,date,buy,standard
0,2014-07-14,130.00,124.88
1,2014-07-11,130.19,124.30
2,2014-07-10,129.53,124.34
3,2014-07-09,129.29,124.22
4,2014-07-08,129.26,124.09
5,2014-07-07,129.28,123.96
6,2014-07-04,128.99,124.04
7,2014-07-03,128.94,124.08
8,2014-07-02,128.97,124.43
9,2014-07-01,129.35,124.47
10,2014-06-30,129.41,124.74
11,2014-06-27,129.78,125.08
12,2014-06-26,129.92,125.49
13,2014-06-25,130.44,125.17
14,2014-06-24,130.16,125.22
15,2014-06-23,130.45,125.40
16,2014-06-20,130.58,125.24
17,2014-06-19,130.30,125.87
18,2014-06-18,130.90,125.75
19,2014-06-17,130.66,125.39
20,2014-06-16,130.57,125.20
21,2014-06-13,130.30,125.19
22,2014-06-12,130.16,125.06
23,2014-06-11,130.12,125.04
24,2014-06-10,130.15,125.17
25,2014-06-09,129.89,125.58
26,2014-06-05,131.10,126.36
27,2014-06-03,131.83,126.68
28,2014-06-02,131.80,126.31
29,2014-05-30,131.46,126.53
30,2014-05-29,131.09,126.65
31,2014-05-28,131.82,126.93
32,2014-05-27,132.02,126.98
33,2014-05-26,132.04,127.07
34,2014-05-23,132.31,127.18
35,2014-05-22,132.15,127.39
36,2014-05-21,132.38,127.06
37,2014-05-20,132.20,126.80
38,2014-05-19,131.90,127.26
39,2014-05-16,132.28,127.40
40,2014-05-15,133.06,127.74
41,2014-05-14,133.00,127.53
42,2014-05-13,132.73,127.93
43,2014-05-12,133.19,127.84
44,2014-05-09,133.46,127.93
45,2014-05-08,132.92,128.19
46,2014-05-07,133.17,128.87
47,2014-05-02,133.90,129.01
48,2014-04-30,134.20,128.95
49,2014-04-29,133.99,129.62
50,2014-04-28,134.56,129.85
51,2014-04-25,135.40,129.77
52,2014-04-24,135.28,129.92
53,2014-04-23,135.22,129.94
54,2014-04-22,135.07,129.69
55,2014-04-21,135.12,129.64
56,2014-04-18,135.10,129.62
57,2014-04-17,135.21,130.15
58,2014-04-16,135.08,130.14
59,2014-04-15,135.50,129.85
60,2014-04-14,135.47,129.68
61,2014-04-11,134.74,129.49
62,2014-04-10,135.02,130.39
63,2014-04-09,135.21,131.69
64,2014-04-08,136.38,131.67
65,2014-04-07,137.21,131.96
66,2014-04-04,137.11,132.21
67,2014-04-03,137.55,132.16
68,2014-04-02,137.61,132.54
69,2014-04-01,137.61,133.25
70,2014-03-31,138.17,133.55
71,2014-03-28,138.95,134.02
72,2014-03-27,139.53,134.33
73,2014-03-26,139.75,134.68
74,2014-03-25,140.74,135.55
75,2014-03-24,140.52,135.62
76,2014-03-21,141.33,135.25
77,2014-03-20,140.62,134.67
78,2014-03-19,139.96,134.40
79,2014-03-18,140.66,135.13
80,2014-03-17,140.62,135.81
81,2014-03-14,141.35,135.53
82,2014-03-13,141.01,135.73
83,2014-03-12,141.70,135.40
84,2014-03-11,140.85,135.60
85,2014-03-10,141.07,135.17
86,2014-03-07,139.93,135.38
87,2014-03-06,140.47,135.78
88,2014-03-05,141.16,135.95
89,2014-03-04,141.42,135.94
90,2014-03-03,141.48,135.46
91,2014-02-28,140.78,135.32
92,2014-02-27,141.22,135.98
93,2014-02-26,141.02,136.12
94,2014-02-25,141.77,136.76
95,2014-02-24,142.44,136.96
96,2014-02-21,142.76,137.29
97,2014-02-20,143.65,137.18
98,2014-02-19,142.70,137.04
99,2014-02-18,142.84,136.71
100,2014-02-17,141.18,135.98
101,2014-02-14,141.57,136.57
102,2014-02-13,141.67,136.33
103,2014-02-12,141.11,137.08
104,2014-02-11,141.81,137.07
105,2014-02-10,142.42,137.22
106,2014-02-07,142.13,136.77
107,2014-02-06,141.70,136.30
108,2014-02-05,140.26,135.76
109,2014-02-04,140.26,134.94
110,2014-02-03,140.88,133.64
111,2014-01-29,139.19,134.65
112,2014-01-28,140.22,135.51
113,2014-01-27,140.28,134.15
114,2014-01-24,140.68,134.32
115,2014-01-23,161.53,154.39
116,2014-01-22,161.11,154.55
117,2014-01-21,162.60,155.88
118,2014-01-20,162.67,155.97
119,2014-01-17,162.94,157.08
120,2014-01-16,164.98,158.42
121,2014-01-15,164.74,157.79
122,2014-01-14,165.53,158.71
123,2014-01-13,165.19,159.68
124,2014-01-10,166.82,160.79
125,2014-01-09,167.42,161.45
126,2014-01-08,168.01,161.85
127,2014-01-07,168.54,161.06
128,2014-01-06,169.19,160.74
129,2014-01-03,167.72,160.49
130,2014-01-02,167.72,161.93
131,2013-12-31,166.86,161.76
132,2013-12-30,168.83,162.55
133,2013-12-27,169.56,163.73
134,2013-12-26,170.93,164.67
135,2013-12-24,170.97,164.75
136,2013-12-23,171.74,165.28
137,2013-12-20,172.49,165.36
138,2013-12-19,173.16,165.40
139,2013-12-18,173.01,166.18
140,2013-12-17,173.46,166.81
141,2013-12-16,174.11,167.49
142,2013-12-13,174.61,167.75
143,2013-12-12,174.33,167.70
144,2013-12-11,174.65,168.06
145,2013-12-10,174.96,168.63
146,2013-12-09,175.04,169.45
147,2013-12-06,176.94,170.48
148,2013-12-05,177.86,171.24
149,2013-12-04,178.81,171.93
150,2013-12-03,179.26,171.85
151,2013-12-02,179.38,172.60
152,2013-11-29,179.96,173.55
153,2013-11-28,180.68,173.70
154,2013-11-27,181.38,174.03
155,2013-11-26,181.50,174.45
156,2013-11-25,181.56,174.61
157,2013-11-22,182.08,175.26
158,2013-11-21,182.66,174.60
159,2013-11-20,182.03,174.80
160,2013-11-19,182.88,176.72
161,2013-11-18,185.68,180.19
162,2013-11-15,184.84,178.33
163,2013-11-14,185.77,179.51
164,2013-11-13,186.78,179.29
165,2013-11-12,187.05,179.05
166,2013-11-11,187.16,178.44
167,2013-11-08,186.38,178.60
168,2013-11-07,185.42,178.43
169,2013-11-06,185.43,178.37
170,2013-11-05,185.74,178.80
171,2013-11-04,186.76,179.49
172,2013-11-01,186.70,179.34
173,2013-10-31,186.83,179.90
174,2013-10-30,187.12,180.04
175,2013-10-29,187.59,180.28
176,2013-10-28,187.70,180.74
177,2013-10-25,188.34,180.26
178,2013-10-24,188.29,180.23
179,2013-10-23,188.01,181.49
180,2013-10-22,188.52,181.54
181,2013-10-21,188.78,181.36
182,2013-10-18,188.90,182.05
183,2013-10-17,189.33,182.73
184,2013-10-16,190.13,182.94
185,2013-10-15,190.11,183.88
186,2013-10-14,191.41,183.62
187,2013-10-11,191.15,184.61
188,2013-10-10,191.56,184.47
189,2013-10-08,192.16,184.01
190,2013-10-07,192.23,184.44
191,2013-10-04,191.94,184.96
192,2013-10-02,192.66,185.29
193,2013-10-01,193.02,185.70
194,2013-09-30,192.66,185.74
195,2013-09-27,193.48,185.88
196,2013-09-26,194.02,186.62
197,2013-09-25,194.13,186.29
198,2013-09-24,193.86,186.46
199,2013-09-23,194.20,188.44
200,2013-09-17,196.75,188.83
201,2013-09-16,196.64,189.57
202,2013-09-13,198.01,189.45
203,2013-09-12,197.24,190.06
204,2013-09-11,197.56,190.00
205,2013-09-10,197.87,190.81
206,2013-09-09,197.55,192.07
207,2013-09-06,199.00,191.64
208,2013-09-05,200.57,192.92
209,2013-09-04,200.25,192.60
210,2013-09-03,201.71,194.64
