DATE,WM1NS_PC1
1999-01-01,2.33708
1999-02-01,1.94624
1999-03-01,1.86681
1999-04-01,2.43063
1999-05-01,2.60857
1999-06-01,1.97197
1999-07-01,2.13325
1999-08-01,2.19604
1999-09-01,1.51838
1999-10-01,1.62621
1999-11-01,1.29768
1999-12-01,2.12966
2000-01-01,2.08186
2000-02-01,1.01787
2000-03-01,0.95284
2000-04-01,1.20776
2000-05-01,0.31875
2000-06-01,0.39699
2000-07-01,0.74573
2000-08-01,-0.19323
2000-09-01,0.37565
2000-10-01,-0.07178
2000-11-01,-1.85592
2000-12-01,-3.23422
2001-01-01,-2.37630
2001-02-01,-0.64059
2001-03-01,0.08823
2001-04-01,-0.01727
2001-05-01,0.83610
2001-06-01,2.14753
2001-07-01,3.20142
2001-08-01,4.44424
2001-09-01,9.65216
2001-10-01,6.20402
2001-11-01,6.91370
2001-12-01,9.44506
2002-01-01,7.39128
2002-02-01,8.15648
2002-03-01,7.65805
2002-04-01,6.44653
2002-05-01,6.37407
2002-06-01,6.09135
2002-07-01,5.45936
2002-08-01,3.19464
2002-09-01,-0.19724
2002-10-01,2.60934
2002-11-01,2.82499
2002-12-01,3.27128
2003-01-01,2.80176
2003-02-01,4.02206
2003-03-01,4.63709
2003-04-01,4.55499
2003-05-01,6.83424
2003-06-01,8.00596
2003-07-01,6.54696
2003-08-01,9.64605
2003-09-01,8.34998
2003-10-01,7.72299
2003-11-01,7.70016
2003-12-01,6.62882
2004-01-01,6.49887
2004-02-01,6.36267
2004-03-01,7.08060
2004-04-01,6.63152
2004-05-01,6.20455
2004-06-01,4.29513
2004-07-01,4.20940
2004-08-01,5.05500
2004-09-01,4.05501
2004-10-01,5.15044
2004-11-01,6.36886
2004-12-01,4.57342
2005-01-01,5.48649
2005-02-01,3.91901
2005-03-01,3.03674
2005-04-01,2.31000
2005-05-01,2.48840
2005-06-01,2.57833
2005-07-01,2.28442
2005-08-01,1.61621
2005-09-01,1.15559
2005-10-01,1.76764
2005-11-01,-0.33226
2005-12-01,-0.17800
2006-01-01,0.93693
2006-02-01,0.51661
2006-03-01,0.66561
2006-04-01,2.06453
2006-05-01,1.46581
2006-06-01,-0.28130
2006-07-01,0.78507
2006-08-01,-1.07243
2006-09-01,-0.81126
2006-10-01,-0.59877
2006-11-01,-0.51118
2006-12-01,-0.61420
2007-01-01,-0.54195
2007-02-01,-0.93429
2007-03-01,-1.22667
2007-04-01,0.10185
2007-05-01,-1.04869
2007-06-01,-0.47318
2007-07-01,-0.04646
2007-08-01,0.07335
2007-09-01,0.97368
2007-10-01,0.30925
2007-11-01,0.38903
2007-12-01,1.37229
2008-01-01,-0.69272
2008-02-01,1.11541
2008-03-01,2.68135
2008-04-01,0.12496
2008-05-01,0.90975
2008-06-01,3.37228
2008-07-01,2.46833
2008-08-01,2.60737
2008-09-01,5.78797
2008-10-01,5.94344
2008-11-01,10.12667
2008-12-01,15.66098
2009-01-01,15.92484
2009-02-01,13.74123
2009-03-01,13.60741
2009-04-01,15.76217
2009-05-01,15.90460
2009-06-01,17.57613
2009-07-01,16.89614
2009-08-01,18.58926
2009-09-01,13.62405
2009-10-01,13.94314
2009-11-01,12.37472
2009-12-01,5.97231
2010-01-01,5.81904
2010-02-01,8.29843
2010-03-01,8.26100
2010-04-01,5.43654
2010-05-01,6.47494
2010-06-01,3.82565
2010-07-01,3.85187
2010-08-01,5.16438
2010-09-01,5.90141
2010-10-01,6.50730
2010-11-01,8.07416
2010-12-01,8.14189
2011-01-01,11.33595
2011-02-01,10.59756
2011-03-01,9.84388
2011-04-01,11.94549
2011-05-01,13.02505
2011-06-01,12.45327
2011-07-01,15.21552
2011-08-01,20.42315
2011-09-01,20.43894
2011-10-01,21.68987
2011-11-01,17.89041
2011-12-01,17.80122
2012-01-01,19.16251
2012-02-01,17.81780
2012-03-01,17.38282
2012-04-01,19.25730
2012-05-01,15.19406
2012-06-01,16.44632
2012-07-01,17.69881
2012-08-01,10.21075
2012-09-01,12.66458
2012-10-01,12.63529
2012-11-01,11.87354
2012-12-01,15.14306
2013-01-01,10.69465
2013-02-01,12.28851
2013-03-01,10.58981
2013-04-01,12.26991
2013-05-01,11.89364
2013-06-01,11.44334
2013-07-01,9.88642
2013-08-01,8.95036
2013-09-01,9.44194
2013-10-01,7.81459
2013-11-01,7.67557
2013-12-01,8.08553
2014-01-01,8.78898
2014-02-01,10.29403
2014-03-01,12.90045
2014-04-01,9.08958
2014-05-01,10.62542
2014-06-01,12.80296
2014-07-01,10.58205
2014-08-01,10.34906
2014-09-01,10.51155
2014-10-01,9.42045
2014-11-01,10.05312
2014-12-01,9.68205
2015-01-01,9.07576
2015-02-01,9.91860
2015-03-01,9.03575
2015-04-01,8.11960
2015-05-01,7.25173
2015-06-01,6.66610
2015-07-01,6.98461
2015-08-01,9.31189
2015-09-01,5.57810
2015-10-01,5.03914
2015-11-01,7.72723
2015-12-01,4.52609
2016-01-01,5.90404
2016-02-01,4.44890
2016-03-01,4.07467
2016-04-01,6.62326
2016-05-01,9.61651
2016-06-01,6.46143
2016-07-01,7.23323
2016-08-01,9.07097
2016-09-01,9.32363
2016-10-01,11.98193
2016-11-01,7.66748
2016-12-01,7.74218
2017-01-01,9.99726
2017-02-01,7.86765
2017-03-01,9.12392
2017-04-01,8.45138
2017-05-01,8.20466
2017-06-01,8.72841
2017-07-01,10.35147
2017-08-01,7.38177
2017-09-01,7.72864
2017-10-01,7.99933
2017-11-01,8.19461
2017-12-01,8.15855
2018-01-01,7.63154
2018-02-01,6.23758
2018-03-01,6.23102
2018-04-01,6.57178
2018-05-01,3.13554
2018-06-01,3.96181
2018-07-01,3.53824
2018-08-01,2.74970
2018-09-01,4.03963
2018-10-01,3.10757
2018-11-01,2.13372
2018-12-01,5.06136
2019-01-01,1.51154
2019-02-01,3.99364
2019-03-01,1.92577
2019-04-01,3.09064
2019-05-01,3.53891
2019-06-01,4.92933
2019-07-01,4.69160
2019-08-01,4.60117
2019-09-01,6.10900
2019-10-01,4.58419
2019-11-01,6.87877
2019-12-01,6.22359
2020-01-01,6.21225
2020-02-01,6.45772
2020-03-01,14.02025
2020-04-01,25.08910
2020-05-01,328.19378
2020-06-01,331.36338
2020-07-01,332.48734
2020-08-01,339.57271
2020-09-01,338.96324
2020-10-01,343.48041
2020-11-01,349.80817
2020-12-01,342.66866
2021-01-01,356.50758
2021-02-01,360.88145
2021-03-01,338.90144
2021-04-01,296.91213
2021-05-01,18.99227
2021-06-01,16.97470
2021-07-01,16.04525
2021-08-01,16.67351
2021-09-01,15.93252
2021-10-01,15.66725
2021-11-01,14.88871
2021-12-01,14.79043
2022-01-01,13.81576
2022-02-01,12.93296
