,date,buy,standard
0,2022-05-02,-,2.85
1,2022-04-29,-,2.84
2,2022-04-28,-,2.83
3,2022-04-27,-,2.77
4,2022-04-26,-,2.77
5,2022-04-25,-,2.80
6,2022-04-22,-,2.79
7,2022-04-21,-,2.79
8,2022-04-20,-,2.77
9,2022-04-19,-,2.78
10,2022-04-18,-,2.70
11,2022-04-15,-,2.70
12,2022-04-14,-,2.74
13,2022-04-13,-,2.76
14,2022-04-12,-,2.74
15,2022-04-11,-,2.76
16,2022-04-08,-,2.68
17,2022-04-07,-,2.62
18,2022-04-06,-,2.60
19,2022-04-05,-,2.60
20,2022-04-04,-,2.56
21,2022-04-01,-,2.57
22,2022-03-31,-,2.60
23,2022-03-30,-,2.61
24,2022-03-29,-,2.54
25,2022-03-28,-,2.47
26,2022-03-25,-,2.47
27,2022-03-24,-,2.38
28,2022-03-23,-,2.40
29,2022-03-22,-,2.39
30,2022-03-21,-,2.38
31,2022-03-18,-,2.40
32,2022-03-17,-,2.43
33,2022-03-16,-,2.41
34,2022-03-15,-,2.39
35,2022-03-14,-,2.35
36,2022-03-11,-,2.36
37,2022-03-10,-,2.42
38,2022-03-08,-,2.40
39,2022-03-07,-,2.37
40,2022-03-04,-,2.42
41,2022-03-03,-,2.43
42,2022-03-02,-,2.46
43,2022-02-28,-,2.61
44,2022-02-25,-,2.56
45,2022-02-24,-,2.72
46,2022-02-23,-,2.73
47,2022-02-22,-,2.79
48,2022-02-21,-,2.79
49,2022-02-18,-,2.79
50,2022-02-17,-,2.80
51,2022-02-16,-,2.79
52,2022-02-15,-,2.78
53,2022-02-14,-,2.79
54,2022-02-11,-,2.80
55,2022-02-10,-,2.81
56,2022-02-09,-,2.80
57,2022-02-08,-,2.79
58,2022-02-07,-,2.78
59,2022-02-04,-,2.77
60,2022-02-03,-,2.78
61,2022-01-28,-,2.77
62,2022-01-27,-,2.75
63,2022-01-26,-,2.75
64,2022-01-25,-,2.73
65,2022-01-24,-,2.74
66,2022-01-21,-,2.73
67,2022-01-20,-,2.73
68,2022-01-19,-,2.73
69,2022-01-18,-,2.74
70,2022-01-17,-,2.73
71,2022-01-14,-,2.73
72,2022-01-13,-,2.74
73,2022-01-12,-,2.74
74,2022-01-11,-,2.76
75,2022-01-10,-,2.76
76,2022-01-07,-,2.75
77,2022-01-06,-,2.75
78,2022-01-05,-,2.75
79,2022-01-04,-,2.74
80,2022-01-03,-,2.73
81,2021-12-31,-,2.71
82,2021-12-30,-,2.72
83,2021-12-29,-,2.73
84,2021-12-28,-,2.73
85,2021-12-27,-,2.74
86,2021-12-24,-,2.73
87,2021-12-23,-,2.73
88,2021-12-22,-,2.72
89,2021-12-21,-,2.71
90,2021-12-20,-,2.70
91,2021-12-17,-,2.70
92,2021-12-16,-,2.71
93,2021-12-15,-,2.71
94,2021-12-14,-,2.70
95,2021-12-13,-,2.70
96,2021-12-10,-,2.69
97,2021-12-09,-,2.69
98,2021-12-08,-,2.70
99,2021-12-07,-,2.70
100,2021-12-06,-,2.69
101,2021-12-03,-,2.69
102,2021-12-02,-,2.71
103,2021-12-01,-,2.70
104,2021-11-30,-,2.73
105,2021-11-29,-,2.73
106,2021-11-26,-,2.75
107,2021-11-25,-,2.74
108,2021-11-24,-,2.74
109,2021-11-23,-,2.74
110,2021-11-22,-,2.73
111,2021-11-19,-,2.72
112,2021-11-18,-,2.73
113,2021-11-17,-,2.73
114,2021-11-16,-,2.74
115,2021-11-15,-,2.74
116,2021-11-12,-,2.76
117,2021-11-11,-,2.75
118,2021-11-10,-,2.74
119,2021-11-09,-,2.76
120,2021-11-08,-,2.76
121,2021-11-05,-,2.75
122,2021-11-04,-,2.75
123,2021-11-03,-,2.74
124,2021-11-02,-,2.75
125,2021-11-01,-,2.73
126,2021-10-29,-,2.74
127,2021-10-28,-,2.74
128,2021-10-27,-,2.74
129,2021-10-26,-,2.75
130,2021-10-25,-,2.77
131,2021-10-22,-,2.76
132,2021-10-21,-,2.76
133,2021-10-20,-,2.77
134,2021-10-19,-,2.79
135,2021-10-18,-,2.78
136,2021-10-15,-,2.79
137,2021-10-14,-,2.80
138,2021-10-13,-,2.82
139,2021-10-12,-,2.81
140,2021-10-08,-,2.80
141,2021-10-07,-,2.80
142,2021-10-06,-,2.79
143,2021-10-05,-,2.79
144,2021-10-01,-,2.78
145,2021-09-30,-,2.78
146,2021-09-29,-,2.78
147,2021-09-28,-,2.77
148,2021-09-27,-,2.76
149,2021-09-24,-,2.78
150,2021-09-23,-,2.77
151,2021-09-17,-,2.75
152,2021-09-16,-,2.75
153,2021-09-15,-,2.75
154,2021-09-14,-,2.75
155,2021-09-13,-,2.74
156,2021-09-10,-,2.74
157,2021-09-09,-,2.73
158,2021-09-08,-,2.72
159,2021-09-07,-,2.72
160,2021-09-06,-,2.72
161,2021-09-03,-,2.73
162,2021-09-02,-,2.72
163,2021-09-01,-,2.73
164,2021-08-31,-,2.73
165,2021-08-30,-,2.74
166,2021-08-27,-,2.74
167,2021-08-26,-,2.74
168,2021-08-25,-,2.75
169,2021-08-24,-,2.76
170,2021-08-23,-,2.75
171,2021-08-20,-,2.75
172,2021-08-19,-,2.75
173,2021-08-18,-,2.76
174,2021-08-17,-,2.75
175,2021-08-13,-,2.73
176,2021-08-12,-,2.71
177,2021-08-11,-,2.70
178,2021-08-10,-,2.68
179,2021-08-09,-,2.69
180,2021-08-06,-,2.69
181,2021-08-05,-,2.70
182,2021-08-04,-,2.71
183,2021-08-03,-,2.71
184,2021-08-02,-,2.70
185,2021-07-30,-,2.70
186,2021-07-29,-,2.71
187,2021-07-28,-,2.70
188,2021-07-27,-,2.71
189,2021-07-26,-,2.70
190,2021-07-23,-,2.70
191,2021-07-22,-,2.69
192,2021-07-21,-,2.69
193,2021-07-20,-,2.67
194,2021-07-19,-,2.67
195,2021-07-16,-,2.68
196,2021-07-15,-,2.69
197,2021-07-14,-,2.68
198,2021-07-13,-,2.67
199,2021-07-12,-,2.68
200,2021-07-09,-,2.65
201,2021-07-08,-,2.66
202,2021-07-07,-,2.65
203,2021-07-06,-,2.65
204,2021-07-05,-,2.66
205,2021-07-02,-,2.65
206,2021-07-01,-,2.64
207,2021-06-30,-,2.63
208,2021-06-29,-,2.65
209,2021-06-28,-,2.64
210,2021-06-25,-,2.65
211,2021-06-24,-,2.65
212,2021-06-23,-,2.65
213,2021-06-22,-,2.65
214,2021-06-21,-,2.64
215,2021-06-18,-,2.64
216,2021-06-17,-,2.62
217,2021-06-16,-,2.62
218,2021-06-15,-,2.61
219,2021-06-14,-,2.60
220,2021-06-11,-,2.61
221,2021-06-10,-,2.61
222,2021-06-09,-,2.60
223,2021-06-08,-,2.60
224,2021-06-07,-,2.61
225,2021-06-04,-,2.60
226,2021-06-03,-,2.59
227,2021-06-02,-,2.59
228,2021-06-01,-,2.60
229,2021-05-31,-,2.60
230,2021-05-28,-,2.61
231,2021-05-27,-,2.61
232,2021-05-26,-,2.63
233,2021-05-25,-,2.64
234,2021-05-24,-,2.63
235,2021-05-21,-,2.64
236,2021-05-20,-,2.65
237,2021-05-18,-,2.65
238,2021-05-17,-,2.64
239,2021-05-14,-,2.64
240,2021-05-13,-,2.63
241,2021-05-12,-,2.62
242,2021-05-11,-,2.61
243,2021-05-10,-,2.63
244,2021-05-07,-,2.64
245,2021-05-06,-,2.63
246,2021-05-04,-,2.60
247,2021-05-03,-,2.58
248,2021-04-30,-,2.59
249,2021-04-29,-,2.59
250,2021-04-28,-,2.59
251,2021-04-27,-,2.59
252,2021-04-26,-,2.60
253,2021-04-23,-,2.58
254,2021-04-22,-,2.59
255,2021-04-21,-,2.59
256,2021-04-20,-,2.60
257,2021-04-19,-,2.60
258,2021-04-16,-,2.59
259,2021-04-15,-,2.60
260,2021-04-14,-,2.60
261,2021-04-13,-,2.59
262,2021-04-12,-,2.58
263,2021-04-09,-,2.58
264,2021-04-08,-,2.58
265,2021-04-07,-,2.61
266,2021-04-06,-,2.63
267,2021-04-05,-,2.64
268,2021-04-02,-,2.64
269,2021-04-01,-,2.66
270,2021-03-31,-,2.67
271,2021-03-30,-,2.67
272,2021-03-29,-,2.67
273,2021-03-26,-,2.67
274,2021-03-25,-,2.69
275,2021-03-24,-,2.68
276,2021-03-23,-,2.69
277,2021-03-22,-,2.69
278,2021-03-19,-,2.68
279,2021-03-18,-,2.70
280,2021-03-17,-,2.70
281,2021-03-16,-,2.71
282,2021-03-15,-,2.70
283,2021-03-12,-,2.71
284,2021-03-11,-,2.72
285,2021-03-10,-,2.72
286,2021-03-09,-,2.69
287,2021-03-08,-,2.69
288,2021-03-05,-,2.68
289,2021-03-04,-,2.68
290,2021-03-03,-,2.67
291,2021-03-02,-,2.68
292,2021-02-26,-,2.67
293,2021-02-25,-,2.67
294,2021-02-24,-,2.68
295,2021-02-23,-,2.65
296,2021-02-22,-,2.65
297,2021-02-19,-,2.65
298,2021-02-18,-,2.66
299,2021-02-17,-,2.64
300,2021-02-16,-,2.64
301,2021-02-15,-,2.65
302,2021-02-10,-,2.67
303,2021-02-09,-,2.67
304,2021-02-08,-,2.67
305,2021-02-05,-,2.65
306,2021-02-04,-,2.63
307,2021-02-03,-,2.64
308,2021-02-02,-,2.63
309,2021-02-01,-,2.64
310,2021-01-29,-,2.63
311,2021-01-28,-,2.61
312,2021-01-27,-,2.61
313,2021-01-26,-,2.62
314,2021-01-25,-,2.62
315,2021-01-22,-,2.62
316,2021-01-21,-,2.63
317,2021-01-20,-,2.62
318,2021-01-19,-,2.62
319,2021-01-18,-,2.62
320,2021-01-15,-,2.62
321,2021-01-14,-,2.61
322,2021-01-13,-,2.62
323,2021-01-12,-,2.62
324,2021-01-11,-,2.61
325,2021-01-08,-,2.59
326,2021-01-07,-,2.59
327,2021-01-06,-,2.58
328,2021-01-05,-,2.57
329,2021-01-04,-,2.58
330,2020-12-31,-,2.58
331,2020-12-30,-,2.60
332,2020-12-29,-,2.61
333,2020-12-28,-,2.63
334,2020-12-24,-,2.63
335,2020-12-23,-,2.63
336,2020-12-22,-,2.61
337,2020-12-21,-,2.62
338,2020-12-18,-,2.60
339,2020-12-17,-,2.60
340,2020-12-16,-,2.60
341,2020-12-15,-,2.60
342,2020-12-14,-,2.60
343,2020-12-11,-,2.58
344,2020-12-10,-,2.58
