,date,buy,standard
0,2022-05-02,-,346.69
1,2022-04-29,-,347.81
2,2022-04-28,-,345.50
3,2022-04-27,-,342.23
4,2022-04-26,-,341.36
5,2022-04-25,-,338.98
6,2022-04-22,-,338.49
7,2022-04-21,-,338.76
8,2022-04-20,-,338.76
9,2022-04-19,-,337.25
10,2022-04-18,-,336.98
11,2022-04-15,-,334.21
12,2022-04-14,-,335.97
13,2022-04-13,-,338.35
14,2022-04-12,-,336.71
15,2022-04-11,-,335.79
16,2022-04-08,-,333.45
17,2022-04-07,-,333.63
18,2022-04-06,-,331.84
19,2022-04-05,-,332.75
20,2022-04-04,-,333.34
21,2022-04-01,-,331.34
22,2022-03-31,-,331.36
23,2022-03-30,-,334.91
24,2022-03-29,-,336.28
25,2022-03-28,-,332.60
26,2022-03-25,-,334.08
27,2022-03-24,-,331.07
28,2022-03-23,-,333.44
29,2022-03-22,-,332.07
30,2022-03-21,-,331.85
31,2022-03-18,-,334.01
32,2022-03-17,-,339.45
33,2022-03-16,-,339.80
34,2022-03-15,-,338.29
35,2022-03-14,-,337.72
36,2022-03-11,-,336.24
37,2022-03-10,-,338.14
38,2022-03-08,-,335.36
39,2022-03-07,-,330.74
40,2022-03-04,-,330.21
41,2022-03-03,-,330.03
42,2022-03-02,-,331.12
43,2022-02-28,-,329.44
44,2022-02-25,-,327.44
45,2022-02-24,-,325.59
46,2022-02-23,-,328.12
47,2022-02-22,-,327.17
48,2022-02-21,-,326.62
49,2022-02-18,-,327.30
50,2022-02-17,-,327.66
51,2022-02-16,-,327.84
52,2022-02-15,-,329.11
53,2022-02-14,-,328.59
54,2022-02-11,-,328.48
55,2022-02-10,-,328.48
56,2022-02-09,-,328.98
57,2022-02-08,-,328.13
58,2022-02-07,-,327.46
59,2022-02-04,-,331.06
60,2022-02-03,-,329.64
61,2022-01-28,-,330.24
62,2022-01-27,-,328.76
63,2022-01-26,-,328.98
64,2022-01-25,-,327.99
65,2022-01-24,-,325.85
66,2022-01-21,-,326.94
67,2022-01-20,-,327.33
68,2022-01-19,-,326.53
69,2022-01-18,-,327.46
70,2022-01-17,-,324.05
71,2022-01-14,-,326.34
72,2022-01-13,-,326.81
73,2022-01-12,-,328.26
74,2022-01-11,-,329.58
75,2022-01-10,-,328.26
76,2022-01-07,-,329.47
77,2022-01-06,-,329.09
78,2022-01-05,-,328.01
79,2022-01-04,-,327.05
80,2022-01-03,-,325.53
81,2021-12-31,-,325.53
82,2021-12-30,-,325.90
83,2021-12-29,-,325.93
84,2021-12-28,-,325.72
85,2021-12-27,-,325.78
86,2021-12-24,-,326.08
87,2021-12-23,-,327.10
88,2021-12-22,-,327.18
89,2021-12-21,-,324.51
90,2021-12-20,-,322.75
91,2021-12-17,-,325.05
92,2021-12-16,-,325.79
93,2021-12-15,-,325.08
94,2021-12-14,-,321.23
95,2021-12-13,-,321.27
96,2021-12-10,-,322.38
97,2021-12-09,-,323.03
98,2021-12-08,-,324.35
99,2021-12-07,-,325.10
100,2021-12-06,-,323.64
101,2021-12-03,-,321.09
102,2021-12-02,-,321.91
103,2021-12-01,-,326.20
104,2021-11-30,-,325.26
105,2021-11-29,-,325.69
106,2021-11-26,-,326.75
107,2021-11-25,-,326.42
108,2021-11-24,-,326.53
109,2021-11-23,-,324.20
110,2021-11-22,-,323.10
111,2021-11-19,-,322.64
112,2021-11-18,-,323.28
113,2021-11-17,-,323.98
114,2021-11-16,-,324.14
115,2021-11-15,-,322.80
116,2021-11-12,-,325.38
117,2021-11-11,-,324.36
118,2021-11-10,-,323.65
119,2021-11-09,-,325.27
120,2021-11-08,-,324.29
121,2021-11-05,-,322.65
122,2021-11-04,-,323.10
123,2021-11-03,-,322.85
124,2021-11-02,-,323.07
125,2021-11-01,-,319.66
126,2021-10-29,-,321.81
127,2021-10-28,-,320.82
128,2021-10-27,-,320.32
129,2021-10-26,-,320.11
130,2021-10-25,-,323.65
131,2021-10-22,-,320.99
132,2021-10-21,-,321.27
133,2021-10-20,-,324.55
134,2021-10-19,-,323.75
135,2021-10-18,-,323.19
136,2021-10-15,-,326.30
137,2021-10-14,-,326.45
138,2021-10-13,-,327.69
139,2021-10-12,-,325.62
140,2021-10-08,-,325.21
141,2021-10-07,-,324.51
142,2021-10-06,-,326.04
143,2021-10-05,-,326.06
144,2021-10-01,-,325.51
145,2021-09-30,-,322.83
146,2021-09-29,-,324.57
147,2021-09-28,-,322.89
148,2021-09-27,-,322.74
149,2021-09-24,-,321.61
150,2021-09-23,-,323.43
151,2021-09-17,-,321.09
152,2021-09-16,-,321.81
153,2021-09-15,-,321.94
154,2021-09-14,-,322.52
155,2021-09-13,-,321.39
156,2021-09-10,-,318.13
157,2021-09-09,-,319.83
158,2021-09-08,-,318.02
159,2021-09-07,-,317.76
160,2021-09-06,-,317.55
161,2021-09-03,-,314.02
162,2021-09-02,-,314.51
163,2021-09-01,-,315.05
164,2021-08-31,-,315.18
165,2021-08-30,-,319.63
166,2021-08-27,-,320.82
167,2021-08-26,-,320.38
168,2021-08-25,-,317.89
169,2021-08-24,-,317.30
170,2021-08-23,-,321.24
171,2021-08-20,-,322.58
