,date,buy,standard
0,2022-05-02,911.14,894.64
1,2022-04-29,917.78,901.78
2,2022-04-28,926.70,899.52
3,2022-04-27,922.78,890.72
4,2022-04-26,920.18,894.98
5,2022-04-25,914.67,898.87
6,2022-04-22,926.15,911.04
7,2022-04-21,939.09,921.21
8,2022-04-20,934.54,912.28
9,2022-04-19,932.78,906.79
10,2022-04-18,927.62,909.78
11,2022-04-15,928.63,908.05
12,2022-04-14,931.87,914.58
13,2022-04-13,929.87,921.95
14,2022-04-12,932.64,914.08
15,2022-04-11,934.54,913.17
16,2022-04-08,933.24,911.44
17,2022-04-07,930.03,916.09
18,2022-04-06,940.90,919.39
19,2022-04-05,944.74,917.70
20,2022-04-04,930.55,911.16
21,2022-04-01,932.21,907.12
22,2022-03-31,923.95,909.01
23,2022-03-30,926.84,917.88
24,2022-03-29,930.26,919.28
25,2022-03-28,941.23,915.80
26,2022-03-25,932.63,916.74
27,2022-03-24,932.46,908.86
28,2022-03-23,923.87,912.87
29,2022-03-22,920.18,898.14
30,2022-03-21,915.19,897.30
31,2022-03-18,915.45,900.13
32,2022-03-17,905.14,903.88
33,2022-03-16,909.01,893.47
34,2022-03-15,913.28,891.85
35,2022-03-14,916.11,898.79
36,2022-03-11,924.34,904.51
37,2022-03-10,918.22,903.10
38,2022-03-08,915.90,896.01
39,2022-03-07,926.86,891.30
40,2022-03-04,914.09,882.18
41,2022-03-03,899.08,878.99
42,2022-03-02,892.93,874.42
43,2022-02-28,883.10,862.94
44,2022-02-25,882.36,859.79
45,2022-02-24,881.50,861.59
46,2022-02-23,880.84,863.17
47,2022-02-22,877.33,858.26
48,2022-02-21,877.09,858.24
49,2022-02-18,879.90,860.18
50,2022-02-17,878.08,862.31
51,2022-02-16,876.01,857.47
52,2022-02-15,873.93,854.09
53,2022-02-14,865.14,855.97
54,2022-02-11,870.65,856.40
55,2022-02-10,876.50,858.55
56,2022-02-09,874.05,855.77
57,2022-02-08,871.11,854.51
58,2022-02-07,869.64,849.61
59,2022-02-04,868.91,860.96
60,2022-02-03,874.73,859.91
61,2022-01-28,865.14,846.43
62,2022-01-27,869.96,852.26
63,2022-01-26,874.30,857.21
64,2022-01-25,873.44,853.55
65,2022-01-24,873.45,856.95
66,2022-01-21,874.17,859.77
67,2022-01-20,877.19,859.23
68,2022-01-19,874.05,854.34
69,2022-01-18,873.68,859.53
70,2022-01-17,877.33,856.20
71,2022-01-14,882.00,865.13
72,2022-01-13,883.68,866.78
73,2022-01-12,875.88,862.10
74,2022-01-11,874.05,861.06
75,2022-01-10,877.59,863.02
76,2022-01-07,878.06,859.63
77,2022-01-06,878.78,864.56
78,2022-01-05,884.43,864.43
79,2022-01-04,879.18,856.66
80,2022-01-03,883.42,862.21
81,2021-12-31,881.58,858.89
82,2021-12-30,879.49,860.58
83,2021-12-29,875.59,857.57
84,2021-12-28,877.06,858.75
85,2021-12-27,874.50,858.06
86,2021-12-24,876.56,859.39
87,2021-12-23,875.85,859.21
88,2021-12-22,868.33,851.98
89,2021-12-21,866.03,845.89
90,2021-12-20,862.87,843.47
91,2021-12-17,866.74,849.52
92,2021-12-16,867.45,851.04
93,2021-12-15,862.15,840.47
94,2021-12-14,859.85,840.78
95,2021-12-13,860.81,844.47
96,2021-12-10,861.65,838.74
97,2021-12-09,859.56,843.01
98,2021-12-08,855.62,840.72
99,2021-12-07,852.96,834.21
100,2021-12-06,846.59,826.20
101,2021-12-03,850.69,834.76
102,2021-12-02,852.24,838.96
103,2021-12-01,859.35,846.53
104,2021-11-30,863.60,852.45
105,2021-11-29,868.33,851.15
106,2021-11-26,870.28,855.10
107,2021-11-25,873.43,855.42
108,2021-11-24,873.64,859.16
109,2021-11-23,874.39,857.96
110,2021-11-22,878.02,856.26
111,2021-11-19,879.32,859.46
112,2021-11-18,876.34,859.94
113,2021-11-17,878.15,860.87
114,2021-11-16,883.91,867.03
