,date,buy,standard
0,2022-05-02,3563.43,3356.14
1,2022-04-29,3539.48,3366.75
2,2022-04-28,3578.99,3350.04
3,2022-04-27,3557.75,3310.79
4,2022-04-26,3522.75,3307.61
5,2022-04-25,3514.16,3293.28
6,2022-04-22,3495.97,3279.23
7,2022-04-21,3476.24,3281.08
8,2022-04-20,3467.79,3275.25
9,2022-04-19,3481.98,3269.68
10,2022-04-18,3472.14,3262.52
11,2022-04-15,3453.72,3246.87
12,2022-04-14,3448.14,3256.15
13,2022-04-13,3451.01,3279.76
14,2022-04-12,3460.78,3267.56
15,2022-04-11,3465.09,3246.34
16,2022-04-08,3448.22,3231.75
17,2022-04-07,3429.87,3233.34
18,2022-04-06,3421.46,3216.10
19,2022-04-05,3410.20,3226.98
20,2022-04-04,3414.38,3225.39
21,2022-04-01,3421.39,3211.07
22,2022-03-31,3408.70,3211.33
23,2022-03-30,3400.37,3237.06
24,2022-03-29,3425.62,3250.85
25,2022-03-28,3445.31,3231.22
26,2022-03-25,3427.01,3234.14
27,2022-03-24,3441.15,3216.37
28,2022-03-23,3415.90,3239.44
29,2022-03-22,3421.36,3219.02
30,2022-03-21,3413.11,3212.13
31,2022-03-18,3418.60,3237.32
32,2022-03-17,3404.47,3289.84
33,2022-03-16,3469.25,3293.28
34,2022-03-15,3501.65,3285.06
35,2022-03-14,3480.48,3268.62
36,2022-03-11,3472.10,3258.81
37,2022-03-10,3452.38,3274.19
38,2022-03-08,3473.48,3250.05
39,2022-03-07,3450.97,3213.19
40,2022-03-04,3418.68,3192.23
41,2022-03-03,3393.38,3195.95
42,2022-03-02,3396.68,3197.54
43,2022-02-28,3382.27,3190.02
44,2022-02-25,3383.53,3181.09
45,2022-02-24,3383.48,3161.73
46,2022-02-23,3348.34,3168.63
47,2022-02-22,3355.31,3168.36
48,2022-02-21,3351.08,3173.14
49,2022-02-18,3359.53,3174.99
50,2022-02-17,3366.49,3174.46
51,2022-02-16,3363.80,3178.71
52,2022-02-15,3368.08,3178.18
53,2022-02-14,3365.09,3181.63
54,2022-02-11,3363.85,3172.08
55,2022-02-10,3362.44,3172.08
56,2022-02-09,3362.46,3176.85
57,2022-02-08,3369.46,3181.09
58,2022-02-07,3375.45,3181.70
59,2022-02-04,3369.41,3197.01
60,2022-02-03,3386.30,3197.80
61,2022-01-28,3404.68,3189.05
62,2022-01-27,3383.50,3174.73
63,2022-01-26,3367.29,3177.44
64,2022-01-25,3368.69,3167.89
65,2022-01-24,3364.54,3166.30
66,2022-01-21,3351.11,3157.22
67,2022-01-20,3344.13,3160.94
68,2022-01-19,3351.12,3153.25
69,2022-01-18,3349.66,3162.26
70,2022-01-17,3351.42,3150.05
71,2022-01-14,3338.53,3151.39
72,2022-01-13,3334.30,3155.90
73,2022-01-12,3352.55,3169.96
74,2022-01-11,3355.34,3182.69
75,2022-01-10,3369.47,3189.05
76,2022-01-07,3384.94,3181.63
77,2022-01-06,3387.69,3177.91
78,2022-01-05,3368.04,3167.57
79,2022-01-04,3362.38,3158.29
80,2022-01-03,3354.03,3144.23
81,2021-12-31,3348.37,3144.23
82,2021-12-30,3342.74,3147.15
83,2021-12-29,3337.12,3147.41
84,2021-12-28,3341.30,3146.09
85,2021-12-27,3338.49,3146.62
86,2021-12-24,3338.44,3149.53
87,2021-12-23,3339.90,3159.35
88,2021-12-22,3352.54,3160.14
89,2021-12-21,3354.06,3155.63
90,2021-12-20,3351.17,3141.31
91,2021-12-17,3332.87,3138.92
92,2021-12-16,3327.24,3146.09
93,2021-12-15,3332.90,3139.19
94,2021-12-14,3324.43,3126.46
95,2021-12-13,3323.03,3124.87
96,2021-12-10,3321.64,3113.20
97,2021-12-09,3307.64,3120.09
98,2021-12-08,3308.97,3132.82
99,2021-12-07,3313.22,3139.45
100,2021-12-06,3323.03,3125.93
101,2021-12-03,3323.03,3122.48
102,2021-12-02,3303.41,3130.44
103,2021-12-01,3317.39,3150.06
104,2021-11-30,3346.92,3165.18
105,2021-11-29,3353.92,3164.12
106,2021-11-26,3361.06,3155.37
107,2021-11-25,3345.92,3152.52
108,2021-11-24,3335.98,3153.58
109,2021-11-23,3341.69,3149.60
110,2021-11-22,3338.85,3139.26
111,2021-11-19,3334.63,3131.30
112,2021-11-18,3320.54,3139.52
113,2021-11-17,3320.54,3128.91
114,2021-11-16,3319.09,3130.50
115,2021-11-15,3314.89,3128.91
116,2021-11-12,3313.53,3142.44
117,2021-11-11,3326.11,3132.54
118,2021-11-10,3310.74,3125.73
119,2021-11-09,3309.32,3141.38
120,2021-11-08,3326.21,3143.77
121,2021-11-05,3331.82,3129.97
122,2021-11-04,3326.31,3132.89
123,2021-11-03,3320.57,3118.04
124,2021-11-02,3306.48,3120.16
125,2021-11-01,3312.25,3102.39
126,2021-10-29,3292.54,3107.96
127,2021-10-28,3289.63,3098.41
128,2021-10-27,3299.50,3093.63
129,2021-10-26,3279.84,3108.22
130,2021-10-25,3283.97,3125.73
131,2021-10-22,3303.65,3118.83
132,2021-10-21,3310.76,3118.30
133,2021-10-20,3303.79,3134.48
134,2021-10-19,3312.13,3145.36
135,2021-10-18,3338.87,3137.40
136,2021-10-15,3324.81,3151.99
137,2021-10-14,3333.20,3169.76
138,2021-10-13,3350.06,3180.64
139,2021-10-12,3369.85,3165.52
140,2021-10-08,3362.80,3157.29
141,2021-10-07,3347.28,3156.50
142,2021-10-06,3362.88,3148.81
143,2021-10-05,3337.51,3149.07
144,2021-10-01,3337.45,3143.77
145,2021-09-30,3331.84,3142.97
146,2021-09-29,3328.99,3135.28
147,2021-09-28,3334.97,3119.35
148,2021-09-27,3321.24,3118.09
149,2021-09-24,3309.38,3134.48
150,2021-09-23,3295.25,3123.61
151,2021-09-17,3310.79,3101.06
152,2021-09-16,3298.11,3107.96
153,2021-09-15,3285.42,3109.28
154,2021-09-14,3292.43,3114.85
155,2021-09-13,3304.31,3105.09
156,2021-09-10,3279.86,3103.71
157,2021-09-09,3285.47,3088.86
158,2021-09-08,3281.20,3071.35
159,2021-09-07,3265.77,3069.76
160,2021-09-06,3253.14,3067.37
161,2021-09-03,3253.08,3076.13
162,2021-09-02,3258.72,3070.29
163,2021-09-01,3260.12,3084.35
164,2021-08-31,3254.41,3088.59
165,2021-08-30,3272.83,3105.57
166,2021-08-27,3289.67,3098.41
167,2021-08-26,3292.52,3094.16
168,2021-08-25,3281.23,3098.14
169,2021-08-24,3282.59,3114.06
170,2021-08-23,3295.20,3121.22
171,2021-08-20,3329.05,3115.38
172,2021-08-19,3309.44,3110.61
173,2021-08-18,3291.06,3116.45
174,2021-08-17,3302.36,3097.61
175,2021-08-13,3286.89,3074.01
176,2021-08-12,3268.65,3063.66
177,2021-08-11,3256.01,3046.42
178,2021-08-10,3234.91,3037.14
179,2021-08-09,3222.17,3029.97
180,2021-08-06,3213.75,3033.16
181,2021-08-05,3216.55,3039.26
182,2021-08-04,3216.49,3052.25
183,2021-08-03,3227.77,3054.38
184,2021-08-02,3236.25,3043.77
185,2021-07-30,3226.43,3043.50
186,2021-07-29,3223.60,3063.13
187,2021-07-28,3244.67,3050.93
188,2021-07-27,3244.62,3058.89
189,2021-07-26,3247.49,3049.07
190,2021-07-23,3234.80,3053.05
191,2021-07-22,3232.00,3051.99
192,2021-07-21,3246.18,3053.05
193,2021-07-20,3230.53,3038.99
194,2021-07-19,3236.33,3026.79
195,2021-07-16,3208.09,3033.69
196,2021-07-15,3211.00,3051.19
197,2021-07-14,3233.43,3037.40
198,2021-07-13,3219.33,3040.85
199,2021-07-12,3227.79,3045.89
200,2021-07-09,3229.26,3032.89
201,2021-07-08,3229.22,3017.51
202,2021-07-07,3199.74,3002.12
203,2021-07-06,3184.18,2998.14
204,2021-07-05,3178.54,3009.28
205,2021-07-02,3194.06,3003.18
206,2021-07-01,3185.66,2996.02
207,2021-06-30,3175.68,2997.35
208,2021-06-29,3180.01,2997.08
209,2021-06-28,3180.03,2994.16
210,2021-06-25,3171.56,3012.73
211,2021-06-24,3187.02,3012.20
212,2021-06-23,3195.48,3003.71
213,2021-06-22,3191.25,3011.67
214,2021-06-21,3186.97,3003.18
215,2021-06-18,3178.54,2996.02
216,2021-06-17,3182.79,2964.72
217,2021-06-16,3143.43,2964.99
218,2021-06-15,3143.45,2961.27
219,2021-06-14,3146.20,2947.48
220,2021-06-11,3128.01,2957.56
221,2021-06-10,3136.41,2959.68
222,2021-06-09,3130.74,2954.11
223,2021-06-08,3135.01,2947.48
224,2021-06-07,3126.63,2964.19
225,2021-06-04,3136.44,2949.07
226,2021-06-03,3132.19,2945.09
227,2021-06-02,3129.36,2936.34
228,2021-06-01,3112.52,2953.58
229,2021-05-31,3120.89,2960.21
230,2021-05-28,3133.59,2965.52
231,2021-05-27,3140.66,2967.11
232,2021-05-26,3141.97,2978.25
233,2021-05-25,3156.16,2990.98
234,2021-05-24,3168.73,2989.12
235,2021-05-21,3172.94,3003.18
236,2021-05-20,3184.13,3005.57
237,2021-05-18,3172.98,3005.31
238,2021-05-17,3191.26,2996.02
239,2021-05-14,3171.60,2998.94
240,2021-05-13,3184.17,2980.11
241,2021-05-12,3164.57,2968.44
242,2021-05-11,3144.85,2956.50
243,2021-05-10,3133.60,2974.54
244,2021-05-07,3150.46,2985.41
245,2021-05-06,3163.13,2973.74
246,2021-05-04,3161.74,2968.97
247,2021-05-03,3154.75,2943.24
248,2021-04-30,3129.37,2937.40
249,2021-04-29,3118.11,2950.93
250,2021-04-28,3129.42,2946.42
251,2021-04-27,3128.03,2954.91
252,2021-04-26,3125.18,2967.90
253,2021-04-23,3139.21,2961.01
254,2021-04-22,3144.81,2963.93
255,2021-04-21,3146.22,2953.32
256,2021-04-20,3129.30,2966.05
257,2021-04-19,3135.01,2965.25
258,2021-04-16,3133.57,2964.46
259,2021-04-15,3136.45,2970.56
260,2021-04-14,3130.71,2987.00
261,2021-04-13,3158.91,2982.23
262,2021-04-12,3163.18,2963.40
263,2021-04-09,3149.09,2966.84
264,2021-04-08,3139.19,2961.27
265,2021-04-07,3143.45,2978.51
266,2021-04-06,3151.85,2991.51
267,2021-04-05,3171.59,2990.72
268,2021-04-02,3171.57,2995.49
269,2021-04-01,3182.85,3004.24
270,2021-03-31,3175.70,3006.63
271,2021-03-30,3189.88,3001.86
272,2021-03-29,3187.10,3002.12
273,2021-03-26,3175.04,3007.85
274,2021-03-25,3187.81,3006.07
275,2021-03-24,3180.97,2991.65
276,2021-03-23,3173.93,3000.32
277,2021-03-22,3171.30,3001.80
278,2021-03-19,3176.92,2980.32
279,2021-03-18,3164.34,3001.88
280,2021-03-17,3174.24,3003.82
281,2021-03-16,3182.54,3012.76
282,2021-03-15,3187.44,2998.25
283,2021-03-12,3194.88,3016.15
284,2021-03-11,3178.80,3024.61
285,2021-03-10,3208.07,3025.43
286,2021-03-09,3198.17,2999.36
287,2021-03-08,3190.15,2994.72
288,2021-03-05,3172.97,2986.00
289,2021-03-04,3159.89,2976.78
290,2021-03-03,3155.24,2973.48
291,2021-03-02,3159.58,2974.89
292,2021-02-26,3157.01,2939.59
293,2021-02-25,3117.80,2944.44
294,2021-02-24,3113.70,2945.95
295,2021-02-23,3124.68,2934.55
296,2021-02-22,3134.52,2936.06
297,2021-02-19,3102.13,2932.42
298,2021-02-18,3112.31,2937.96
299,2021-02-17,3109.44,2916.74
300,2021-02-16,3098.30,2925.84
301,2021-02-15,3099.77,2944.48
302,2021-02-10,3106.76,2960.13
303,2021-02-09,3134.82,2968.28
304,2021-02-08,3151.82,2981.35
305,2021-02-05,3157.35,2961.91
306,2021-02-04,3144.68,2954.75
307,2021-02-03,3134.78,2961.57
308,2021-02-02,3137.60,2965.36
309,2021-02-01,3146.22,2963.32
310,2021-01-29,3141.97,2956.42
311,2021-01-28,3147.69,2928.38
312,2021-01-27,3106.99,2925.81
313,2021-01-26,3109.73,2926.26
314,2021-01-25,3099.75,2923.80
315,2021-01-22,3106.84,2915.57
316,2021-01-21,3092.78,2917.69
317,2021-01-20,3096.95,2923.26
318,2021-01-19,3103.97,2929.37
319,2021-01-18,3112.47,2912.20
320,2021-01-15,3093.03,2918.72
321,2021-01-14,3085.81,2904.51
322,2021-01-13,3084.47,2917.58
323,2021-01-12,3090.09,2912.01
324,2021-01-11,3084.40,2902.92
325,2021-01-08,3070.42,2885.22
326,2021-01-07,3060.50,2882.76
327,2021-01-06,3056.25,2880.90
328,2021-01-05,3063.30,2872.94
329,2021-01-04,3046.27,2885.79
330,2020-12-31,3056.03,2885.71
331,2020-12-30,3057.33,2899.43
332,2020-12-29,3077.05,2912.69
333,2020-12-28,3082.69,2927.35
334,2020-12-24,3100.92,2941.07
335,2020-12-23,3112.14,2934.97
336,2020-12-22,3113.43,2920.49
337,2020-12-21,3103.59,2911.74
338,2020-12-18,3088.23,2898.29
339,2020-12-17,3074.14,2896.70
340,2020-12-16,3065.58,2899.20
341,2020-12-15,3076.93,2892.99
342,2020-12-14,3067.13,2889.01
343,2020-12-11,3069.97,2880.79
344,2020-12-10,3061.35,2873.74
345,2020-12-09,3051.63,2876.01
