,date,buy,standard
0,2022-05-02,952.53,914.77
1,2022-04-29,944.11,915.31
2,2022-04-28,958.63,914.66
3,2022-04-27,954.60,905.39
4,2022-04-26,948.35,907.61
5,2022-04-25,948.84,906.25
6,2022-04-22,947.52,905.89
7,2022-04-21,943.31,907.46
8,2022-04-20,937.97,902.94
9,2022-04-19,945.81,905.31
10,2022-04-18,945.97,906.02
11,2022-04-15,942.33,902.90
12,2022-04-14,936.29,901.13
13,2022-04-13,936.00,906.66
14,2022-04-12,937.70,902.43
15,2022-04-11,940.62,898.25
16,2022-04-08,936.74,894.87
17,2022-04-07,932.69,896.17
18,2022-04-06,931.14,892.14
19,2022-04-05,929.91,896.91
20,2022-04-04,930.89,896.27
21,2022-04-01,934.15,893.51
22,2022-03-31,932.33,895.13
23,2022-03-30,927.44,899.87
24,2022-03-29,931.25,900.69
25,2022-03-28,938.22,896.83
26,2022-03-25,933.87,898.30
27,2022-03-24,937.36,893.04
28,2022-03-23,931.34,900.31
29,2022-03-22,932.04,893.77
30,2022-03-21,931.08,893.21
31,2022-03-18,934.22,901.68
32,2022-03-17,926.72,912.70
33,2022-03-16,939.81,909.30
34,2022-03-15,947.82,906.34
35,2022-03-14,944.35,903.92
36,2022-03-11,945.12,904.15
37,2022-03-10,940.12,908.72
38,2022-03-08,943.26,899.57
39,2022-03-07,938.34,890.45
40,2022-03-04,931.90,886.92
41,2022-03-03,926.78,889.69
42,2022-03-02,926.22,888.66
43,2022-02-28,920.17,884.63
44,2022-02-25,924.19,885.66
45,2022-02-24,929.64,885.40
46,2022-02-23,920.96,888.29
47,2022-02-22,921.61,886.96
48,2022-02-21,920.66,888.46
49,2022-02-18,925.11,891.06
50,2022-02-17,927.63,891.41
51,2022-02-16,925.30,891.21
52,2022-02-15,924.84,889.54
53,2022-02-14,924.49,890.77
54,2022-02-11,924.79,888.92
55,2022-02-10,926.92,891.31
56,2022-02-09,924.59,890.43
57,2022-02-08,927.27,892.31
58,2022-02-07,928.07,891.66
59,2022-02-04,927.48,896.94
60,2022-02-03,930.07,895.20
61,2022-01-28,930.91,888.79
62,2022-01-27,928.55,888.02
63,2022-01-26,926.27,890.92
64,2022-01-25,925.86,887.45
65,2022-01-24,925.23,887.60
66,2022-01-21,920.22,883.64
67,2022-01-20,917.76,884.16
68,2022-01-19,917.58,879.98
69,2022-01-18,918.97,884.17
70,2022-01-17,919.21,880.58
71,2022-01-14,917.17,882.44
72,2022-01-13,916.53,884.19
73,2022-01-12,918.32,884.97
74,2022-01-11,915.22,884.83
75,2022-01-10,919.16,886.73
76,2022-01-07,920.14,881.51
77,2022-01-06,922.97,882.49
78,2022-01-05,918.86,880.82
79,2022-01-04,918.48,879.31
80,2022-01-03,920.18,879.26
81,2021-12-31,916.45,877.14
82,2021-12-30,914.70,877.73
83,2021-12-29,911.38,876.15
84,2021-12-28,911.30,874.55
85,2021-12-27,908.79,873.03
86,2021-12-24,909.12,874.13
87,2021-12-23,907.31,874.76
88,2021-12-22,909.10,873.37
89,2021-12-21,907.69,870.47
90,2021-12-20,907.04,866.58
91,2021-12-17,904.35,868.08
92,2021-12-16,901.33,868.66
93,2021-12-15,899.97,863.97
94,2021-12-14,898.88,861.60
95,2021-12-13,901.46,864.00
96,2021-12-10,900.25,859.99
97,2021-12-09,898.32,863.73
98,2021-12-08,896.20,864.78
99,2021-12-07,895.29,864.74
100,2021-12-06,896.17,859.23
101,2021-12-03,897.90,859.85
102,2021-12-02,895.28,864.78
103,2021-12-01,899.41,870.49
104,2021-11-30,904.54,871.89
105,2021-11-29,905.63,870.77
106,2021-11-26,908.58,869.44
107,2021-11-25,904.34,868.50
108,2021-11-24,903.57,870.57
109,2021-11-23,905.56,869.95
110,2021-11-22,906.57,868.78
111,2021-11-19,909.15,870.13
112,2021-11-18,906.07,873.12
113,2021-11-17,905.00,869.17
114,2021-11-16,906.82,871.70
115,2021-11-15,906.72,872.26
116,2021-11-12,904.80,874.54
117,2021-11-11,909.38,872.94
118,2021-11-10,908.82,874.54
119,2021-11-09,908.36,878.85
120,2021-11-08,911.17,877.76
121,2021-11-05,912.11,873.33
122,2021-11-04,912.78,876.35
123,2021-11-03,910.31,871.22
124,2021-11-02,907.21,872.53
125,2021-11-01,907.71,866.66
126,2021-10-29,905.90,871.64
127,2021-10-28,902.24,866.13
128,2021-10-27,905.72,865.56
129,2021-10-26,900.12,869.45
130,2021-10-25,901.03,874.09
131,2021-10-22,906.85,872.55
132,2021-10-21,911.64,875.19
133,2021-10-20,908.45,878.55
134,2021-10-19,907.99,878.86
135,2021-10-18,916.02,877.29
136,2021-10-15,911.89,881.14
137,2021-10-14,912.39,884.30
138,2021-10-13,913.15,883.61
139,2021-10-12,919.27,880.22
140,2021-10-08,915.68,876.32
141,2021-10-07,911.14,875.74
142,2021-10-06,916.46,874.70
143,2021-10-05,909.76,874.97
144,2021-10-01,908.96,872.72
145,2021-09-30,904.98,870.13
146,2021-09-29,907.17,870.78
147,2021-09-28,910.87,868.40
148,2021-09-27,907.20,868.12
149,2021-09-24,907.77,876.40
150,2021-09-23,900.51,870.01
151,2021-09-17,910.20,868.99
152,2021-09-16,909.93,873.98
153,2021-09-15,904.39,872.37
154,2021-09-14,907.29,874.84
155,2021-09-13,910.35,871.90
156,2021-09-10,903.33,871.32
157,2021-09-09,902.76,865.09
158,2021-09-08,901.75,860.28
159,2021-09-07,900.04,862.31
160,2021-09-06,897.09,862.18
161,2021-09-03,896.52,864.03
162,2021-09-02,896.39,860.79
163,2021-09-01,896.77,864.73
164,2021-08-31,894.85,865.50
165,2021-08-30,899.44,869.93
166,2021-08-27,898.51,862.61
167,2021-08-26,900.23,862.29
168,2021-08-25,895.87,862.15
169,2021-08-24,895.28,865.62
170,2021-08-23,894.56,863.54
171,2021-08-20,902.32,860.63
172,2021-08-19,899.66,861.93
173,2021-08-18,893.51,862.41
174,2021-08-17,900.96,861.34
175,2021-08-13,895.33,853.45
176,2021-08-12,891.00,851.24
177,2021-08-11,885.61,844.61
178,2021-08-10,881.33,843.43
179,2021-08-09,879.20,842.68
180,2021-08-06,879.95,846.47
181,2021-08-05,880.58,848.08
182,2021-08-04,880.58,851.68
183,2021-08-03,882.29,850.95
184,2021-08-02,883.59,847.02
185,2021-07-30,882.46,848.45
186,2021-07-29,878.76,851.15
187,2021-07-28,882.23,845.52
188,2021-07-27,883.58,848.97
189,2021-07-26,883.26,845.25
190,2021-07-23,880.50,847.01
191,2021-07-22,876.72,843.80
192,2021-07-21,878.72,842.39
193,2021-07-20,875.96,839.83
194,2021-07-19,882.27,841.08
195,2021-07-16,876.14,844.43
196,2021-07-15,877.64,850.09
197,2021-07-14,882.35,844.81
198,2021-07-13,881.00,848.15
199,2021-07-12,883.60,849.81
200,2021-07-09,882.93,845.24
201,2021-07-08,885.56,843.39
202,2021-07-07,878.06,839.74
203,2021-07-06,875.90,840.56
204,2021-07-05,872.58,841.96
205,2021-07-02,875.61,839.13
206,2021-07-01,875.97,839.71
207,2021-06-30,873.25,839.96
208,2021-06-29,875.97,841.48
209,2021-06-28,876.03,840.73
210,2021-06-25,873.75,845.97
211,2021-06-24,876.09,843.97
212,2021-06-23,879.27,842.40
213,2021-06-22,879.03,845.52
214,2021-06-21,876.53,841.82
215,2021-06-18,876.16,841.69
216,2021-06-17,881.30,836.70
217,2021-06-16,875.95,842.13
218,2021-06-15,876.43,841.52
219,2021-06-14,877.59,838.01
220,2021-06-11,874.22,842.46
221,2021-06-10,875.66,842.21
222,2021-06-09,874.49,841.04
223,2021-06-08,876.48,839.91
224,2021-06-07,873.46,843.97
225,2021-06-04,873.64,837.23
226,2021-06-03,875.98,839.51
227,2021-06-02,875.06,836.92
228,2021-06-01,871.46,842.89
229,2021-05-31,872.56,843.57
230,2021-05-28,875.06,844.06
231,2021-05-27,876.72,844.19
232,2021-05-26,876.87,847.20
233,2021-05-25,879.09,849.06
234,2021-05-24,880.22,846.31
235,2021-05-21,881.90,850.80
236,2021-05-20,882.32,848.76
237,2021-05-18,878.76,848.34
238,2021-05-17,885.69,847.46
239,2021-05-14,879.66,847.81
240,2021-05-13,883.17,842.42
241,2021-05-12,882.80,844.00
242,2021-05-11,877.01,840.35
243,2021-05-10,875.26,846.82
244,2021-05-07,874.00,844.11
245,2021-05-06,876.09,839.49
246,2021-05-04,879.62,841.86
247,2021-05-03,877.41,834.29
248,2021-04-30,872.65,834.89
249,2021-04-29,870.66,839.84
250,2021-04-28,872.87,837.61
251,2021-04-27,872.89,840.41
252,2021-04-26,870.77,842.83
253,2021-04-23,873.45,839.73
254,2021-04-22,875.45,841.00
255,2021-04-21,875.53,837.68
256,2021-04-20,870.15,840.69
257,2021-04-19,868.71,837.47
258,2021-04-16,868.46,837.34
259,2021-04-15,868.29,838.22
260,2021-04-14,863.59,839.72
261,2021-04-13,871.50,838.59
262,2021-04-12,872.14,832.83
263,2021-04-09,869.13,834.61
264,2021-04-08,866.02,832.61
265,2021-04-07,868.24,838.52
266,2021-04-06,869.20,840.83
267,2021-04-05,871.31,837.45
268,2021-04-02,871.85,839.29
269,2021-04-01,875.20,842.02
270,2021-03-31,871.57,840.97
271,2021-03-30,874.95,839.26
272,2021-03-29,875.72,840.83
273,2021-03-26,871.28,841.24
274,2021-03-25,875.86,841.78
275,2021-03-24,874.70,838.44
276,2021-03-23,876.14,844.22
277,2021-03-22,872.80,842.14
278,2021-03-19,874.19,835.93
279,2021-03-18,873.69,844.85
280,2021-03-17,872.97,842.04
281,2021-03-16,875.14,844.38
282,2021-03-15,876.70,840.58
283,2021-03-12,882.35,849.02
284,2021-03-11,875.61,849.15
285,2021-03-10,883.62,849.32
286,2021-03-09,875.95,837.32
287,2021-03-08,879.09,841.11
288,2021-03-05,877.69,841.80
289,2021-03-04,877.63,842.67
290,2021-03-03,877.95,843.30
291,2021-03-02,880.68,845.14
292,2021-02-26,881.07,836.18
293,2021-02-25,874.39,841.60
294,2021-02-24,872.82,841.67
295,2021-02-23,874.84,837.40
296,2021-02-22,876.00,836.27
297,2021-02-19,865.12,833.55
298,2021-02-18,866.68,833.83
299,2021-02-17,865.55,827.53
300,2021-02-16,866.44,833.94
301,2021-02-15,864.60,837.08
302,2021-02-10,866.49,841.50
303,2021-02-09,869.81,839.47
304,2021-02-08,873.68,842.36
305,2021-02-05,873.61,835.32
306,2021-02-04,872.77,835.83
307,2021-02-03,870.64,838.35
308,2021-02-02,871.18,839.24
309,2021-02-01,875.38,840.32
310,2021-01-29,874.62,838.80
311,2021-01-28,876.14,830.76
312,2021-01-27,867.40,832.52
313,2021-01-26,866.45,831.00
314,2021-01-25,863.99,830.64
