,date,buy,standard
0,2022-05-02,282.82,254.48
1,2022-04-29,282.99,257.02
2,2022-04-28,284.60,254.42
3,2022-04-27,280.98,249.70
4,2022-04-26,285.08,255.67
5,2022-04-25,289.36,258.96
6,2022-04-22,298.61,267.47
7,2022-04-21,296.92,267.63
8,2022-04-20,293.41,264.64
9,2022-04-19,295.41,264.92
10,2022-04-18,291.78,261.88
11,2022-04-15,289.98,260.33
12,2022-04-14,290.19,261.68
13,2022-04-13,291.40,264.53
14,2022-04-12,290.96,262.37
15,2022-04-11,291.21,260.62
16,2022-04-08,286.39,256.34
17,2022-04-07,287.13,258.47
18,2022-04-06,290.35,260.65
19,2022-04-05,292.97,264.79
20,2022-04-04,289.41,261.04
21,2022-04-01,285.02,255.45
22,2022-03-31,282.10,253.79
23,2022-03-30,282.20,256.53
24,2022-03-29,283.79,257.19
25,2022-03-28,286.76,256.85
26,2022-03-25,280.29,252.60
27,2022-03-24,281.52,251.30
28,2022-03-23,274.63,248.72
29,2022-03-22,273.65,245.86
30,2022-03-21,268.22,241.06
31,2022-03-18,267.79,242.16
32,2022-03-17,264.67,244.29
33,2022-03-16,265.22,240.45
34,2022-03-15,269.89,241.78
35,2022-03-14,270.78,242.84
36,2022-03-11,273.54,245.18
37,2022-03-10,271.92,246.27
38,2022-03-08,268.30,239.71
39,2022-03-07,269.16,239.31
40,2022-03-04,268.22,239.17
41,2022-03-03,262.71,236.27
42,2022-03-02,259.88,233.62
43,2022-02-28,258.59,232.91
44,2022-02-25,260.72,234.09
45,2022-02-24,266.63,237.93
46,2022-02-23,261.32,236.17
47,2022-02-22,259.57,234.06
48,2022-02-21,257.52,232.88
49,2022-02-18,256.42,231.44
50,2022-02-17,258.75,233.00
51,2022-02-16,257.40,232.29
52,2022-02-15,255.00,229.76
53,2022-02-14,252.91,228.36
54,2022-02-11,252.95,227.81
55,2022-02-10,253.56,228.43
56,2022-02-09,252.39,227.73
57,2022-02-08,252.70,227.85
58,2022-02-07,250.19,225.22
59,2022-02-04,251.70,228.11
60,2022-02-03,254.07,229.11
61,2022-01-28,248.59,222.38
62,2022-01-27,245.90,220.32
63,2022-01-26,244.16,220.01
64,2022-01-25,242.24,217.60
65,2022-01-24,243.64,218.90
66,2022-01-21,244.13,219.65
67,2022-01-20,242.79,219.13
68,2022-01-19,237.69,213.56
69,2022-01-18,239.71,216.11
70,2022-01-17,239.01,214.57
71,2022-01-14,238.37,214.90
72,2022-01-13,237.87,215.00
73,2022-01-12,237.73,214.61
74,2022-01-11,233.88,211.87
75,2022-01-10,236.14,213.42
76,2022-01-07,235.08,211.05
77,2022-01-06,234.24,209.87
78,2022-01-05,234.23,210.36
79,2022-01-04,233.61,209.56
80,2022-01-03,237.71,212.79
81,2021-12-31,237.28,212.78
82,2021-12-30,231.47,208.04
83,2021-12-29,234.09,210.83
84,2021-12-28,234.52,210.87
85,2021-12-27,232.30,209.05
86,2021-12-24,232.24,209.24
87,2021-12-23,233.18,210.66
88,2021-12-22,230.30,207.38
89,2021-12-21,230.62,207.19
90,2021-12-20,232.31,207.93
91,2021-12-17,231.35,208.04
92,2021-12-16,231.30,208.81
93,2021-12-15,231.62,208.31
94,2021-12-14,231.06,207.51
95,2021-12-13,233.71,209.90
96,2021-12-10,235.29,210.62
97,2021-12-09,236.00,212.61
98,2021-12-08,232.80,210.43
99,2021-12-07,229.86,208.05
100,2021-12-06,232.02,208.48
101,2021-12-03,232.41,208.50
102,2021-12-02,228.88,207.22
103,2021-12-01,232.83,211.17
104,2021-11-30,235.86,213.02
105,2021-11-29,236.04,212.66
106,2021-11-26,238.43,213.71
107,2021-11-25,235.55,211.98
108,2021-11-24,236.40,213.38
109,2021-11-23,236.17,212.53
110,2021-11-22,234.84,210.82
111,2021-11-19,236.91,212.39
112,2021-11-18,237.11,214.05
113,2021-11-17,238.21,214.34
114,2021-11-16,240.05,216.24
115,2021-11-15,239.82,216.16
116,2021-11-12,242.26,219.42
117,2021-11-11,239.13,215.06
118,2021-11-10,238.47,215.00
119,2021-11-09,235.63,213.60
120,2021-11-08,236.89,213.81
121,2021-11-05,234.76,210.60
122,2021-11-04,236.50,212.68
123,2021-11-03,230.84,206.95
124,2021-11-02,229.74,207.09
125,2021-11-01,232.01,207.46
126,2021-10-29,230.15,207.51
127,2021-10-28,234.57,210.97
128,2021-10-27,233.96,209.51
129,2021-10-26,233.11,210.92
130,2021-10-25,229.40,208.55
131,2021-10-22,230.38,207.77
132,2021-10-21,233.49,210.01
133,2021-10-20,233.51,211.58
134,2021-10-19,237.12,215.10
135,2021-10-18,241.29,216.57
136,2021-10-15,238.05,215.51
137,2021-10-14,238.59,216.73
138,2021-10-13,239.06,216.72
139,2021-10-12,240.29,215.53
140,2021-10-08,240.53,215.68
141,2021-10-07,240.54,216.61
142,2021-10-06,242.40,216.74
143,2021-10-05,241.59,217.63
144,2021-10-01,242.06,217.74
145,2021-09-30,242.85,218.79
146,2021-09-29,242.00,217.71
147,2021-09-28,244.18,218.08
148,2021-09-27,245.58,220.16
149,2021-09-24,246.40,222.80
150,2021-09-23,245.95,222.64
151,2021-09-17,248.68,222.40
152,2021-09-16,249.30,224.32
153,2021-09-15,247.49,223.69
154,2021-09-14,249.23,225.19
155,2021-09-13,248.58,223.09
156,2021-09-10,249.07,225.10
157,2021-09-09,243.71,218.80
158,2021-09-08,250.56,223.94
159,2021-09-07,249.33,223.81
160,2021-09-06,247.33,222.71
161,2021-09-03,247.77,223.75
162,2021-09-02,248.09,223.18
163,2021-09-01,249.88,225.75
164,2021-08-31,247.77,224.59
165,2021-08-30,248.46,225.13
166,2021-08-27,247.19,222.36
167,2021-08-26,249.40,223.77
168,2021-08-25,246.90,222.61
169,2021-08-24,240.75,218.15
170,2021-08-23,241.85,218.80
171,2021-08-20,242.69,216.88
172,2021-08-19,242.90,217.96
173,2021-08-18,245.28,221.84
174,2021-08-17,247.87,221.97
175,2021-08-13,247.01,220.58
176,2021-08-12,247.28,221.28
177,2021-08-11,247.71,221.30
178,2021-08-10,244.04,218.78
