,date,buy,standard
0,2022-05-02,33.90,31.38
1,2022-04-29,33.68,31.45
2,2022-04-28,33.99,31.31
3,2022-04-27,33.87,30.94
4,2022-04-26,33.54,30.95
5,2022-04-25,33.50,30.83
6,2022-04-22,33.30,30.66
7,2022-04-21,33.09,30.66
8,2022-04-20,33.03,30.60
9,2022-04-19,33.13,30.58
10,2022-04-18,32.99,30.49
11,2022-04-15,32.87,30.33
12,2022-04-14,32.76,30.43
13,2022-04-13,32.76,30.65
14,2022-04-12,32.98,30.53
15,2022-04-11,32.85,30.33
16,2022-04-08,32.83,30.20
17,2022-04-07,32.62,30.18
18,2022-04-06,32.51,30.02
19,2022-04-05,32.40,30.11
20,2022-04-04,32.52,30.09
21,2022-04-01,32.65,29.97
22,2022-03-31,32.47,30.01
23,2022-03-30,32.31,30.21
24,2022-03-29,32.59,30.34
25,2022-03-28,32.81,30.16
26,2022-03-25,32.67,30.18
27,2022-03-24,32.77,30.04
28,2022-03-23,32.49,30.27
29,2022-03-22,32.59,30.12
30,2022-03-21,32.49,30.08
31,2022-03-18,32.57,30.34
32,2022-03-17,32.59,30.83
33,2022-03-16,33.08,30.81
34,2022-03-15,33.24,30.66
35,2022-03-14,32.94,30.40
36,2022-03-11,33.00,30.37
37,2022-03-10,32.74,30.50
38,2022-03-08,32.95,30.26
39,2022-03-07,32.65,29.89
40,2022-03-04,32.33,29.68
41,2022-03-03,32.14,29.74
42,2022-03-02,32.19,29.73
43,2022-02-28,32.01,29.65
44,2022-02-25,32.07,29.58
45,2022-02-24,32.01,29.39
46,2022-02-23,31.66,29.46
47,2022-02-22,31.75,29.45
48,2022-02-21,31.78,29.49
49,2022-02-18,31.82,29.51
50,2022-02-17,31.91,29.50
51,2022-02-16,31.83,29.54
52,2022-02-15,31.87,29.54
53,2022-02-14,31.90,29.56
54,2022-02-11,31.87,29.47
55,2022-02-10,31.76,29.47
56,2022-02-09,31.81,29.51
57,2022-02-08,31.93,29.59
58,2022-02-07,31.95,29.57
59,2022-02-04,31.91,29.73
60,2022-02-03,32.08,29.72
61,2022-01-28,32.23,29.64
62,2022-01-27,31.98,29.50
63,2022-01-26,31.83,29.51
64,2022-01-25,31.89,29.42
65,2022-01-24,31.74,29.34
66,2022-01-21,31.68,29.31
67,2022-01-20,31.52,29.30
68,2022-01-19,31.65,29.24
69,2022-01-18,31.68,29.34
70,2022-01-17,31.68,29.22
71,2022-01-14,31.53,29.22
72,2022-01-13,31.50,29.28
73,2022-01-12,31.61,29.39
74,2022-01-11,31.73,29.52
75,2022-01-10,31.80,29.56
76,2022-01-07,32.02,29.51
77,2022-01-06,32.05,29.48
78,2022-01-05,31.83,29.40
79,2022-01-04,31.79,29.29
80,2022-01-03,31.68,29.17
81,2021-12-31,31.67,29.19
82,2021-12-30,31.52,29.21
83,2021-12-29,31.54,29.21
84,2021-12-28,31.59,29.20
85,2021-12-27,31.54,29.22
86,2021-12-24,31.56,29.22
87,2021-12-23,31.57,29.31
88,2021-12-22,31.63,29.31
89,2021-12-21,31.65,29.28
90,2021-12-20,31.65,29.15
91,2021-12-17,31.46,29.12
92,2021-12-16,31.41,29.20
93,2021-12-15,31.49,29.14
94,2021-12-14,31.38,28.98
95,2021-12-13,31.40,28.96
96,2021-12-10,31.39,28.87
97,2021-12-09,31.30,29.00
98,2021-12-08,31.24,29.08
99,2021-12-07,31.41,29.17
100,2021-12-06,31.48,29.01
101,2021-12-03,31.36,28.98
102,2021-12-02,31.38,29.10
103,2021-12-01,31.43,29.26
104,2021-11-30,31.63,29.35
105,2021-11-29,31.75,29.38
106,2021-11-26,31.74,29.32
107,2021-11-25,31.69,29.28
108,2021-11-24,31.56,29.30
109,2021-11-23,31.59,29.27
110,2021-11-22,31.49,29.09
111,2021-11-19,31.48,29.09
112,2021-11-18,31.41,29.18
113,2021-11-17,31.51,29.13
114,2021-11-16,31.35,29.01
115,2021-11-15,31.36,29.05
116,2021-11-12,31.36,29.17
117,2021-11-11,31.43,29.07
118,2021-11-10,31.27,28.99
119,2021-11-09,31.29,29.14
120,2021-11-08,31.44,29.18
121,2021-11-05,31.51,29.06
122,2021-11-04,31.39,29.09
123,2021-11-03,31.34,28.94
124,2021-11-02,31.33,28.96
125,2021-11-01,31.28,28.84
126,2021-10-29,31.12,28.80
127,2021-10-28,31.09,28.74
128,2021-10-27,31.23,28.73
129,2021-10-26,30.97,28.85
130,2021-10-25,31.07,28.98
131,2021-10-22,31.28,28.90
132,2021-10-21,31.26,28.92
133,2021-10-20,31.25,29.09
134,2021-10-19,31.41,29.16
135,2021-10-18,31.55,29.08
136,2021-10-15,31.42,29.25
137,2021-10-14,31.54,29.40
138,2021-10-13,31.65,29.50
139,2021-10-12,31.78,29.34
140,2021-10-08,31.66,29.20
141,2021-10-07,31.56,29.24
142,2021-10-06,31.66,29.17
143,2021-10-05,31.43,29.17
144,2021-10-01,31.50,29.13
145,2021-09-30,31.49,29.09
146,2021-09-29,31.49,29.08
147,2021-09-28,31.43,28.91
148,2021-09-27,31.42,28.90
149,2021-09-24,31.24,29.06
150,2021-09-23,31.22,28.98
151,2021-09-17,31.29,28.73
152,2021-09-16,31.07,28.79
153,2021-09-15,31.02,28.82
154,2021-09-14,31.09,28.87
155,2021-09-13,31.22,28.82
156,2021-09-10,30.99,28.81
157,2021-09-09,30.98,28.65
158,2021-09-08,31.01,28.51
159,2021-09-07,30.76,28.42
160,2021-09-06,30.78,28.40
161,2021-09-03,30.69,28.48
162,2021-09-02,30.70,28.43
163,2021-09-01,30.85,28.57
164,2021-08-31,30.88,28.62
165,2021-08-30,30.82,28.78
166,2021-08-27,31.10,28.71
167,2021-08-26,31.10,28.68
168,2021-08-25,30.96,28.72
169,2021-08-24,31.03,28.85
170,2021-08-23,31.19,28.93
171,2021-08-20,31.39,28.89
172,2021-08-19,31.13,28.81
173,2021-08-18,31.15,28.93
174,2021-08-17,31.13,28.70
175,2021-08-13,30.95,28.49
176,2021-08-12,30.94,28.58
177,2021-08-11,30.73,28.27
178,2021-08-10,30.48,28.15
179,2021-08-09,30.43,28.09
180,2021-08-06,30.41,28.15
181,2021-08-05,30.36,28.19
182,2021-08-04,30.40,28.33
183,2021-08-03,30.54,28.34
184,2021-08-02,30.60,28.25
185,2021-07-30,30.44,28.25
186,2021-07-29,30.56,28.44
187,2021-07-28,30.67,28.32
188,2021-07-27,30.72,28.40
189,2021-07-26,30.65,28.31
190,2021-07-23,30.63,28.34
191,2021-07-22,30.57,28.33
192,2021-07-21,30.67,28.34
193,2021-07-20,30.59,28.20
194,2021-07-19,30.59,28.09
195,2021-07-16,30.36,28.16
196,2021-07-15,30.32,28.33
197,2021-07-14,30.63,28.20
198,2021-07-13,30.45,28.22
199,2021-07-12,30.53,28.28
200,2021-07-09,30.56,28.14
201,2021-07-08,30.46,27.99
202,2021-07-07,30.24,27.85
203,2021-07-06,30.14,27.82
204,2021-07-05,30.01,27.92
205,2021-07-02,30.20,27.87
206,2021-07-01,30.04,27.79
207,2021-06-30,30.05,27.81
208,2021-06-29,29.95,27.73
209,2021-06-28,29.98,27.72
210,2021-06-25,29.95,27.92
211,2021-06-24,30.08,27.91
212,2021-06-23,30.14,27.85
213,2021-06-22,30.08,27.92
214,2021-06-21,30.12,27.85
215,2021-06-18,30.01,27.78
216,2021-06-17,30.06,27.48
217,2021-06-16,29.74,27.53
218,2021-06-15,29.67,27.42
219,2021-06-14,29.60,27.29
220,2021-06-11,29.55,27.38
221,2021-06-10,29.71,27.52
222,2021-06-09,29.57,27.36
223,2021-06-08,29.53,27.30
224,2021-06-07,29.50,27.46
225,2021-06-04,29.63,27.32
226,2021-06-03,29.52,27.31
227,2021-06-02,29.52,27.23
228,2021-06-01,29.37,27.41
229,2021-05-31,29.59,27.52
230,2021-05-28,29.70,27.54
231,2021-05-27,29.65,27.54
232,2021-05-26,29.68,27.63
233,2021-05-25,29.84,27.75
234,2021-05-24,30.00,27.80
235,2021-05-21,29.97,27.85
236,2021-05-20,30.12,27.93
237,2021-05-18,30.15,27.96
238,2021-05-17,30.25,27.85
239,2021-05-14,30.05,27.88
240,2021-05-13,30.31,27.81
241,2021-05-12,29.88,27.62
242,2021-05-11,29.77,27.52
243,2021-05-10,29.77,27.73
244,2021-05-07,29.91,27.86
245,2021-05-06,30.04,27.75
246,2021-05-04,30.02,27.72
247,2021-05-03,29.94,27.48
248,2021-04-30,29.70,27.42
249,2021-04-29,29.63,27.54
250,2021-04-28,29.81,27.51
251,2021-04-27,29.75,27.61
252,2021-04-26,29.79,27.71
253,2021-04-23,30.04,27.67
254,2021-04-22,29.98,27.73
255,2021-04-21,29.84,27.57
256,2021-04-20,29.75,27.69
257,2021-04-19,29.94,27.72
258,2021-04-16,29.78,27.68
259,2021-04-15,29.79,27.73
260,2021-04-14,29.76,27.89
261,2021-04-13,30.12,27.90
262,2021-04-12,30.11,27.68
263,2021-04-09,29.85,27.71
264,2021-04-08,29.91,27.67
265,2021-04-07,29.93,27.83
266,2021-04-06,30.07,27.95
267,2021-04-05,30.15,27.93
268,2021-04-02,30.29,28.09
269,2021-04-01,30.28,28.08
270,2021-03-31,30.21,28.09
271,2021-03-30,30.40,28.12
272,2021-03-29,30.25,28.05
273,2021-03-26,30.38,28.17
274,2021-03-25,30.34,28.07
275,2021-03-24,30.34,27.94
276,2021-03-23,30.13,28.00
277,2021-03-22,30.16,28.01
278,2021-03-19,30.21,27.81
279,2021-03-18,30.06,28.01
280,2021-03-17,30.19,28.03
281,2021-03-16,30.19,28.08
282,2021-03-15,30.40,27.95
283,2021-03-12,30.22,28.12
284,2021-03-11,30.13,28.20
285,2021-03-10,30.42,28.22
286,2021-03-09,30.38,27.93
287,2021-03-08,30.22,27.89
288,2021-03-05,30.16,27.79
289,2021-03-04,29.97,27.68
290,2021-03-03,29.91,27.65
291,2021-03-02,29.89,27.64
292,2021-02-26,29.80,27.29
293,2021-02-25,29.45,27.34
294,2021-02-24,29.45,27.37
295,2021-02-23,29.57,27.29
296,2021-02-22,29.66,27.28
297,2021-02-19,29.30,27.25
298,2021-02-18,29.50,27.31
299,2021-02-17,29.38,27.11
300,2021-02-16,29.33,27.18
301,2021-02-15,29.36,27.35
302,2021-02-10,29.41,27.49
303,2021-02-09,29.65,27.55
304,2021-02-08,29.72,27.68
305,2021-02-05,29.84,27.50
306,2021-02-04,29.63,27.43
307,2021-02-03,29.62,27.51
308,2021-02-02,29.73,27.57
309,2021-02-01,29.93,27.62
310,2021-01-29,29.67,27.50
311,2021-01-28,29.79,27.25
312,2021-01-27,29.44,27.27
313,2021-01-26,29.37,27.23
314,2021-01-25,29.43,27.22
315,2021-01-22,29.47,27.15
316,2021-01-21,29.36,27.19
317,2021-01-20,29.41,27.25
318,2021-01-19,29.52,27.32
319,2021-01-18,29.53,27.16
320,2021-01-15,29.33,27.21
321,2021-01-14,29.27,27.11
322,2021-01-13,29.35,27.23
323,2021-01-12,29.45,27.28
324,2021-01-11,29.26,27.06
325,2021-01-08,29.18,26.89
326,2021-01-07,28.95,26.88
327,2021-01-06,29.03,26.85
328,2021-01-05,29.11,26.81
329,2021-01-04,29.04,26.96
330,2020-12-31,29.14,27.01
331,2020-12-30,29.17,27.17
332,2020-12-29,29.45,27.33
333,2020-12-28,29.51,27.51
334,2020-12-24,29.63,27.58
335,2020-12-23,29.64,27.49
336,2020-12-22,29.67,27.34
337,2020-12-21,29.60,27.26
338,2020-12-18,29.46,27.12
339,2020-12-17,29.30,27.10
340,2020-12-16,29.14,27.09
341,2020-12-15,29.21,26.98
342,2020-12-14,29.11,26.96
343,2020-12-11,29.13,26.89
344,2020-12-10,29.11,26.80
345,2020-12-09,29.03,26.83
346,2020-12-08,28.95,26.79
347,2020-12-07,29.05,26.90
348,2020-12-04,29.20,27.30
349,2020-12-03,29.33,27.31
350,2020-12-02,29.53,27.42
351,2020-12-01,29.62,27.36
352,2020-11-30,29.59,27.37
353,2020-11-27,29.54,27.37
354,2020-11-26,29.59,27.42
355,2020-11-25,29.59,27.50
356,2020-11-24,29.77,27.57
357,2020-11-23,29.81,27.58
358,2020-11-20,29.85,27.52
359,2020-11-19,29.87,27.35
360,2020-11-18,29.49,27.38
361,2020-11-17,29.51,27.37
362,2020-11-16,29.51,27.53
363,2020-11-13,29.84,27.63
364,2020-11-12,29.89,27.57
365,2020-11-11,29.72,27.52
366,2020-11-10,29.88,27.63
367,2020-11-09,29.79,27.73
368,2020-11-06,29.81,27.89
369,2020-11-05,30.08,28.03
370,2020-11-04,30.51,27.98
371,2020-11-03,30.27,28.02
372,2020-11-02,30.25,27.93
373,2020-10-30,30.29,27.99
374,2020-10-29,30.26,27.88
375,2020-10-28,30.24,27.91
376,2020-10-27,30.08,27.83
377,2020-10-26,30.06,27.93
378,2020-10-23,30.11,28.02
379,2020-10-22,30.09,27.84
380,2020-10-21,29.95,27.85
381,2020-10-20,30.03,27.91
382,2020-10-19,30.13,28.01
383,2020-10-16,30.26,28.02
384,2020-10-15,30.27,27.98
385,2020-10-14,30.24,28.06
386,2020-10-13,30.26,28.03
387,2020-10-12,30.34,28.23
388,2020-10-08,30.35,28.38
389,2020-10-07,30.56,28.32
390,2020-10-06,30.59,28.42
391,2020-10-05,30.65,28.54
392,2020-09-29,30.94,28.78
393,2020-09-28,31.22,28.83
394,2020-09-25,31.01,28.72
395,2020-09-24,31.10,28.63
396,2020-09-23,30.78,28.56
397,2020-09-22,30.81,28.46
398,2020-09-21,30.74,28.46
399,2020-09-18,30.78,28.81
400,2020-09-17,31.07,28.92
401,2020-09-16,31.05,28.93
402,2020-09-15,31.16,28.99
403,2020-09-14,31.27,29.05
404,2020-09-11,31.43,29.07
405,2020-09-10,31.44,29.13
406,2020-09-09,31.32,29.02
407,2020-09-08,31.30,28.99
408,2020-09-07,31.36,29.07
409,2020-09-04,31.36,28.98
410,2020-09-03,31.32,28.95
411,2020-09-02,31.35,29.04
412,2020-09-01,31.20,28.95
413,2020-08-31,31.24,28.96
414,2020-08-28,31.27,29.00
415,2020-08-27,31.34,29.09
416,2020-08-26,31.30,29.02
417,2020-08-25,31.93,29.59
418,2020-08-24,31.93,29.47
419,2020-08-21,31.83,29.44
420,2020-08-20,31.75,29.34
421,2020-08-19,31.22,29.04
422,2020-08-18,31.43,29.16
423,2020-08-14,31.46,29.11
424,2020-08-13,31.17,29.03
425,2020-08-12,31.44,29.15
426,2020-08-11,31.35,29.09
427,2020-08-10,31.48,29.10
428,2020-08-07,31.40,29.11
429,2020-08-06,31.51,29.35
430,2020-08-05,31.55,29.31
431,2020-08-04,31.64,29.31
432,2020-08-03,31.75,29.25
433,2020-07-31,31.60,29.27
434,2020-07-30,31.67,29.35
435,2020-07-29,31.57,29.25
436,2020-07-28,31.71,29.32
437,2020-07-27,31.69,29.44
438,2020-07-24,31.97,29.46
439,2020-07-23,31.74,29.32
440,2020-07-22,31.73,29.40
441,2020-07-21,31.77,29.60
442,2020-07-20,31.83,29.59
443,2020-07-17,31.94,29.61
444,2020-07-16,31.87,29.48
445,2020-07-15,31.87,29.63
446,2020-07-14,31.91,29.44
447,2020-07-13,31.90,29.52
448,2020-07-10,31.77,29.34
449,2020-07-09,31.66,29.37
450,2020-07-08,31.56,29.28
451,2020-07-07,31.64,29.33
452,2020-07-06,31.71,29.44
453,2020-07-03,31.73,29.47
454,2020-07-02,31.83,29.51
455,2020-07-01,31.90,29.46
456,2020-06-30,31.91,29.51
457,2020-06-29,32.17,29.69
458,2020-06-26,31.90,29.70
459,2020-06-25,32.19,29.78
460,2020-06-24,32.15,29.91
461,2020-06-23,32.31,29.98
462,2020-06-22,32.40,29.99
463,2020-06-19,32.35,30.08
464,2020-06-18,32.34,30.08
465,2020-06-17,32.40,29.89
466,2020-06-16,32.42,29.99
467,2020-06-15,32.10,29.66
468,2020-06-12,32.03,29.29
469,2020-06-11,31.44,29.20
470,2020-06-10,31.46,29.31
471,2020-06-09,31.66,29.50
472,2020-06-08,31.75,29.65
473,2020-06-05,31.88,29.74
474,2020-06-04,32.01,29.66
475,2020-06-03,32.07,29.86
476,2020-06-02,32.21,29.97
477,2020-06-01,32.40,30.25
478,2020-05-29,32.65,30.29
479,2020-05-28,32.82,30.22
480,2020-05-27,32.61,30.23
481,2020-05-26,32.77,30.55
482,2020-05-25,32.71,30.25
483,2020-05-22,32.81,30.19
484,2020-05-21,32.52,30.10
485,2020-05-20,32.48,29.98
486,2020-05-19,32.41,30.19
487,2020-05-18,32.78,30.21
488,2020-05-15,32.58,30.19
489,2020-05-14,32.55,30.08
490,2020-05-13,32.44,30.10
491,2020-05-12,32.38,29.89
492,2020-05-11,32.32,29.85
493,2020-05-08,32.23,30.08
494,2020-05-07,32.50,30.04
495,2020-05-06,32.34,30.12
496,2020-05-04,32.47,29.87
497,2020-04-29,32.41,30.09
498,2020-04-28,32.31,30.21
499,2020-04-27,32.63,30.50
500,2020-04-24,32.90,30.44
501,2020-04-23,32.75,30.48
502,2020-04-22,32.88,30.46
503,2020-04-21,32.82,30.19
504,2020-04-20,32.58,30.24
505,2020-04-17,32.71,30.44
506,2020-04-16,32.92,30.27
507,2020-04-14,32.67,30.33
508,2020-04-13,32.40,29.97
509,2020-04-10,32.36,30.07
510,2020-04-09,32.61,30.24
511,2020-04-08,32.55,30.26
512,2020-04-07,32.67,30.62
513,2020-04-06,32.96,30.49
514,2020-04-03,32.98,30.73
515,2020-04-02,32.77,30.31
516,2020-04-01,32.83,30.12
517,2020-03-31,32.64,30.32
518,2020-03-30,32.84,30.10
519,2020-03-27,32.60,30.43
520,2020-03-26,32.96,30.63
521,2020-03-25,33.01,31.26
522,2020-03-24,33.45,31.72
523,2020-03-23,33.83,31.12
524,2020-03-20,33.48,31.94
525,2020-03-19,34.31,30.81
526,2020-03-18,33.60,30.82
527,2020-03-17,33.27,30.39
528,2020-03-16,32.70,30.38
529,2020-03-13,32.71,29.92
530,2020-03-12,32.33,29.58
531,2020-03-11,31.92,29.74
532,2020-03-10,32.11,29.86
533,2020-03-09,32.13,29.47
534,2020-03-06,31.56,29.15
535,2020-03-05,31.56,29.22
536,2020-03-04,31.53,29.43
537,2020-03-03,31.88,29.65
538,2020-03-02,31.82,29.97
539,2020-02-28,32.30,30.04
540,2020-02-27,32.49,30.10
541,2020-02-26,32.45,29.92
542,2020-02-25,32.37,30.05
543,2020-02-24,32.57,29.78
544,2020-02-21,32.20,29.56
545,2020-02-20,32.16,29.42
546,2020-02-19,31.69,29.31
547,2020-02-18,31.62,29.08
548,2020-02-17,31.43,29.17
549,2020-02-14,31.60,29.19
550,2020-02-13,31.61,29.24
551,2020-02-12,31.47,29.18
552,2020-02-11,31.70,29.52
553,2020-02-10,31.79,29.37
554,2020-02-07,31.88,29.26
555,2020-02-06,31.57,29.40
556,2020-02-05,31.77,29.53
557,2020-02-04,31.88,29.73
558,2020-02-03,32.04,29.47
559,2020-01-31,31.98,29.37
560,2020-01-30,31.89,29.20
561,2020-01-29,31.48,29.18
562,2020-01-28,31.61,28.94
563,2020-01-23,31.27,28.87
564,2020-01-22,31.32,28.90
565,2020-01-21,31.16,28.79
566,2020-01-20,31.29,28.93
567,2020-01-17,31.02,28.75
568,2020-01-16,31.11,28.75
569,2020-01-15,31.02,28.56
570,2020-01-14,30.96,28.54
571,2020-01-13,30.93,28.76
572,2020-01-10,30.94,28.66
573,2020-01-09,31.02,29.02
574,2020-01-08,31.22,28.80
575,2020-01-07,31.16,28.91
576,2020-01-06,31.11,28.60
577,2020-01-03,31.07,28.43
578,2020-01-02,30.96,28.74
579,2019-12-31,30.75,28.55
580,2019-12-30,30.85,28.63
581,2019-12-27,31.10,28.78
582,2019-12-26,31.05,28.77
583,2019-12-24,31.12,28.80
584,2019-12-23,30.94,28.71
585,2019-12-20,31.09,28.84
586,2019-12-19,31.02,28.77
587,2019-12-18,31.10,28.81
588,2019-12-17,31.09,29.01
589,2019-12-16,31.38,29.02
590,2019-12-13,31.23,29.43
591,2019-12-12,31.66,29.52
592,2019-12-11,31.94,29.50
593,2019-12-10,31.78,29.33
594,2019-12-09,31.71,29.34
595,2019-12-06,31.54,29.22
596,2019-12-05,31.76,29.54
597,2019-12-04,31.71,29.27
598,2019-12-03,31.81,29.23
599,2019-12-02,31.60,29.14
600,2019-11-29,31.66,29.28
601,2019-11-28,31.57,29.20
602,2019-11-27,31.48,29.16
603,2019-11-26,31.52,29.20
604,2019-11-25,31.54,29.21
605,2019-11-22,31.47,29.10
606,2019-11-21,31.57,29.05
607,2019-11-20,31.41,29.01
608,2019-11-19,31.32,28.91
609,2019-11-18,31.09,28.88
610,2019-11-15,31.22,28.98
611,2019-11-14,31.28,28.92
612,2019-11-13,31.24,28.78
613,2019-11-12,30.94,28.64
614,2019-11-11,31.16,28.62
615,2019-11-08,30.94,28.71
616,2019-11-07,30.85,28.54
617,2019-11-06,30.86,28.68
618,2019-11-05,30.94,28.77
