,date,buy,standard
0,2022-05-02,1004.31,985.02
1,2022-04-29,1007.30,991.06
2,2022-04-28,1012.69,985.26
3,2022-04-27,1004.85,974.44
4,2022-04-26,1002.96,979.12
5,2022-04-25,1001.20,975.99
6,2022-04-22,1001.41,982.67
7,2022-04-21,1011.03,990.39
8,2022-04-20,1000.71,979.22
9,2022-04-19,1003.26,977.68
10,2022-04-18,996.61,975.07
11,2022-04-15,994.52,970.74
12,2022-04-14,997.17,976.96
13,2022-04-13,990.17,978.56
14,2022-04-12,991.73,974.84
15,2022-04-11,997.04,973.82
16,2022-04-08,992.98,968.06
17,2022-04-07,990.15,971.01
18,2022-04-06,993.25,970.97
19,2022-04-05,993.25,974.18
20,2022-04-04,991.05,971.21
21,2022-04-01,992.77,968.29
22,2022-03-31,986.89,970.15
23,2022-03-30,988.16,976.56
24,2022-03-29,993.60,979.11
25,2022-03-28,1000.83,975.93
26,2022-03-25,990.37,973.30
27,2022-03-24,992.85,964.87
28,2022-03-23,984.21,972.03
29,2022-03-22,984.87,963.83
30,2022-03-21,983.17,961.08
31,2022-03-18,983.07,966.54
32,2022-03-17,975.55,977.77
33,2022-03-16,988.77,972.17
34,2022-03-15,988.04,966.03
35,2022-03-14,989.33,967.69
36,2022-03-11,985.38,962.59
37,2022-03-10,976.06,963.66
38,2022-03-08,981.49,956.30
39,2022-03-07,983.64,950.05
40,2022-03-04,975.64,949.40
41,2022-03-03,976.11,953.85
42,2022-03-02,968.69,946.31
43,2022-02-28,960.15,942.96
44,2022-02-25,958.45,936.52
45,2022-02-24,957.93,936.16
46,2022-02-23,954.76,935.81
47,2022-02-22,955.12,936.43
48,2022-02-21,954.89,937.87
49,2022-02-18,960.91,942.19
50,2022-02-17,960.73,943.70
51,2022-02-16,961.89,942.40
52,2022-02-15,960.67,941.50
53,2022-02-14,954.84,941.60
54,2022-02-11,958.72,939.85
55,2022-02-10,962.55,943.74
56,2022-02-09,960.58,942.89
57,2022-02-08,963.81,946.83
58,2022-02-07,962.15,940.78
59,2022-02-04,961.38,950.82
60,2022-02-03,967.11,951.36
61,2022-01-28,967.22,944.10
62,2022-01-27,967.60,945.50
63,2022-01-26,970.04,948.79
64,2022-01-25,966.83,945.30
65,2022-01-24,969.54,949.07
66,2022-01-21,970.28,951.79
67,2022-01-20,970.49,952.53
68,2022-01-19,972.70,950.63
69,2022-01-18,971.12,952.54
70,2022-01-17,971.29,945.84
71,2022-01-14,970.58,950.10
72,2022-01-13,968.80,951.62
73,2022-01-12,967.99,950.68
74,2022-01-11,962.21,946.67
75,2022-01-10,966.94,950.18
76,2022-01-07,964.88,942.79
77,2022-01-06,959.35,938.88
78,2022-01-05,960.75,940.02
79,2022-01-04,956.81,934.07
80,2022-01-03,959.91,938.16
81,2021-12-31,953.86,930.61
82,2021-12-30,946.61,927.76
83,2021-12-29,944.28,925.95
84,2021-12-28,946.73,927.73
85,2021-12-27,944.31,925.72
86,2021-12-24,943.94,927.19
87,2021-12-23,944.48,927.65
88,2021-12-22,942.19,922.57
89,2021-12-21,940.04,919.47
90,2021-12-20,940.19,918.78
91,2021-12-17,945.30,926.27
92,2021-12-16,943.41,924.55
93,2021-12-15,939.93,920.16
