,date,buy,standard
0,2022-05-02,164.63,161.26
1,2022-04-29,163.59,161.78
2,2022-04-28,165.43,160.98
3,2022-04-27,164.46,159.10
4,2022-04-26,162.83,158.92
5,2022-04-25,162.45,158.24
6,2022-04-22,161.62,157.61
7,2022-04-21,160.72,157.71
8,2022-04-20,160.36,157.46
9,2022-04-19,161.01,157.19
10,2022-04-18,160.56,156.83
11,2022-04-15,159.70,156.09
12,2022-04-14,159.51,156.61
13,2022-04-13,159.68,157.80
14,2022-04-12,160.17,157.18
15,2022-04-11,160.30,156.13
16,2022-04-08,159.57,155.48
17,2022-04-07,158.72,155.55
18,2022-04-06,158.31,154.80
19,2022-04-05,157.92,155.30
20,2022-04-04,158.04,155.22
21,2022-04-01,158.39,154.58
22,2022-03-31,157.91,154.69
23,2022-03-30,157.56,155.92
24,2022-03-29,158.73,156.56
25,2022-03-28,159.62,155.63
26,2022-03-25,158.80,155.85
27,2022-03-24,159.52,155.00
28,2022-03-23,158.32,156.05
29,2022-03-22,158.54,155.10
30,2022-03-21,158.19,154.79
31,2022-03-18,158.57,156.13
32,2022-03-17,157.90,158.60
33,2022-03-16,160.89,158.65
34,2022-03-15,162.28,158.20
35,2022-03-14,161.24,157.42
36,2022-03-11,160.92,157.07
37,2022-03-10,160.14,157.88
38,2022-03-08,161.09,156.73
39,2022-03-07,160.16,155.05
40,2022-03-04,158.61,154.01
41,2022-03-03,157.48,154.22
42,2022-03-02,157.60,154.24
43,2022-02-28,156.98,154.03
44,2022-02-25,157.17,153.62
45,2022-02-24,157.19,152.74
46,2022-02-23,155.62,153.13
47,2022-02-22,155.96,153.12
48,2022-02-21,155.82,153.38
49,2022-02-18,156.19,153.49
50,2022-02-17,156.51,153.43
51,2022-02-16,156.37,153.62
52,2022-02-15,156.54,153.58
53,2022-02-14,156.41,153.77
54,2022-02-11,156.37,153.43
55,2022-02-10,156.47,153.51
56,2022-02-09,156.48,153.68
57,2022-02-08,156.75,153.92
58,2022-02-07,157.08,154.01
59,2022-02-04,156.87,154.67
60,2022-02-03,157.57,154.66
61,2022-01-28,158.43,154.35
62,2022-01-27,157.51,153.71
63,2022-01-26,156.84,153.85
64,2022-01-25,156.86,153.37
65,2022-01-24,156.70,153.28
66,2022-01-21,156.07,152.88
67,2022-01-20,155.73,152.99
68,2022-01-19,155.99,152.57
69,2022-01-18,155.90,153.05
70,2022-01-17,156.07,152.57
71,2022-01-14,155.58,152.58
72,2022-01-13,155.22,152.73
73,2022-01-12,155.98,153.31
74,2022-01-11,156.08,153.94
75,2022-01-10,156.74,154.20
76,2022-01-07,157.39,153.78
77,2022-01-06,157.51,153.71
78,2022-01-05,156.74,153.23
79,2022-01-04,156.44,152.71
80,2022-01-03,155.99,152.06
81,2021-12-31,155.75,152.03
82,2021-12-30,155.47,152.19
83,2021-12-29,155.23,152.17
84,2021-12-28,155.38,152.10
85,2021-12-27,155.24,152.12
86,2021-12-24,155.26,152.26
87,2021-12-23,155.35,152.73
88,2021-12-22,155.90,152.73
89,2021-12-21,155.97,152.51
90,2021-12-20,155.85,151.81
91,2021-12-17,154.93,151.66
92,2021-12-16,154.67,152.02
93,2021-12-15,154.93,151.72
94,2021-12-14,154.53,151.10
95,2021-12-13,154.59,151.07
96,2021-12-10,154.45,150.55
97,2021-12-09,153.85,150.86
98,2021-12-08,153.90,151.49
99,2021-12-07,154.05,151.75
100,2021-12-06,154.52,151.19
101,2021-12-03,154.68,151.09
102,2021-12-02,153.79,151.46
103,2021-12-01,154.35,152.32
104,2021-11-30,155.65,153.01
105,2021-11-29,155.95,152.98
106,2021-11-26,156.35,152.59
107,2021-11-25,155.63,152.40
108,2021-11-24,155.22,152.55
109,2021-11-23,155.50,152.43
110,2021-11-22,155.41,151.91
111,2021-11-19,155.24,151.57
112,2021-11-18,154.60,151.97
113,2021-11-17,154.61,151.48
114,2021-11-16,154.57,151.52
115,2021-11-15,154.28,151.39
116,2021-11-12,154.19,152.03
117,2021-11-11,154.82,151.58
118,2021-11-10,154.13,151.25
119,2021-11-09,154.07,152.06
120,2021-11-08,154.92,152.28
121,2021-11-05,155.24,151.60
122,2021-11-04,155.00,151.74
123,2021-11-03,154.77,151.06
124,2021-11-02,154.09,151.14
125,2021-11-01,154.38,150.35
126,2021-10-29,153.57,150.64
127,2021-10-28,153.39,150.18
128,2021-10-27,153.84,149.99
129,2021-10-26,152.97,150.73
130,2021-10-25,153.22,151.60
131,2021-10-22,154.09,151.23
132,2021-10-21,154.40,151.23
133,2021-10-20,154.08,151.97
134,2021-10-19,154.43,152.45
135,2021-10-18,155.65,152.07
136,2021-10-15,154.99,152.74
137,2021-10-14,155.39,153.61
138,2021-10-13,156.17,154.08
139,2021-10-12,157.05,153.42
140,2021-10-08,156.64,152.90
141,2021-10-07,155.92,152.83
142,2021-10-06,156.62,152.48
143,2021-10-05,155.49,152.45
144,2021-10-01,155.46,152.22
145,2021-09-30,155.15,152.19
146,2021-09-29,155.11,151.86
147,2021-09-28,155.39,151.07
148,2021-09-27,154.70,150.95
149,2021-09-24,154.16,151.80
150,2021-09-23,153.52,151.24
151,2021-09-17,154.26,150.21
152,2021-09-16,153.68,150.56
153,2021-09-15,153.18,150.67
154,2021-09-14,153.50,150.93
155,2021-09-13,154.02,150.48
156,2021-09-10,152.96,150.44
157,2021-09-09,153.19,149.75
158,2021-09-08,153.02,148.92
159,2021-09-07,152.37,148.87
160,2021-09-06,151.76,148.81
161,2021-09-03,151.82,149.23
162,2021-09-02,151.98,148.84
163,2021-09-01,151.98,149.49
164,2021-08-31,151.67,149.53
165,2021-08-30,152.42,150.34
166,2021-08-27,153.14,150.00
167,2021-08-26,153.34,149.85
168,2021-08-25,152.86,149.98
169,2021-08-24,152.83,150.66
170,2021-08-23,153.39,151.05
171,2021-08-20,154.95,150.78
172,2021-08-19,154.01,150.58
173,2021-08-18,153.29,150.78
174,2021-08-17,153.74,150.02
175,2021-08-13,153.15,148.92
176,2021-08-12,152.34,148.47
177,2021-08-11,151.75,147.59
178,2021-08-10,150.73,147.11
179,2021-08-09,150.14,146.82
180,2021-08-06,149.88,147.05
181,2021-08-05,150.00,147.36
182,2021-08-04,150.04,147.96
183,2021-08-03,150.53,148.14
184,2021-08-02,150.94,147.64
185,2021-07-30,150.51,147.66
186,2021-07-29,150.33,148.42
187,2021-07-28,151.21,147.78
188,2021-07-27,151.19,148.25
189,2021-07-26,151.46,147.94
190,2021-07-23,150.97,148.11
191,2021-07-22,150.80,148.02
192,2021-07-21,151.41,148.09
193,2021-07-20,150.74,147.43
194,2021-07-19,151.05,146.89
195,2021-07-16,149.76,147.23
196,2021-07-15,149.89,148.11
197,2021-07-14,150.96,147.45
198,2021-07-13,150.33,147.61
199,2021-07-12,150.74,147.83
200,2021-07-09,150.77,147.20
