,date,buy,standard
0,2022-05-02,199.30,189.91
1,2022-04-29,199.73,192.03
2,2022-04-28,201.20,191.67
3,2022-04-27,201.72,190.20
4,2022-04-26,200.18,189.83
5,2022-04-25,199.27,191.55
6,2022-04-22,200.38,191.43
7,2022-04-21,200.68,192.58
8,2022-04-20,201.23,193.45
9,2022-04-19,203.40,193.24
10,2022-04-18,203.37,192.79
11,2022-04-15,202.18,192.02
12,2022-04-14,201.79,192.34
13,2022-04-13,202.19,193.77
14,2022-04-12,202.65,193.20
15,2022-04-11,202.75,192.44
16,2022-04-08,202.23,191.41
17,2022-04-07,201.20,191.13
18,2022-04-06,200.70,190.30
19,2022-04-05,199.97,191.13
20,2022-04-04,200.22,191.27
21,2022-04-01,200.76,190.44
22,2022-03-31,200.43,190.02
23,2022-03-30,199.71,191.30
24,2022-03-29,200.35,191.83
25,2022-03-28,201.54,191.11
26,2022-03-25,200.77,190.91
27,2022-03-24,201.31,190.01
28,2022-03-23,199.66,191.59
29,2022-03-22,200.46,190.32
30,2022-03-21,200.10,190.50
31,2022-03-18,200.20,192.05
32,2022-03-17,199.99,194.70
33,2022-03-16,203.76,194.25
34,2022-03-15,204.37,194.77
35,2022-03-14,203.94,194.87
36,2022-03-11,204.72,194.35
37,2022-03-10,203.68,195.37
38,2022-03-08,205.20,193.82
39,2022-03-07,203.77,191.63
40,2022-03-04,201.92,190.37
41,2022-03-03,200.47,190.85
42,2022-03-02,200.74,190.83
43,2022-02-28,200.11,190.41
44,2022-02-25,200.06,189.68
45,2022-02-24,199.81,188.51
46,2022-02-23,198.17,188.58
47,2022-02-22,197.86,189.10
48,2022-02-21,197.79,188.86
49,2022-02-18,198.41,189.01
50,2022-02-17,198.50,188.81
51,2022-02-16,198.32,188.45
52,2022-02-15,198.03,188.31
53,2022-02-14,197.48,188.44
54,2022-02-11,197.52,187.96
55,2022-02-10,197.35,187.81
56,2022-02-09,197.27,188.31
57,2022-02-08,197.47,188.52
58,2022-02-07,198.14,188.82
59,2022-02-04,197.87,189.39
60,2022-02-03,198.58,189.59
61,2022-01-28,199.63,189.34
62,2022-01-27,198.55,189.12
63,2022-01-26,198.72,189.10
64,2022-01-25,198.67,188.43
65,2022-01-24,198.34,188.04
66,2022-01-21,197.24,187.65
67,2022-01-20,196.79,187.38
68,2022-01-19,197.02,187.29
69,2022-01-18,196.83,187.64
