,date,buy,standard
0,2022-05-02,58.65,54.27
1,2022-04-29,58.15,54.27
2,2022-04-28,59.07,54.35
3,2022-04-27,59.19,54.08
4,2022-04-26,59.40,54.79
5,2022-04-25,59.99,55.14
6,2022-04-22,59.67,54.99
7,2022-04-21,59.46,55.06
8,2022-04-20,58.81,54.51
9,2022-04-19,58.88,54.35
10,2022-04-18,58.91,54.42
11,2022-04-15,58.79,54.20
12,2022-04-14,59.06,54.73
13,2022-04-13,58.64,54.74
14,2022-04-12,59.18,54.84
15,2022-04-11,59.19,54.51
16,2022-04-08,58.66,54.03
17,2022-04-07,58.68,54.30
18,2022-04-06,58.81,54.28
19,2022-04-05,59.04,54.84
20,2022-04-04,59.49,55.15
21,2022-04-01,59.68,54.92
22,2022-03-31,59.87,55.29
23,2022-03-30,59.18,55.30
24,2022-03-29,58.84,54.78
25,2022-03-28,59.23,54.50
26,2022-03-25,58.69,54.31
27,2022-03-24,58.81,54.00
28,2022-03-23,58.55,54.58
29,2022-03-22,58.68,54.15
30,2022-03-21,58.24,53.89
31,2022-03-18,58.88,54.71
32,2022-03-17,58.50,55.42
33,2022-03-16,58.77,54.80
34,2022-03-15,59.10,54.50
35,2022-03-14,58.17,53.60
36,2022-03-11,58.16,53.65
37,2022-03-10,58.32,54.29
38,2022-03-08,56.22,51.63
39,2022-03-07,56.47,51.58
40,2022-03-04,56.31,51.67
41,2022-03-03,56.65,52.42
42,2022-03-02,57.15,52.79
43,2022-02-28,57.94,53.67
44,2022-02-25,58.77,54.27
45,2022-02-24,59.75,54.79
46,2022-02-23,59.33,55.12
47,2022-02-22,59.76,55.34
48,2022-02-21,59.98,55.68
49,2022-02-18,60.18,55.78
50,2022-02-17,60.56,55.93
51,2022-02-16,60.25,55.88
52,2022-02-15,59.47,55.15
53,2022-02-14,59.83,55.42
54,2022-02-11,60.54,56.08
55,2022-02-10,60.59,56.15
56,2022-02-09,60.68,56.34
57,2022-02-08,61.06,56.62
58,2022-02-07,61.06,56.53
59,2022-02-04,60.85,56.66
60,2022-02-03,60.78,56.35
61,2022-01-28,59.55,54.84
62,2022-01-27,59.51,54.84
63,2022-01-26,59.59,55.24
64,2022-01-25,59.70,55.14
65,2022-01-24,59.96,55.49
66,2022-01-21,60.02,55.48
67,2022-01-20,60.02,55.68
68,2022-01-19,59.79,55.21
69,2022-01-18,60.21,55.71
70,2022-01-17,59.92,55.28
71,2022-01-14,59.84,55.47
72,2022-01-13,60.25,55.99
73,2022-01-12,59.98,55.65
74,2022-01-11,59.97,55.81
75,2022-01-10,60.13,55.91
76,2022-01-07,59.91,55.32
77,2022-01-06,59.79,55.04
78,2022-01-05,59.24,54.70
79,2022-01-04,58.84,54.23
80,2022-01-03,58.84,54.20
81,2021-12-31,58.55,53.98
82,2021-12-30,58.40,53.99
83,2021-12-29,58.13,53.85
84,2021-12-28,58.07,53.64
85,2021-12-27,58.06,53.69
86,2021-12-24,57.98,53.63
87,2021-12-23,57.95,53.79
88,2021-12-22,57.59,53.27
89,2021-12-21,57.51,53.19
90,2021-12-20,57.32,52.75
