,date,buy,standard
0,2022-05-02,183.32,179.43
1,2022-04-29,182.47,179.10
2,2022-04-28,183.56,179.10
3,2022-04-27,183.75,178.58
4,2022-04-26,183.58,179.53
5,2022-04-25,184.08,180.40
6,2022-04-22,184.03,180.06
7,2022-04-21,185.16,180.47
8,2022-04-20,183.23,179.10
9,2022-04-19,183.42,178.65
10,2022-04-18,182.78,178.89
11,2022-04-15,182.21,178.16
12,2022-04-14,183.49,179.79
13,2022-04-13,182.41,180.01
14,2022-04-12,183.36,180.24
15,2022-04-11,184.03,179.26
16,2022-04-08,182.76,178.15
17,2022-04-07,181.98,178.60
18,2022-04-06,182.24,177.83
19,2022-04-05,182.42,179.48
20,2022-04-04,183.60,180.56
21,2022-04-01,184.58,180.20
22,2022-03-31,184.93,181.66
23,2022-03-30,184.92,182.02
24,2022-03-29,183.77,181.14
25,2022-03-28,184.51,179.80
26,2022-03-25,184.08,180.42
27,2022-03-24,184.24,179.41
28,2022-03-23,183.58,181.14
29,2022-03-22,183.35,179.74
30,2022-03-21,183.94,179.75
31,2022-03-18,184.38,181.85
32,2022-03-17,183.44,183.71
33,2022-03-16,185.44,182.97
34,2022-03-15,187.81,182.00
35,2022-03-14,185.97,181.11
36,2022-03-11,185.75,181.51
37,2022-03-10,185.59,183.66
38,2022-03-08,184.36,178.76
39,2022-03-07,182.77,177.08
40,2022-03-04,183.61,179.03
41,2022-03-03,183.56,180.13
42,2022-03-02,183.64,180.31
43,2022-02-28,184.29,180.37
44,2022-02-25,184.31,180.49
45,2022-02-24,185.25,181.11
46,2022-02-23,185.22,181.95
47,2022-02-22,185.31,181.51
48,2022-02-21,185.74,182.09
49,2022-02-18,186.35,182.92
50,2022-02-17,186.43,183.11
51,2022-02-16,186.79,182.90
52,2022-02-15,186.26,182.00
53,2022-02-14,185.60,182.99
54,2022-02-11,186.91,183.50
55,2022-02-10,187.35,183.58
56,2022-02-09,187.20,183.71
57,2022-02-08,187.28,184.34
58,2022-02-07,188.09,184.59
59,2022-02-04,188.26,185.25
60,2022-02-03,186.46,183.19
61,2022-01-28,184.77,180.04
62,2022-01-27,184.68,180.80
63,2022-01-26,185.24,181.92
64,2022-01-25,185.55,181.72
65,2022-01-24,185.64,181.83
66,2022-01-21,185.19,180.92
67,2022-01-20,185.11,181.61
68,2022-01-19,185.18,180.95
69,2022-01-18,185.98,182.76
70,2022-01-17,186.69,182.02
71,2022-01-14,186.76,182.93
72,2022-01-13,186.50,183.00
73,2022-01-12,185.81,182.60
74,2022-01-11,185.70,182.72
75,2022-01-10,186.22,183.58
76,2022-01-07,186.78,182.18
77,2022-01-06,186.59,182.16
78,2022-01-05,185.68,181.19
79,2022-01-04,185.25,180.86
80,2022-01-03,185.60,181.34
81,2021-12-31,184.76,180.48
82,2021-12-30,184.37,181.12
83,2021-12-29,183.78,180.52
84,2021-12-28,184.58,180.72
85,2021-12-27,184.23,180.62
86,2021-12-24,184.66,180.87
87,2021-12-23,184.37,181.41
88,2021-12-22,184.36,180.78
89,2021-12-21,184.91,180.45
90,2021-12-20,184.25,179.02
91,2021-12-17,184.26,180.33
92,2021-12-16,183.70,180.22
93,2021-12-15,183.27,179.17
94,2021-12-14,182.98,178.87
95,2021-12-13,182.82,179.25
96,2021-12-10,182.93,178.31
97,2021-12-09,182.67,179.45
98,2021-12-08,182.13,179.02
99,2021-12-07,182.28,179.61
100,2021-12-06,183.02,179.15
101,2021-12-03,182.98,178.90
102,2021-12-02,182.53,179.68
103,2021-12-01,183.03,181.10
104,2021-11-30,185.29,181.21
105,2021-11-29,184.73,181.15
106,2021-11-26,184.51,179.33
107,2021-11-25,183.20,179.03
108,2021-11-24,182.75,179.82
109,2021-11-23,183.63,179.45
110,2021-11-22,183.58,179.57
111,2021-11-19,184.25,180.53
112,2021-11-18,183.56,180.11
113,2021-11-17,183.35,179.52
114,2021-11-16,184.11,180.46
115,2021-11-15,185.03,181.51
116,2021-11-12,185.08,182.35
117,2021-11-11,186.15,182.29
118,2021-11-10,186.78,183.67
119,2021-11-09,187.04,184.47
120,2021-11-08,187.74,184.31
121,2021-11-05,187.75,183.28
122,2021-11-04,187.43,184.40
123,2021-11-03,187.55,182.95
124,2021-11-02,186.84,183.46
