,date,buy,standard
0,2022-05-02,1361.16,1334.74
1,2022-04-29,1357.49,1332.74
2,2022-04-28,1365.70,1332.70
3,2022-04-27,1366.82,1328.82
4,2022-04-26,1365.32,1335.52
5,2022-04-25,1369.07,1342.03
6,2022-04-22,1369.43,1339.76
7,2022-04-21,1377.23,1342.75
8,2022-04-20,1363.08,1332.33
9,2022-04-19,1364.30,1328.84
10,2022-04-18,1359.19,1330.66
11,2022-04-15,1355.17,1325.20
12,2022-04-14,1364.59,1337.27
13,2022-04-13,1356.44,1338.87
14,2022-04-12,1363.20,1340.35
15,2022-04-11,1371.13,1333.24
16,2022-04-08,1358.85,1324.88
17,2022-04-07,1353.13,1328.39
18,2022-04-06,1355.14,1322.64
19,2022-04-05,1356.62,1335.08
20,2022-04-04,1365.24,1343.06
21,2022-04-01,1372.77,1340.55
22,2022-03-31,1375.36,1351.13
23,2022-03-30,1375.03,1353.90
24,2022-03-29,1366.25,1347.60
25,2022-03-28,1372.73,1337.69
26,2022-03-25,1369.30,1342.38
27,2022-03-24,1370.43,1334.58
28,2022-03-23,1365.06,1347.75
29,2022-03-22,1366.06,1337.38
30,2022-03-21,1368.51,1337.78
31,2022-03-18,1372.26,1353.65
32,2022-03-17,1364.88,1367.23
33,2022-03-16,1383.00,1361.34
34,2022-03-15,1397.16,1354.16
35,2022-03-14,1383.07,1347.38
36,2022-03-11,1381.73,1350.71
37,2022-03-10,1380.91,1366.90
38,2022-03-08,1371.84,1330.42
39,2022-03-07,1359.45,1316.90
40,2022-03-04,1365.56,1331.84
41,2022-03-03,1364.92,1340.08
42,2022-03-02,1365.69,1341.17
43,2022-02-28,1370.95,1342.09
44,2022-02-25,1371.28,1343.15
45,2022-02-24,1380.00,1347.31
46,2022-02-23,1377.80,1353.54
47,2022-02-22,1378.38,1350.38
48,2022-02-21,1381.39,1354.38
49,2022-02-18,1385.84,1360.80
50,2022-02-17,1386.79,1362.43
51,2022-02-16,1389.77,1361.38
52,2022-02-15,1385.78,1354.62
53,2022-02-14,1380.35,1361.31
54,2022-02-11,1390.14,1365.17
55,2022-02-10,1393.96,1366.19
56,2022-02-09,1393.10,1367.29
57,2022-02-08,1393.94,1372.17
58,2022-02-07,1399.81,1374.27
59,2022-02-04,1400.29,1378.62
60,2022-02-03,1386.54,1362.98
61,2022-01-28,1375.01,1340.07
62,2022-01-27,1374.35,1345.55
63,2022-01-26,1378.12,1353.87
64,2022-01-25,1381.02,1352.67
65,2022-01-24,1381.60,1353.54
66,2022-01-21,1377.99,1346.76
67,2022-01-20,1377.41,1351.62
68,2022-01-19,1377.99,1346.73
69,2022-01-18,1383.73,1360.18
70,2022-01-17,1388.93,1354.58
71,2022-01-14,1389.25,1361.26
72,2022-01-13,1387.38,1361.66
73,2022-01-12,1382.21,1358.88
74,2022-01-11,1381.06,1359.36
75,2022-01-10,1384.77,1365.69
76,2022-01-07,1388.92,1355.31
77,2022-01-06,1387.73,1355.04
78,2022-01-05,1380.77,1347.77
79,2022-01-04,1377.49,1345.13
80,2022-01-03,1379.87,1348.33
81,2021-12-31,1374.65,1342.34
82,2021-12-30,1370.76,1346.85
83,2021-12-29,1366.16,1342.16
84,2021-12-28,1372.25,1343.79
85,2021-12-27,1369.64,1343.06
86,2021-12-24,1372.66,1344.84
87,2021-12-23,1370.70,1348.91
88,2021-12-22,1370.42,1344.19
89,2021-12-21,1374.64,1341.74
90,2021-12-20,1369.72,1331.27
91,2021-12-17,1369.87,1340.96
92,2021-12-16,1365.74,1340.11
93,2021-12-15,1362.50,1332.38
94,2021-12-14,1360.49,1330.10
95,2021-12-13,1359.32,1332.96
96,2021-12-10,1359.95,1325.81
97,2021-12-09,1357.91,1334.33
98,2021-12-08,1353.92,1331.15
99,2021-12-07,1354.93,1335.63
100,2021-12-06,1360.64,1332.29
101,2021-12-03,1360.40,1330.41
102,2021-12-02,1357.13,1336.22
103,2021-12-01,1360.62,1346.79
104,2021-11-30,1377.59,1347.59
105,2021-11-29,1370.38,1347.14
106,2021-11-26,1371.91,1333.53
107,2021-11-25,1361.97,1331.30
108,2021-11-24,1358.81,1337.22
109,2021-11-23,1365.22,1334.52
110,2021-11-22,1364.91,1335.28
111,2021-11-19,1369.96,1342.52
112,2021-11-18,1364.79,1339.54
113,2021-11-17,1363.22,1335.07
