,date,buy,standard
0,2022-05-02,628.38,581.07
1,2022-04-29,622.17,580.88
2,2022-04-28,631.81,580.39
3,2022-04-27,628.72,574.22
4,2022-04-26,625.26,576.16
5,2022-04-25,630.29,579.75
6,2022-04-22,628.39,578.51
7,2022-04-21,628.57,582.30
8,2022-04-20,623.22,577.69
9,2022-04-19,623.50,574.61
10,2022-04-18,629.04,580.12
11,2022-04-15,625.67,577.33
12,2022-04-14,621.72,576.28
13,2022-04-13,625.19,583.18
14,2022-04-12,623.85,578.05
15,2022-04-11,628.00,577.48
16,2022-04-08,626.70,576.47
17,2022-04-07,624.70,577.98
18,2022-04-06,625.53,577.08
19,2022-04-05,621.52,577.20
20,2022-04-04,621.89,576.55
21,2022-04-01,622.04,573.02
22,2022-03-31,623.17,576.22
23,2022-03-30,620.51,579.74
24,2022-03-29,623.13,580.37
25,2022-03-28,629.83,579.79
26,2022-03-25,625.65,579.58
27,2022-03-24,628.27,576.40
28,2022-03-23,622.96,579.80
29,2022-03-22,620.74,573.23
30,2022-03-21,617.45,570.31
31,2022-03-18,618.36,574.78
32,2022-03-17,614.23,582.49
33,2022-03-16,621.83,579.38
34,2022-03-15,626.86,577.19
35,2022-03-14,622.52,573.81
36,2022-03-11,661.05,608.94
37,2022-03-10,623.03,579.97
38,2022-03-08,625.81,574.71
39,2022-03-07,624.68,570.86
40,2022-03-04,615.79,564.37
41,2022-03-03,610.61,564.42
42,2022-03-02,609.09,562.77
43,2022-02-28,606.83,561.66
44,2022-02-25,597.13,551.00
45,2022-02-24,607.25,556.95
46,2022-02-23,600.10,557.33
47,2022-02-22,599.62,555.73
48,2022-02-21,592.27,550.46
49,2022-02-18,600.23,556.77
50,2022-02-17,601.57,556.80
51,2022-02-16,598.82,555.38
52,2022-02-15,591.85,548.10
53,2022-02-14,603.64,560.21
54,2022-02-11,600.44,555.66
55,2022-02-10,600.53,556.02
56,2022-02-09,598.75,555.18
57,2022-02-08,599.29,555.32
58,2022-02-07,594.74,550.21
59,2022-02-04,600.19,558.94
60,2022-02-03,602.80,558.72
61,2022-01-28,601.29,552.74
62,2022-01-27,601.53,553.97
63,2022-01-26,600.77,556.38
64,2022-01-25,600.62,554.35
65,2022-01-24,603.78,557.65
66,2022-01-21,601.47,556.15
67,2022-01-20,618.34,573.61
68,2022-01-19,593.70,548.32
69,2022-01-18,601.38,557.28
70,2022-01-17,605.11,558.29
71,2022-01-14,602.96,558.57
72,2022-01-13,601.75,559.02
73,2022-01-12,601.43,558.16
74,2022-01-11,600.43,558.96
75,2022-01-10,595.59,553.22
76,2022-01-07,604.76,557.93
77,2022-01-06,607.92,559.68
78,2022-01-05,605.16,558.57
79,2022-01-04,602.41,555.39
80,2022-01-03,597.49,549.72
81,2021-12-31,602.86,555.64
82,2021-12-30,601.58,555.92
83,2021-12-29,599.48,554.90
84,2021-12-28,601.33,555.73
85,2021-12-27,600.84,555.83
86,2021-12-24,600.81,556.34
87,2021-12-23,600.05,557.12
88,2021-12-22,599.60,554.76
89,2021-12-21,597.88,552.07
90,2021-12-20,594.73,547.19
91,2021-12-17,597.38,552.22
92,2021-12-16,595.64,552.77
93,2021-12-15,594.47,549.55
94,2021-12-14,594.09,548.38
95,2021-12-13,594.86,549.04
96,2021-12-10,594.62,546.99
97,2021-12-09,593.54,549.50
98,2021-12-08,591.31,549.49
99,2021-12-07,589.61,548.29
100,2021-12-06,597.01,551.23
101,2021-12-03,594.04,547.92
102,2021-12-02,590.90,549.55
103,2021-12-01,594.16,553.71
104,2021-11-30,599.05,556.01
105,2021-11-29,602.20,557.61
106,2021-11-26,603.53,556.07
107,2021-11-25,601.25,555.98
108,2021-11-24,601.89,558.43
109,2021-11-23,603.18,557.96
110,2021-11-22,606.15,559.32
111,2021-11-19,605.31,557.90
112,2021-11-18,601.41,558.07
113,2021-11-17,602.31,557.01
114,2021-11-16,606.98,561.89
115,2021-11-15,601.89,557.60
116,2021-11-12,601.63,560.01
117,2021-11-11,606.11,560.27
118,2021-11-10,606.22,561.74
119,2021-11-09,607.47,565.98
120,2021-11-08,608.67,564.63
121,2021-11-05,609.70,562.15
122,2021-11-04,609.62,563.50
123,2021-11-03,608.58,560.83
124,2021-11-02,609.73,564.74
125,2021-11-01,611.99,562.58
126,2021-10-29,602.07,557.85
127,2021-10-28,606.42,560.57
128,2021-10-27,611.47,562.74
129,2021-10-26,604.00,561.76
130,2021-10-25,603.69,563.98
131,2021-10-22,604.07,559.80
132,2021-10-21,610.93,564.76
133,2021-10-20,607.58,565.80
134,2021-10-19,605.97,564.92
135,2021-10-18,610.18,562.78
136,2021-10-15,607.64,565.39
137,2021-10-14,606.88,566.43
138,2021-10-13,608.40,566.93
139,2021-10-12,611.53,563.76
