,date,buy,standard
0,2022-05-02,3.80,3.53
1,2022-04-29,3.80,3.52
2,2022-04-28,3.81,3.52
3,2022-04-27,3.84,3.52
4,2022-04-26,3.88,3.59
5,2022-04-25,3.92,3.61
6,2022-04-22,3.92,3.61
7,2022-04-21,3.89,3.62
8,2022-04-20,3.87,3.58
9,2022-04-19,3.84,3.55
10,2022-04-18,3.82,3.54
11,2022-04-15,3.82,3.52
12,2022-04-14,3.82,3.55
13,2022-04-13,3.79,3.54
14,2022-04-12,3.83,3.54
15,2022-04-11,3.81,3.52
16,2022-04-08,3.79,3.50
17,2022-04-07,3.78,3.50
18,2022-04-06,3.81,3.51
19,2022-04-05,3.89,3.62
20,2022-04-04,3.96,3.66
21,2022-04-01,3.95,3.65
22,2022-03-31,3.97,3.68
23,2022-03-30,3.93,3.68
24,2022-03-29,3.87,3.59
25,2022-03-28,3.89,3.59
26,2022-03-25,3.87,3.58
27,2022-03-24,3.88,3.57
28,2022-03-23,3.90,3.64
29,2022-03-22,3.89,3.58
30,2022-03-21,3.85,3.57
31,2022-03-18,3.89,3.64
32,2022-03-17,3.94,3.69
33,2022-03-16,3.95,3.66
34,2022-03-15,3.92,3.62
35,2022-03-14,3.81,3.52
36,2022-03-11,3.82,3.54
37,2022-03-10,3.86,3.61
38,2022-03-08,3.67,3.38
39,2022-03-07,3.73,3.42
40,2022-03-04,3.79,3.50
41,2022-03-03,3.81,3.53
42,2022-03-02,3.84,3.56
43,2022-02-28,4.01,3.71
44,2022-02-25,3.97,3.66
45,2022-02-24,4.02,3.73
46,2022-02-23,4.09,3.80
47,2022-02-22,4.07,3.78
48,2022-02-21,4.09,3.79
49,2022-02-18,4.12,3.82
50,2022-02-17,4.15,3.84
51,2022-02-16,4.15,3.85
52,2022-02-15,4.09,3.79
53,2022-02-14,4.10,3.82
54,2022-02-11,4.16,3.85
55,2022-02-10,4.17,3.87
56,2022-02-09,4.16,3.86
57,2022-02-08,4.17,3.88
58,2022-02-07,4.19,3.88
59,2022-02-04,4.19,3.89
60,2022-02-03,4.14,3.85
61,2022-01-28,4.07,3.76
62,2022-01-27,4.05,3.74
63,2022-01-26,4.07,3.77
64,2022-01-25,4.03,3.74
65,2022-01-24,4.08,3.78
66,2022-01-21,4.09,3.78
67,2022-01-20,4.09,3.80
68,2022-01-19,4.08,3.76
69,2022-01-18,4.12,3.82
70,2022-01-17,4.11,3.80
71,2022-01-14,4.13,3.83
72,2022-01-13,4.15,3.86
73,2022-01-12,4.08,3.80
74,2022-01-11,4.08,3.79
75,2022-01-10,4.09,3.81
76,2022-01-07,4.08,3.76
77,2022-01-06,4.05,3.74
78,2022-01-05,4.01,3.71
79,2022-01-04,3.96,3.66
80,2022-01-03,3.96,3.65
81,2021-12-31,3.94,3.64
82,2021-12-30,3.93,3.64
83,2021-12-29,3.93,3.63
84,2021-12-28,3.92,3.63
85,2021-12-27,3.92,3.63
86,2021-12-24,3.92,3.64
87,2021-12-23,3.94,3.66
88,2021-12-22,3.94,3.65
89,2021-12-21,3.94,3.65
90,2021-12-20,3.93,3.63
91,2021-12-17,3.94,3.64
92,2021-12-16,3.92,3.63
93,2021-12-15,3.90,3.62
94,2021-12-14,3.93,3.62
95,2021-12-13,3.94,3.64
96,2021-12-10,3.93,3.63
97,2021-12-09,3.94,3.66
98,2021-12-08,3.90,3.63
99,2021-12-07,3.93,3.65
100,2021-12-06,3.96,3.65
101,2021-12-03,3.94,3.65
102,2021-12-02,3.97,3.69
103,2021-12-01,3.97,3.69
104,2021-11-30,3.95,3.67
105,2021-11-29,3.95,3.65
106,2021-11-26,3.93,3.64
107,2021-11-25,3.89,3.61
108,2021-11-24,3.89,3.61
109,2021-11-23,3.89,3.60
110,2021-11-22,3.95,3.64
111,2021-11-19,3.99,3.69
112,2021-11-18,3.97,3.68
113,2021-11-17,3.96,3.66
114,2021-11-16,3.97,3.67
115,2021-11-15,3.97,3.68
