,date,buy,standard
0,2022-05-02,17.86,16.53
1,2022-04-29,17.75,16.56
2,2022-04-28,17.90,16.48
3,2022-04-27,17.79,16.28
4,2022-04-26,17.62,16.25
5,2022-04-25,17.65,16.24
6,2022-04-22,17.60,16.21
7,2022-04-21,17.52,16.22
8,2022-04-20,17.40,16.15
9,2022-04-19,17.53,16.16
10,2022-04-18,17.42,16.12
11,2022-04-15,17.38,16.04
12,2022-04-14,17.42,16.13
13,2022-04-13,17.34,16.24
14,2022-04-12,17.50,16.25
15,2022-04-11,17.45,16.11
16,2022-04-08,17.42,16.05
17,2022-04-07,17.37,16.05
18,2022-04-06,17.38,16.07
19,2022-04-05,17.40,16.13
20,2022-04-04,17.28,16.00
21,2022-04-01,17.32,15.95
22,2022-03-31,17.33,15.97
23,2022-03-30,17.23,16.13
24,2022-03-29,17.34,16.11
25,2022-03-28,17.34,15.97
26,2022-03-25,17.35,15.98
27,2022-03-24,17.28,15.85
28,2022-03-23,17.24,16.04
29,2022-03-22,17.22,15.91
30,2022-03-21,17.19,15.92
31,2022-03-18,17.26,16.07
32,2022-03-17,17.17,16.28
33,2022-03-16,17.38,16.28
34,2022-03-15,17.56,16.19
35,2022-03-14,17.49,16.11
36,2022-03-11,17.48,16.10
37,2022-03-10,17.37,16.16
38,2022-03-08,17.34,15.92
39,2022-03-07,17.38,15.85
40,2022-03-04,17.22,15.84
41,2022-03-03,17.23,15.93
42,2022-03-02,17.26,15.91
43,2022-02-28,17.38,16.02
44,2022-02-25,17.23,15.86
45,2022-02-24,17.38,15.97
46,2022-02-23,17.28,16.01
47,2022-02-22,17.30,16.03
48,2022-02-21,17.29,16.02
49,2022-02-18,17.20,15.95
50,2022-02-17,17.26,15.95
51,2022-02-16,17.18,15.94
52,2022-02-15,17.05,15.83
53,2022-02-14,17.21,15.92
54,2022-02-11,17.22,15.93
55,2022-02-10,17.24,15.99
56,2022-02-09,17.28,16.04
57,2022-02-08,17.34,16.07
58,2022-02-07,17.39,16.07
59,2022-02-04,17.39,16.15
60,2022-02-03,17.34,16.11
61,2022-01-28,17.40,15.99
62,2022-01-27,17.33,15.98
63,2022-01-26,17.28,16.02
64,2022-01-25,17.33,16.00
65,2022-01-24,17.30,16.04
66,2022-01-21,17.28,15.99
67,2022-01-20,17.24,16.01
68,2022-01-19,17.24,15.94
69,2022-01-18,17.36,16.06
70,2022-01-17,17.30,16.01
71,2022-01-14,17.36,16.06
72,2022-01-13,17.32,16.12
73,2022-01-12,17.48,16.19
74,2022-01-11,17.37,16.20
75,2022-01-10,17.40,16.19
76,2022-01-07,17.49,16.13
77,2022-01-06,17.50,16.13
78,2022-01-05,17.35,16.02
79,2022-01-04,17.38,16.01
80,2022-01-03,17.28,15.92
81,2021-12-31,17.29,15.93
82,2021-12-30,17.12,15.91
83,2021-12-29,17.15,15.88
84,2021-12-28,17.12,15.82
85,2021-12-27,17.10,15.82
86,2021-12-24,17.15,15.83
87,2021-12-23,16.99,15.79
88,2021-12-22,16.95,15.74
89,2021-12-21,16.97,15.71
90,2021-12-20,16.94,15.58
91,2021-12-17,16.80,15.53
92,2021-12-16,16.76,15.54
93,2021-12-15,16.81,15.56
94,2021-12-14,16.81,15.56
95,2021-12-13,16.81,15.56
96,2021-12-10,16.92,15.53
97,2021-12-09,16.86,15.61
98,2021-12-08,16.86,15.66
99,2021-12-07,16.90,15.70
100,2021-12-06,16.96,15.66
101,2021-12-03,17.02,15.70
102,2021-12-02,16.93,15.73
103,2021-12-01,16.95,15.81
104,2021-11-30,17.12,15.90
105,2021-11-29,17.15,15.89
106,2021-11-26,17.29,15.97
107,2021-11-25,17.20,15.93
108,2021-11-24,17.21,15.97
109,2021-11-23,17.17,15.95
110,2021-11-22,17.28,15.92
111,2021-11-19,17.28,15.92
112,2021-11-18,17.23,15.94
113,2021-11-17,17.17,15.84
114,2021-11-16,17.17,15.85
115,2021-11-15,17.17,15.87
116,2021-11-12,17.12,15.94
117,2021-11-11,17.15,15.87
118,2021-11-10,17.12,15.89
119,2021-11-09,17.18,16.02
120,2021-11-08,17.22,15.97
121,2021-11-05,17.17,15.85
122,2021-11-04,17.11,15.87
123,2021-11-03,17.07,15.73
124,2021-11-02,16.99,15.72
125,2021-11-01,16.95,15.61
126,2021-10-29,16.92,15.67
127,2021-10-28,16.86,15.56
128,2021-10-27,16.94,15.57
129,2021-10-26,16.76,15.61
130,2021-10-25,16.80,15.71
131,2021-10-22,16.98,15.71
132,2021-10-21,16.93,15.71
133,2021-10-20,16.85,15.73
134,2021-10-19,16.88,15.76
135,2021-10-18,17.16,15.76
136,2021-10-15,17.03,15.85
137,2021-10-14,17.03,15.87
138,2021-10-13,17.05,15.89
139,2021-10-12,17.17,15.83
140,2021-10-08,17.29,15.90
141,2021-10-07,17.19,15.92
142,2021-10-06,17.24,15.92
143,2021-10-05,17.21,15.92
144,2021-10-01,17.26,15.98
145,2021-09-30,17.23,15.95
146,2021-09-29,17.29,15.93
147,2021-09-28,17.32,15.93
148,2021-09-27,17.24,15.92
149,2021-09-24,17.10,16.00
150,2021-09-23,17.13,15.94
151,2021-09-17,17.26,15.89
152,2021-09-16,17.20,15.95
153,2021-09-15,17.16,15.92
154,2021-09-14,17.21,15.97
155,2021-09-13,17.24,15.92
156,2021-09-10,17.07,15.91
157,2021-09-09,17.09,15.78
158,2021-09-08,17.18,15.78
159,2021-09-07,17.16,15.84
160,2021-09-06,17.11,15.84
161,2021-09-03,17.06,15.87
162,2021-09-02,17.19,15.86
163,2021-09-01,17.07,15.93
164,2021-08-31,17.13,15.89
165,2021-08-30,17.07,15.93
166,2021-08-27,17.05,15.75
167,2021-08-26,17.01,15.74
168,2021-08-25,16.96,15.75
169,2021-08-24,17.05,15.84
170,2021-08-23,17.06,15.83
171,2021-08-20,17.17,15.79
172,2021-08-19,17.04,15.79
173,2021-08-18,16.94,15.80
174,2021-08-17,17.03,15.75
175,2021-08-13,16.90,15.59
176,2021-08-12,16.85,15.55
177,2021-08-11,16.78,15.43
178,2021-08-10,16.59,15.37
179,2021-08-09,16.74,15.39
180,2021-08-06,16.67,15.43
181,2021-08-05,16.63,15.44
182,2021-08-04,16.64,15.50
183,2021-08-03,16.68,15.49
184,2021-08-02,16.67,15.44
185,2021-07-30,16.68,15.45
186,2021-07-29,16.65,15.50
187,2021-07-28,16.71,15.43
188,2021-07-27,16.75,15.51
189,2021-07-26,16.71,15.44
190,2021-07-23,16.69,15.46
191,2021-07-22,16.67,15.45
192,2021-07-21,16.71,15.44
193,2021-07-20,16.61,15.31
194,2021-07-19,16.62,15.29
195,2021-07-16,16.57,15.34
196,2021-07-15,16.55,15.45
197,2021-07-14,16.65,15.34
198,2021-07-13,16.61,15.38
199,2021-07-12,16.63,15.42
200,2021-07-09,16.56,15.30
201,2021-07-08,16.57,15.21
202,2021-07-07,16.41,15.14
203,2021-07-06,16.49,15.21
204,2021-07-05,16.36,15.22
205,2021-07-02,16.48,15.18
206,2021-07-01,16.40,15.19
207,2021-06-30,16.48,15.21
208,2021-06-29,16.51,15.21
209,2021-06-28,16.47,15.21
210,2021-06-25,16.40,15.31
211,2021-06-24,16.48,15.31
212,2021-06-23,16.45,15.23
213,2021-06-22,16.53,15.31
214,2021-06-21,16.54,15.28
215,2021-06-18,16.47,15.23
216,2021-06-17,16.71,15.25
217,2021-06-16,16.50,15.24
218,2021-06-15,16.51,15.25
