,date,buy,standard
0,2022-05-02,9.24,8.73
1,2022-04-29,9.23,8.76
2,2022-04-28,9.45,8.76
3,2022-04-27,9.35,8.66
4,2022-04-26,9.14,8.63
5,2022-04-25,9.20,8.65
6,2022-04-22,9.20,8.62
7,2022-04-21,9.12,8.62
8,2022-04-20,9.14,8.61
9,2022-04-19,9.11,8.59
10,2022-04-18,9.10,8.58
11,2022-04-15,9.08,8.53
12,2022-04-14,9.06,8.55
13,2022-04-13,9.07,8.61
14,2022-04-12,9.11,8.58
15,2022-04-11,9.09,8.52
16,2022-04-08,9.04,8.49
17,2022-04-07,9.02,8.49
18,2022-04-06,9.01,8.45
19,2022-04-05,8.97,8.48
20,2022-04-04,8.98,8.46
21,2022-04-01,8.99,8.43
22,2022-03-31,8.95,8.44
23,2022-03-30,8.95,8.50
24,2022-03-29,8.98,8.53
25,2022-03-28,9.06,8.50
26,2022-03-25,9.01,8.50
27,2022-03-24,9.04,8.45
28,2022-03-23,8.96,8.51
29,2022-03-22,9.04,8.46
30,2022-03-21,8.97,8.44
31,2022-03-18,8.95,8.53
32,2022-03-17,9.05,8.67
33,2022-03-16,9.20,8.67
34,2022-03-15,9.22,8.64
35,2022-03-14,9.15,8.62
36,2022-03-11,9.15,8.60
37,2022-03-10,9.11,8.60
38,2022-03-08,9.05,8.51
39,2022-03-07,9.01,8.42
40,2022-03-04,8.98,8.37
41,2022-03-03,8.87,8.38
42,2022-03-02,8.93,8.41
43,2022-02-28,8.87,8.37
44,2022-02-25,8.87,8.34
45,2022-02-24,8.89,8.31
46,2022-02-23,8.80,8.32
47,2022-02-22,8.86,8.34
48,2022-02-21,8.85,8.35
49,2022-02-18,8.87,8.36
50,2022-02-17,8.92,8.39
51,2022-02-16,8.90,8.38
52,2022-02-15,8.87,8.36
53,2022-02-14,8.86,8.36
54,2022-02-11,8.84,8.34
55,2022-02-10,8.85,8.33
56,2022-02-09,8.84,8.32
57,2022-02-08,8.80,8.33
58,2022-02-07,8.84,8.34
59,2022-02-04,8.85,8.38
60,2022-02-03,8.88,8.40
61,2022-01-28,8.89,8.36
62,2022-01-27,8.87,8.34
63,2022-01-26,8.86,8.35
64,2022-01-25,8.84,8.33
65,2022-01-24,8.87,8.33
66,2022-01-21,8.84,8.30
67,2022-01-20,8.79,8.30
68,2022-01-19,8.80,8.29
69,2022-01-18,8.84,8.33
70,2022-01-17,8.84,8.31
71,2022-01-14,8.80,8.31
72,2022-01-13,8.80,8.31
73,2022-01-12,8.86,8.36
74,2022-01-11,8.89,8.39
75,2022-01-10,8.89,8.37
76,2022-01-07,8.89,8.33
77,2022-01-06,8.92,8.35
78,2022-01-05,8.87,8.35
79,2022-01-04,8.90,8.35
80,2022-01-03,8.87,8.32
81,2021-12-31,8.85,8.31
82,2021-12-30,8.85,8.33
83,2021-12-29,8.86,8.34
84,2021-12-28,8.85,8.34
85,2021-12-27,8.85,8.34
86,2021-12-24,8.87,8.33
87,2021-12-23,8.86,8.34
88,2021-12-22,8.87,8.32
89,2021-12-21,8.80,8.28
90,2021-12-20,8.76,8.24
91,2021-12-17,8.76,8.25
92,2021-12-16,8.78,8.28
93,2021-12-15,8.77,8.26
94,2021-12-14,8.74,8.22
95,2021-12-13,8.72,8.20
96,2021-12-10,8.69,8.18
97,2021-12-09,8.70,8.19
98,2021-12-08,8.69,8.22
99,2021-12-07,8.70,8.20
100,2021-12-06,8.70,8.19
101,2021-12-03,8.70,8.19
102,2021-12-02,8.69,8.23
103,2021-12-01,8.76,8.29
104,2021-11-30,8.80,8.33
105,2021-11-29,8.86,8.34
106,2021-11-26,8.89,8.34
107,2021-11-25,8.85,8.34
108,2021-11-24,8.86,8.34
109,2021-11-23,8.86,8.33
110,2021-11-22,8.85,8.31
111,2021-11-19,8.84,8.30
112,2021-11-18,8.81,8.31
113,2021-11-17,8.82,8.29
114,2021-11-16,8.80,8.30
115,2021-11-15,8.81,8.29
116,2021-11-12,8.79,8.31
117,2021-11-11,8.81,8.29
118,2021-11-10,8.78,8.27
119,2021-11-09,8.78,8.31
120,2021-11-08,8.82,8.27
121,2021-11-05,8.75,8.23
122,2021-11-04,8.74,8.26
123,2021-11-03,8.79,8.25
124,2021-11-02,8.76,8.26
125,2021-11-01,8.77,8.26
126,2021-10-29,8.77,8.27
127,2021-10-28,8.75,8.24
128,2021-10-27,8.79,8.24
129,2021-10-26,8.71,8.28
130,2021-10-25,8.76,8.34
131,2021-10-22,8.85,8.33
132,2021-10-21,8.87,8.35
133,2021-10-20,8.82,8.40
134,2021-10-19,8.90,8.40
135,2021-10-18,8.95,8.40
136,2021-10-15,8.93,8.42
137,2021-10-14,8.90,8.41
138,2021-10-13,8.91,8.43
139,2021-10-12,8.95,8.40
140,2021-10-08,8.92,8.37
141,2021-10-07,8.88,8.35
142,2021-10-06,8.89,8.33
143,2021-10-05,8.82,8.32
144,2021-10-01,8.79,8.28
145,2021-09-30,8.78,8.29
146,2021-09-29,8.80,8.28
147,2021-09-28,8.78,8.25
148,2021-09-27,8.76,8.24
149,2021-09-24,8.78,8.30
150,2021-09-23,8.76,8.27
151,2021-09-17,8.80,8.20
152,2021-09-16,8.74,8.23
153,2021-09-15,8.70,8.23
154,2021-09-14,8.73,8.24
155,2021-09-13,8.78,8.24
156,2021-09-10,8.72,8.21
157,2021-09-09,8.71,8.17
158,2021-09-08,8.69,8.15
159,2021-09-07,8.67,8.14
160,2021-09-06,8.63,8.11
161,2021-09-03,8.61,8.13
162,2021-09-02,8.60,8.10
163,2021-09-01,8.61,8.15
164,2021-08-31,8.60,8.10
165,2021-08-30,8.59,8.12
166,2021-08-27,8.60,8.10
167,2021-08-26,8.59,8.10
168,2021-08-25,8.61,8.12
169,2021-08-24,8.61,8.15
170,2021-08-23,8.62,8.14
171,2021-08-20,8.72,8.15
172,2021-08-19,8.66,8.16
173,2021-08-18,8.68,8.17
174,2021-08-17,8.58,8.13
175,2021-08-13,8.66,8.06
176,2021-08-12,8.55,8.03
177,2021-08-11,8.50,7.99
178,2021-08-10,8.49,7.97
179,2021-08-09,8.46,7.96
180,2021-08-06,8.44,7.97
181,2021-08-05,8.45,8.01
182,2021-08-04,8.50,8.02
183,2021-08-03,8.49,7.98
184,2021-08-02,8.45,7.93
185,2021-07-30,8.41,7.92
186,2021-07-29,8.40,7.97
187,2021-07-28,8.44,7.94
188,2021-07-27,8.45,7.96
189,2021-07-26,8.44,7.93
190,2021-07-23,8.41,7.95
191,2021-07-22,8.42,7.91
192,2021-07-21,8.40,7.93
193,2021-07-20,8.40,7.89
194,2021-07-19,8.37,7.87
195,2021-07-16,8.35,7.90
196,2021-07-15,8.34,7.94
197,2021-07-14,8.42,7.92
198,2021-07-13,8.39,7.91
199,2021-07-12,8.40,7.90
200,2021-07-09,8.37,7.87
201,2021-07-08,8.41,7.85
202,2021-07-07,8.33,7.82
203,2021-07-06,8.33,7.81
204,2021-07-05,8.26,7.81
205,2021-07-02,8.29,7.81
206,2021-07-01,8.28,7.79
207,2021-06-30,8.28,7.80
208,2021-06-29,8.31,7.82
209,2021-06-28,8.32,7.83
210,2021-06-25,8.31,7.87
211,2021-06-24,8.34,7.87
212,2021-06-23,8.37,7.86
213,2021-06-22,8.34,7.87
214,2021-06-21,8.40,7.88
215,2021-06-18,8.36,7.87
216,2021-06-17,8.42,7.85
217,2021-06-16,8.33,7.86
218,2021-06-15,8.35,7.86
219,2021-06-14,8.35,7.83
220,2021-06-11,8.28,7.83
221,2021-06-10,8.31,7.83
222,2021-06-09,8.31,7.81
223,2021-06-08,8.29,7.79
224,2021-06-07,8.26,7.82
225,2021-06-04,8.29,7.78
226,2021-06-03,8.25,7.78
227,2021-06-02,8.24,7.75
228,2021-06-01,8.20,7.80
229,2021-05-31,8.28,7.81
230,2021-05-28,8.29,7.83
231,2021-05-27,8.28,7.81
232,2021-05-26,8.31,7.84
233,2021-05-25,8.32,7.86
234,2021-05-24,8.33,7.85
235,2021-05-21,8.34,7.88
236,2021-05-20,8.41,7.93
237,2021-05-18,8.36,7.93
238,2021-05-17,8.42,7.96
239,2021-05-14,8.41,7.96
240,2021-05-13,8.45,7.91
241,2021-05-12,8.35,7.88
242,2021-05-11,8.38,7.85
243,2021-05-10,8.36,7.85
244,2021-05-07,8.34,7.86
245,2021-05-06,8.31,7.77
246,2021-05-04,8.27,7.75
247,2021-05-03,8.23,7.68
248,2021-04-30,8.14,7.66
249,2021-04-29,8.14,7.67
250,2021-04-28,8.16,7.67
251,2021-04-27,8.14,7.69
252,2021-04-26,8.13,7.70
253,2021-04-23,8.18,7.69
254,2021-04-22,8.18,7.69
255,2021-04-21,8.15,7.68
256,2021-04-20,8.13,7.69
257,2021-04-19,8.15,7.68
258,2021-04-16,8.11,7.65
259,2021-04-15,8.07,7.67
260,2021-04-14,8.13,7.71
261,2021-04-13,8.15,7.70
262,2021-04-12,8.18,7.67
263,2021-04-09,8.13,7.70
264,2021-04-08,8.18,7.70
265,2021-04-07,8.18,7.74
266,2021-04-06,8.23,7.77
267,2021-04-05,8.23,7.76
268,2021-04-02,8.22,7.77
269,2021-04-01,8.24,7.80
270,2021-03-31,8.27,7.83
271,2021-03-30,8.32,7.83
272,2021-03-29,8.33,7.85
273,2021-03-26,8.33,7.86
274,2021-03-25,8.33,7.86
275,2021-03-24,8.31,7.84
276,2021-03-23,8.29,7.85
277,2021-03-22,8.29,7.86
278,2021-03-19,8.32,7.80
279,2021-03-18,8.28,7.84
280,2021-03-17,8.32,7.86
281,2021-03-16,8.35,7.89
282,2021-03-15,8.38,7.86
283,2021-03-12,8.34,7.90
284,2021-03-11,8.33,7.92
285,2021-03-10,8.40,7.92
286,2021-03-09,8.37,7.88
287,2021-03-08,8.39,7.90
288,2021-03-05,8.43,7.89
289,2021-03-04,8.40,7.88
290,2021-03-03,8.35,7.83
291,2021-03-02,8.38,7.87
292,2021-02-26,8.44,7.87
293,2021-02-25,8.36,7.88
294,2021-02-24,8.34,7.88
295,2021-02-23,8.36,7.84
296,2021-02-22,8.36,7.87
297,2021-02-19,8.33,7.88
298,2021-02-18,8.34,7.90
299,2021-02-17,8.44,7.90
300,2021-02-16,8.40,7.93
301,2021-02-15,8.40,7.94
302,2021-02-10,8.43,7.97
303,2021-02-09,8.45,7.99
304,2021-02-08,8.46,8.01
305,2021-02-05,8.51,7.97
306,2021-02-04,8.44,7.95
307,2021-02-03,8.43,7.96
308,2021-02-02,8.45,7.97
309,2021-02-01,8.44,7.96
310,2021-01-29,8.42,7.92
311,2021-01-28,8.38,7.86
312,2021-01-27,8.34,7.84
313,2021-01-26,8.31,7.87
314,2021-01-25,8.33,7.85
315,2021-01-22,8.36,7.85
316,2021-01-21,8.34,7.84
317,2021-01-20,8.32,7.84
318,2021-01-19,8.32,7.85
319,2021-01-18,8.35,7.83
320,2021-01-15,8.29,7.83
321,2021-01-14,8.29,7.79
322,2021-01-13,8.23,7.78
323,2021-01-12,8.24,7.77
324,2021-01-11,8.29,7.81
325,2021-01-08,8.35,7.82
326,2021-01-07,8.28,7.82
327,2021-01-06,8.32,7.81
328,2021-01-05,8.31,7.79
329,2021-01-04,8.29,7.74
330,2020-12-31,8.20,7.74
331,2020-12-30,8.18,7.74
332,2020-12-29,8.20,7.76
333,2020-12-28,8.23,7.77
334,2020-12-24,8.25,7.81
335,2020-12-23,8.29,7.79
336,2020-12-22,8.29,7.79
337,2020-12-21,8.28,7.78
338,2020-12-18,8.26,7.75
339,2020-12-17,8.18,7.73
340,2020-12-16,8.19,7.74
341,2020-12-15,8.21,7.74
342,2020-12-14,8.20,7.74
343,2020-12-11,8.23,7.70
344,2020-12-10,8.17,7.68
345,2020-12-09,8.15,7.69
346,2020-12-08,8.15,7.68
347,2020-12-07,8.17,7.70
348,2020-12-04,8.13,7.77
349,2020-12-03,8.23,7.81
350,2020-12-02,8.29,7.84
351,2020-12-01,8.34,7.83
352,2020-11-30,8.31,7.84
353,2020-11-27,8.32,7.84
354,2020-11-26,8.31,7.83
355,2020-11-25,8.27,7.85
356,2020-11-24,8.31,7.86
357,2020-11-23,8.34,7.87
358,2020-11-20,8.36,7.86
359,2020-11-19,8.39,7.86
360,2020-11-18,8.34,7.87
361,2020-11-17,8.36,7.85
362,2020-11-16,8.32,7.87
363,2020-11-13,8.33,7.86
364,2020-11-12,8.36,7.90
365,2020-11-11,8.39,7.94
366,2020-11-10,8.41,7.93
367,2020-11-09,8.38,7.91
368,2020-11-06,8.35,7.86
369,2020-11-05,8.28,7.80
370,2020-11-04,8.35,7.78
371,2020-11-03,8.23,7.75
372,2020-11-02,8.20,7.73
373,2020-10-30,8.22,7.75
374,2020-10-29,8.21,7.72
375,2020-10-28,8.19,7.71
376,2020-10-27,8.17,7.71
377,2020-10-26,8.18,7.74
378,2020-10-23,8.17,7.74
379,2020-10-22,8.25,7.75
380,2020-10-21,8.21,7.78
