,date,buy,standard
0,2022-05-02,409.51,378.70
1,2022-04-29,409.30,382.11
2,2022-04-28,414.90,381.19
3,2022-04-27,412.34,376.61
4,2022-04-26,411.25,379.02
5,2022-04-25,412.77,379.68
6,2022-04-22,414.08,381.22
7,2022-04-21,414.81,384.28
8,2022-04-20,411.80,381.71
9,2022-04-19,413.34,381.02
10,2022-04-18,414.02,381.88
11,2022-04-15,412.05,380.13
12,2022-04-14,413.40,383.15
13,2022-04-13,413.92,386.11
14,2022-04-12,413.93,383.66
15,2022-04-11,413.08,379.89
16,2022-04-08,410.47,377.63
17,2022-04-07,407.16,376.73
18,2022-04-06,408.17,376.62
19,2022-04-05,408.15,379.06
20,2022-04-04,409.50,379.61
21,2022-04-01,411.94,379.45
22,2022-03-31,411.84,380.74
23,2022-03-30,409.09,382.25
24,2022-03-29,408.45,380.41
25,2022-03-28,411.60,378.90
26,2022-03-25,408.55,378.40
27,2022-03-24,410.44,376.56
28,2022-03-23,408.13,379.91
29,2022-03-22,407.98,376.73
30,2022-03-21,403.90,373.13
31,2022-03-18,405.93,377.32
32,2022-03-17,401.57,380.79
33,2022-03-16,406.99,379.17
34,2022-03-15,409.87,377.43
35,2022-03-14,411.27,379.10
36,2022-03-11,408.39,376.22
37,2022-03-10,406.59,378.52
38,2022-03-08,405.95,372.84
39,2022-03-07,404.84,370.00
40,2022-03-04,404.83,371.04
41,2022-03-03,404.52,373.94
42,2022-03-02,404.81,374.00
43,2022-02-28,398.07,368.50
44,2022-02-25,400.62,369.71
45,2022-02-24,402.00,368.75
46,2022-02-23,398.61,370.23
47,2022-02-22,400.87,371.51
48,2022-02-21,402.10,373.65
49,2022-02-18,402.07,372.91
50,2022-02-17,405.46,375.22
51,2022-02-16,401.49,372.40
52,2022-02-15,396.64,367.37
53,2022-02-14,399.50,370.70
54,2022-02-11,400.53,370.70
55,2022-02-10,402.61,372.82
56,2022-02-09,402.42,373.18
57,2022-02-08,405.44,375.69
58,2022-02-07,404.03,373.79
59,2022-02-04,405.88,377.93
60,2022-02-03,410.11,380.16
61,2022-01-28,409.27,376.25
62,2022-01-27,408.75,376.45
63,2022-01-26,406.47,376.48
64,2022-01-25,409.16,377.66
65,2022-01-24,411.37,379.97
66,2022-01-21,410.38,379.50
67,2022-01-20,409.35,379.80
68,2022-01-19,410.99,379.58
69,2022-01-18,413.78,383.37
70,2022-01-17,414.33,382.20
71,2022-01-14,412.11,381.80
72,2022-01-13,412.21,382.94
73,2022-01-12,413.74,384.02
74,2022-01-11,411.22,382.85
75,2022-01-10,416.46,386.89
76,2022-01-07,418.21,385.79
77,2022-01-06,419.25,385.98
78,2022-01-05,419.26,387.02
79,2022-01-04,415.18,382.74
80,2022-01-03,414.79,381.67
81,2021-12-31,414.16,381.71
82,2021-12-30,411.54,380.36
83,2021-12-29,413.16,382.48
84,2021-12-28,412.23,380.96
85,2021-12-27,406.66,376.22
86,2021-12-24,406.79,376.64
87,2021-12-23,405.58,376.56
88,2021-12-22,406.76,376.37
89,2021-12-21,406.65,375.56
90,2021-12-20,411.35,378.46
91,2021-12-17,413.33,382.11
92,2021-12-16,409.51,380.07
93,2021-12-15,407.97,377.16
94,2021-12-14,409.92,378.38
95,2021-12-13,411.54,379.81
96,2021-12-10,411.45,378.48
97,2021-12-09,410.10,379.70
98,2021-12-08,406.06,377.40
99,2021-12-07,401.80,373.66
100,2021-12-06,403.70,372.72
101,2021-12-03,402.99,371.67
