,date,buy,standard
0,2022-05-02,989.17,973.35
1,2022-04-29,984.31,970.16
2,2022-04-28,989.78,982.92
3,2022-04-27,1006.79,980.79
4,2022-04-26,997.32,974.03
5,2022-04-25,993.15,964.61
6,2022-04-22,986.51,963.42
7,2022-04-21,982.34,967.13
8,2022-04-20,977.28,956.06
9,2022-04-19,982.09,969.45
10,2022-04-18,992.70,971.91
11,2022-04-15,988.25,971.55
12,2022-04-14,995.22,977.82
13,2022-04-13,991.05,985.69
14,2022-04-12,996.57,982.03
15,2022-04-11,1000.65,984.20
16,2022-04-08,1005.65,981.47
17,2022-04-07,1003.15,984.14
18,2022-04-06,1000.12,981.11
19,2022-04-05,1004.87,991.00
20,2022-04-04,1007.57,991.64
21,2022-04-01,1010.65,993.88
22,2022-03-31,1010.29,992.74
23,2022-03-30,1011.77,992.48
24,2022-03-29,1002.57,988.27
25,2022-03-28,1001.44,995.79
26,2022-03-25,1020.30,996.53
27,2022-03-24,1024.31,1001.61
28,2022-03-23,1022.34,1007.71
29,2022-03-22,1028.14,1015.10
30,2022-03-21,1036.01,1015.38
31,2022-03-18,1040.73,1029.82
32,2022-03-17,1038.46,1043.89
33,2022-03-16,1061.03,1049.49
34,2022-03-15,1075.85,1047.22
35,2022-03-14,1069.81,1048.90
36,2022-03-11,1074.53,1057.81
37,2022-03-10,1078.12,1065.56
38,2022-03-08,1088.08,1062.65
39,2022-03-07,1086.26,1054.17
40,2022-03-04,1072.11,1042.21
41,2022-03-03,1060.96,1043.52
42,2022-03-02,1067.01,1049.49
43,2022-02-28,1059.18,1041.52
44,2022-02-25,1061.83,1038.76
45,2022-02-24,1067.84,1037.19
46,2022-02-23,1053.04,1038.33
47,2022-02-22,1057.32,1042.45
48,2022-02-21,1055.34,1041.25
49,2022-02-18,1055.52,1042.45
50,2022-02-17,1058.55,1036.77
51,2022-02-16,1051.83,1036.63
52,2022-02-15,1054.46,1037.22
53,2022-02-14,1058.02,1038.57
54,2022-02-11,1049.20,1030.46
55,2022-02-10,1052.66,1035.09
56,2022-02-09,1054.61,1035.94
57,2022-02-08,1057.05,1042.37
58,2022-02-07,1061.48,1040.19
59,2022-02-04,1059.62,1048.40
60,2022-02-03,1068.64,1053.75
61,2022-01-28,1066.50,1042.80
62,2022-01-27,1065.62,1043.36
63,2022-01-26,1067.74,1051.62
64,2022-01-25,1069.97,1047.50
65,2022-01-24,1071.54,1049.36
66,2022-01-21,1064.24,1044.16
67,2022-01-20,1058.85,1041.97
68,2022-01-19,1059.68,1037.48
69,2022-01-18,1056.74,1040.36
70,2022-01-17,1060.32,1038.70
71,2022-01-14,1062.41,1040.41
72,2022-01-13,1054.26,1037.99
73,2022-01-12,1051.62,1036.56
74,2022-01-11,1053.28,1041.44
75,2022-01-10,1054.31,1039.82
76,2022-01-07,1057.87,1035.43
77,2022-01-06,1058.94,1032.09
78,2022-01-05,1051.60,1027.93
79,2022-01-04,1050.66,1032.38
80,2022-01-03,1053.07,1029.57
81,2021-12-31,1052.85,1030.24
82,2021-12-30,1050.40,1032.14
83,2021-12-29,1050.37,1033.76
84,2021-12-28,1053.35,1032.60
85,2021-12-27,1054.06,1037.06
86,2021-12-24,1056.32,1037.48
87,2021-12-23,1057.23,1043.68
88,2021-12-22,1061.42,1044.67
89,2021-12-21,1068.36,1047.04
90,2021-12-20,1069.31,1042.01
91,2021-12-17,1061.93,1040.81
92,2021-12-16,1055.25,1039.80
93,2021-12-15,1060.76,1040.57
94,2021-12-14,1058.63,1038.00
95,2021-12-13,1058.04,1038.47
96,2021-12-10,1057.65,1034.73
97,2021-12-09,1055.16,1034.43
98,2021-12-08,1054.54,1040.48
99,2021-12-07,1054.68,1043.23
100,2021-12-06,1062.53,1042.69
101,2021-12-03,1060.05,1039.97
102,2021-12-02,1056.19,1045.81
103,2021-12-01,1057.42,1049.16
104,2021-11-30,1073.25,1049.56
105,2021-11-29,1070.38,1049.53
106,2021-11-26,1064.00,1031.79
107,2021-11-25,1050.01,1029.54
108,2021-11-24,1049.38,1032.79
109,2021-11-23,1054.91,1033.92
110,2021-11-22,1058.36,1037.57
111,2021-11-19,1054.53,1033.31
112,2021-11-18,1052.29,1036.34
113,2021-11-17,1046.61,1027.03
114,2021-11-16,1051.85,1034.22
115,2021-11-15,1052.49,1034.78
116,2021-11-12,1051.63,1038.80
117,2021-11-11,1055.37,1037.01
118,2021-11-10,1059.00,1043.52
119,2021-11-09,1060.24,1045.79
120,2021-11-08,1060.76,1044.83
121,2021-11-05,1059.38,1036.54
122,2021-11-04,1056.20,1035.78
123,2021-11-03,1055.15,1031.28
124,2021-11-02,1054.11,1031.25
125,2021-11-01,1048.60,1024.84
126,2021-10-29,1048.06,1031.65
127,2021-10-28,1047.53,1026.63
128,2021-10-27,1050.53,1021.41
129,2021-10-26,1041.34,1030.38
130,2021-10-25,1046.16,1037.92
131,2021-10-22,1049.28,1031.72
132,2021-10-21,1050.78,1027.85
133,2021-10-20,1045.20,1032.73
134,2021-10-19,1052.10,1037.40
135,2021-10-18,1056.83,1034.59
136,2021-10-15,1052.70,1044.71
137,2021-10-14,1064.22,1055.14
138,2021-10-13,1067.63,1055.82
139,2021-10-12,1075.60,1052.38
140,2021-10-08,1086.98,1066.05
141,2021-10-07,1087.12,1067.98
142,2021-10-06,1090.73,1064.81
143,2021-10-05,1086.32,1069.98
144,2021-10-01,1087.05,1064.06
145,2021-09-30,1077.26,1058.18
146,2021-09-29,1082.45,1059.38
147,2021-09-28,1084.48,1059.37
148,2021-09-27,1083.11,1060.79
149,2021-09-24,1084.68,1071.45
150,2021-09-23,1084.73,1072.64
151,2021-09-17,1089.52,1065.58
152,2021-09-16,1091.22,1071.66
153,2021-09-15,1087.58,1068.40
154,2021-09-14,1082.92,1067.40
155,2021-09-13,1085.64,1065.36
156,2021-09-10,1080.13,1065.81
157,2021-09-09,1081.98,1056.28
158,2021-09-08,1077.75,1049.82
159,2021-09-07,1075.07,1053.67
160,2021-09-06,1071.24,1053.72
161,2021-09-03,1070.37,1054.70
162,2021-09-02,1071.93,1051.84
163,2021-09-01,1068.89,1057.04
164,2021-08-31,1071.61,1058.88
165,2021-08-30,1078.17,1065.87
166,2021-08-27,1081.12,1061.47
167,2021-08-26,1081.69,1060.31
168,2021-08-25,1081.78,1064.77
169,2021-08-24,1082.05,1070.34
170,2021-08-23,1084.54,1070.94
171,2021-08-20,1098.19,1069.92
172,2021-08-19,1092.55,1068.08
173,2021-08-18,1086.60,1071.94
174,2021-08-17,1093.27,1068.97
175,2021-08-13,1078.52,1049.82
176,2021-08-12,1071.85,1045.96
177,2021-08-11,1063.46,1038.76
178,2021-08-10,1059.73,1037.84
179,2021-08-09,1058.16,1035.96
180,2021-08-06,1059.54,1041.68
181,2021-08-05,1061.62,1046.54
182,2021-08-04,1066.15,1055.64
183,2021-08-03,1070.12,1053.28
184,2021-08-02,1067.82,1045.61
185,2021-07-30,1066.12,1048.48
186,2021-07-29,1062.40,1050.82
187,2021-07-28,1068.02,1047.68
188,2021-07-27,1066.62,1044.90
189,2021-07-26,1066.00,1039.85
