,date,buy,standard
0,2022-05-02,1857.85,1784.14
1,2022-04-29,1846.22,1789.78
2,2022-04-28,1867.24,1781.52
3,2022-04-27,1855.71,1760.03
4,2022-04-26,1837.94,1758.96
5,2022-04-25,1832.65,1750.48
6,2022-04-22,1824.03,1743.86
7,2022-04-21,1813.76,1744.85
8,2022-04-20,1809.32,1741.75
9,2022-04-19,1816.69,1738.79
10,2022-04-18,1810.87,1734.37
11,2022-04-15,1802.10,1726.66
12,2022-04-14,1799.09,1731.59
13,2022-04-13,1800.54,1744.15
14,2022-04-12,1805.61,1737.66
15,2022-04-11,1807.86,1726.38
16,2022-04-08,1799.08,1718.62
17,2022-04-07,1789.58,1719.46
18,2022-04-06,1785.11,1710.30
19,2022-04-05,1779.32,1716.08
20,2022-04-04,1781.54,1715.23
21,2022-04-01,1785.16,1707.62
22,2022-03-31,1778.55,1707.76
23,2022-03-30,1774.18,1721.44
24,2022-03-29,1787.37,1728.77
25,2022-03-28,1797.61,1718.34
26,2022-03-25,1788.11,1719.89
27,2022-03-24,1795.40,1710.44
28,2022-03-23,1782.21,1722.71
29,2022-03-22,1785.17,1711.85
30,2022-03-21,1780.54,1708.06
31,2022-03-18,1783.70,1721.58
32,2022-03-17,1776.34,1749.51
33,2022-03-16,1810.02,1751.34
34,2022-03-15,1826.95,1746.97
35,2022-03-14,1815.81,1738.10
36,2022-03-11,1811.57,1733.00
37,2022-03-10,1801.30,1741.18
38,2022-03-08,1812.30,1728.35
39,2022-03-07,1800.45,1708.62
40,2022-03-04,1783.67,1697.60
41,2022-03-03,1770.49,1699.58
42,2022-03-02,1772.27,1700.42
43,2022-02-28,1763.26,1695.02
44,2022-02-25,1765.38,1691.68
45,2022-02-24,1765.29,1681.38
46,2022-02-23,1747.02,1685.05
47,2022-02-22,1750.70,1684.91
48,2022-02-21,1748.40,1687.33
49,2022-02-18,1752.92,1688.43
50,2022-02-17,1756.60,1688.15
51,2022-02-16,1755.06,1690.41
52,2022-02-15,1757.21,1690.13
53,2022-02-14,1755.73,1691.84
54,2022-02-11,1755.08,1686.88
55,2022-02-10,1754.32,1686.88
56,2022-02-09,1754.35,1689.42
57,2022-02-08,1758.04,1691.68
58,2022-02-07,1760.84,1691.70
59,2022-02-04,1758.06,1700.14
60,2022-02-03,1766.80,1700.56
61,2022-01-28,1776.42,1695.91
62,2022-01-27,1765.33,1688.29
63,2022-01-26,1756.58,1689.42
64,2022-01-25,1757.27,1684.34
65,2022-01-24,1754.93,1683.38
66,2022-01-21,1748.46,1678.98
67,2022-01-20,1744.76,1680.96
68,2022-01-19,1748.47,1676.87
69,2022-01-18,1747.79,1681.66
70,2022-01-17,1748.33,1674.92
71,2022-01-14,1741.90,1675.88
72,2022-01-13,1739.67,1678.28
73,2022-01-12,1749.24,1685.75
74,2022-01-11,1750.64,1692.52
75,2022-01-10,1757.88,1695.79
76,2022-01-07,1766.14,1691.96
77,2022-01-06,1767.55,1689.99
78,2022-01-05,1757.28,1684.49
79,2022-01-04,1754.39,1679.55
80,2022-01-03,1749.81,1671.96
81,2021-12-31,1747.03,1672.07
82,2021-12-30,1744.01,1673.62
83,2021-12-29,1741.16,1673.77
84,2021-12-28,1743.33,1673.06
85,2021-12-27,1741.75,1673.22
86,2021-12-24,1741.89,1674.89
87,2021-12-23,1742.61,1680.11
88,2021-12-22,1749.18,1680.54
89,2021-12-21,1749.93,1678.14
90,2021-12-20,1749.59,1671.58
91,2021-12-17,1738.98,1669.25
92,2021-12-16,1736.00,1673.06
93,2021-12-15,1738.93,1669.39
94,2021-12-14,1734.51,1662.62
95,2021-12-13,1735.02,1662.95
96,2021-12-10,1733.08,1655.57
97,2021-12-09,1725.77,1659.24
98,2021-12-08,1726.53,1666.01
99,2021-12-07,1728.68,1669.53
100,2021-12-06,1733.72,1662.22
101,2021-12-03,1733.83,1660.51
102,2021-12-02,1723.59,1664.74
103,2021-12-01,1730.87,1675.18
104,2021-11-30,1746.27,1683.22
105,2021-11-29,1749.82,1682.53
106,2021-11-26,1753.58,1678.00
107,2021-11-25,1745.51,1676.30
108,2021-11-24,1740.44,1676.87
109,2021-11-23,1743.31,1674.75
110,2021-11-22,1741.91,1669.25
111,2021-11-19,1739.68,1665.02
112,2021-11-18,1732.39,1669.39
113,2021-11-17,1732.39,1663.75
114,2021-11-16,1731.64,1664.60
115,2021-11-15,1729.44,1663.75
116,2021-11-12,1728.63,1670.94
117,2021-11-11,1735.29,1665.73
118,2021-11-10,1727.22,1662.06
119,2021-11-09,1726.45,1670.38
120,2021-11-08,1735.29,1671.65
121,2021-11-05,1738.20,1664.32
122,2021-11-04,1735.21,1665.87
123,2021-11-03,1732.33,1657.97
124,2021-11-02,1725.05,1659.10
125,2021-11-01,1727.94,1649.65
126,2021-10-29,1717.70,1652.61
127,2021-10-28,1716.26,1647.53
128,2021-10-27,1721.36,1644.99
129,2021-10-26,1711.08,1652.75
130,2021-10-25,1713.33,1662.06
131,2021-10-22,1723.58,1658.39
132,2021-10-21,1727.20,1658.11
133,2021-10-20,1723.52,1666.71
134,2021-10-19,1728.00,1672.50
135,2021-10-18,1741.88,1668.27
136,2021-10-15,1734.54,1676.02
137,2021-10-14,1738.95,1685.47
138,2021-10-13,1747.78,1691.26
139,2021-10-12,1758.05,1683.22
140,2021-10-08,1754.36,1678.84
141,2021-10-07,1746.28,1678.42
142,2021-10-06,1754.32,1674.33
143,2021-10-05,1741.16,1674.47
144,2021-10-01,1741.10,1671.65
145,2021-09-30,1738.21,1671.23
146,2021-09-29,1736.84,1667.14
147,2021-09-28,1739.70,1658.53
148,2021-09-27,1732.35,1657.69
149,2021-09-24,1726.41,1666.71
150,2021-09-23,1719.15,1660.93
151,2021-09-17,1727.21,1648.94
152,2021-09-16,1720.61,1652.61
153,2021-09-15,1714.02,1653.31
154,2021-09-14,1717.74,1656.28
155,2021-09-13,1723.52,1650.78
156,2021-09-10,1711.04,1650.35
157,2021-09-09,1714.01,1642.45
158,2021-09-08,1711.79,1633.15
159,2021-09-07,1703.76,1632.30
160,2021-09-06,1698.32,1632.18
161,2021-09-03,1697.13,1635.68
162,2021-09-02,1700.07,1632.58
163,2021-09-01,1700.79,1640.06
164,2021-08-31,1697.93,1642.31
165,2021-08-30,1707.35,1651.34
166,2021-08-27,1716.19,1647.53
167,2021-08-26,1717.66,1645.28
168,2021-08-25,1711.77,1647.39
169,2021-08-24,1712.58,1655.85
170,2021-08-23,1719.18,1659.66
171,2021-08-20,1736.77,1656.56
172,2021-08-19,1726.47,1654.02
173,2021-08-18,1716.97,1657.12
174,2021-08-17,1722.76,1647.11
175,2021-08-13,1714.68,1634.56
176,2021-08-12,1705.18,1629.06
177,2021-08-11,1698.60,1619.89
178,2021-08-10,1687.56,1614.95
179,2021-08-09,1681.06,1611.14
180,2021-08-06,1676.60,1612.83
181,2021-08-05,1678.09,1616.08
182,2021-08-04,1678.09,1622.99
183,2021-08-03,1683.90,1624.12
184,2021-08-02,1688.31,1618.48
185,2021-07-30,1683.16,1618.34
186,2021-07-29,1681.76,1628.77
187,2021-07-28,1692.73,1622.28
188,2021-07-27,1692.76,1626.52
189,2021-07-26,1694.89,1621.98
190,2021-07-23,1687.61,1623.41
191,2021-07-22,1686.15,1622.85
192,2021-07-21,1693.44,1623.41
193,2021-07-20,1685.43,1615.94
194,2021-07-19,1688.32,1609.45
195,2021-07-16,1673.73,1613.12
196,2021-07-15,1675.20,1622.43
197,2021-07-14,1686.91,1615.09
