,date,buy,standard
0,2022-05-02,4420.27,4125.86
1,2022-04-29,4389.46,4136.20
2,2022-04-28,4447.06,4123.73
3,2022-04-27,4427.99,4082.08
4,2022-04-26,4385.74,4079.49
5,2022-04-25,4376.56,4063.15
6,2022-04-22,4358.15,4049.79
7,2022-04-21,4332.89,4051.42
8,2022-04-20,4320.25,4042.23
9,2022-04-19,4341.39,4038.66
10,2022-04-18,4329.13,4029.81
11,2022-04-15,4309.83,4013.77
12,2022-04-14,4301.45,4023.93
13,2022-04-13,4308.22,4056.16
14,2022-04-12,4319.27,4040.01
15,2022-04-11,4324.68,4013.77
16,2022-04-08,4307.00,3999.02
17,2022-04-07,4283.49,4000.33
18,2022-04-06,4276.53,3982.27
19,2022-04-05,4264.49,3997.70
20,2022-04-04,4271.61,3997.44
21,2022-04-01,4284.25,3983.22
22,2022-03-31,4271.15,3986.17
23,2022-03-30,4254.34,4012.16
24,2022-03-29,4282.45,4025.95
25,2022-03-28,4310.75,4005.06
26,2022-03-25,4288.29,4009.07
27,2022-03-24,4306.64,3987.70
28,2022-03-23,4279.34,4020.41
29,2022-03-22,4284.87,3993.75
30,2022-03-21,4274.84,3985.59
31,2022-03-18,4282.14,4017.11
32,2022-03-17,4263.07,4080.93
33,2022-03-16,4341.27,4082.53
34,2022-03-15,4380.68,4071.40
35,2022-03-14,4360.31,4056.62
36,2022-03-11,4351.89,4046.44
37,2022-03-10,4326.53,4064.87
38,2022-03-08,4351.49,4033.57
39,2022-03-07,4328.62,3992.68
40,2022-03-04,4291.30,3969.66
41,2022-03-03,4259.68,3974.41
42,2022-03-02,4267.27,3979.53
43,2022-02-28,4248.08,3969.18
44,2022-02-25,4250.26,3958.68
45,2022-02-24,4257.69,3941.48
46,2022-02-23,4212.09,3948.77
47,2022-02-22,4222.35,3949.74
48,2022-02-21,4218.16,3956.74
49,2022-02-18,4228.36,3958.66
50,2022-02-17,4234.38,3955.39
51,2022-02-16,4231.55,3961.33
52,2022-02-15,4237.53,3961.32
53,2022-02-14,4237.52,3968.90
54,2022-02-11,4231.57,3953.07
55,2022-02-10,4233.96,3956.99
56,2022-02-09,4233.97,3962.94
57,2022-02-08,4243.49,3968.89
58,2022-02-07,4249.19,3967.91
59,2022-02-04,4240.73,3986.11
60,2022-02-03,4262.08,3987.24
61,2022-01-28,4276.46,3968.32
62,2022-01-27,4257.71,3957.68
63,2022-01-26,4237.17,3960.98
64,2022-01-25,4239.35,3949.47
65,2022-01-24,4234.74,3948.13
66,2022-01-21,4218.87,3937.55
67,2022-01-20,4209.26,3941.53
68,2022-01-19,4218.15,3931.94
69,2022-01-18,4219.90,3946.45
70,2022-01-17,4224.39,3933.49
71,2022-01-14,4208.50,3935.48
72,2022-01-13,4197.58,3935.90
73,2022-01-12,4216.01,3949.12
74,2022-01-11,4219.84,3965.24
75,2022-01-10,4236.79,3972.51
76,2022-01-07,4256.38,3963.39
77,2022-01-06,4261.36,3960.08
78,2022-01-05,4233.77,3944.58
79,2022-01-04,4230.22,3936.27
80,2022-01-03,4219.70,3918.88
81,2021-12-31,4212.51,3918.75
82,2021-12-30,4205.69,3922.64
83,2021-12-29,4195.88,3920.38
84,2021-12-28,4201.44,3918.99
85,2021-12-27,4198.74,3920.43
86,2021-12-24,4198.73,3924.06
87,2021-12-23,4198.15,3934.08
88,2021-12-22,4212.94,3934.03
89,2021-12-21,4211.93,3925.83
90,2021-12-20,4208.54,3908.14
91,2021-12-17,4183.23,3902.98
92,2021-12-16,4174.25,3910.08
93,2021-12-15,4188.49,3908.21
94,2021-12-14,4176.23,3890.81
95,2021-12-13,4177.50,3891.66
96,2021-12-10,4174.76,3876.23
97,2021-12-09,4156.40,3884.17
98,2021-12-08,4158.87,3900.67
99,2021-12-07,4165.14,3909.83
100,2021-12-06,4180.55,3895.81
101,2021-12-03,4183.68,3894.48
102,2021-12-02,4157.58,3903.11
103,2021-12-01,4175.99,3928.23
104,2021-11-30,4207.96,3942.26
105,2021-11-29,4216.39,3940.55
106,2021-11-26,4221.86,3926.53
107,2021-11-25,4203.14,3923.22
108,2021-11-24,4195.22,3928.69
109,2021-11-23,4203.42,3924.77
110,2021-11-22,4199.73,3911.75
111,2021-11-19,4195.78,3903.12
112,2021-11-18,4175.79,3911.18
113,2021-11-17,4179.09,3901.05
114,2021-11-16,4180.92,3906.39
115,2021-11-15,4173.68,3902.60
116,2021-11-12,4173.53,3921.03
117,2021-11-11,4194.60,3913.58
118,2021-11-10,4175.79,3905.61
119,2021-11-09,4173.73,3924.90
120,2021-11-08,4191.69,3924.76
121,2021-11-05,4201.96,3910.52
122,2021-11-04,4196.10,3915.34
123,2021-11-03,4187.94,3895.74
124,2021-11-02,4170.10,3898.26
125,2021-11-01,4178.49,3877.34
126,2021-10-29,4155.09,3885.59
127,2021-10-28,4150.76,3872.88
128,2021-10-27,4162.48,3866.27
129,2021-10-26,4138.40,3885.28
130,2021-10-25,4145.40,3908.72
131,2021-10-22,4171.15,3900.87
132,2021-10-21,4177.97,3898.40
133,2021-10-20,4168.15,3917.71
134,2021-10-19,4176.58,3929.22
135,2021-10-18,4210.64,3919.54
136,2021-10-15,4192.97,3937.90
137,2021-10-14,4202.94,3959.44
138,2021-10-13,4223.35,3972.24
139,2021-10-12,4251.28,3956.24
140,2021-10-08,4242.86,3946.36
141,2021-10-07,4224.14,3946.15
142,2021-10-06,4243.03,3936.01
143,2021-10-05,4213.92,3938.95
144,2021-10-01,4210.18,3928.80
145,2021-09-30,4203.81,3928.45
146,2021-09-29,4205.41,3923.65
147,2021-09-28,4214.31,3905.09
148,2021-09-27,4196.90,3903.35
149,2021-09-24,4184.01,3925.91
150,2021-09-23,4166.98,3912.94
151,2021-09-17,4187.23,3885.34
152,2021-09-16,4175.39,3897.87
153,2021-09-15,4158.62,3898.89
154,2021-09-14,4168.21,3906.52
155,2021-09-13,4183.89,3894.84
156,2021-09-10,4150.80,3891.25
157,2021-09-09,4157.23,3871.99
158,2021-09-08,4154.01,3851.96
159,2021-09-07,4135.78,3851.25
160,2021-09-06,4118.49,3847.10
161,2021-09-03,4117.07,3856.67
162,2021-09-02,4125.52,3850.63
163,2021-09-01,4126.01,3866.98
164,2021-08-31,4118.11,3871.65
165,2021-08-30,4141.15,3892.93
166,2021-08-27,4159.88,3881.38
167,2021-08-26,4163.40,3876.06
168,2021-08-25,4149.83,3881.69
169,2021-08-24,4151.66,3901.63
170,2021-08-23,4163.55,3906.71
171,2021-08-20,4207.44,3900.70
172,2021-08-19,4185.32,3897.31
173,2021-08-18,4163.71,3905.92
174,2021-08-17,4180.78,3884.90
175,2021-08-13,4156.88,3851.45
176,2021-08-12,4136.63,3841.04
177,2021-08-11,4117.12,3816.25
178,2021-08-10,4092.48,3806.52
179,2021-08-09,4076.52,3797.54
180,2021-08-06,4069.89,3805.32
181,2021-08-05,4077.53,3816.79
182,2021-08-04,4076.19,3831.83
183,2021-08-03,4089.10,3833.22
184,2021-08-02,4098.83,3819.02
185,2021-07-30,4080.45,3813.23
186,2021-07-29,4079.56,3840.37
187,2021-07-28,4106.34,3825.07
188,2021-07-27,4103.65,3832.50
189,2021-07-26,4107.79,3820.84
190,2021-07-23,4095.25,3829.01
191,2021-07-22,4089.66,3825.77
192,2021-07-21,4108.10,3827.74
193,2021-07-20,4088.57,3810.11
194,2021-07-19,4095.67,3794.81
195,2021-07-16,4060.07,3803.46
196,2021-07-15,4062.65,3824.52
197,2021-07-14,4091.21,3807.23
198,2021-07-13,4073.39,3811.55
199,2021-07-12,4086.41,3820.03
200,2021-07-09,4081.39,3797.41
201,2021-07-08,4080.35,3777.27
202,2021-07-07,4043.63,3758.51
203,2021-07-06,4023.03,3752.53
204,2021-07-05,4015.35,3765.98
205,2021-07-02,4034.92,3758.34
206,2021-07-01,4029.55,3754.36
207,2021-06-30,4013.59,3752.66
208,2021-06-29,4012.55,3752.95
209,2021-06-28,4015.82,3745.81
210,2021-06-25,4005.14,3769.04
211,2021-06-24,4024.69,3768.38
212,2021-06-23,4035.33,3757.76
213,2021-06-22,4030.00,3767.71
214,2021-06-21,4024.69,3757.09
215,2021-06-18,4015.36,3749.38
216,2021-06-17,4025.13,3714.28
217,2021-06-16,3975.34,3714.61
218,2021-06-15,3975.37,3709.96
219,2021-06-14,3980.14,3693.90
220,2021-06-11,3957.15,3706.54
221,2021-06-10,3969.11,3710.43
222,2021-06-09,3960.67,3702.21
223,2021-06-08,3968.94,3696.61
224,2021-06-07,3954.92,3714.48
225,2021-06-04,3965.42,3693.69
226,2021-06-03,3962.89,3691.40
227,2021-06-02,3959.49,3680.55
228,2021-06-01,3938.13,3702.16
229,2021-05-31,3945.20,3707.03
230,2021-05-28,3964.92,3717.13
231,2021-05-27,3975.08,3720.36
232,2021-05-26,3977.14,3734.58
233,2021-05-25,3993.57,3749.29
234,2021-05-24,4010.32,3747.59
235,2021-05-21,4015.23,3764.84
236,2021-05-20,4031.50,3769.71
237,2021-05-18,4011.39,3763.87
238,2021-05-17,4035.97,3753.74
239,2021-05-14,4010.53,3756.77
240,2021-05-13,4027.06,3733.67
241,2021-05-12,4000.84,3717.94
242,2021-05-11,3979.41,3706.07
243,2021-05-10,3961.07,3724.84
244,2021-05-07,3978.11,3734.49
245,2021-05-06,3993.42,3719.27
246,2021-05-04,3992.33,3713.92
247,2021-05-03,3984.92,3683.07
248,2021-04-30,3955.81,3678.46
249,2021-04-29,3942.93,3696.63
250,2021-04-28,3954.98,3688.89
251,2021-04-27,3953.14,3699.52
252,2021-04-26,3950.18,3716.29
253,2021-04-23,3965.14,3704.95
254,2021-04-22,3973.69,3710.07
255,2021-04-21,3974.73,3696.18
256,2021-04-20,3953.46,3712.11
257,2021-04-19,3957.73,3708.41
258,2021-04-16,3954.91,3706.43
259,2021-04-15,3958.91,3714.55
260,2021-04-14,3949.49,3732.89
261,2021-04-13,3983.52,3725.56
262,2021-04-12,3988.09,3701.42
263,2021-04-09,3972.36,3707.57
264,2021-04-08,3956.74,3697.55
265,2021-04-07,3961.51,3718.58
266,2021-04-06,3968.77,3731.60
267,2021-04-05,3993.89,3730.97
268,2021-04-02,3997.20,3740.02
269,2021-04-01,4005.40,3745.37
270,2021-03-31,3999.54,3751.08
271,2021-03-30,4015.58,3743.63
272,2021-03-29,4013.35,3745.20
273,2021-03-26,4001.91,3755.63
274,2021-03-25,4016.80,3752.32
275,2021-03-24,4006.45,3732.75
276,2021-03-23,4000.05,3746.03
277,2021-03-22,3997.25,3748.30
278,2021-03-19,4003.36,3720.61
279,2021-03-18,3988.62,3748.55
280,2021-03-17,4001.66,3751.49
281,2021-03-16,4009.69,3760.26
282,2021-03-15,4009.47,3736.25
283,2021-03-12,4021.57,3761.16
284,2021-03-11,3998.20,3768.67
285,2021-03-10,4033.29,3768.12
286,2021-03-09,4019.08,3734.03
