,date,buy,standard
0,2022-05-02,302.65,290.66
1,2022-04-29,300.10,290.98
2,2022-04-28,303.60,289.70
3,2022-04-27,302.23,286.64
4,2022-04-26,299.07,286.26
5,2022-04-25,300.59,287.10
6,2022-04-22,301.37,288.14
7,2022-04-21,300.33,288.91
8,2022-04-20,301.49,290.26
9,2022-04-19,302.68,289.76
10,2022-04-18,303.21,290.43
11,2022-04-15,302.00,289.31
12,2022-04-14,301.51,290.20
13,2022-04-13,301.58,292.15
14,2022-04-12,302.58,291.22
15,2022-04-11,303.59,289.94
16,2022-04-08,302.34,288.86
17,2022-04-07,301.01,289.23
18,2022-04-06,300.56,287.99
19,2022-04-05,299.09,288.49
20,2022-04-04,299.96,288.83
21,2022-04-01,301.09,287.94
22,2022-03-31,300.01,287.98
23,2022-03-30,298.55,289.66
24,2022-03-29,300.56,290.69
25,2022-03-28,302.70,289.35
26,2022-03-25,299.92,288.53
27,2022-03-24,301.31,287.10
28,2022-03-23,299.59,289.67
29,2022-03-22,300.97,288.63
30,2022-03-21,301.04,288.84
31,2022-03-18,301.43,290.93
32,2022-03-17,300.06,295.51
33,2022-03-16,305.02,295.15
34,2022-03-15,307.98,294.55
35,2022-03-14,306.97,293.81
36,2022-03-11,306.69,293.42
37,2022-03-10,305.06,294.84
38,2022-03-08,307.59,293.33
39,2022-03-07,305.56,289.97
40,2022-03-04,302.06,287.50
41,2022-03-03,299.16,287.21
42,2022-03-02,299.72,287.53
43,2022-02-28,297.88,286.36
44,2022-02-25,297.89,285.50
45,2022-02-24,299.08,284.82
46,2022-02-23,295.92,285.44
47,2022-02-22,297.01,285.82
48,2022-02-21,296.18,285.81
49,2022-02-18,296.80,285.87
50,2022-02-17,297.64,285.98
51,2022-02-16,297.24,286.29
52,2022-02-15,297.28,285.96
53,2022-02-14,297.23,286.33
54,2022-02-11,297.40,285.89
55,2022-02-10,297.20,285.80
56,2022-02-09,297.15,286.23
57,2022-02-08,297.81,286.58
58,2022-02-07,298.70,287.00
59,2022-02-04,297.94,288.13
60,2022-02-03,299.30,288.07
61,2022-01-28,300.01,286.46
62,2022-01-27,298.60,285.58
63,2022-01-26,297.19,285.87
64,2022-01-25,297.40,285.08
65,2022-01-24,297.14,285.11
66,2022-01-21,295.99,284.21
67,2022-01-20,295.04,284.24
68,2022-01-19,296.34,284.19
69,2022-01-18,296.24,285.00
70,2022-01-17,296.70,284.22
71,2022-01-14,295.68,284.50
72,2022-01-13,294.64,284.26
73,2022-01-12,295.92,285.15
74,2022-01-11,295.50,285.71
75,2022-01-10,296.08,285.67
76,2022-01-07,297.22,284.74
77,2022-01-06,298.84,285.73
78,2022-01-05,297.60,285.31
79,2022-01-04,298.13,285.39
80,2022-01-03,297.79,284.57
81,2021-12-31,296.57,283.85
82,2021-12-30,295.70,283.74
83,2021-12-29,295.25,283.87
84,2021-12-28,295.53,283.58
85,2021-12-27,294.38,282.78
86,2021-12-24,294.12,282.74
87,2021-12-23,293.23,282.71
88,2021-12-22,294.71,283.12
89,2021-12-21,293.50,281.51
90,2021-12-20,293.80,280.70
91,2021-12-17,293.09,281.35
92,2021-12-16,290.97,280.43
93,2021-12-15,291.32,279.68
94,2021-12-14,290.91,278.84
95,2021-12-13,291.83,279.69
96,2021-12-10,291.38,278.38
97,2021-12-09,289.59,278.47
98,2021-12-08,289.28,279.11
99,2021-12-07,289.54,279.70
100,2021-12-06,290.57,278.56
101,2021-12-03,290.66,278.32
102,2021-12-02,289.52,279.69
103,2021-12-01,291.99,282.62
104,2021-11-30,292.09,281.56
105,2021-11-29,292.70,281.43
106,2021-11-26,293.91,281.29
107,2021-11-25,293.89,282.27
108,2021-11-24,293.88,283.14
109,2021-11-23,295.27,283.69
110,2021-11-22,295.19,282.90
111,2021-11-19,295.00,282.31
112,2021-11-18,293.93,283.23
113,2021-11-17,294.84,283.15
114,2021-11-16,295.04,283.60
115,2021-11-15,294.36,283.15
116,2021-11-12,294.09,284.24
