,date,buy,standard
0,2022-05-02,68.83,61.96
1,2022-04-29,68.36,62.05
2,2022-04-28,69.15,61.93
3,2022-04-27,68.93,61.23
4,2022-04-26,68.64,61.65
5,2022-04-25,68.55,61.33
6,2022-04-22,68.37,61.28
7,2022-04-21,68.63,61.87
8,2022-04-20,68.39,61.64
9,2022-04-19,69.44,62.17
10,2022-04-18,68.75,61.59
11,2022-04-15,68.20,61.28
12,2022-04-14,68.86,62.10
13,2022-04-13,68.83,62.42
14,2022-04-12,68.49,61.79
15,2022-04-11,68.16,61.07
16,2022-04-08,67.52,60.51
17,2022-04-07,67.19,60.50
18,2022-04-06,67.62,60.67
19,2022-04-05,67.95,61.41
20,2022-04-04,67.83,61.22
21,2022-04-01,67.97,60.93
22,2022-03-31,67.62,60.91
23,2022-03-30,67.25,61.13
24,2022-03-29,67.37,60.99
25,2022-03-28,67.88,60.79
26,2022-03-25,67.44,60.73
27,2022-03-24,67.12,59.95
28,2022-03-23,66.41,60.23
29,2022-03-22,66.36,59.56
30,2022-03-21,66.00,59.42
31,2022-03-18,65.77,59.47
32,2022-03-17,65.20,60.06
33,2022-03-16,65.74,59.62
34,2022-03-15,66.04,59.26
35,2022-03-14,65.72,58.95
36,2022-03-11,65.45,58.72
37,2022-03-10,65.13,59.02
38,2022-03-08,64.30,57.49
39,2022-03-07,64.99,57.80
40,2022-03-04,65.32,58.31
41,2022-03-03,64.86,58.40
42,2022-03-02,64.92,58.35
43,2022-02-28,64.86,58.45
44,2022-02-25,64.93,58.35
45,2022-02-24,65.92,58.85
46,2022-02-23,65.10,58.83
47,2022-02-22,65.25,58.79
48,2022-02-21,65.25,58.93
49,2022-02-18,65.37,58.95
50,2022-02-17,65.67,59.02
51,2022-02-16,65.10,58.74
52,2022-02-15,65.05,58.69
53,2022-02-14,64.79,58.39
54,2022-02-11,64.55,58.18
55,2022-02-10,64.74,58.37
56,2022-02-09,64.51,58.14
57,2022-02-08,64.54,58.23
58,2022-02-07,64.39,58.00
59,2022-02-04,64.73,58.63
60,2022-02-03,64.84,58.57
61,2022-01-28,64.60,57.90
62,2022-01-27,64.39,57.73
63,2022-01-26,64.43,58.11
64,2022-01-25,64.42,58.04
65,2022-01-24,64.72,58.28
66,2022-01-21,64.52,57.93
67,2022-01-20,64.35,58.09
68,2022-01-19,64.86,58.26
69,2022-01-18,65.24,58.74
70,2022-01-17,65.15,58.48
71,2022-01-14,64.76,58.41
72,2022-01-13,64.63,58.44
73,2022-01-12,64.92,58.62
74,2022-01-11,65.07,58.91
75,2022-01-10,65.20,58.98
76,2022-01-07,65.12,58.50
77,2022-01-06,64.96,58.20
78,2022-01-05,64.77,58.19
79,2022-01-04,64.77,58.08
80,2022-01-03,64.55,57.85
81,2021-12-31,64.60,57.94
82,2021-12-30,64.11,57.66
83,2021-12-29,63.75,57.45
84,2021-12-28,63.78,57.33
85,2021-12-27,63.94,57.54
86,2021-12-24,63.89,57.51
87,2021-12-23,63.70,57.53
88,2021-12-22,63.59,57.23
89,2021-12-21,63.66,57.30
90,2021-12-20,63.49,56.86
91,2021-12-17,63.17,56.81
92,2021-12-16,62.52,56.44
93,2021-12-15,61.94,55.74
94,2021-12-14,62.44,56.08
95,2021-12-13,62.83,56.42
96,2021-12-10,62.60,56.04
97,2021-12-09,62.23,56.13
98,2021-12-08,62.13,56.17
99,2021-12-07,61.60,55.77
100,2021-12-06,61.84,55.55
101,2021-12-03,61.66,55.32
102,2021-12-02,60.57,54.87
103,2021-12-01,61.09,55.39
104,2021-11-30,61.00,55.09
105,2021-11-29,60.52,54.50
106,2021-11-26,61.38,55.09
107,2021-11-25,61.67,55.52
108,2021-11-24,62.13,56.04
109,2021-11-23,62.79,56.54
110,2021-11-22,63.21,56.75
111,2021-11-19,63.39,56.84
112,2021-11-18,63.50,57.29
113,2021-11-17,63.24,56.88
114,2021-11-16,63.65,57.26
115,2021-11-15,63.84,57.49
116,2021-11-12,63.38,57.38
117,2021-11-11,63.64,57.23
118,2021-11-10,64.30,57.98
119,2021-11-09,64.23,58.19
120,2021-11-08,64.54,58.27
121,2021-11-05,64.02,57.43
122,2021-11-04,63.80,57.49
123,2021-11-03,63.03,56.52
124,2021-11-02,62.49,56.44
125,2021-11-01,63.48,56.88
126,2021-10-29,63.72,57.52
127,2021-10-28,63.99,57.53
128,2021-10-27,64.45,57.73
129,2021-10-26,64.10,58.03
130,2021-10-25,64.29,58.36
131,2021-10-22,64.29,57.90
132,2021-10-21,64.64,58.17
133,2021-10-20,64.35,58.39
134,2021-10-19,64.01,58.03
135,2021-10-18,64.75,58.13
136,2021-10-15,63.84,57.82
137,2021-10-14,64.03,58.12
138,2021-10-13,63.64,57.66
139,2021-10-12,63.65,57.17
140,2021-10-08,64.19,57.61
141,2021-10-07,64.28,57.88
142,2021-10-06,64.38,57.69
143,2021-10-05,64.01,57.92
144,2021-10-01,63.89,57.47
145,2021-09-30,64.28,57.74
146,2021-09-29,64.69,58.13
147,2021-09-28,65.40,58.49
148,2021-09-27,65.29,58.58
149,2021-09-24,64.97,58.93
150,2021-09-23,64.82,58.64
151,2021-09-17,65.60,58.63
152,2021-09-16,65.60,59.00
153,2021-09-15,65.11,58.86
154,2021-09-14,65.34,59.07
155,2021-09-13,65.58,58.86
156,2021-09-10,65.00,58.70
157,2021-09-09,65.07,58.39
158,2021-09-08,64.95,58.06
159,2021-09-07,64.80,58.14
160,2021-09-06,64.54,58.08
161,2021-09-03,64.30,58.09
162,2021-09-02,64.34,57.88
163,2021-09-01,64.11,57.92
164,2021-08-31,63.91,57.82
165,2021-08-30,63.88,57.94
166,2021-08-27,63.76,57.38
167,2021-08-26,64.18,57.68
168,2021-08-25,64.09,57.81
169,2021-08-24,63.82,57.79
170,2021-08-23,63.89,57.71
171,2021-08-20,65.09,58.22
172,2021-08-19,64.89,58.52
173,2021-08-18,64.96,58.73
174,2021-08-17,65.62,58.71
175,2021-08-13,65.07,58.07
176,2021-08-12,64.85,57.95
177,2021-08-11,63.84,57.15
178,2021-08-10,63.59,57.03
179,2021-08-09,63.31,56.87
180,2021-08-06,63.62,57.37
181,2021-08-05,63.64,57.36
182,2021-08-04,63.80,57.88
183,2021-08-03,63.96,57.84
184,2021-08-02,64.26,57.71
185,2021-07-30,64.01,57.76
186,2021-07-29,63.86,57.94
187,2021-07-28,64.12,57.58
188,2021-07-27,63.80,57.53
189,2021-07-26,63.86,57.29
190,2021-07-23,63.53,57.25
191,2021-07-22,63.40,57.10
192,2021-07-21,63.48,57.13
193,2021-07-20,63.66,57.12
194,2021-07-19,64.05,57.33
195,2021-07-16,63.48,57.36
196,2021-07-15,63.76,57.80
197,2021-07-14,63.72,57.09
198,2021-07-13,63.99,57.75
199,2021-07-12,63.96,57.78
200,2021-07-09,63.81,57.17
201,2021-07-08,63.93,57.01
202,2021-07-07,63.18,56.52
203,2021-07-06,63.50,56.97
204,2021-07-05,63.30,57.31
205,2021-07-02,63.08,56.60
206,2021-07-01,63.13,56.64
207,2021-06-30,63.31,57.01
208,2021-06-29,63.33,56.99
209,2021-06-28,63.41,56.94
210,2021-06-25,63.00,57.22
211,2021-06-24,62.30,56.23
212,2021-06-23,61.94,55.64
213,2021-06-22,61.33,55.37
214,2021-06-21,61.05,54.88
215,2021-06-18,61.34,55.31
216,2021-06-17,61.66,54.83
217,2021-06-16,61.97,55.80
218,2021-06-15,62.29,55.96
219,2021-06-14,62.58,55.92
220,2021-06-11,62.84,56.60
221,2021-06-10,62.82,56.54
222,2021-06-09,62.84,56.51
223,2021-06-08,62.41,56.04
224,2021-06-07,61.91,55.99
225,2021-06-04,61.38,55.17
226,2021-06-03,62.10,55.76
227,2021-06-02,61.79,55.43
228,2021-06-01,61.73,55.87
229,2021-05-31,61.80,55.99
230,2021-05-28,61.83,56.00
231,2021-05-27,62.45,56.24
232,2021-05-26,62.50,56.42
233,2021-05-25,62.84,56.77
234,2021-05-24,62.80,56.52
