,date,buy,standard
0,2022-05-02,832.27,817.83
1,2022-04-29,837.67,823.97
2,2022-04-28,846.08,826.19
3,2022-04-27,847.68,820.26
4,2022-04-26,847.36,824.71
5,2022-04-25,843.29,823.19
6,2022-04-22,846.25,832.34
7,2022-04-21,857.12,838.63
8,2022-04-20,853.41,831.83
9,2022-04-19,853.34,830.04
10,2022-04-18,848.15,832.59
11,2022-04-15,849.20,831.35
12,2022-04-14,852.58,834.59
13,2022-04-13,849.88,847.63
14,2022-04-12,857.46,840.59
15,2022-04-11,858.88,837.95
16,2022-04-08,857.71,839.36
17,2022-04-07,858.00,843.19
18,2022-04-06,862.97,842.82
19,2022-04-05,866.69,845.48
20,2022-04-04,858.10,840.93
21,2022-04-01,860.37,839.44
22,2022-03-31,857.06,844.59
23,2022-03-30,860.12,847.45
24,2022-03-29,855.21,846.28
25,2022-03-28,868.13,847.51
26,2022-03-25,864.88,849.19
27,2022-03-24,867.19,845.62
28,2022-03-23,860.18,851.32
29,2022-03-22,857.76,835.51
30,2022-03-21,853.91,835.05
31,2022-03-18,853.71,840.26
32,2022-03-17,845.50,847.07
33,2022-03-16,854.01,840.13
34,2022-03-15,857.01,836.06
35,2022-03-14,857.79,839.02
36,2022-03-11,860.88,843.87
37,2022-03-10,856.75,844.03
38,2022-03-08,858.33,835.97
39,2022-03-07,862.27,829.70
40,2022-03-04,847.88,818.51
41,2022-03-03,834.34,817.65
42,2022-03-02,832.69,814.20
43,2022-02-28,822.87,804.49
44,2022-02-25,822.23,803.06
45,2022-02-24,824.80,807.29
46,2022-02-23,824.49,805.05
47,2022-02-22,817.58,800.14
48,2022-02-21,817.53,800.63
49,2022-02-18,819.59,801.04
50,2022-02-17,817.40,800.55
51,2022-02-16,811.83,796.34
52,2022-02-15,811.63,792.80
53,2022-02-14,804.97,796.95
54,2022-02-11,812.32,797.91
55,2022-02-10,815.76,799.05
56,2022-02-09,812.47,796.36
57,2022-02-08,811.73,795.86
58,2022-02-07,812.22,793.71
59,2022-02-04,812.08,803.58
60,2022-02-03,814.43,799.44
61,2022-01-28,810.07,792.14
62,2022-01-27,811.80,796.72
63,2022-01-26,816.66,801.39
64,2022-01-25,815.90,800.35
65,2022-01-24,818.17,801.62
66,2022-01-21,816.56,804.35
67,2022-01-20,821.64,808.28
68,2022-01-19,825.06,805.24
69,2022-01-18,822.41,810.29
70,2022-01-17,828.47,808.10
71,2022-01-14,831.39,815.70
72,2022-01-13,831.44,815.08
73,2022-01-12,824.32,811.42
74,2022-01-11,824.40,811.38
75,2022-01-10,826.76,814.51
76,2022-01-07,828.46,809.49
77,2022-01-06,828.29,813.64
78,2022-01-05,831.17,812.90
79,2022-01-04,828.20,808.20
80,2022-01-03,832.20,811.42
81,2021-12-31,829.59,809.64
82,2021-12-30,826.87,810.63
83,2021-12-29,822.69,807.43
84,2021-12-28,824.82,808.63
85,2021-12-27,823.65,808.12
86,2021-12-24,825.83,810.59
87,2021-12-23,827.02,811.03
88,2021-12-22,822.13,806.76
89,2021-12-21,820.40,798.83
90,2021-12-20,816.07,797.57
91,2021-12-17,819.48,804.42
92,2021-12-16,821.72,805.37
93,2021-12-15,816.69,797.51
94,2021-12-14,814.99,796.10
95,2021-12-13,816.94,800.94
96,2021-12-10,816.84,797.77
97,2021-12-09,816.98,800.60
98,2021-12-08,813.36,801.62
99,2021-12-07,813.80,799.29
100,2021-12-06,813.08,796.20
101,2021-12-03,816.82,802.68
102,2021-12-02,817.38,803.90
103,2021-12-01,822.78,810.37
104,2021-11-30,826.21,814.26
105,2021-11-29,830.01,814.10
106,2021-11-26,832.00,815.18
107,2021-11-25,833.39,817.03
108,2021-11-24,836.74,826.64
109,2021-11-23,839.73,825.60
110,2021-11-22,848.22,827.44
111,2021-11-19,848.97,831.60
112,2021-11-18,847.44,828.58
113,2021-11-17,845.15,824.07
114,2021-11-16,846.23,831.27
115,2021-11-15,849.01,830.56
116,2021-11-12,844.56,831.60
117,2021-11-11,847.91,834.08
118,2021-11-10,854.41,839.79
119,2021-11-09,858.85,848.61
120,2021-11-08,861.06,843.21
121,2021-11-05,856.72,838.27
122,2021-11-04,860.93,846.73
123,2021-11-03,859.00,837.19
124,2021-11-02,858.84,844.76
125,2021-11-01,861.86,838.78
126,2021-10-29,857.57,842.92
127,2021-10-28,855.89,837.00
128,2021-10-27,853.90,835.19
129,2021-10-26,852.73,839.13
130,2021-10-25,853.24,842.67
131,2021-10-22,860.62,840.99
132,2021-10-21,861.86,846.26
133,2021-10-20,858.70,845.21
134,2021-10-19,858.62,840.26
135,2021-10-18,854.28,839.20
136,2021-10-15,850.45,836.21
137,2021-10-14,848.25,832.80
138,2021-10-13,845.13,831.10
139,2021-10-12,850.22,827.98
140,2021-10-08,843.68,825.18
141,2021-10-07,840.53,822.89
142,2021-10-06,839.79,826.34
143,2021-10-05,842.30,826.94
144,2021-10-01,834.92,818.08
145,2021-09-30,830.13,813.55
146,2021-09-29,838.84,822.61
147,2021-09-28,844.38,824.13
148,2021-09-27,843.70,824.53
149,2021-09-24,846.61,835.58
150,2021-09-23,841.70,824.08
151,2021-09-17,850.45,827.02
152,2021-09-16,850.78,835.30
153,2021-09-15,846.68,831.68
