,date,buy,standard
0,2022-05-02,136.91,135.16
1,2022-04-29,138.28,134.78
2,2022-04-28,139.31,135.23
3,2022-04-27,139.23,135.04
4,2022-04-26,139.23,136.72
5,2022-04-25,141.54,138.74
6,2022-04-22,141.96,139.04
7,2022-04-21,143.98,140.38
8,2022-04-20,143.28,139.80
9,2022-04-19,143.12,139.19
10,2022-04-18,142.74,139.77
11,2022-04-15,142.78,139.42
12,2022-04-14,142.98,140.28
13,2022-04-13,142.20,140.91
14,2022-04-12,142.26,139.73
15,2022-04-11,143.66,140.78
16,2022-04-08,142.54,138.33
17,2022-04-07,141.16,138.54
18,2022-04-06,141.65,138.31
19,2022-04-05,142.03,139.55
20,2022-04-04,141.74,138.84
21,2022-04-01,141.59,137.78
22,2022-03-31,142.14,141.26
23,2022-03-30,143.10,140.79
24,2022-03-29,143.43,140.78
25,2022-03-28,144.46,141.21
26,2022-03-25,143.26,140.75
27,2022-03-24,144.63,139.54
28,2022-03-23,141.05,139.54
29,2022-03-22,141.23,138.86
30,2022-03-21,141.82,138.43
31,2022-03-18,140.81,138.79
32,2022-03-17,138.86,139.29
33,2022-03-16,140.84,137.83
34,2022-03-15,140.07,136.91
35,2022-03-14,140.98,137.00
36,2022-03-11,140.78,137.19
37,2022-03-10,139.50,138.47
38,2022-03-08,139.72,135.31
39,2022-03-07,139.01,134.47
40,2022-03-04,139.35,135.06
41,2022-03-03,138.73,136.07
42,2022-03-02,138.01,135.50
43,2022-02-28,137.76,133.59
44,2022-02-25,136.84,133.91
45,2022-02-24,136.55,134.03
46,2022-02-23,137.14,134.26
47,2022-02-22,136.28,132.43
48,2022-02-21,135.66,133.05
49,2022-02-18,136.86,134.23
50,2022-02-17,137.06,134.91
51,2022-02-16,137.41,134.51
52,2022-02-15,137.94,134.67
53,2022-02-14,136.56,135.31
54,2022-02-11,138.01,135.49
55,2022-02-10,138.56,135.62
56,2022-02-09,138.73,135.68
57,2022-02-08,139.01,136.67
