,date,buy,standard
0,2022-05-02,26.37,24.18
1,2022-04-29,26.20,24.23
2,2022-04-28,26.49,24.22
3,2022-04-27,26.44,23.86
4,2022-04-26,26.14,23.80
5,2022-04-25,26.00,23.72
6,2022-04-22,25.89,23.58
7,2022-04-21,25.75,23.63
8,2022-04-20,25.63,23.54
9,2022-04-19,25.75,23.57
10,2022-04-18,25.75,23.57
11,2022-04-15,25.65,23.46
12,2022-04-14,25.61,23.57
13,2022-04-13,25.70,23.77
14,2022-04-12,25.75,23.64
15,2022-04-11,25.76,23.75
16,2022-04-08,25.94,23.71
17,2022-04-07,25.86,23.78
18,2022-04-06,25.83,23.64
19,2022-04-05,25.78,23.69
20,2022-04-04,25.77,23.60
21,2022-04-01,25.70,23.41
22,2022-03-31,25.54,23.29
23,2022-03-30,25.33,23.48
24,2022-03-29,25.49,23.53
25,2022-03-28,25.64,23.36
26,2022-03-25,25.48,23.33
27,2022-03-24,25.51,23.16
28,2022-03-23,25.28,23.33
29,2022-03-22,25.33,23.15
30,2022-03-21,25.26,23.13
31,2022-03-18,25.29,23.41
32,2022-03-17,25.28,23.79
33,2022-03-16,25.70,23.73
34,2022-03-15,25.89,23.64
35,2022-03-14,25.75,23.56
36,2022-03-11,25.71,23.52
37,2022-03-10,25.63,23.74
38,2022-03-08,25.77,23.43
39,2022-03-07,25.61,23.32
40,2022-03-04,25.53,23.31
41,2022-03-03,25.56,23.43
42,2022-03-02,25.59,23.48
43,2022-02-28,25.58,23.44
44,2022-02-25,25.57,23.38
45,2022-02-24,25.58,23.32
46,2022-02-23,25.42,23.27
47,2022-02-22,25.28,23.24
48,2022-02-21,25.28,23.25
49,2022-02-18,25.32,23.30
50,2022-02-17,25.41,23.30
51,2022-02-16,25.44,23.36
52,2022-02-15,25.42,23.34
53,2022-02-14,25.38,23.42
54,2022-02-11,25.44,23.31
55,2022-02-10,25.44,23.34
56,2022-02-09,25.42,23.28
57,2022-02-08,25.39,23.31
58,2022-02-07,25.45,23.46
59,2022-02-04,25.52,23.66
60,2022-02-03,25.71,23.63
61,2022-01-28,25.74,23.46
62,2022-01-27,25.59,23.33
63,2022-01-26,25.47,23.41
64,2022-01-25,25.47,23.28
65,2022-01-24,25.42,23.26
66,2022-01-21,25.28,23.15
