,date,buy,standard
0,2022-05-02,308.53,285.30
1,2022-04-29,304.30,284.10
2,2022-04-28,308.00,283.04
3,2022-04-27,308.30,281.58
4,2022-04-26,312.04,287.62
5,2022-04-25,313.56,288.40
6,2022-04-22,313.77,288.88
7,2022-04-21,312.36,289.37
8,2022-04-20,309.52,286.95
9,2022-04-19,311.85,287.47
10,2022-04-18,311.32,287.15
11,2022-04-15,309.54,285.56
12,2022-04-14,310.93,288.15
13,2022-04-13,309.53,288.72
14,2022-04-12,310.12,287.44
15,2022-04-11,312.45,287.36
16,2022-04-08,310.66,285.80
17,2022-04-07,308.19,285.17
18,2022-04-06,308.69,284.83
19,2022-04-05,310.89,288.77
20,2022-04-04,312.02,289.32
21,2022-04-01,313.52,288.72
22,2022-03-31,314.89,291.07
23,2022-03-30,311.02,290.63
24,2022-03-29,308.13,286.96
25,2022-03-28,309.97,285.30
26,2022-03-25,303.69,281.34
27,2022-03-24,307.75,282.37
28,2022-03-23,309.42,288.09
29,2022-03-22,308.55,284.92
30,2022-03-21,307.02,283.70
31,2022-03-18,311.20,289.20
32,2022-03-17,309.06,293.10
33,2022-03-16,310.23,289.03
34,2022-03-15,310.72,286.13
35,2022-03-14,305.26,281.36
36,2022-03-11,306.40,282.33
37,2022-03-10,307.53,286.24
38,2022-03-08,290.69,267.07
39,2022-03-07,296.36,270.87
40,2022-03-04,301.76,276.57
41,2022-03-03,305.48,282.42
42,2022-03-02,305.48,282.25
43,2022-02-28,308.66,285.73
44,2022-02-25,314.16,289.93
45,2022-02-24,320.26,293.72
46,2022-02-23,320.46,297.65
47,2022-02-22,320.71,297.18
48,2022-02-21,321.85,299.11
49,2022-02-18,324.19,300.76
50,2022-02-17,326.65,302.42
51,2022-02-16,326.35,302.69
52,2022-02-15,320.97,297.34
53,2022-02-14,321.22,297.97
54,2022-02-11,327.56,303.13
55,2022-02-10,328.37,304.01
56,2022-02-09,325.55,301.83
57,2022-02-08,326.55,302.56
58,2022-02-07,325.73,301.32
59,2022-02-04,325.97,303.59
60,2022-02-03,323.75,300.09
61,2022-01-28,319.59,293.91
62,2022-01-27,318.61,293.44
63,2022-01-26,319.08,295.57
64,2022-01-25,320.95,296.28
65,2022-01-24,323.69,298.88
66,2022-01-21,321.84,297.60
67,2022-01-20,322.11,298.82
68,2022-01-19,321.57,296.95
69,2022-01-18,324.34,300.60
70,2022-01-17,323.71,298.64
71,2022-01-14,323.60,299.78
72,2022-01-13,323.92,300.90
73,2022-01-12,322.68,299.46
74,2022-01-11,321.53,299.30
75,2022-01-10,323.40,300.47
76,2022-01-07,322.45,297.52
77,2022-01-06,321.80,296.28
78,2022-01-05,319.85,295.26
79,2022-01-04,318.91,293.98
80,2022-01-03,319.28,293.83
81,2021-12-31,316.93,292.11
82,2021-12-30,316.82,292.79
83,2021-12-29,315.19,291.81
84,2021-12-28,315.87,291.89
85,2021-12-27,314.04,290.49
86,2021-12-24,313.65,290.36
87,2021-12-23,313.58,291.13
88,2021-12-22,314.17,290.64
89,2021-12-21,313.76,289.81
90,2021-12-20,312.30,287.33
91,2021-12-17,313.18,289.51
92,2021-12-16,312.35,289.86
93,2021-12-15,311.16,287.67
94,2021-12-14,310.66,286.75
95,2021-12-13,312.69,288.59
96,2021-12-10,312.89,287.83
97,2021-12-09,312.55,289.43
98,2021-12-08,312.63,290.50
99,2021-12-07,312.48,290.65
100,2021-12-06,313.78,289.70
101,2021-12-03,313.55,289.16
102,2021-12-02,310.60,288.95
