,date,buy,standard
0,2022-05-02,18.46,17.25
1,2022-04-29,17.98,17.45
2,2022-04-28,18.41,17.10
3,2022-04-27,17.59,16.81
4,2022-04-26,17.35,16.46
5,2022-04-25,16.70,16.05
6,2022-04-22,16.47,15.29
7,2022-04-21,15.97,14.95
8,2022-04-20,16.26,15.25
9,2022-04-19,16.31,15.20
10,2022-04-18,15.82,14.78
11,2022-04-15,15.98,14.82
12,2022-04-14,15.96,14.94
13,2022-04-13,15.35,14.48
14,2022-04-12,15.65,14.75
15,2022-04-11,15.45,14.38
16,2022-04-08,16.54,15.38
17,2022-04-07,15.91,14.84
18,2022-04-06,15.30,14.44
19,2022-04-05,15.52,14.53
20,2022-04-04,15.34,14.48
21,2022-04-01,15.92,14.81
22,2022-03-31,15.45,14.50
23,2022-03-30,14.81,13.95
24,2022-03-29,14.43,12.70
25,2022-03-28,13.41,12.08
26,2022-03-25,13.26,11.93
27,2022-03-24,13.50,12.53
28,2022-03-23,12.49,11.52
29,2022-03-22,12.51,11.38
30,2022-03-21,12.79,11.98
31,2022-03-18,12.75,11.84
32,2022-03-17,12.52,12.85
33,2022-03-16,12.23,10.80
34,2022-03-15,11.01,10.28
35,2022-03-14,11.04,9.27
36,2022-03-11,11.20,9.20
37,2022-03-10,9.92,8.98
38,2022-03-08,10.57,9.35
39,2022-03-07,11.56,9.89
40,2022-03-04,12.06,10.99
41,2022-03-03,13.03,11.73
42,2022-03-02,12.18,11.11
43,2022-02-28,12.14,14.33
44,2022-02-25,15.48,14.12
45,2022-02-24,14.32,14.69
46,2022-02-23,16.19,15.15
47,2022-02-22,15.90,14.87
48,2022-02-21,16.39,15.33
49,2022-02-18,16.79,15.72
50,2022-02-17,17.09,15.94
51,2022-02-16,16.97,15.89
52,2022-02-15,16.70,15.65
53,2022-02-14,16.59,15.49
54,2022-02-11,17.07,15.94
55,2022-02-10,17.09,16.00
56,2022-02-09,17.07,15.95
57,2022-02-08,17.01,15.91
58,2022-02-07,16.93,15.79
59,2022-02-04,16.82,15.76
60,2022-02-03,16.86,15.83
61,2022-01-28,16.60,15.36
62,2022-01-27,16.24,15.11
63,2022-01-26,16.25,15.21
64,2022-01-25,16.32,15.18
65,2022-01-24,16.47,15.42
66,2022-01-21,16.59,15.53
67,2022-01-20,16.69,15.64
68,2022-01-19,16.58,15.47
69,2022-01-18,16.76,15.65
70,2022-01-17,16.62,15.53
71,2022-01-14,16.68,15.57
72,2022-01-13,16.98,15.95
73,2022-01-12,17.17,16.05
74,2022-01-11,17.04,16.04
75,2022-01-10,16.91,15.87
76,2022-01-07,16.88,15.71
77,2022-01-06,16.79,15.62
78,2022-01-05,17.02,15.86
79,2022-01-04,17.20,15.99
80,2022-01-03,17.04,15.85
81,2021-12-31,17.04,15.85
82,2021-12-30,17.10,16.04
83,2021-12-29,17.22,16.10
84,2021-12-28,17.33,16.16
85,2021-12-27,17.35,16.20
86,2021-12-24,17.37,16.19
87,2021-12-23,17.25,16.17
88,2021-12-22,17.20,16.12
89,2021-12-21,17.18,16.05
90,2021-12-20,17.20,15.97
91,2021-12-17,17.19,16.04
92,2021-12-16,17.20,16.10
93,2021-12-15,17.16,16.03
94,2021-12-14,17.16,16.03
95,2021-12-13,17.17,16.04
96,2021-12-10,17.15,15.93
97,2021-12-09,17.09,15.97
98,2021-12-08,17.03,15.96
99,2021-12-07,16.98,15.92
100,2021-12-06,17.14,15.97
101,2021-12-03,17.20,15.99
102,2021-12-02,16.95,15.90
103,2021-12-01,17.02,16.02
104,2021-11-30,17.08,16.01
105,2021-11-29,16.92,15.78
106,2021-11-26,17.10,15.95
107,2021-11-25,16.97,15.86
108,2021-11-24,17.08,16.00
109,2021-11-23,16.95,15.84
110,2021-11-22,17.29,16.08
111,2021-11-19,17.36,16.15
112,2021-11-18,17.46,16.30
113,2021-11-17,17.33,16.14
114,2021-11-16,17.46,16.27
115,2021-11-15,17.38,16.22
116,2021-11-12,17.62,16.53
117,2021-11-11,17.74,16.57
118,2021-11-10,17.78,16.65
119,2021-11-09,17.65,16.62
120,2021-11-08,17.77,16.63
121,2021-11-05,17.72,16.52
122,2021-11-04,17.61,16.47
123,2021-11-03,17.64,16.41
124,2021-11-02,17.60,16.42
125,2021-11-01,17.72,16.48
126,2021-10-29,17.83,16.68
127,2021-10-28,17.76,16.54
128,2021-10-27,18.07,16.77
129,2021-10-26,17.85,16.79
130,2021-10-25,17.75,16.74
131,2021-10-22,17.70,16.53
132,2021-10-21,17.71,16.59
133,2021-10-20,17.69,16.66
134,2021-10-19,17.66,16.63
135,2021-10-18,17.94,16.64
136,2021-10-15,17.71,16.64
137,2021-10-14,17.63,16.59
138,2021-10-13,17.72,16.68
139,2021-10-12,17.84,16.60
140,2021-10-08,17.86,16.59
141,2021-10-07,17.58,16.43
142,2021-10-06,17.61,16.41
143,2021-10-05,17.51,16.37
144,2021-10-01,17.44,16.29
145,2021-09-30,17.45,16.26
146,2021-09-29,17.44,16.22
147,2021-09-28,17.45,16.20
148,2021-09-27,17.37,16.15
149,2021-09-24,17.23,16.26
150,2021-09-23,17.19,16.14
151,2021-09-17,17.36,16.13
152,2021-09-16,17.32,16.21
153,2021-09-15,17.18,16.09
154,2021-09-14,17.25,16.16
155,2021-09-13,17.17,16.00
156,2021-09-10,17.05,16.04
157,2021-09-09,17.05,15.89
158,2021-09-08,17.02,15.78
159,2021-09-07,17.01,15.85
160,2021-09-06,17.01,15.89
161,2021-09-03,16.91,15.88
162,2021-09-02,17.03,15.86
163,2021-09-01,16.84,15.86
164,2021-08-31,16.88,15.86
165,2021-08-30,16.92,15.94
166,2021-08-27,16.86,15.72
167,2021-08-26,16.90,15.79
168,2021-08-25,16.89,15.83
169,2021-08-24,16.89,15.84
170,2021-08-23,16.92,15.85
171,2021-08-20,17.03,15.81
172,2021-08-19,16.99,15.89
173,2021-08-18,16.95,15.95
174,2021-08-17,17.06,15.93
175,2021-08-13,16.91,15.75
176,2021-08-12,16.90,15.73
177,2021-08-11,16.73,15.53
178,2021-08-10,16.74,15.55
179,2021-08-09,16.74,15.54
180,2021-08-06,16.72,15.63
181,2021-08-05,16.73,15.65
182,2021-08-04,16.77,15.77
183,2021-08-03,16.84,15.78
184,2021-08-02,16.78,15.69
185,2021-07-30,16.72,15.68
186,2021-07-29,16.73,15.72
187,2021-07-28,16.74,15.60
188,2021-07-27,16.73,15.65
189,2021-07-26,16.72,15.59
190,2021-07-23,16.71,15.62
191,2021-07-22,16.68,15.55
192,2021-07-21,16.59,15.47
193,2021-07-20,16.48,15.34
194,2021-07-19,16.58,15.39
195,2021-07-16,16.45,15.37
196,2021-07-15,16.46,15.51
197,2021-07-14,16.56,15.40
198,2021-07-13,16.47,15.40
199,2021-07-12,16.46,15.44
200,2021-07-09,16.41,15.30
201,2021-07-08,16.43,15.22
202,2021-07-07,16.42,15.19
203,2021-07-06,16.56,15.39
204,2021-07-05,16.47,15.49
205,2021-07-02,16.59,15.40
206,2021-07-01,16.63,15.46
207,2021-06-30,16.61,15.53
