,date,buy,standard
0,2022-05-02,354.66,337.31
1,2022-04-29,352.42,338.43
2,2022-04-28,356.44,336.75
3,2022-04-27,354.33,332.80
4,2022-04-26,350.81,332.48
5,2022-04-25,349.95,331.09
6,2022-04-22,348.15,329.67
7,2022-04-21,346.18,329.87
8,2022-04-20,345.40,329.31
9,2022-04-19,346.83,328.75
10,2022-04-18,345.82,328.02
11,2022-04-15,343.89,326.44
12,2022-04-14,343.37,327.38
13,2022-04-13,343.67,329.75
14,2022-04-12,344.72,328.52
15,2022-04-11,345.10,326.37
16,2022-04-08,343.38,324.87
17,2022-04-07,341.52,325.01
18,2022-04-06,340.68,323.25
19,2022-04-05,339.54,324.33
20,2022-04-04,339.93,324.18
21,2022-04-01,340.54,322.72
22,2022-03-31,339.34,322.73
23,2022-03-30,338.42,325.24
24,2022-03-29,341.00,326.72
25,2022-03-28,343.01,324.78
26,2022-03-25,341.29,325.08
27,2022-03-24,342.66,323.29
28,2022-03-23,340.13,325.59
29,2022-03-22,340.63,323.52
30,2022-03-21,339.87,322.82
31,2022-03-18,340.23,325.33
32,2022-03-17,338.91,330.61
33,2022-03-16,345.34,330.97
34,2022-03-15,348.61,330.15
35,2022-03-14,346.50,328.51
36,2022-03-11,345.69,327.52
37,2022-03-10,343.65,329.05
38,2022-03-08,345.74,326.60
39,2022-03-07,343.46,322.90
40,2022-03-04,340.30,320.80
41,2022-03-03,337.82,321.18
42,2022-03-02,338.13,321.34
43,2022-02-28,336.76,320.57
44,2022-02-25,336.85,319.69
45,2022-02-24,336.79,317.72
46,2022-02-23,333.36,318.43
47,2022-02-22,333.99,318.39
48,2022-02-21,333.52,318.84
49,2022-02-18,334.36,319.02
50,2022-02-17,335.01,318.97
51,2022-02-16,334.83,319.40
52,2022-02-15,335.35,319.42
53,2022-02-14,334.93,319.75
54,2022-02-11,334.96,318.79
55,2022-02-10,334.76,318.79
56,2022-02-09,334.79,319.27
57,2022-02-08,335.42,319.70
58,2022-02-07,336.04,319.74
59,2022-02-04,335.43,321.29
60,2022-02-03,337.07,321.37
61,2022-01-28,338.91,320.48
62,2022-01-27,336.86,319.09
63,2022-01-26,335.22,319.32
64,2022-01-25,335.35,318.36
65,2022-01-24,334.98,318.20
66,2022-01-21,333.67,317.34
67,2022-01-20,332.92,317.69
68,2022-01-19,333.57,316.88
69,2022-01-18,333.35,317.76
70,2022-01-17,333.46,316.47
71,2022-01-14,332.24,316.58
72,2022-01-13,331.76,317.02
73,2022-01-12,333.55,318.41
74,2022-01-11,333.86,319.68
75,2022-01-10,335.49,320.51
76,2022-01-07,336.71,319.51
77,2022-01-06,336.90,319.01
78,2022-01-05,334.99,318.02
79,2022-01-04,334.47,317.19
80,2022-01-03,333.56,315.65
81,2021-12-31,333.08,315.76
82,2021-12-30,332.52,316.07
83,2021-12-29,331.87,315.95
84,2021-12-28,332.28,315.86
85,2021-12-27,332.03,315.93
86,2021-12-24,332.04,316.25
87,2021-12-23,332.24,317.28
88,2021-12-22,333.46,317.36
89,2021-12-21,333.74,316.96
90,2021-12-20,333.60,315.71
91,2021-12-17,331.67,315.37
92,2021-12-16,331.25,316.19
93,2021-12-15,331.80,315.50
94,2021-12-14,330.97,314.23
95,2021-12-13,330.83,314.07
96,2021-12-10,330.69,312.90
97,2021-12-09,329.32,313.58
98,2021-12-08,329.40,314.87
99,2021-12-07,329.94,315.54
100,2021-12-06,330.81,314.18
101,2021-12-03,330.76,313.83
102,2021-12-02,328.90,314.61
103,2021-12-01,330.28,316.58
104,2021-11-30,333.23,318.12
105,2021-11-29,333.90,318.01
106,2021-11-26,334.66,317.13
107,2021-11-25,333.14,316.84
108,2021-11-24,332.08,316.92
109,2021-11-23,332.69,316.54
110,2021-11-22,332.41,315.51
111,2021-11-19,331.97,314.72
112,2021-11-18,330.59,315.55
113,2021-11-17,330.61,314.49
114,2021-11-16,330.46,314.66
115,2021-11-15,330.06,314.52
116,2021-11-12,329.97,315.88
117,2021-11-11,331.20,314.88
118,2021-11-10,329.65,314.21
119,2021-11-09,329.54,315.77
120,2021-11-08,331.19,315.98
121,2021-11-05,331.69,314.57
122,2021-11-04,331.21,314.86
123,2021-11-03,330.59,313.37
124,2021-11-02,329.19,313.60
125,2021-11-01,329.78,311.82
