,date,buy,standard
0,2022-05-02,932.69,914.77
1,2022-04-29,930.49,915.31
2,2022-04-28,936.56,914.66
3,2022-04-27,935.63,905.39
4,2022-04-26,930.44,907.61
5,2022-04-25,927.74,906.25
6,2022-04-22,928.59,905.89
7,2022-04-21,926.48,907.46
8,2022-04-20,921.66,902.94
9,2022-04-19,925.60,905.31
10,2022-04-18,925.56,906.02
11,2022-04-15,923.62,902.90
12,2022-04-14,923.74,901.13
13,2022-04-13,918.06,906.66
14,2022-04-12,919.86,902.43
15,2022-04-11,920.23,898.25
16,2022-04-08,917.84,894.87
17,2022-04-07,914.46,896.17
18,2022-04-06,913.35,892.14
19,2022-04-05,912.76,896.91
20,2022-04-04,913.08,896.27
21,2022-04-01,915.23,893.51
22,2022-03-31,913.20,895.13
23,2022-03-30,911.74,899.87
24,2022-03-29,913.07,900.69
25,2022-03-28,918.52,896.83
26,2022-03-25,916.74,898.30
27,2022-03-24,919.48,893.04
28,2022-03-23,912.59,900.31
29,2022-03-22,913.88,893.77
30,2022-03-21,913.18,893.21
31,2022-03-18,914.75,901.68
32,2022-03-17,911.33,912.70
33,2022-03-16,923.46,909.30
34,2022-03-15,929.82,906.34
35,2022-03-14,925.37,903.92
36,2022-03-11,925.84,904.15
37,2022-03-10,920.73,908.72
38,2022-03-08,923.36,899.57
39,2022-03-07,917.92,890.45
40,2022-03-04,912.06,886.92
41,2022-03-03,908.02,889.69
42,2022-03-02,906.66,888.66
43,2022-02-28,903.25,884.63
44,2022-02-25,906.55,885.66
45,2022-02-24,907.84,885.40
46,2022-02-23,904.21,888.29
47,2022-02-22,903.42,886.96
48,2022-02-21,904.03,888.46
49,2022-02-18,908.00,891.06
50,2022-02-17,908.34,891.41
51,2022-02-16,908.33,891.21
52,2022-02-15,907.98,889.54
53,2022-02-14,905.73,890.77
54,2022-02-11,907.65,888.92
55,2022-02-10,909.09,891.31
56,2022-02-09,908.08,890.43
57,2022-02-08,909.10,892.31
58,2022-02-07,910.81,891.66
59,2022-02-04,909.44,896.94
60,2022-02-03,911.07,895.20
61,2022-01-28,910.12,888.79
62,2022-01-27,908.76,888.02
63,2022-01-26,908.27,890.92
64,2022-01-25,909.46,887.45
65,2022-01-24,907.51,887.60
66,2022-01-21,903.36,883.64
67,2022-01-20,901.06,884.16
68,2022-01-19,901.08,879.98
69,2022-01-18,900.84,884.17
70,2022-01-17,901.89,880.58
71,2022-01-14,901.08,882.44
72,2022-01-13,899.28,884.19
73,2022-01-12,900.33,884.97
74,2022-01-11,899.88,884.83
75,2022-01-10,901.86,886.73
76,2022-01-07,903.53,881.51
77,2022-01-06,902.88,882.49
78,2022-01-05,901.35,880.82
79,2022-01-04,900.31,879.31
80,2022-01-03,901.91,879.26
81,2021-12-31,899.39,877.14
82,2021-12-30,895.57,877.73
83,2021-12-29,894.19,876.15
84,2021-12-28,894.99,874.55
85,2021-12-27,892.39,873.03
86,2021-12-24,892.85,874.13
87,2021-12-23,890.47,874.76
88,2021-12-22,890.31,873.37
89,2021-12-21,891.79,870.47
90,2021-12-20,889.03,866.58
91,2021-12-17,886.00,868.08
92,2021-12-16,884.89,868.66
93,2021-12-15,884.37,863.97
94,2021-12-14,881.49,861.60
95,2021-12-13,881.89,864.00
96,2021-12-10,881.97,859.99
97,2021-12-09,879.59,863.73
98,2021-12-08,879.26,864.78
99,2021-12-07,879.67,864.74
100,2021-12-06,880.21,859.23
101,2021-12-03,879.12,859.85
102,2021-12-02,877.18,864.78
103,2021-12-01,881.95,870.49
104,2021-11-30,887.58,871.89
105,2021-11-29,888.21,870.77
106,2021-11-26,888.52,869.44
107,2021-11-25,888.18,868.50
108,2021-11-24,885.76,870.57
109,2021-11-23,887.59,869.95
110,2021-11-22,889.31,868.78
111,2021-11-19,889.69,870.13
112,2021-11-18,887.31,873.12
113,2021-11-17,887.76,869.17
114,2021-11-16,889.56,871.70
115,2021-11-15,889.74,872.26
116,2021-11-12,888.51,874.54
117,2021-11-11,890.32,872.94
118,2021-11-10,891.18,874.54
119,2021-11-09,891.92,878.85
120,2021-11-08,893.95,877.76
121,2021-11-05,893.34,873.33
122,2021-11-04,893.62,876.35
123,2021-11-03,892.51,871.22
124,2021-11-02,889.84,872.53
125,2021-11-01,889.65,866.66
126,2021-10-29,887.71,871.64
127,2021-10-28,885.37,866.13
128,2021-10-27,886.83,865.56
129,2021-10-26,883.18,869.45
130,2021-10-25,886.35,874.09
131,2021-10-22,891.27,872.55
132,2021-10-21,892.96,875.19
133,2021-10-20,891.54,878.55
134,2021-10-19,894.35,878.86
135,2021-10-18,896.55,877.29
136,2021-10-15,894.50,881.14
137,2021-10-14,897.30,884.30
138,2021-10-13,898.44,883.61
139,2021-10-12,901.32,880.22
140,2021-10-08,898.32,876.32
141,2021-10-07,894.31,875.74
142,2021-10-06,896.14,874.70
143,2021-10-05,892.28,874.97
144,2021-10-01,891.29,872.72
145,2021-09-30,888.16,870.13
146,2021-09-29,889.70,870.78
147,2021-09-28,891.85,868.40
148,2021-09-27,889.67,868.12
149,2021-09-24,888.63,876.40
150,2021-09-23,886.43,870.01
151,2021-09-17,892.63,868.99
152,2021-09-16,890.68,873.98
153,2021-09-15,888.65,872.37
154,2021-09-14,889.89,874.84
155,2021-09-13,892.40,871.90
156,2021-09-10,888.85,871.32
157,2021-09-09,887.00,865.09
158,2021-09-08,884.35,860.28
159,2021-09-07,881.88,862.31
160,2021-09-06,879.39,862.18
161,2021-09-03,879.32,864.03
162,2021-09-02,879.65,860.79
163,2021-09-01,878.34,864.73
164,2021-08-31,878.52,865.50
165,2021-08-30,882.14,869.93
166,2021-08-27,883.08,862.61
167,2021-08-26,882.92,862.29
168,2021-08-25,879.70,862.15
169,2021-08-24,877.43,865.62
170,2021-08-23,879.39,863.54
171,2021-08-20,885.52,860.63
