,date,buy,standard
0,2022-05-02,86.55,80.02
1,2022-04-29,85.07,79.43
2,2022-04-28,86.58,79.45
3,2022-04-27,86.21,78.73
4,2022-04-26,86.31,79.46
5,2022-04-25,86.55,79.63
6,2022-04-22,87.37,80.42
7,2022-04-21,88.83,82.30
8,2022-04-20,88.92,82.41
9,2022-04-19,91.21,84.03
10,2022-04-18,91.02,83.93
11,2022-04-15,90.46,83.53
12,2022-04-14,90.95,84.34
13,2022-04-13,91.27,85.14
14,2022-04-12,91.17,84.43
15,2022-04-11,90.96,83.62
16,2022-04-08,89.89,82.68
17,2022-04-07,89.71,83.00
18,2022-04-06,89.51,82.54
19,2022-04-05,89.78,83.34
20,2022-04-04,89.78,82.95
21,2022-04-01,90.33,82.87
22,2022-03-31,90.37,83.56
23,2022-03-30,89.86,83.95
24,2022-03-29,89.67,83.55
25,2022-03-28,91.02,83.80
26,2022-03-25,90.70,83.97
27,2022-03-24,89.60,82.16
28,2022-03-23,88.66,82.47
29,2022-03-22,87.96,81.22
30,2022-03-21,87.76,80.97
31,2022-03-18,87.93,81.80
32,2022-03-17,87.65,83.12
33,2022-03-16,88.20,82.20
34,2022-03-15,88.87,81.81
35,2022-03-14,88.89,81.94
36,2022-03-11,88.64,81.63
37,2022-03-10,88.31,82.23
38,2022-03-08,86.91,79.83
39,2022-03-07,86.28,78.89
40,2022-03-04,86.34,79.13
41,2022-03-03,85.03,78.58
42,2022-03-02,84.71,78.28
43,2022-02-28,84.49,78.16
44,2022-02-25,84.52,77.97
45,2022-02-24,85.92,78.80
46,2022-02-23,85.38,79.26
47,2022-02-22,85.13,78.91
48,2022-02-21,84.96,78.99
49,2022-02-18,85.96,79.76
50,2022-02-17,86.15,79.80
51,2022-02-16,85.57,79.35
52,2022-02-15,85.65,79.28
53,2022-02-14,84.89,78.84
54,2022-02-11,85.28,78.86
55,2022-02-10,84.88,78.57
56,2022-02-09,84.09,77.96
57,2022-02-08,83.47,77.35
58,2022-02-07,83.90,77.58
59,2022-02-04,84.81,78.97
60,2022-02-03,84.55,78.61
61,2022-01-28,84.59,77.77
62,2022-01-27,84.76,78.07
63,2022-01-26,84.78,78.50
64,2022-01-25,84.35,78.28
65,2022-01-24,85.63,79.04
66,2022-01-21,84.59,78.15
67,2022-01-20,83.81,77.76
68,2022-01-19,82.98,76.66
69,2022-01-18,83.53,77.45
70,2022-01-17,83.87,77.42
71,2022-01-14,83.17,77.04
72,2022-01-13,83.59,77.66
73,2022-01-12,82.89,76.93
74,2022-01-11,82.20,76.52
75,2022-01-10,83.03,77.08
76,2022-01-07,82.58,76.20
77,2022-01-06,81.88,75.39
78,2022-01-05,80.66,74.43
79,2022-01-04,81.32,74.99
80,2022-01-03,80.71,74.23
81,2021-12-31,80.77,74.45
82,2021-12-30,80.56,74.47
83,2021-12-29,81.49,75.40
84,2021-12-28,82.55,76.30
85,2021-12-27,82.44,76.27
86,2021-12-24,81.88,75.85
87,2021-12-23,81.50,75.68
