,date,buy,standard
0,2022-05-02,130.54,128.97
1,2022-04-29,131.38,128.52
2,2022-04-28,132.87,128.26
3,2022-04-27,131.01,126.87
4,2022-04-26,131.51,128.36
5,2022-04-25,132.49,130.37
6,2022-04-22,132.99,130.00
7,2022-04-21,134.38,131.02
8,2022-04-20,132.90,129.48
9,2022-04-19,132.06,128.42
10,2022-04-18,131.55,128.63
11,2022-04-15,131.37,128.53
12,2022-04-14,132.46,129.59
13,2022-04-13,131.34,129.87
14,2022-04-12,132.00,129.58
15,2022-04-11,133.19,129.75
16,2022-04-08,132.23,128.81
17,2022-04-07,131.30,128.51
18,2022-04-06,132.05,128.58
19,2022-04-05,131.63,129.09
20,2022-04-04,131.76,129.80
21,2022-04-01,132.68,129.01
22,2022-03-31,133.16,130.83
23,2022-03-30,133.23,130.89
24,2022-03-29,131.81,129.21
25,2022-03-28,132.03,129.30
26,2022-03-25,132.36,129.67
27,2022-03-24,132.46,128.26
28,2022-03-23,131.27,129.41
29,2022-03-22,131.35,127.88
30,2022-03-21,131.27,128.55
31,2022-03-18,131.56,129.61
32,2022-03-17,131.11,131.65
33,2022-03-16,131.98,129.09
34,2022-03-15,132.22,128.64
35,2022-03-14,131.32,126.33
36,2022-03-11,129.31,126.77
37,2022-03-10,128.23,127.54
38,2022-03-08,126.60,122.79
39,2022-03-07,125.29,122.32
40,2022-03-04,126.84,123.50
41,2022-03-03,126.89,124.55
42,2022-03-02,126.76,125.03
43,2022-02-28,128.53,125.33
44,2022-02-25,128.83,126.41
45,2022-02-24,128.66,126.93
46,2022-02-23,130.49,128.03
47,2022-02-22,129.77,126.47
48,2022-02-21,130.10,127.19
49,2022-02-18,130.91,128.18
50,2022-02-17,131.05,129.13
51,2022-02-16,131.90,129.06
52,2022-02-15,131.39,127.63
53,2022-02-14,129.42,128.78
54,2022-02-11,131.07,128.36
55,2022-02-10,133.35,131.19
56,2022-02-09,133.87,131.01
57,2022-02-08,133.90,131.40
58,2022-02-07,133.87,131.10
59,2022-02-04,134.34,132.48
60,2022-02-03,133.29,131.10
61,2022-01-28,130.80,128.04
62,2022-01-27,131.20,128.60
63,2022-01-26,131.63,129.32
64,2022-01-25,131.89,128.93
65,2022-01-24,132.50,129.86
66,2022-01-21,132.56,128.97
67,2022-01-20,133.01,130.71
68,2022-01-19,133.17,130.06
69,2022-01-18,134.04,132.19
70,2022-01-17,134.88,131.85
71,2022-01-14,135.56,133.07
72,2022-01-13,135.62,133.08
73,2022-01-12,134.56,132.25
74,2022-01-11,134.24,131.88
75,2022-01-10,134.43,132.83
76,2022-01-07,134.79,131.18
77,2022-01-06,134.24,131.41
78,2022-01-05,134.51,131.26
79,2022-01-04,134.25,130.66
80,2022-01-03,134.40,130.98
81,2021-12-31,134.22,131.04
82,2021-12-30,134.03,131.37
83,2021-12-29,133.54,131.09
84,2021-12-28,133.89,130.29
85,2021-12-27,132.57,130.18
86,2021-12-24,133.58,130.69
87,2021-12-23,132.98,131.09
88,2021-12-22,132.97,130.47
89,2021-12-21,133.41,130.08
90,2021-12-20,132.81,129.65
91,2021-12-17,133.79,130.95
92,2021-12-16,133.18,130.69
93,2021-12-15,132.54,129.40
94,2021-12-14,132.63,129.54
95,2021-12-13,132.58,130.12
96,2021-12-10,132.89,129.48
97,2021-12-09,132.39,130.02
98,2021-12-08,132.13,129.76
99,2021-12-07,132.46,130.11
100,2021-12-06,132.04,128.85
101,2021-12-03,131.99,130.07
102,2021-12-02,132.06,129.84
103,2021-12-01,133.15,131.69
104,2021-11-30,133.99,131.59
105,2021-11-29,133.12,130.46
106,2021-11-26,133.03,130.77
107,2021-11-25,133.76,130.30
108,2021-11-24,133.57,131.57
109,2021-11-23,134.81,131.98
110,2021-11-22,135.02,132.25
111,2021-11-19,135.93,133.18
112,2021-11-18,135.87,133.50
113,2021-11-17,135.69,132.64
114,2021-11-16,136.97,134.11
115,2021-11-15,137.48,134.72
116,2021-11-12,137.68,135.96
117,2021-11-11,138.42,135.73
118,2021-11-10,139.65,137.38
119,2021-11-09,140.37,138.06
120,2021-11-08,140.50,138.31
121,2021-11-05,140.68,137.37
122,2021-11-04,140.74,138.42
123,2021-11-03,140.64,137.12
124,2021-11-02,140.59,138.07
125,2021-11-01,140.07,136.13
126,2021-10-29,139.86,137.57
127,2021-10-28,138.86,136.04
128,2021-10-27,138.90,135.37
129,2021-10-26,138.00,136.11
130,2021-10-25,138.72,137.33
131,2021-10-22,139.65,136.67
132,2021-10-21,139.79,136.86
133,2021-10-20,139.01,137.01
134,2021-10-19,139.77,136.87
135,2021-10-18,139.92,137.30
136,2021-10-15,139.64,137.62
137,2021-10-14,140.12,137.56
138,2021-10-13,138.70,136.50
139,2021-10-12,139.67,135.95
140,2021-10-08,138.69,135.50
141,2021-10-07,138.22,135.17
142,2021-10-06,138.51,135.83
143,2021-10-05,138.69,136.03
144,2021-10-01,137.88,135.29
145,2021-09-30,137.55,134.56
146,2021-09-29,138.09,135.35
147,2021-09-28,138.55,135.05
148,2021-09-27,138.54,135.90
149,2021-09-24,139.06,136.88
150,2021-09-23,138.19,135.47
151,2021-09-17,139.38,135.61
152,2021-09-16,138.70,136.55
153,2021-09-15,138.88,136.13
154,2021-09-14,139.34,136.47
155,2021-09-13,138.63,135.54
156,2021-09-10,138.26,135.87
157,2021-09-09,138.18,134.96
158,2021-09-08,138.04,134.75
159,2021-09-07,138.59,135.19
160,2021-09-06,137.72,135.33
161,2021-09-03,137.67,135.27
162,2021-09-02,137.39,134.37
163,2021-09-01,137.05,134.85
164,2021-08-31,137.31,134.96
165,2021-08-30,137.29,135.58
166,2021-08-27,136.93,134.26
167,2021-08-26,137.47,134.32
168,2021-08-25,136.95,134.44
169,2021-08-24,136.78,134.74
170,2021-08-23,136.56,133.54
171,2021-08-20,136.62,133.44
172,2021-08-19,136.71,134.40
173,2021-08-18,136.55,134.07
174,2021-08-17,138.42,135.01
175,2021-08-13,137.32,133.45
176,2021-08-12,136.90,132.95
177,2021-08-11,135.38,131.73
178,2021-08-10,134.78,131.50
179,2021-08-09,134.64,131.58
180,2021-08-06,135.22,132.74
181,2021-08-05,135.46,133.08
182,2021-08-04,135.63,133.74
183,2021-08-03,136.51,133.95
184,2021-08-02,136.45,133.49
185,2021-07-30,136.82,134.16
186,2021-07-29,136.33,134.34
187,2021-07-28,136.51,133.32
188,2021-07-27,136.09,133.66
189,2021-07-26,135.64,132.21
190,2021-07-23,135.22,132.59
191,2021-07-22,135.10,132.41
192,2021-07-21,135.48,132.32
193,2021-07-20,134.73,131.84
194,2021-07-19,134.64,131.49
195,2021-07-16,134.32,132.00
196,2021-07-15,135.06,133.44
197,2021-07-14,135.38,132.36
198,2021-07-13,136.04,133.52
199,2021-07-12,136.45,133.84
200,2021-07-09,136.10,133.02
201,2021-07-08,135.87,131.94
202,2021-07-07,135.19,131.60
203,2021-07-06,135.07,132.17
204,2021-07-05,134.92,132.74
205,2021-07-02,134.76,131.97
206,2021-07-01,134.74,132.08
207,2021-06-30,135.36,132.53
208,2021-06-29,135.19,132.70
209,2021-06-28,136.30,132.90
210,2021-06-25,135.86,134.00
211,2021-06-24,136.44,133.91
212,2021-06-23,136.84,133.58
213,2021-06-22,135.46,133.03
214,2021-06-21,134.50,131.51
215,2021-06-18,134.64,132.10
216,2021-06-17,135.35,132.13
217,2021-06-16,136.74,134.28
218,2021-06-15,137.28,134.10
219,2021-06-14,137.06,133.59
220,2021-06-11,137.33,135.13
221,2021-06-10,137.44,134.99
222,2021-06-09,137.38,134.59
223,2021-06-08,137.38,134.51
224,2021-06-07,137.22,135.02
225,2021-06-04,136.23,133.48
226,2021-06-03,137.22,134.25
227,2021-06-02,137.04,133.82
228,2021-06-01,136.55,134.39
229,2021-05-31,136.39,134.37
230,2021-05-28,137.01,135.03
231,2021-05-27,136.95,134.50
232,2021-05-26,137.39,136.01
233,2021-05-25,138.68,135.66
234,2021-05-24,138.06,135.44
235,2021-05-21,138.81,136.39
236,2021-05-20,138.36,135.65
237,2021-05-18,138.76,136.01
238,2021-05-17,138.70,135.67
239,2021-05-14,137.45,134.50
240,2021-05-13,136.66,133.32
241,2021-05-12,137.78,134.49
242,2021-05-11,137.16,133.71
243,2021-05-10,136.72,134.98
244,2021-05-07,136.20,133.54
245,2021-05-06,135.54,132.07
246,2021-05-04,135.40,132.92
247,2021-05-03,135.62,131.09
248,2021-04-30,135.15,132.30
249,2021-04-29,135.38,133.42
250,2021-04-28,135.49,132.67
251,2021-04-27,134.83,132.87
252,2021-04-26,135.40,133.38
253,2021-04-23,135.49,132.37
254,2021-04-22,135.50,132.94
255,2021-04-21,134.86,131.94
256,2021-04-20,135.50,133.18
257,2021-04-19,135.58,132.34
258,2021-04-16,134.77,132.27
259,2021-04-15,134.53,132.28
260,2021-04-14,133.90,132.31
261,2021-04-13,133.96,131.06
262,2021-04-12,133.91,130.81
263,2021-04-09,133.51,131.01
264,2021-04-08,132.53,129.42
265,2021-04-07,132.36,130.35
266,2021-04-06,131.35,129.61
267,2021-04-05,131.48,129.19
268,2021-04-02,132.04,129.63
269,2021-04-01,132.03,129.67
270,2021-03-31,132.26,129.76
271,2021-03-30,132.69,130.23
272,2021-03-29,133.04,130.78
273,2021-03-26,133.34,131.08
274,2021-03-25,133.99,131.64
275,2021-03-24,134.00,131.20
276,2021-03-23,134.58,132.93
277,2021-03-22,134.48,132.29
278,2021-03-19,135.50,131.86
279,2021-03-18,135.15,133.95
280,2021-03-17,135.11,133.28
281,2021-03-16,135.69,133.40
282,2021-03-15,135.72,133.15
283,2021-03-12,136.42,134.57
284,2021-03-11,136.49,134.52
285,2021-03-10,136.73,134.27
286,2021-03-09,135.90,131.86
287,2021-03-08,135.09,132.35
288,2021-03-05,134.86,132.45
289,2021-03-04,135.94,133.38
290,2021-03-03,136.52,133.66
291,2021-03-02,135.62,133.10
292,2021-02-26,137.84,133.65
293,2021-02-25,137.26,134.14
294,2021-02-24,136.50,134.15
295,2021-02-23,136.81,133.77
296,2021-02-22,136.97,133.82
297,2021-02-19,135.92,133.14
298,2021-02-18,135.86,133.08
299,2021-02-17,135.74,132.48
300,2021-02-16,135.98,133.18
301,2021-02-15,135.84,133.72
302,2021-02-10,135.95,134.01
303,2021-02-09,136.01,133.37
304,2021-02-08,136.06,134.10
305,2021-02-05,135.67,132.05
306,2021-02-04,135.24,132.65
307,2021-02-03,135.23,132.96
308,2021-02-02,135.43,132.75
309,2021-02-01,136.21,133.49
310,2021-01-29,136.36,133.67
311,2021-01-28,136.10,131.94
312,2021-01-27,135.59,132.89
313,2021-01-26,136.05,133.17
314,2021-01-25,136.10,132.70
315,2021-01-22,136.22,132.94
316,2021-01-21,134.83,131.92
317,2021-01-20,134.48,132.19
318,2021-01-19,134.69,131.42
