,date,buy,standard
0,2022-05-02,1326.86,1299.98
1,2022-04-29,1325.14,1305.77
2,2022-04-28,1337.12,1303.31
3,2022-04-27,1336.81,1297.61
4,2022-04-26,1331.74,1300.55
5,2022-04-25,1330.64,1298.03
6,2022-04-22,1326.90,1296.56
7,2022-04-21,1329.73,1303.93
8,2022-04-20,1326.37,1297.30
9,2022-04-19,1334.56,1304.69
10,2022-04-18,1332.90,1305.08
11,2022-04-15,1329.54,1299.09
12,2022-04-14,1337.60,1314.17
13,2022-04-13,1343.43,1325.47
14,2022-04-12,1345.39,1323.17
15,2022-04-11,1344.01,1310.77
16,2022-04-08,1337.17,1303.84
17,2022-04-07,1333.08,1306.02
18,2022-04-06,1330.52,1304.50
19,2022-04-05,1335.30,1313.58
20,2022-04-04,1335.94,1313.14
21,2022-04-01,1343.04,1311.56
22,2022-03-31,1335.62,1311.74
23,2022-03-30,1332.46,1310.89
24,2022-03-29,1326.89,1311.68
25,2022-03-28,1334.36,1308.10
26,2022-03-25,1340.89,1311.39
27,2022-03-24,1336.44,1302.86
28,2022-03-23,1325.91,1308.48
29,2022-03-22,1328.09,1299.88
30,2022-03-21,1329.08,1298.56
31,2022-03-18,1325.73,1303.09
32,2022-03-17,1312.55,1317.96
33,2022-03-16,1338.33,1319.41
34,2022-03-15,1353.54,1319.77
35,2022-03-14,1349.43,1318.64
36,2022-03-11,1351.50,1321.18
37,2022-03-10,1350.21,1332.29
38,2022-03-08,1358.02,1323.68
39,2022-03-07,1357.86,1319.57
40,2022-03-04,1349.24,1311.97
41,2022-03-03,1337.50,1309.14
42,2022-03-02,1339.78,1312.22
43,2022-02-28,1325.30,1296.71
44,2022-02-25,1325.56,1296.65
45,2022-02-24,1333.63,1299.15
46,2022-02-23,1317.77,1296.61
47,2022-02-22,1325.72,1303.65
48,2022-02-21,1322.90,1298.46
49,2022-02-18,1323.20,1301.41
50,2022-02-17,1324.68,1298.37
51,2022-02-16,1318.00,1295.05
52,2022-02-15,1321.65,1295.95
53,2022-02-14,1320.11,1296.65
54,2022-02-11,1315.44,1292.00
55,2022-02-10,1321.15,1293.95
56,2022-02-09,1320.44,1294.29
57,2022-02-08,1323.06,1299.04
58,2022-02-07,1323.26,1296.20
59,2022-02-04,1326.07,1309.58
60,2022-02-03,1332.27,1312.11
61,2022-01-28,1325.95,1291.58
62,2022-01-27,1324.27,1295.38
63,2022-01-26,1326.69,1305.01
64,2022-01-25,1331.01,1306.56
65,2022-01-24,1337.50,1308.13
66,2022-01-21,1330.57,1298.08
67,2022-01-20,1326.77,1301.30
68,2022-01-19,1327.24,1296.16
69,2022-01-18,1327.54,1304.20
70,2022-01-17,1331.89,1298.14
71,2022-01-14,1330.80,1304.28
72,2022-01-13,1323.88,1301.79
73,2022-01-12,1316.43,1294.42
74,2022-01-11,1315.11,1294.08
75,2022-01-10,1326.93,1308.45
76,2022-01-07,1333.60,1301.86
77,2022-01-06,1335.87,1306.08
78,2022-01-05,1334.50,1303.25
79,2022-01-04,1328.21,1295.76
80,2022-01-03,1331.98,1299.89
81,2021-12-31,1328.73,1297.47
82,2021-12-30,1320.58,1297.19
83,2021-12-29,1317.49,1293.69
84,2021-12-28,1321.03,1293.21
85,2021-12-27,1316.90,1291.39
86,2021-12-24,1318.62,1292.73
87,2021-12-23,1315.03,1295.06
88,2021-12-22,1314.44,1289.85
89,2021-12-21,1322.71,1291.09
90,2021-12-20,1316.45,1281.54
91,2021-12-17,1316.54,1287.32
92,2021-12-16,1308.77,1283.35
93,2021-12-15,1307.43,1280.19
94,2021-12-14,1307.52,1277.56
95,2021-12-13,1304.00,1279.82
96,2021-12-10,1304.15,1270.69
97,2021-12-09,1302.71,1278.00
98,2021-12-08,1297.22,1277.32
99,2021-12-07,1300.28,1278.43
100,2021-12-06,1307.81,1283.18
101,2021-12-03,1307.53,1279.19
102,2021-12-02,1301.19,1280.99
103,2021-12-01,1307.44,1292.59
104,2021-11-30,1319.79,1293.10
105,2021-11-29,1314.28,1290.36
106,2021-11-26,1313.06,1271.45
107,2021-11-25,1300.16,1272.35
108,2021-11-24,1293.98,1273.94
109,2021-11-23,1301.87,1272.94
110,2021-11-22,1303.57,1274.09
111,2021-11-19,1303.32,1275.25
