,date,buy,standard
0,2022-05-02,45.55,42.97
1,2022-04-29,45.30,43.07
2,2022-04-28,45.83,42.98
3,2022-04-27,45.61,42.52
4,2022-04-26,45.41,42.70
5,2022-04-25,45.18,42.34
6,2022-04-22,45.06,42.28
7,2022-04-21,44.92,42.40
8,2022-04-20,44.65,42.19
9,2022-04-19,44.81,42.14
10,2022-04-18,44.90,42.23
11,2022-04-15,44.99,42.24
12,2022-04-14,44.90,42.37
13,2022-04-13,44.81,42.57
14,2022-04-12,44.86,42.42
15,2022-04-11,45.14,42.34
16,2022-04-08,45.09,42.29
17,2022-04-07,44.98,42.42
18,2022-04-06,44.96,42.30
19,2022-04-05,44.92,42.54
20,2022-04-04,44.90,42.40
21,2022-04-01,45.13,42.29
22,2022-03-31,45.09,42.48
23,2022-03-30,44.75,42.61
24,2022-03-29,44.89,42.56
25,2022-03-28,45.30,42.47
26,2022-03-25,45.01,42.54
27,2022-03-24,45.34,42.44
28,2022-03-23,45.13,42.88
29,2022-03-22,45.39,42.70
30,2022-03-21,45.25,42.69
31,2022-03-18,45.77,43.27
32,2022-03-17,45.20,43.68
33,2022-03-16,45.84,43.50
34,2022-03-15,46.24,43.42
35,2022-03-14,46.14,43.37
36,2022-03-11,46.21,43.39
37,2022-03-10,46.04,43.66
38,2022-03-08,46.26,43.31
39,2022-03-07,46.27,43.06
40,2022-03-04,45.95,42.89
41,2022-03-03,45.67,43.04
42,2022-03-02,45.65,42.97
43,2022-02-28,45.51,42.99
44,2022-02-25,45.35,42.69
45,2022-02-24,45.70,42.74
46,2022-02-23,45.27,42.89
47,2022-02-22,45.50,42.94
48,2022-02-21,45.36,42.94
49,2022-02-18,45.52,42.98
50,2022-02-17,45.72,43.02
51,2022-02-16,45.55,43.07
52,2022-02-15,45.47,42.99
53,2022-02-14,45.54,42.98
54,2022-02-11,45.48,42.96
55,2022-02-10,45.56,43.02
56,2022-02-09,45.53,43.08
57,2022-02-08,45.68,43.13
58,2022-02-07,45.70,43.13
59,2022-02-04,45.78,43.44
60,2022-02-03,45.99,43.42
61,2022-01-28,46.22,43.30
62,2022-01-27,46.08,43.25
63,2022-01-26,45.79,43.22
64,2022-01-25,45.95,43.23
65,2022-01-24,45.71,43.08
66,2022-01-21,45.72,43.07
67,2022-01-20,45.70,43.24
68,2022-01-19,45.77,43.04
69,2022-01-18,46.08,43.45
70,2022-01-17,45.81,43.01
71,2022-01-14,45.62,43.10
72,2022-01-13,45.52,43.09
73,2022-01-12,45.76,43.26
74,2022-01-11,45.79,43.46
75,2022-01-10,45.95,43.54
76,2022-01-07,46.20,43.42
77,2022-01-06,46.24,43.40
78,2022-01-05,46.08,43.38
79,2022-01-04,45.88,43.08
80,2022-01-03,45.58,42.77
81,2021-12-31,45.61,42.84
82,2021-12-30,45.62,42.93
83,2021-12-29,45.44,42.90
