,date,buy,standard
0,2022-05-02,37.56,36.90
1,2022-04-29,37.55,36.86
2,2022-04-28,37.66,36.74
3,2022-04-27,37.54,36.39
4,2022-04-26,37.33,36.57
5,2022-04-25,37.49,36.54
6,2022-04-22,37.36,36.48
7,2022-04-21,37.26,36.63
8,2022-04-20,37.24,36.54
9,2022-04-19,37.45,36.57
10,2022-04-18,37.43,36.60
11,2022-04-15,37.26,36.36
12,2022-04-14,37.13,36.64
13,2022-04-13,37.36,36.84
14,2022-04-12,37.31,36.63
15,2022-04-11,37.38,36.45
16,2022-04-08,37.17,36.38
17,2022-04-07,37.15,36.28
18,2022-04-06,36.99,36.14
19,2022-04-05,37.03,36.38
20,2022-04-04,36.97,36.31
21,2022-04-01,37.08,36.38
22,2022-03-31,37.11,36.34
23,2022-03-30,37.04,36.44
24,2022-03-29,36.85,36.28
25,2022-03-28,37.01,36.27
26,2022-03-25,37.06,36.39
27,2022-03-24,37.11,36.07
28,2022-03-23,36.79,36.44
29,2022-03-22,37.03,36.16
30,2022-03-21,36.96,36.35
31,2022-03-18,37.27,36.76
32,2022-03-17,37.17,37.18
33,2022-03-16,37.64,37.04
34,2022-03-15,37.87,37.05
35,2022-03-14,37.79,36.98
36,2022-03-11,37.84,37.09
37,2022-03-10,37.78,37.41
38,2022-03-08,37.98,37.09
39,2022-03-07,37.95,37.08
40,2022-03-04,38.01,36.92
41,2022-03-03,37.74,37.09
42,2022-03-02,37.69,36.89
43,2022-02-28,37.59,36.73
44,2022-02-25,37.70,36.79
45,2022-02-24,37.81,36.94
46,2022-02-23,37.70,36.87
47,2022-02-22,37.56,37.02
48,2022-02-21,37.85,37.21
49,2022-02-18,37.96,37.29
50,2022-02-17,37.94,37.03
51,2022-02-16,37.77,37.05
52,2022-02-15,37.77,36.94
53,2022-02-14,37.51,36.70
54,2022-02-11,37.34,36.54
55,2022-02-10,37.38,36.56
56,2022-02-09,37.12,36.41
57,2022-02-08,37.07,36.37
58,2022-02-07,37.09,36.35
59,2022-02-04,37.07,36.42
60,2022-02-03,37.04,36.39
61,2022-01-28,37.04,36.11
62,2022-01-27,36.92,36.13
63,2022-01-26,37.04,36.27
64,2022-01-25,36.97,36.18
65,2022-01-24,36.96,36.21
66,2022-01-21,36.84,36.18
67,2022-01-20,36.86,36.20
68,2022-01-19,36.70,35.90
69,2022-01-18,36.75,36.04
70,2022-01-17,36.77,35.78
71,2022-01-14,36.52,35.76
72,2022-01-13,36.38,35.75
73,2022-01-12,36.42,35.88
74,2022-01-11,36.45,35.69
75,2022-01-10,36.31,35.73
76,2022-01-07,36.47,35.74
77,2022-01-06,36.66,36.05
78,2022-01-05,36.80,35.91
79,2022-01-04,36.63,35.81
80,2022-01-03,36.70,35.64
81,2021-12-31,36.48,35.57
82,2021-12-30,36.38,35.42
83,2021-12-29,36.11,35.40
84,2021-12-28,36.14,35.38
85,2021-12-27,36.08,35.48
86,2021-12-24,36.22,35.45
87,2021-12-23,36.13,35.39
88,2021-12-22,36.03,35.38
89,2021-12-21,36.16,35.40
90,2021-12-20,36.29,35.52
91,2021-12-17,36.25,35.42
92,2021-12-16,36.08,35.48
93,2021-12-15,36.22,35.42
94,2021-12-14,36.11,35.29
95,2021-12-13,36.08,35.14
96,2021-12-10,35.77,34.94
97,2021-12-09,35.87,35.16
98,2021-12-08,35.81,35.12
99,2021-12-07,35.65,34.99
100,2021-12-06,35.59,34.80
101,2021-12-03,35.62,34.76
102,2021-12-02,35.40,34.98
103,2021-12-01,35.68,35.20
104,2021-11-30,35.99,35.39
105,2021-11-29,36.08,35.33
106,2021-11-26,36.26,35.63
107,2021-11-25,36.42,35.59
108,2021-11-24,36.32,35.88
109,2021-11-23,36.67,35.94
110,2021-11-22,36.85,36.08
111,2021-11-19,37.02,36.22
112,2021-11-18,36.96,36.28
113,2021-11-17,36.78,36.02
114,2021-11-16,36.82,36.04
115,2021-11-15,36.73,36.02
116,2021-11-12,36.66,36.05
117,2021-11-11,36.70,35.98
118,2021-11-10,36.67,35.97
119,2021-11-09,36.63,35.96
120,2021-11-08,36.49,35.69
121,2021-11-05,36.26,35.40
122,2021-11-04,36.09,35.47
123,2021-11-03,36.16,35.34
124,2021-11-02,36.06,35.33
125,2021-11-01,36.01,35.11
126,2021-10-29,35.97,35.30
127,2021-10-28,35.82,35.09
128,2021-10-27,35.91,35.11
129,2021-10-26,35.96,35.45
130,2021-10-25,35.99,35.38
131,2021-10-22,36.00,35.21
132,2021-10-21,36.00,35.23
133,2021-10-20,35.93,35.42
134,2021-10-19,36.14,35.44
135,2021-10-18,36.21,35.40
136,2021-10-15,36.24,35.81
137,2021-10-14,36.42,36.02
138,2021-10-13,36.60,35.98
139,2021-10-12,36.56,35.47
140,2021-10-08,36.06,35.21
141,2021-10-07,35.96,35.18
142,2021-10-06,35.94,35.08
143,2021-10-05,35.87,35.17
144,2021-10-01,35.97,35.21
145,2021-09-30,35.68,34.91
146,2021-09-29,35.66,34.92
147,2021-09-28,35.87,35.01
148,2021-09-27,35.94,35.17
149,2021-09-24,35.97,35.40
150,2021-09-23,35.99,35.18
151,2021-09-17,36.16,35.29
152,2021-09-16,36.24,35.65
153,2021-09-15,36.27,35.61
154,2021-09-14,36.35,35.73
155,2021-09-13,36.45,35.76
156,2021-09-10,36.48,35.76
157,2021-09-09,36.46,35.55
158,2021-09-08,36.28,35.44
159,2021-09-07,36.34,35.63
160,2021-09-06,36.42,35.60
161,2021-09-03,36.19,35.71
162,2021-09-02,36.46,35.82
163,2021-09-01,36.59,36.06
164,2021-08-31,36.60,35.87
165,2021-08-30,36.59,35.97
166,2021-08-27,36.59,35.67
167,2021-08-26,36.47,35.55
168,2021-08-25,36.39,35.53
169,2021-08-24,36.10,35.31
170,2021-08-23,35.86,35.28
171,2021-08-20,36.24,35.21
172,2021-08-19,35.96,35.21
173,2021-08-18,35.90,35.21
174,2021-08-17,36.01,34.96
175,2021-08-13,35.80,35.01
176,2021-08-12,35.95,34.84
177,2021-08-11,35.39,34.32
178,2021-08-10,35.06,34.21
179,2021-08-09,34.98,34.18
180,2021-08-06,34.96,34.38
181,2021-08-05,35.15,34.57
182,2021-08-04,35.26,34.84
183,2021-08-03,35.46,34.95
184,2021-08-02,35.63,34.84
185,2021-07-30,35.60,34.92
186,2021-07-29,35.63,35.18
187,2021-07-28,35.82,34.92
188,2021-07-27,35.71,35.01
189,2021-07-26,35.74,34.90
190,2021-07-23,35.64,35.01
191,2021-07-22,35.66,35.01
192,2021-07-21,35.85,35.05
193,2021-07-20,35.68,34.88
194,2021-07-19,35.73,34.80
195,2021-07-16,35.58,34.99
196,2021-07-15,35.66,35.23
197,2021-07-14,35.90,35.07
198,2021-07-13,35.83,35.09
199,2021-07-12,35.93,35.28
200,2021-07-09,36.02,35.14
201,2021-07-08,36.15,35.18
202,2021-07-07,35.96,35.07
203,2021-07-06,35.98,35.20
204,2021-07-05,35.92,35.32
205,2021-07-02,35.98,35.28
206,2021-07-01,36.10,35.25
207,2021-06-30,36.00,35.20
208,2021-06-29,36.04,35.41
209,2021-06-28,36.16,35.51
210,2021-06-25,36.25,35.61
211,2021-06-24,36.32,35.67
212,2021-06-23,36.45,35.73
213,2021-06-22,36.51,35.92
214,2021-06-21,36.58,35.98
215,2021-06-18,36.73,35.93
216,2021-06-17,36.83,35.71
217,2021-06-16,36.59,35.86
218,2021-06-15,36.66,35.87
219,2021-06-14,36.69,35.75
220,2021-06-11,36.55,35.81
221,2021-06-10,36.55,35.81
222,2021-06-09,36.47,35.68
223,2021-06-08,36.47,35.64
224,2021-06-07,36.40,35.87
225,2021-06-04,36.45,35.61
226,2021-06-03,36.51,35.68
227,2021-06-02,36.45,35.51
228,2021-06-01,36.24,35.70
229,2021-05-31,36.26,35.72
230,2021-05-28,36.38,35.73
231,2021-05-27,36.47,35.75
232,2021-05-26,36.46,35.83
233,2021-05-25,36.57,35.99
234,2021-05-24,36.68,35.92
235,2021-05-21,36.68,36.09
236,2021-05-20,36.80,36.06
237,2021-05-18,36.61,35.98
238,2021-05-17,36.81,36.02
239,2021-05-14,36.75,36.05
240,2021-05-13,36.91,35.89
241,2021-05-12,36.84,35.90
242,2021-05-11,36.70,35.82
243,2021-05-10,36.61,36.06
244,2021-05-07,36.64,36.04
245,2021-05-06,36.78,36.01
246,2021-05-04,36.85,35.97
247,2021-05-03,36.72,35.59
248,2021-04-30,36.43,35.50
249,2021-04-29,36.24,35.50
250,2021-04-28,36.21,35.44
251,2021-04-27,36.19,35.44
252,2021-04-26,36.09,35.61
253,2021-04-23,36.26,35.56
254,2021-04-22,36.44,35.69
255,2021-04-21,36.46,35.61
256,2021-04-20,36.39,35.83
257,2021-04-19,36.45,35.85
258,2021-04-16,36.37,35.88
259,2021-04-15,36.47,35.75
260,2021-04-14,36.18,35.75
261,2021-04-13,36.38,35.69
262,2021-04-12,36.42,35.52
263,2021-04-09,36.44,35.59
264,2021-04-08,36.27,35.58
265,2021-04-07,36.39,35.88
266,2021-04-06,36.51,35.99
267,2021-04-05,36.76,36.00
268,2021-04-02,36.82,36.17
269,2021-04-01,36.95,36.25
270,2021-03-31,36.82,36.20
271,2021-03-30,37.09,36.26
272,2021-03-29,37.12,36.38
273,2021-03-26,37.09,36.40
274,2021-03-25,37.30,36.54
275,2021-03-24,37.26,36.39
276,2021-03-23,37.27,36.65
277,2021-03-22,37.31,36.72
278,2021-03-19,37.45,36.38
279,2021-03-18,37.27,36.88
280,2021-03-17,37.44,36.82
281,2021-03-16,37.59,36.95
282,2021-03-15,37.63,36.81
283,2021-03-12,37.76,37.23
284,2021-03-11,37.74,37.13
285,2021-03-10,37.86,37.11
286,2021-03-09,37.69,36.73
287,2021-03-08,37.70,37.01
288,2021-03-05,37.78,37.02
289,2021-03-04,37.80,37.01
290,2021-03-03,37.76,37.08
291,2021-03-02,37.80,37.12
292,2021-02-26,37.84,36.64
293,2021-02-25,37.56,36.95
294,2021-02-24,37.61,36.99
295,2021-02-23,37.78,36.87
296,2021-02-22,37.86,36.94
297,2021-02-19,37.54,36.84
298,2021-02-18,37.63,36.91
299,2021-02-17,37.62,36.72
300,2021-02-16,37.65,36.91
301,2021-02-15,37.63,37.13
302,2021-02-10,37.69,37.30
303,2021-02-09,37.96,37.31
304,2021-02-08,38.05,37.40
305,2021-02-05,38.07,37.11
306,2021-02-04,37.97,37.12
307,2021-02-03,37.88,37.22
308,2021-02-02,37.96,37.29
309,2021-02-01,38.07,37.38
310,2021-01-29,38.05,37.18
311,2021-01-28,37.99,36.80
312,2021-01-27,37.60,36.80
313,2021-01-26,37.61,36.79
314,2021-01-25,37.49,36.76
315,2021-01-22,37.61,36.73
316,2021-01-21,37.45,36.70
317,2021-01-20,37.47,36.75
318,2021-01-19,37.46,36.67
319,2021-01-18,37.48,36.51
320,2021-01-15,37.35,36.68
321,2021-01-14,37.33,36.46
322,2021-01-13,37.27,36.60
323,2021-01-12,37.17,36.40
324,2021-01-11,37.15,36.33
325,2021-01-08,37.04,36.17
326,2021-01-07,37.07,36.31
327,2021-01-06,37.08,36.29
328,2021-01-05,37.07,36.22
329,2021-01-04,37.02,36.29
330,2020-12-31,37.00,36.34
331,2020-12-30,36.95,36.37
332,2020-12-29,37.15,36.40
333,2020-12-28,37.08,36.69
334,2020-12-24,37.40,36.72
335,2020-12-23,37.40,36.65
336,2020-12-22,37.44,36.57
337,2020-12-21,37.49,36.82
338,2020-12-18,37.63,36.67
339,2020-12-17,37.37,36.38
340,2020-12-16,37.04,36.39
341,2020-12-15,37.13,36.23
342,2020-12-14,36.99,36.21
343,2020-12-11,37.01,36.12
344,2020-12-10,36.91,36.01
345,2020-12-09,36.83,36.10
346,2020-12-08,36.77,35.90
347,2020-12-07,36.64,35.99
348,2020-12-04,36.66,36.37
349,2020-12-03,36.94,36.51
350,2020-12-02,37.20,36.61
351,2020-12-01,37.36,36.49
352,2020-11-30,37.28,36.46
353,2020-11-27,37.21,36.50
354,2020-11-26,37.24,36.55
355,2020-11-25,37.20,36.61
356,2020-11-24,37.31,36.65
357,2020-11-23,37.41,36.80
358,2020-11-20,37.57,36.61
359,2020-11-19,37.48,36.49
360,2020-11-18,37.15,36.66
361,2020-11-17,37.38,36.71
362,2020-11-16,37.41,36.95
363,2020-11-13,37.62,36.81
364,2020-11-12,37.52,36.68
365,2020-11-11,37.47,36.78
366,2020-11-10,37.33,36.47
367,2020-11-09,37.29,36.73
368,2020-11-06,37.39,36.74
369,2020-11-05,37.10,36.67
370,2020-11-04,37.45,36.56
371,2020-11-03,37.23,36.46
