,date,buy,standard
0,2022-05-02,92.13,85.16
1,2022-04-29,91.86,85.77
2,2022-04-28,92.89,85.26
3,2022-04-27,92.41,84.33
4,2022-04-26,91.64,84.40
5,2022-04-25,91.51,84.20
6,2022-04-22,91.34,84.08
7,2022-04-21,91.02,84.33
8,2022-04-20,90.93,84.27
9,2022-04-19,91.36,84.17
10,2022-04-18,91.17,84.07
11,2022-04-15,90.65,83.71
12,2022-04-14,90.73,84.13
13,2022-04-13,90.84,84.76
14,2022-04-12,90.67,83.98
15,2022-04-11,90.32,83.02
16,2022-04-08,89.86,82.65
17,2022-04-07,89.55,82.85
18,2022-04-06,89.30,82.36
19,2022-04-05,89.31,82.91
20,2022-04-04,89.32,82.81
21,2022-04-01,89.55,82.56
22,2022-03-31,89.30,82.57
23,2022-03-30,89.44,83.57
24,2022-03-29,88.73,82.67
25,2022-03-28,89.19,82.13
26,2022-03-25,88.88,82.26
27,2022-03-24,89.17,81.77
28,2022-03-23,88.58,82.39
29,2022-03-22,88.63,81.84
30,2022-03-21,88.54,81.69
31,2022-03-18,89.15,82.93
32,2022-03-17,89.62,84.95
33,2022-03-16,90.47,84.30
34,2022-03-15,90.87,83.65
35,2022-03-14,90.46,83.39
36,2022-03-11,89.83,82.73
37,2022-03-10,90.42,84.20
38,2022-03-08,92.80,85.22
39,2022-03-07,93.00,84.96
40,2022-03-04,93.03,85.25
41,2022-03-03,93.16,86.08
42,2022-03-02,93.85,86.70
43,2022-02-28,92.45,85.48
44,2022-02-25,92.53,85.31
45,2022-02-24,93.97,86.23
46,2022-02-23,93.21,86.53
47,2022-02-22,94.27,87.39
48,2022-02-21,94.29,87.62
49,2022-02-18,94.95,88.09
50,2022-02-17,95.00,88.00
51,2022-02-16,94.97,88.09
52,2022-02-15,95.10,88.09
53,2022-02-14,95.54,88.69
54,2022-02-11,95.81,88.60
55,2022-02-10,95.36,88.29
56,2022-02-09,95.31,88.33
57,2022-02-08,95.22,88.22
58,2022-02-07,95.66,88.45
59,2022-02-04,95.35,88.75
60,2022-02-03,96.54,89.51
61,2022-01-28,96.21,88.38
62,2022-01-27,95.66,88.12
63,2022-01-26,95.95,88.85
64,2022-01-25,96.07,88.66
65,2022-01-24,96.04,88.68
66,2022-01-21,96.30,89.07
67,2022-01-20,95.60,88.73
68,2022-01-19,95.08,87.84
69,2022-01-18,95.62,88.64
70,2022-01-17,95.08,87.79
71,2022-01-14,94.46,87.47
72,2022-01-13,96.57,89.70
73,2022-01-12,93.56,86.81
74,2022-01-11,93.33,86.90
75,2022-01-10,93.33,86.67
76,2022-01-07,94.34,87.00
77,2022-01-06,94.96,87.43
78,2022-01-05,96.58,89.14
79,2022-01-04,99.02,91.31
80,2022-01-03,95.46,87.83
81,2021-12-31,97.43,89.81
82,2021-12-30,101.63,93.85
83,2021-12-29,108.23,100.19
84,2021-12-28,109.86,101.54
85,2021-12-27,116.92,109.43
86,2021-12-24,112.48,104.16
87,2021-12-23,106.60,98.99
88,2021-12-22,103.37,96.72
89,2021-12-21,96.29,88.26
90,2021-12-20,77.34,71.17
91,2021-12-17,81.68,75.52
92,2021-12-16,86.27,80.05
93,2021-12-15,89.00,82.28
94,2021-12-14,92.35,85.28
95,2021-12-13,91.97,84.94
96,2021-12-10,92.55,85.13
97,2021-12-09,92.89,85.95
98,2021-12-08,93.97,87.32
99,2021-12-07,92.23,85.72
100,2021-12-06,93.26,86.11
101,2021-12-03,93.19,85.99
102,2021-12-02,94.93,88.21
103,2021-12-01,94.39,87.96
104,2021-11-30,100.27,93.09
105,2021-11-29,104.10,96.40
106,2021-11-26,108.36,99.81
107,2021-11-25,107.98,99.85
108,2021-11-24,99.36,92.16
109,2021-11-23,112.49,104.03
110,2021-11-22,114.22,105.43
