,date,buy,standard
0,2022-05-02,361.91,344.52
1,2022-04-29,359.92,345.60
2,2022-04-28,363.95,343.88
3,2022-04-27,361.74,339.85
4,2022-04-26,358.22,339.53
5,2022-04-25,357.27,338.07
6,2022-04-22,355.50,336.61
7,2022-04-21,353.45,336.80
8,2022-04-20,352.59,336.21
9,2022-04-19,354.11,335.63
10,2022-04-18,353.06,334.91
11,2022-04-15,351.16,333.29
12,2022-04-14,350.61,334.25
13,2022-04-13,350.88,336.67
14,2022-04-12,351.87,335.42
15,2022-04-11,352.33,333.24
16,2022-04-08,350.64,331.74
17,2022-04-07,348.77,331.90
18,2022-04-06,347.88,330.13
19,2022-04-05,346.79,331.25
20,2022-04-04,347.22,331.10
21,2022-04-01,347.86,329.62
22,2022-03-31,346.59,329.64
23,2022-03-30,345.78,332.29
24,2022-03-29,348.33,333.70
25,2022-03-28,350.31,331.70
26,2022-03-25,348.50,331.98
27,2022-03-24,349.92,330.16
28,2022-03-23,347.39,332.53
29,2022-03-22,347.86,330.43
30,2022-03-21,347.08,329.73
31,2022-03-18,347.53,332.31
32,2022-03-17,346.14,337.70
33,2022-03-16,352.72,338.06
34,2022-03-15,356.08,337.21
35,2022-03-14,353.89,335.53
36,2022-03-11,353.10,334.52
37,2022-03-10,351.04,336.10
38,2022-03-08,353.19,333.62
39,2022-03-07,350.89,329.84
40,2022-03-04,347.62,327.68
41,2022-03-03,345.08,328.07
42,2022-03-02,345.40,328.24
43,2022-02-28,344.00,327.45
44,2022-02-25,344.13,326.54
45,2022-02-24,343.96,324.55
46,2022-02-23,340.51,325.26
47,2022-02-22,341.15,325.23
48,2022-02-21,340.76,325.73
49,2022-02-18,341.58,325.91
50,2022-02-17,342.25,325.87
51,2022-02-16,342.03,326.30
52,2022-02-15,342.46,326.24
53,2022-02-14,342.15,326.60
54,2022-02-11,342.11,325.61
55,2022-02-10,341.90,325.61
56,2022-02-09,341.95,326.11
57,2022-02-08,342.62,326.54
58,2022-02-07,343.25,326.58
59,2022-02-04,342.65,328.17
60,2022-02-03,344.29,328.26
61,2022-01-28,346.29,327.37
62,2022-01-27,344.04,325.90
63,2022-01-26,342.36,326.11
64,2022-01-25,342.49,325.14
65,2022-01-24,342.09,324.97
66,2022-01-21,340.72,324.09
67,2022-01-20,340.00,324.47
68,2022-01-19,340.71,323.68
69,2022-01-18,340.55,324.60
70,2022-01-17,340.68,323.34
71,2022-01-14,339.51,323.49
72,2022-01-13,339.01,323.95
73,2022-01-12,340.90,325.39
74,2022-01-11,341.16,326.70
75,2022-01-10,342.65,327.37
76,2022-01-07,344.23,326.60
77,2022-01-06,344.47,326.21
78,2022-01-05,342.47,325.15
79,2022-01-04,341.91,324.20
80,2022-01-03,341.06,322.77
81,2021-12-31,340.48,322.75
82,2021-12-30,339.81,323.06
83,2021-12-29,339.36,323.08
84,2021-12-28,339.72,322.95
85,2021-12-27,339.44,323.00
86,2021-12-24,339.45,323.30
87,2021-12-23,339.58,324.30
88,2021-12-22,340.83,324.40
89,2021-12-21,341.06,323.92
90,2021-12-20,340.76,322.47
91,2021-12-17,338.89,322.21
92,2021-12-16,338.31,322.94
93,2021-12-15,338.87,322.23
94,2021-12-14,337.99,320.93
95,2021-12-13,337.84,320.78
96,2021-12-10,337.76,319.57
97,2021-12-09,336.36,320.27
98,2021-12-08,336.46,321.58
99,2021-12-07,336.94,322.26
100,2021-12-06,337.90,320.89
101,2021-12-03,337.84,320.52
102,2021-12-02,335.97,321.34
103,2021-12-01,337.32,323.35
104,2021-11-30,340.31,324.90
105,2021-11-29,341.01,324.81
106,2021-11-26,341.76,323.90
107,2021-11-25,340.18,323.57
108,2021-11-24,339.15,323.68
109,2021-11-23,339.72,323.27
110,2021-11-22,339.51,322.22
111,2021-11-19,339.02,321.40
112,2021-11-18,337.62,322.24
113,2021-11-17,337.63,321.15
114,2021-11-16,337.44,321.31
115,2021-11-15,337.02,321.15
116,2021-11-12,336.89,322.54
117,2021-11-11,338.17,321.52
118,2021-11-10,336.59,320.81
119,2021-11-09,336.43,322.42
120,2021-11-08,338.18,322.67
121,2021-11-05,338.70,321.25
122,2021-11-04,338.19,321.55
123,2021-11-03,337.59,320.03
124,2021-11-02,336.17,320.24
125,2021-11-01,336.77,318.42
126,2021-10-29,334.80,318.99
127,2021-10-28,334.48,318.01
128,2021-10-27,335.50,317.52
129,2021-10-26,333.44,319.02
130,2021-10-25,333.86,320.82
131,2021-10-22,335.89,320.11
132,2021-10-21,336.55,320.05
133,2021-10-20,335.91,321.71
134,2021-10-19,336.73,322.83
135,2021-10-18,339.52,322.03
136,2021-10-15,338.03,323.51
137,2021-10-14,338.87,325.33
138,2021-10-13,340.59,326.45
139,2021-10-12,342.67,324.90
140,2021-10-08,341.94,324.05
141,2021-10-07,340.29,323.97
142,2021-10-06,341.90,323.18
143,2021-10-05,339.37,323.21
144,2021-10-01,339.30,322.67
145,2021-09-30,338.78,322.58
146,2021-09-29,338.49,321.79
147,2021-09-28,339.00,320.13
148,2021-09-27,337.60,319.97
149,2021-09-24,336.38,321.71
150,2021-09-23,335.03,320.60
151,2021-09-17,336.60,318.28
152,2021-09-16,335.26,318.99
153,2021-09-15,334.03,319.13
154,2021-09-14,334.75,319.70
155,2021-09-13,335.87,318.65
156,2021-09-10,333.45,318.55
157,2021-09-09,334.04,317.03
158,2021-09-08,333.56,315.23
159,2021-09-07,332.03,315.07
160,2021-09-06,330.79,314.84
161,2021-09-03,330.68,315.72
162,2021-09-02,331.29,315.12
163,2021-09-01,331.36,316.57
164,2021-08-31,330.89,317.00
165,2021-08-30,332.73,318.75
166,2021-08-27,334.50,318.01
167,2021-08-26,334.70,317.57
168,2021-08-25,333.56,317.98
169,2021-08-24,333.77,319.62
170,2021-08-23,335.00,320.37
171,2021-08-20,338.46,319.75
172,2021-08-19,336.46,319.26
173,2021-08-18,334.59,319.86
174,2021-08-17,335.65,317.93
175,2021-08-13,334.11,315.51
176,2021-08-12,332.29,314.44
177,2021-08-11,331.06,312.67
178,2021-08-10,328.87,311.72
179,2021-08-09,327.67,310.99
180,2021-08-06,326.74,311.31
181,2021-08-05,327.01,311.94
182,2021-08-04,327.01,313.27
183,2021-08-03,328.13,313.49
184,2021-08-02,328.99,312.40
185,2021-07-30,328.02,312.37
186,2021-07-29,327.82,314.39
187,2021-07-28,329.87,313.14
188,2021-07-27,329.83,313.95
189,2021-07-26,330.15,312.95
190,2021-07-23,328.89,313.36
191,2021-07-22,328.58,313.25
192,2021-07-21,330.07,313.36
193,2021-07-20,328.42,311.91
194,2021-07-19,329.04,310.66
195,2021-07-16,326.19,311.37
196,2021-07-15,326.49,313.16
197,2021-07-14,328.75,311.75
198,2021-07-13,327.30,312.10
199,2021-07-12,328.12,312.62
200,2021-07-09,328.32,311.29
201,2021-07-08,328.27,309.71
202,2021-07-07,325.35,308.13
203,2021-07-06,323.75,307.72
204,2021-07-05,323.12,308.87
205,2021-07-02,324.77,308.24
206,2021-07-01,323.85,307.50
207,2021-06-30,322.85,307.64
208,2021-06-29,323.38,307.61
209,2021-06-28,323.34,307.33
210,2021-06-25,322.47,309.22
211,2021-06-24,324.00,309.16
212,2021-06-23,324.83,308.29
213,2021-06-22,324.43,309.11
214,2021-06-21,324.05,308.24
215,2021-06-18,323.13,307.50
216,2021-06-17,323.61,304.29
217,2021-06-16,319.60,304.32
218,2021-06-15,319.60,303.94
219,2021-06-14,319.79,302.54
220,2021-06-11,318.06,303.55
221,2021-06-10,318.85,303.77
222,2021-06-09,318.30,303.20
223,2021-06-08,318.69,302.52
224,2021-06-07,317.92,304.24
225,2021-06-04,318.90,302.68
226,2021-06-03,318.40,302.27
227,2021-06-02,318.06,301.38
228,2021-06-01,316.43,303.17
229,2021-05-31,317.31,303.83
230,2021-05-28,318.57,304.37
231,2021-05-27,319.29,304.53
232,2021-05-26,319.43,305.68
233,2021-05-25,320.96,306.98
234,2021-05-24,322.11,306.80
235,2021-05-21,322.57,308.24
236,2021-05-20,323.68,308.48
237,2021-05-18,322.66,308.45
238,2021-05-17,324.39,307.51
239,2021-05-14,322.46,307.80
240,2021-05-13,323.74,305.87
241,2021-05-12,321.68,304.67
242,2021-05-11,319.70,303.45
243,2021-05-10,318.60,305.30
244,2021-05-07,320.26,306.41
245,2021-05-06,321.60,305.21
246,2021-05-04,321.42,304.72
247,2021-05-03,320.73,302.10
248,2021-04-30,318.08,301.49
249,2021-04-29,317.03,302.87
250,2021-04-28,318.19,302.41
251,2021-04-27,318.04,303.28
252,2021-04-26,317.77,304.63
253,2021-04-23,319.18,303.91
254,2021-04-22,319.72,304.21
255,2021-04-21,319.85,303.12
256,2021-04-20,318.07,304.43
257,2021-04-19,318.79,304.34
258,2021-04-16,318.59,304.26
259,2021-04-15,318.89,304.89
260,2021-04-14,318.25,306.58
261,2021-04-13,321.17,306.09
262,2021-04-12,321.53,304.15
263,2021-04-09,320.09,304.52
264,2021-04-08,319.17,303.94
265,2021-04-07,319.58,305.70
266,2021-04-06,320.47,307.04
267,2021-04-05,322.46,306.96
268,2021-04-02,322.46,307.45
269,2021-04-01,323.65,308.35
270,2021-03-31,322.82,308.59
271,2021-03-30,324.29,308.10
272,2021-03-29,324.03,308.14
273,2021-03-26,322.87,308.80
274,2021-03-25,324.15,308.59
275,2021-03-24,323.46,307.09
276,2021-03-23,322.72,307.99
277,2021-03-22,322.56,308.14
278,2021-03-19,323.03,305.92
279,2021-03-18,321.77,308.13
280,2021-03-17,322.74,308.32
281,2021-03-16,323.63,309.24
282,2021-03-15,324.24,307.85
283,2021-03-12,324.83,309.63
284,2021-03-11,323.27,310.55
285,2021-03-10,326.25,310.66
286,2021-03-09,325.26,307.99
287,2021-03-08,324.43,307.49
