,date,buy,standard
0,2022-05-02,1625.28,1592.06
1,2022-04-29,1612.32,1581.86
2,2022-04-28,1627.78,1583.42
3,2022-04-27,1618.58,1570.24
4,2022-04-26,1625.86,1588.49
5,2022-04-25,1624.00,1593.04
6,2022-04-22,1634.31,1611.28
7,2022-04-21,1646.68,1617.20
8,2022-04-20,1638.66,1605.99
9,2022-04-19,1645.80,1603.26
10,2022-04-18,1639.39,1606.14
11,2022-04-15,1636.90,1600.40
12,2022-04-14,1642.99,1610.56
13,2022-04-13,1628.94,1607.83
14,2022-04-12,1632.45,1604.99
15,2022-04-11,1637.33,1596.10
16,2022-04-08,1631.11,1592.76
17,2022-04-07,1627.31,1593.12
18,2022-04-06,1625.05,1585.84
19,2022-04-05,1623.55,1595.34
20,2022-04-04,1624.19,1593.82
21,2022-04-01,1628.77,1591.71
22,2022-03-31,1621.64,1590.81
23,2022-03-30,1620.71,1598.79
24,2022-03-29,1625.57,1605.97
25,2022-03-28,1644.65,1604.81
26,2022-03-25,1637.42,1609.00
27,2022-03-24,1643.26,1601.19
28,2022-03-23,1638.23,1620.68
29,2022-03-22,1636.72,1597.96
30,2022-03-21,1628.48,1595.02
31,2022-03-18,1629.91,1605.46
32,2022-03-17,1628.65,1629.58
33,2022-03-16,1643.48,1619.74
34,2022-03-15,1654.47,1611.05
35,2022-03-14,1647.03,1607.79
36,2022-03-11,1643.67,1608.43
37,2022-03-10,1647.50,1627.32
38,2022-03-08,1649.76,1606.13
39,2022-03-07,1647.83,1600.21
40,2022-03-04,1650.50,1606.32
41,2022-03-03,1648.38,1615.30
42,2022-03-02,1638.29,1606.64
43,2022-02-28,1638.87,1605.12
44,2022-02-25,1641.75,1605.10
45,2022-02-24,1652.31,1614.52
46,2022-02-23,1652.63,1623.66
47,2022-02-22,1652.82,1624.66
48,2022-02-21,1657.18,1626.39
49,2022-02-18,1661.60,1630.45
50,2022-02-17,1658.84,1626.35
51,2022-02-16,1655.26,1623.25
52,2022-02-15,1656.85,1621.48
53,2022-02-14,1647.66,1626.42
54,2022-02-11,1654.53,1621.24
55,2022-02-10,1653.23,1618.79
56,2022-02-09,1655.18,1622.42
57,2022-02-08,1654.86,1623.27
58,2022-02-07,1658.11,1623.28
59,2022-02-04,1658.52,1639.34
60,2022-02-03,1664.74,1636.56
61,2022-01-28,1651.74,1609.53
62,2022-01-27,1648.14,1611.88
63,2022-01-26,1648.83,1617.93
64,2022-01-25,1648.18,1610.68
65,2022-01-24,1652.57,1617.33
66,2022-01-21,1649.28,1619.06
67,2022-01-20,1653.22,1621.98
68,2022-01-19,1652.93,1616.73
69,2022-01-18,1656.98,1626.71
70,2022-01-17,1663.26,1623.03
71,2022-01-14,1663.40,1629.14
72,2022-01-13,1661.67,1631.11
73,2022-01-12,1657.52,1629.77
74,2022-01-11,1656.47,1629.36
75,2022-01-10,1659.99,1633.94
76,2022-01-07,1663.19,1623.60
77,2022-01-06,1658.66,1623.92
78,2022-01-05,1655.02,1615.65
79,2022-01-04,1645.55,1605.20
80,2022-01-03,1644.71,1603.69
81,2021-12-31,1640.38,1600.25
82,2021-12-30,1631.91,1600.49
83,2021-12-29,1624.33,1594.03
84,2021-12-28,1628.08,1594.61
85,2021-12-27,1623.32,1589.84
86,2021-12-24,1623.93,1592.44
87,2021-12-23,1620.61,1590.67
88,2021-12-22,1613.62,1580.70
89,2021-12-21,1610.64,1571.67
90,2021-12-20,1605.29,1567.43
91,2021-12-17,1610.67,1577.01
92,2021-12-16,1604.82,1573.79
93,2021-12-15,1604.64,1565.73
94,2021-12-14,1592.61,1557.90
95,2021-12-13,1594.22,1562.00
96,2021-12-10,1590.90,1552.06
97,2021-12-09,1584.65,1553.67
98,2021-12-08,1588.92,1564.26
99,2021-12-07,1593.95,1569.47
100,2021-12-06,1598.08,1560.17
101,2021-12-03,1599.17,1565.40
102,2021-12-02,1593.30,1567.62
103,2021-12-01,1599.23,1579.76
104,2021-11-30,1620.87,1588.53
105,2021-11-29,1622.21,1591.64
106,2021-11-26,1622.56,1584.86
107,2021-11-25,1619.70,1583.97
108,2021-11-24,1618.44,1590.63
109,2021-11-23,1621.78,1590.52
110,2021-11-22,1626.35,1591.33
111,2021-11-19,1628.16,1594.03
112,2021-11-18,1625.15,1597.15
113,2021-11-17,1619.49,1583.61
114,2021-11-16,1621.34,1583.24
115,2021-11-15,1611.94,1582.61
116,2021-11-12,1611.50,1583.23
117,2021-11-11,1615.84,1583.31
118,2021-11-10,1625.13,1597.73
119,2021-11-09,1627.81,1606.33
120,2021-11-08,1626.46,1598.72
121,2021-11-05,1627.27,1593.53
122,2021-11-04,1645.64,1617.28
123,2021-11-03,1639.48,1600.38
124,2021-11-02,1634.94,1606.88
125,2021-11-01,1641.80,1600.66
126,2021-10-29,1645.07,1616.42
127,2021-10-28,1640.44,1604.68
128,2021-10-27,1643.19,1605.24
129,2021-10-26,1639.69,1612.40
130,2021-10-25,1641.56,1621.66
131,2021-10-22,1652.84,1621.72
132,2021-10-21,1657.68,1625.15
133,2021-10-20,1651.28,1630.16
134,2021-10-19,1656.81,1628.04
135,2021-10-18,1661.34,1627.83
136,2021-10-15,1654.22,1625.24
137,2021-10-14,1655.89,1633.15
138,2021-10-13,1656.12,1629.04
139,2021-10-12,1661.58,1621.47
140,2021-10-08,1658.60,1620.77
141,2021-10-07,1649.64,1617.03
142,2021-10-06,1652.75,1617.90
143,2021-10-05,1648.53,1615.84
144,2021-10-01,1630.86,1597.06
145,2021-09-30,1622.92,1591.14
146,2021-09-29,1631.70,1600.43
147,2021-09-28,1652.84,1611.28
148,2021-09-27,1650.92,1606.16
149,2021-09-24,1646.52,1621.71
150,2021-09-23,1632.48,1604.30
151,2021-09-17,1657.20,1613.30
152,2021-09-16,1653.02,1622.80
153,2021-09-15,1649.05,1618.22
154,2021-09-14,1656.76,1625.06
155,2021-09-13,1654.88,1619.60
156,2021-09-10,1651.11,1618.60
157,2021-09-09,1645.13,1603.46
158,2021-09-08,1637.90,1595.64
159,2021-09-07,1636.22,1601.30
160,2021-09-06,1633.06,1603.12
161,2021-09-03,1632.47,1604.62
162,2021-09-02,1629.15,1593.94
163,2021-09-01,1626.54,1599.26
164,2021-08-31,1626.21,1602.16
165,2021-08-30,1632.97,1611.49
166,2021-08-27,1634.71,1600.65
167,2021-08-26,1641.49,1605.45
168,2021-08-25,1634.21,1603.43
169,2021-08-24,1632.41,1611.37
170,2021-08-23,1631.53,1603.08
171,2021-08-20,1644.61,1601.25
172,2021-08-19,1641.85,1613.34
173,2021-08-18,1642.10,1614.14
174,2021-08-17,1653.57,1616.47
175,2021-08-13,1644.64,1600.79
176,2021-08-12,1643.91,1601.64
177,2021-08-11,1630.93,1589.24
178,2021-08-10,1627.06,1585.31
