,date,buy,standard
0,2022-05-02,1288.15,1265.40
1,2022-04-29,1281.03,1269.40
2,2022-04-28,1295.27,1263.10
3,2022-04-27,1287.64,1248.30
4,2022-04-26,1274.92,1247.10
5,2022-04-25,1271.87,1241.70
6,2022-04-22,1265.26,1236.40
7,2022-04-21,1258.13,1237.10
8,2022-04-20,1255.08,1234.90
9,2022-04-19,1260.17,1232.80
10,2022-04-18,1256.61,1230.10
11,2022-04-15,1249.99,1224.20
12,2022-04-14,1247.96,1227.70
13,2022-04-13,1248.98,1236.60
14,2022-04-12,1252.54,1232.00
15,2022-04-11,1254.06,1224.00
16,2022-04-08,1247.96,1218.50
17,2022-04-07,1241.35,1219.10
18,2022-04-06,1238.29,1212.60
19,2022-04-05,1234.22,1216.70
20,2022-04-04,1235.75,1216.10
21,2022-04-01,1238.29,1210.70
22,2022-03-31,1233.71,1210.80
23,2022-03-30,1230.66,1220.50
24,2022-03-29,1239.82,1225.70
25,2022-03-28,1246.94,1218.30
26,2022-03-25,1240.33,1219.40
27,2022-03-24,1245.42,1212.70
28,2022-03-23,1236.26,1221.40
29,2022-03-22,1238.29,1213.70
30,2022-03-21,1235.24,1211.10
31,2022-03-18,1237.28,1220.60
32,2022-03-17,1232.19,1240.40
33,2022-03-16,1255.59,1241.70
34,2022-03-15,1267.29,1238.60
35,2022-03-14,1259.66,1232.40
36,2022-03-11,1256.61,1228.70
37,2022-03-10,1249.49,1234.50
38,2022-03-08,1257.12,1225.40
39,2022-03-07,1248.98,1211.50
40,2022-03-04,1237.28,1203.60
41,2022-03-03,1228.12,1205.00
42,2022-03-02,1229.14,1205.60
43,2022-02-28,1224.05,1202.70
44,2022-02-25,1224.56,1199.40
45,2022-02-24,1224.56,1192.10
46,2022-02-23,1211.84,1194.70
47,2022-02-22,1214.38,1194.60
48,2022-02-21,1212.86,1196.40
49,2022-02-18,1215.91,1197.10
50,2022-02-17,1218.45,1196.90
51,2022-02-16,1217.43,1198.50
52,2022-02-15,1218.96,1198.30
53,2022-02-14,1217.94,1199.60
54,2022-02-11,1217.43,1196.00
55,2022-02-10,1216.93,1196.00
56,2022-02-09,1216.93,1197.80
57,2022-02-08,1219.47,1199.40
58,2022-02-07,1221.50,1199.50
59,2022-02-04,1219.47,1205.40
60,2022-02-03,1225.57,1205.70
61,2022-01-28,1232.19,1202.40
62,2022-01-27,1224.56,1197.00
63,2022-01-26,1218.45,1197.80
64,2022-01-25,1218.96,1194.20
65,2022-01-24,1217.43,1193.60
66,2022-01-21,1212.86,1190.40
67,2022-01-20,1210.31,1191.80
68,2022-01-19,1212.86,1188.90
69,2022-01-18,1212.35,1192.30
70,2022-01-17,1212.86,1187.60
71,2022-01-14,1208.28,1188.20
72,2022-01-13,1206.75,1189.90
73,2022-01-12,1213.36,1195.20
74,2022-01-11,1214.38,1200.00
75,2022-01-10,1219.47,1202.40
76,2022-01-07,1225.07,1199.60
77,2022-01-06,1226.08,1198.20
78,2022-01-05,1218.96,1194.30
79,2022-01-04,1216.93,1190.80
80,2022-01-03,1213.87,1185.50
81,2021-12-31,1211.84,1185.50
82,2021-12-30,1209.80,1186.60
83,2021-12-29,1207.77,1186.70
84,2021-12-28,1209.29,1186.20
85,2021-12-27,1208.28,1186.40
86,2021-12-24,1208.28,1187.50
87,2021-12-23,1208.79,1191.20
88,2021-12-22,1213.36,1191.50
89,2021-12-21,1213.87,1189.80
90,2021-12-20,1212.86,1184.40
91,2021-12-17,1206.24,1183.50
92,2021-12-16,1204.21,1186.20
93,2021-12-15,1206.24,1183.60
94,2021-12-14,1203.19,1178.80
95,2021-12-13,1202.68,1178.20
96,2021-12-10,1202.17,1173.80
97,2021-12-09,1197.08,1176.40
98,2021-12-08,1197.59,1181.20
99,2021-12-07,1199.12,1183.70
100,2021-12-06,1202.68,1178.60
101,2021-12-03,1202.68,1177.30
102,2021-12-02,1195.56,1180.30
103,2021-12-01,1200.65,1187.70
104,2021-11-30,1211.33,1193.40
105,2021-11-29,1213.87,1193.00
106,2021-11-26,1216.42,1189.70
107,2021-11-25,1210.82,1188.50
108,2021-11-24,1207.26,1188.90
109,2021-11-23,1209.29,1187.40
110,2021-11-22,1208.28,1183.50
111,2021-11-19,1206.75,1180.50
112,2021-11-18,1201.66,1183.60
113,2021-11-17,1201.66,1179.60
114,2021-11-16,1201.15,1180.20
115,2021-11-15,1199.63,1179.60
116,2021-11-12,1199.12,1184.70
117,2021-11-11,1203.70,1181.00
118,2021-11-10,1198.10,1178.40
119,2021-11-09,1197.59,1184.30
120,2021-11-08,1203.70,1185.20
121,2021-11-05,1205.73,1180.00
122,2021-11-04,1203.70,1181.10
123,2021-11-03,1201.66,1175.50
124,2021-11-02,1196.58,1176.30
125,2021-11-01,1198.61,1169.60
126,2021-10-29,1191.49,1171.70
127,2021-10-28,1190.47,1168.10
128,2021-10-27,1194.03,1166.30
129,2021-10-26,1186.91,1171.80
130,2021-10-25,1188.44,1178.40
131,2021-10-22,1195.56,1175.80
132,2021-10-21,1198.10,1175.60
133,2021-10-20,1195.56,1181.70
134,2021-10-19,1198.61,1185.80
135,2021-10-18,1208.28,1182.80
136,2021-10-15,1203.19,1188.30
137,2021-10-14,1206.24,1195.00
138,2021-10-13,1212.35,1199.10
139,2021-10-12,1219.47,1193.40
140,2021-10-08,1216.93,1190.30
141,2021-10-07,1211.33,1190.00
142,2021-10-06,1216.93,1187.10
143,2021-10-05,1207.77,1187.20
144,2021-10-01,1207.77,1185.20
145,2021-09-30,1205.73,1184.90
146,2021-09-29,1204.72,1182.00
147,2021-09-28,1206.75,1175.90
148,2021-09-27,1201.66,1175.30
149,2021-09-24,1197.59,1181.70
150,2021-09-23,1192.51,1177.60
151,2021-09-17,1198.10,1169.10
152,2021-09-16,1193.52,1171.70
153,2021-09-15,1188.94,1172.20
154,2021-09-14,1191.49,1174.30
155,2021-09-13,1195.56,1170.40
156,2021-09-10,1186.91,1170.10
157,2021-09-09,1188.94,1164.50
158,2021-09-08,1187.42,1157.90
159,2021-09-07,1181.82,1157.30
160,2021-09-06,1177.24,1156.40
161,2021-09-03,1177.24,1159.70
162,2021-09-02,1179.28,1157.50
163,2021-09-01,1179.79,1162.80
164,2021-08-31,1177.75,1164.40
165,2021-08-30,1184.37,1170.80
166,2021-08-27,1190.47,1168.10
167,2021-08-26,1191.49,1166.50
168,2021-08-25,1187.42,1168.00
169,2021-08-24,1187.93,1174.00
170,2021-08-23,1192.51,1176.70
171,2021-08-20,1204.72,1174.50
172,2021-08-19,1197.59,1172.70
173,2021-08-18,1190.98,1174.90
174,2021-08-17,1195.05,1167.80
175,2021-08-13,1189.45,1158.90
176,2021-08-12,1182.84,1155.00
177,2021-08-11,1178.26,1148.50
178,2021-08-10,1170.63,1145.00
179,2021-08-09,1166.05,1142.30
180,2021-08-06,1163.00,1143.50
181,2021-08-05,1164.02,1145.80
182,2021-08-04,1164.02,1150.70
183,2021-08-03,1168.09,1151.50
184,2021-08-02,1171.14,1147.50
185,2021-07-30,1167.58,1147.40
186,2021-07-29,1166.56,1154.80
187,2021-07-28,1174.19,1150.20
188,2021-07-27,1174.19,1153.20
189,2021-07-26,1175.21,1149.50
190,2021-07-23,1170.63,1151.00
191,2021-07-22,1169.61,1150.60
192,2021-07-21,1174.70,1151.00
193,2021-07-20,1169.10,1145.70
194,2021-07-19,1171.14,1141.10
195,2021-07-16,1160.96,1143.70
196,2021-07-15,1161.98,1150.30
197,2021-07-14,1170.12,1145.10
198,2021-07-13,1165.03,1146.40
199,2021-07-12,1168.09,1148.30
200,2021-07-09,1168.59,1143.40
201,2021-07-08,1168.59,1137.60
202,2021-07-07,1157.91,1131.80
203,2021-07-06,1152.31,1130.30
204,2021-07-05,1150.28,1134.50
205,2021-07-02,1155.88,1132.20
206,2021-07-01,1152.82,1129.50
207,2021-06-30,1149.26,1130.00
208,2021-06-29,1150.79,1129.90
209,2021-06-28,1150.79,1128.80
210,2021-06-25,1147.74,1135.80
211,2021-06-24,1153.33,1135.60
212,2021-06-23,1156.38,1132.40
213,2021-06-22,1154.86,1135.40
214,2021-06-21,1153.33,1132.20
