,date,buy,standard
0,2022-05-02,6.16,5.51
1,2022-04-29,6.11,5.53
2,2022-04-28,6.17,5.50
3,2022-04-27,6.15,5.43
4,2022-04-26,6.06,5.43
5,2022-04-25,6.08,5.41
6,2022-04-22,6.05,5.38
7,2022-04-21,6.01,5.39
8,2022-04-20,6.04,5.38
9,2022-04-19,6.02,5.38
10,2022-04-18,6.00,5.37
11,2022-04-15,6.01,5.35
12,2022-04-14,5.97,5.36
13,2022-04-13,5.99,5.40
14,2022-04-12,6.06,5.39
15,2022-04-11,6.00,5.35
16,2022-04-08,5.98,5.33
17,2022-04-07,5.97,5.33
18,2022-04-06,5.96,5.30
19,2022-04-05,5.95,5.33
20,2022-04-04,5.97,5.32
21,2022-04-01,5.95,5.30
22,2022-03-31,5.92,5.30
23,2022-03-30,5.92,5.34
24,2022-03-29,5.98,5.36
25,2022-03-28,5.99,5.33
26,2022-03-25,5.96,5.33
27,2022-03-24,5.97,5.30
28,2022-03-23,5.94,5.34
29,2022-03-22,5.98,5.31
30,2022-03-21,5.92,5.30
31,2022-03-18,5.94,5.34
32,2022-03-17,6.00,5.42
33,2022-03-16,6.06,5.43
34,2022-03-15,6.06,5.41
35,2022-03-14,6.05,5.39
36,2022-03-11,6.01,5.38
37,2022-03-10,6.00,5.41
38,2022-03-08,6.00,5.36
39,2022-03-07,5.97,5.30
40,2022-03-04,5.92,5.27
41,2022-03-03,5.88,5.27
42,2022-03-02,5.90,5.28
43,2022-02-28,5.90,5.27
44,2022-02-25,5.89,5.25
45,2022-02-24,5.86,5.22
46,2022-02-23,5.85,5.24
47,2022-02-22,5.85,5.24
48,2022-02-21,5.86,5.24
49,2022-02-18,5.87,5.25
50,2022-02-17,5.89,5.26
51,2022-02-16,5.88,5.27
52,2022-02-15,5.88,5.27
53,2022-02-14,5.91,5.29
54,2022-02-11,5.91,5.27
55,2022-02-10,5.88,5.27
56,2022-02-09,5.89,5.27
57,2022-02-08,5.90,5.29
58,2022-02-07,5.92,5.30
59,2022-02-04,5.94,5.32
60,2022-02-03,5.94,5.32
61,2022-01-28,5.94,5.31
62,2022-01-27,5.94,5.29
63,2022-01-26,5.90,5.29
64,2022-01-25,5.88,5.26
65,2022-01-24,5.89,5.27
66,2022-01-21,5.89,5.26
67,2022-01-20,5.86,5.25
68,2022-01-19,5.86,5.22
69,2022-01-18,5.89,5.25
70,2022-01-17,5.85,5.23
71,2022-01-14,5.83,5.23
72,2022-01-13,5.83,5.24
73,2022-01-12,5.88,5.27
74,2022-01-11,5.90,5.29
75,2022-01-10,5.91,5.30
76,2022-01-07,5.89,5.27
77,2022-01-06,5.90,5.26
78,2022-01-05,5.88,5.25
79,2022-01-04,5.85,5.21
80,2022-01-03,5.82,5.19
81,2021-12-31,5.86,5.21
82,2021-12-30,5.81,5.20
83,2021-12-29,5.83,5.20
84,2021-12-28,5.81,5.20
85,2021-12-27,5.80,5.19
86,2021-12-24,5.77,5.17
87,2021-12-23,5.79,5.19
88,2021-12-22,5.81,5.20
89,2021-12-21,5.80,5.19
90,2021-12-20,5.78,5.15
91,2021-12-17,5.77,5.15
92,2021-12-16,5.75,5.15
93,2021-12-15,5.76,5.14
94,2021-12-14,5.77,5.13
95,2021-12-13,5.73,5.12
96,2021-12-10,5.73,5.11
97,2021-12-09,5.71,5.13
98,2021-12-08,5.70,5.12
99,2021-12-07,5.73,5.14
100,2021-12-06,5.79,5.16
101,2021-12-03,5.79,5.18
102,2021-12-02,5.80,5.20
103,2021-12-01,5.83,5.23
104,2021-11-30,5.86,5.26
105,2021-11-29,5.89,5.26
106,2021-11-26,5.89,5.25
107,2021-11-25,5.86,5.24
108,2021-11-24,5.86,5.24
109,2021-11-23,5.87,5.24
110,2021-11-22,5.87,5.22
111,2021-11-19,5.83,5.21
112,2021-11-18,5.85,5.22
113,2021-11-17,5.86,5.21
114,2021-11-16,5.83,5.21
115,2021-11-15,5.83,5.21
116,2021-11-12,5.81,5.23
117,2021-11-11,5.83,5.21
118,2021-11-10,5.80,5.20
119,2021-11-09,5.83,5.23
120,2021-11-08,5.83,5.23
121,2021-11-05,5.85,5.20
122,2021-11-04,5.79,5.19
123,2021-11-03,5.79,5.17
124,2021-11-02,5.80,5.17
125,2021-11-01,5.77,5.14
126,2021-10-29,5.76,5.15
127,2021-10-28,5.77,5.13
128,2021-10-27,5.73,5.12
129,2021-10-26,5.75,5.15
130,2021-10-25,5.78,5.18
131,2021-10-22,5.79,5.17
132,2021-10-21,5.78,5.17
133,2021-10-20,5.77,5.19
134,2021-10-19,5.82,5.21
135,2021-10-18,5.82,5.20
136,2021-10-15,5.80,5.22
137,2021-10-14,5.83,5.25
138,2021-10-13,5.89,5.27
139,2021-10-12,5.87,5.24
140,2021-10-08,5.85,5.23
141,2021-10-07,5.85,5.23
142,2021-10-06,5.83,5.22
143,2021-10-05,5.82,5.22
144,2021-10-01,5.82,5.21
145,2021-09-30,5.83,5.21
146,2021-09-29,5.83,5.19
147,2021-09-28,5.78,5.16
148,2021-09-27,5.80,5.16
149,2021-09-24,5.76,5.19
150,2021-09-23,5.78,5.17
151,2021-09-17,5.79,5.14
152,2021-09-16,5.75,5.15
153,2021-09-15,5.76,5.15
154,2021-09-14,5.77,5.16
