,date,interest,change
0,2022-05-09,3.104,-0.99
1,2022-05-06,3.135,0.00
2,2022-05-05,3.135,0.27
3,2022-05-04,3.126,-0.24
4,2022-05-03,3.134,0.00
5,2022-05-02,3.134,0.00
6,2022-04-29,3.134,0.00
7,2022-04-28,3.134,0.67
8,2022-04-27,3.113,1.55
9,2022-04-26,3.066,-2.39
10,2022-04-25,3.141,-0.36
11,2022-04-22,3.152,0.00
12,2022-04-21,3.152,0.33
13,2022-04-20,3.141,0.42
14,2022-04-19,3.128,15.74
15,2022-04-18,2.703,-0.75
16,2022-04-15,2.724,0.00
17,2022-04-14,2.724,0.17
18,2022-04-13,2.719,0.44
19,2022-04-12,2.707,-0.55
20,2022-04-11,2.722,-0.57
21,2022-04-08,2.737,0.00
22,2022-04-07,2.737,0.15
23,2022-04-06,2.734,0.77
24,2022-04-05,2.713,-0.50
25,2022-04-04,2.726,-0.94
26,2022-04-01,2.752,0.00
27,2022-03-31,2.752,0.11
28,2022-03-30,2.749,0.48
29,2022-03-29,2.736,-0.67
30,2022-03-28,2.754,0.09
31,2022-03-25,2.752,0.00
32,2022-03-24,2.752,0.22
33,2022-03-23,2.746,0.48
34,2022-03-22,2.733,19.61
35,2022-03-21,2.285,-1.02
36,2022-03-18,2.309,0.00
37,2022-03-17,2.309,0.28
38,2022-03-16,2.302,0.59
39,2022-03-15,2.289,5.03
40,2022-03-14,2.179,-0.57
41,2022-03-11,2.191,0.00
42,2022-03-10,2.191,0.39
43,2022-03-09,2.183,0.76
44,2022-03-08,2.167,-0.85
45,2022-03-07,2.185,-0.57
46,2022-03-04,2.197,0.00
47,2022-03-03,2.197,0.34
48,2022-03-02,2.190,0.81
49,2022-03-01,2.172,-0.89
50,2022-02-28,2.192,-0.54
51,2022-02-25,2.204,0.00
52,2022-02-24,2.204,0.32
53,2022-02-23,2.197,0.78
54,2022-02-22,2.180,22.03
55,2022-02-21,1.786,-1.02
56,2022-02-18,1.805,0.00
57,2022-02-17,1.805,0.36
58,2022-02-16,1.798,0.90
59,2022-02-15,1.783,-1.16
60,2022-02-14,1.804,-1.02
61,2022-02-11,1.822,0.00
62,2022-02-10,1.822,0.41
63,2022-02-09,1.814,0.83
64,2022-02-08,1.799,-1.13
65,2022-02-07,1.820,-0.98
66,2022-02-04,1.838,0.00
67,2022-02-03,1.838,0.33
68,2022-02-02,1.832,0.85
69,2022-02-01,1.816,-1.09
70,2022-01-31,1.837,-1.00
71,2022-01-28,1.855,0.00
72,2022-01-27,1.855,0.35
73,2022-01-26,1.849,2.81
74,2022-01-25,1.798,0.25
75,2022-01-24,1.793,-0.11
76,2022-01-21,1.796,-0.31
77,2022-01-20,1.801,-0.72
78,2022-01-19,1.814,2.37
79,2022-01-18,1.772,2.40
80,2022-01-17,1.730,0.35
81,2022-01-14,1.724,-0.35
82,2022-01-13,1.730,-0.66
83,2022-01-12,1.742,0.64
84,2022-01-11,1.731,0.00
85,2022-01-10,1.731,0.20
86,2022-01-07,1.727,-0.29
87,2022-01-06,1.732,-0.57
88,2022-01-05,1.742,0.55
89,2022-01-04,1.733,0.00
90,2022-01-03,1.733,0.29
91,2021-12-31,1.728,-0.29
92,2021-12-30,1.733,-0.66
93,2021-12-29,1.745,0.61
94,2021-12-28,1.734,0.00
95,2021-12-27,1.734,0.20
96,2021-12-24,1.730,-0.32
97,2021-12-23,1.735,2.30
98,2021-12-22,1.696,0.56
99,2021-12-21,1.687,0.00
100,2021-12-20,1.688,0.33
101,2021-12-17,1.682,-0.36
102,2021-12-16,1.688,-0.56
103,2021-12-15,1.697,0.62
104,2021-12-14,1.687,-0.06
105,2021-12-13,1.688,0.60
106,2021-12-10,1.678,-0.36
107,2021-12-09,1.684,-0.62
108,2021-12-08,1.694,0.68
109,2021-12-07,1.683,-0.06
110,2021-12-06,1.684,0.33
111,2021-12-03,1.679,-0.33
112,2021-12-02,1.684,-0.62
113,2021-12-01,1.694,0.62
114,2021-11-30,1.684,-0.06
115,2021-11-29,1.685,0.33
116,2021-11-26,1.679,-0.33
117,2021-11-25,1.685,1.05
118,2021-11-24,1.668,0.85
119,2021-11-23,1.653,0.46
120,2021-11-22,1.646,0.03
121,2021-11-19,1.645,-0.24
122,2021-11-18,1.650,-0.66
123,2021-11-17,1.661,0.48
124,2021-11-16,1.653,-0.06
125,2021-11-15,1.653,0.06
126,2021-11-12,1.653,-0.33
127,2021-11-11,1.658,-0.63
128,2021-11-10,1.668,0.51
129,2021-11-09,1.660,0.27
130,2021-11-08,1.656,-0.27
131,2021-11-05,1.660,-0.33
132,2021-11-04,1.666,-0.57
133,2021-11-03,1.675,0.57
134,2021-11-02,1.666,-0.09
135,2021-11-01,1.667,-0.09
136,2021-10-29,1.668,-0.21
137,2021-10-28,1.672,-0.68
138,2021-10-27,1.684,2.59
139,2021-10-26,1.641,0.24
140,2021-10-25,1.637,-0.33
141,2021-10-22,1.643,-0.21
142,2021-10-21,1.646,-0.75
143,2021-10-20,1.658,0.00
144,2021-10-19,1.658,0.24
145,2021-10-18,1.654,-0.30
146,2021-10-15,1.659,-0.33
147,2021-10-14,1.664,-0.66
148,2021-10-13,1.676,0.51
149,2021-10-12,1.667,-0.09
150,2021-10-11,1.668,0.00
151,2021-10-08,1.668,-0.30
152,2021-10-07,1.673,-0.65
153,2021-10-06,1.684,0.54
154,2021-10-05,1.675,0.18
155,2021-10-04,1.672,-0.33
156,2021-10-01,1.678,-0.21
157,2021-09-30,1.681,-0.68
158,2021-09-29,1.692,2.64
159,2021-09-28,1.649,-0.06
160,2021-09-27,1.650,-0.03
161,2021-09-24,1.651,-0.27
162,2021-09-23,1.655,-0.69
163,2021-09-22,1.666,-0.03
164,2021-09-21,1.667,-2.54
165,2021-09-20,1.711,0.00
166,2021-09-17,1.711,-0.23
167,2021-09-16,1.715,-0.69
168,2021-09-15,1.727,0.52
169,2021-09-14,1.718,-0.06
170,2021-09-13,1.719,-2.80
171,2021-09-10,1.768,-0.28
172,2021-09-09,1.773,-0.73
173,2021-09-08,1.786,0.53
174,2021-09-07,1.777,-0.06
175,2021-09-06,1.778,0.06
176,2021-09-03,1.777,-0.28
177,2021-09-02,1.782,-0.70
178,2021-09-01,1.794,0.53
179,2021-08-31,1.785,14.64
180,2021-08-30,1.557,-0.86
181,2021-08-27,1.571,0.00
182,2021-08-26,1.571,0.16
183,2021-08-25,1.568,1.03
184,2021-08-24,1.552,-3.63
185,2021-08-23,1.610,-0.31
186,2021-08-20,1.615,0.00
187,2021-08-19,1.615,0.37
188,2021-08-18,1.610,-0.53
189,2021-08-17,1.618,-0.06
190,2021-08-16,1.619,-0.40
191,2021-08-13,1.625,0.00
192,2021-08-12,1.625,0.40
193,2021-08-11,1.619,0.84
194,2021-08-10,1.605,-1.02
195,2021-08-09,1.622,-0.64
196,2021-08-06,1.633,-0.12
197,2021-08-05,1.635,0.83
198,2021-08-04,1.621,0.40
199,2021-08-03,1.615,-1.01
200,2021-08-02,1.631,-0.79
201,2021-07-30,1.644,0.00
202,2021-07-29,1.644,0.37
203,2021-07-28,1.638,0.61
204,2021-07-27,1.628,-0.85
205,2021-07-26,1.642,-0.88
206,2021-07-23,1.656,0.00
207,2021-07-22,1.656,0.00
208,2021-07-21,1.656,0.00
209,2021-07-20,1.656,0.00
210,2021-07-19,1.657,-0.54
211,2021-07-16,1.666,4.88
212,2021-07-15,1.589,0.35
213,2021-07-14,1.583,0.86
214,2021-07-13,1.569,-0.98
215,2021-07-12,1.585,-0.84
216,2021-07-09,1.599,0.00
217,2021-07-08,1.599,0.95
218,2021-07-07,1.584,-8.81
219,2021-07-06,1.737,0.03
220,2021-07-05,1.736,-0.63
221,2021-07-02,1.747,5.50
222,2021-07-01,1.656,-0.54
223,2021-06-30,1.665,0.57
224,2021-06-29,1.656,0.00
225,2021-06-28,1.656,0.30
226,2021-06-25,1.651,-0.30
227,2021-06-24,1.656,-0.57
228,2021-06-23,1.665,-4.53
229,2021-06-22,1.744,-2.84
230,2021-06-21,1.795,0.20
231,2021-06-18,1.791,-0.28
232,2021-06-17,1.796,-0.64
233,2021-06-16,1.808,0.61
234,2021-06-15,1.797,-0.50
235,2021-06-14,1.806,0.28
236,2021-06-11,1.801,-0.30
237,2021-06-10,1.806,-0.58
238,2021-06-09,1.817,0.58
239,2021-06-08,1.806,0.00
240,2021-06-07,1.806,0.28
241,2021-06-04,1.801,-0.28
242,2021-06-03,1.806,-0.58
243,2021-06-02,1.816,1.20
244,2021-06-01,1.795,-0.03
245,2021-05-31,1.796,0.31
246,2021-05-28,1.790,-0.33
247,2021-05-27,1.796,-0.69
248,2021-05-26,1.809,0.64
249,2021-05-25,1.797,0.00
250,2021-05-24,1.798,0.22
251,2021-05-21,1.793,-0.28
252,2021-05-20,1.798,-0.64
253,2021-05-19,1.810,0.64
254,2021-05-18,1.798,-0.08
255,2021-05-17,1.800,0.25
256,2021-05-14,1.796,-0.33
257,2021-05-13,1.801,8.56
258,2021-05-12,1.660,0.58
259,2021-05-11,1.650,-0.06
260,2021-05-10,1.651,0.27
261,2021-05-07,1.646,-0.30
262,2021-05-06,1.651,-0.63
263,2021-05-05,1.662,1.06
264,2021-05-04,1.645,-0.06
265,2021-05-03,1.645,0.24
266,2021-04-30,1.641,-0.27
267,2021-04-29,1.646,-0.63
268,2021-04-28,1.656,7.70
269,2021-04-27,1.538,0.07
270,2021-04-26,1.537,0.07
271,2021-04-23,1.536,-0.26
272,2021-04-22,1.540,-0.61
273,2021-04-21,1.549,0.55
274,2021-04-20,1.541,-0.06
275,2021-04-19,1.542,0.19
276,2021-04-16,1.539,-0.32
277,2021-04-15,1.544,-0.61
278,2021-04-14,1.554,-2.60
279,2021-04-13,1.595,0.00
280,2021-04-12,1.595,0.19
281,2021-04-09,1.592,-0.34
282,2021-04-08,1.598,-0.62
283,2021-04-07,1.608,0.56
284,2021-04-06,1.599,-0.19
285,2021-04-05,1.602,2.50
286,2021-04-02,1.563,-0.32
287,2021-04-01,1.568,-0.73
288,2021-03-31,1.579,0.73
289,2021-03-30,1.568,-0.10
290,2021-03-29,1.569,0.22
291,2021-03-26,1.566,-0.38
292,2021-03-25,1.572,-0.66
293,2021-03-24,1.582,-19.28
294,2021-03-23,1.961,-0.05
295,2021-03-22,1.962,0.08
296,2021-03-19,1.960,-0.31
297,2021-03-18,1.966,-0.78
298,2021-03-17,1.982,0.63
299,2021-03-16,1.969,-0.10
300,2021-03-15,1.971,0.15
301,2021-03-12,1.968,-0.40
302,2021-03-11,1.976,0.33
303,2021-03-10,1.969,0.64
304,2021-03-09,1.957,0.00
305,2021-03-08,1.957,-26.45
306,2021-03-05,2.661,-0.30
307,2021-03-04,2.670,-0.65
308,2021-03-03,2.687,0.67
309,2021-03-02,2.669,0.00
310,2021-03-01,2.669,0.32
311,2021-02-26,2.661,-0.36
312,2021-02-25,2.670,-0.58
313,2021-02-24,2.685,0.58
314,2021-02-23,2.670,0.04
315,2021-02-22,2.669,0.30
316,2021-02-19,2.661,-0.28
317,2021-02-18,2.668,-0.61
318,2021-02-17,2.685,4.19
319,2021-02-16,2.577,-0.10
320,2021-02-15,2.579,0.10
321,2021-02-12,2.577,-0.31
322,2021-02-11,2.585,-0.75
323,2021-02-10,2.605,0.60
324,2021-02-09,2.589,-0.08
325,2021-02-08,2.591,0.04
326,2021-02-05,2.590,-0.31
327,2021-02-04,2.598,-0.69
328,2021-02-03,2.616,0.58
329,2021-02-02,2.601,-0.04
330,2021-02-01,2.602,-3.93
331,2021-01-29,2.708,-0.29
332,2021-01-28,2.717,0.22
333,2021-01-27,2.711,-0.33
