,date,interest,change
0,2022-05-06,13.517,0.70
1,2022-05-05,13.422,1.39
2,2022-05-04,13.239,0.00
3,2022-05-03,13.239,0.49
4,2022-05-02,13.175,0.69
5,2022-04-29,13.085,0.54
6,2022-04-28,13.015,0.00
7,2022-04-27,13.015,-0.27
8,2022-04-26,13.050,0.04
9,2022-04-25,13.045,-0.54
10,2022-04-22,13.116,-0.02
11,2022-04-20,13.118,0.00
12,2022-04-19,13.118,-0.11
13,2022-04-18,13.132,-0.37
14,2022-04-14,13.181,0.29
15,2022-04-13,13.143,-0.20
16,2022-04-12,13.169,0.11
17,2022-04-11,13.155,0.92
18,2022-04-08,13.035,1.90
19,2022-04-07,12.792,-0.14
20,2022-04-06,12.810,-0.27
21,2022-04-05,12.845,0.47
22,2022-04-04,12.785,-0.39
23,2022-04-01,12.835,-0.70
24,2022-03-31,12.925,-0.19
25,2022-03-30,12.950,0.58
26,2022-03-29,12.875,-0.23
27,2022-03-28,12.905,-0.39
28,2022-03-25,12.955,-0.42
29,2022-03-24,13.010,-1.03
30,2022-03-23,13.145,0.04
31,2022-03-22,13.140,0.11
32,2022-03-21,13.125,1.20
33,2022-03-18,12.970,-0.95
34,2022-03-17,13.095,-1.69
35,2022-03-16,13.320,-0.04
36,2022-03-15,13.325,-0.82
37,2022-03-14,13.435,1.09
38,2022-03-11,13.290,0.49
39,2022-03-10,13.225,1.11
40,2022-03-09,13.080,-0.68
41,2022-03-08,13.170,-0.79
42,2022-03-07,13.275,2.04
43,2022-03-04,13.010,0.00
44,2022-03-03,13.010,1.80
45,2022-03-02,12.780,1.03
46,2022-02-25,12.650,0.32
47,2022-02-24,12.610,0.64
48,2022-02-23,12.530,-0.40
49,2022-02-22,12.580,0.28
50,2022-02-21,12.545,0.04
51,2022-02-18,12.540,-0.24
52,2022-02-17,12.570,0.00
53,2022-02-16,12.570,0.00
54,2022-02-15,12.570,-0.63
55,2022-02-14,12.650,0.60
56,2022-02-11,12.575,1.78
57,2022-02-10,12.355,0.98
58,2022-02-09,12.235,-0.49
59,2022-02-08,12.295,1.57
60,2022-02-07,12.105,-0.49
61,2022-02-04,12.165,0.66
62,2022-02-03,12.085,-1.27
63,2022-02-02,12.240,-0.93
64,2022-02-01,12.355,-0.52
65,2022-01-31,12.420,0.32
66,2022-01-28,12.380,0.16
67,2022-01-27,12.360,1.48
68,2022-01-26,12.180,1.42
69,2022-01-25,12.010,-0.08
70,2022-01-24,12.020,-0.74
71,2022-01-21,12.110,-0.21
72,2022-01-20,12.135,0.12
73,2022-01-19,12.120,0.08
74,2022-01-18,12.110,-0.41
75,2022-01-17,12.160,1.12
76,2022-01-14,12.025,-0.50
77,2022-01-13,12.085,0.33
78,2022-01-12,12.045,-1.43
79,2022-01-11,12.220,-0.08
80,2022-01-10,12.230,0.87
81,2022-01-07,12.125,-0.12
82,2022-01-06,12.140,-0.53
83,2022-01-05,12.205,1.62
84,2022-01-04,12.010,0.33
85,2022-01-03,11.970,1.40
86,2021-12-30,11.805,-0.63
87,2021-12-29,11.880,1.02
88,2021-12-28,11.760,0.17
89,2021-12-27,11.740,1.69
90,2021-12-23,11.545,0.04
91,2021-12-22,11.540,1.76
92,2021-12-21,11.340,-0.87
93,2021-12-20,11.440,-1.38
94,2021-12-17,11.600,0.61
95,2021-12-16,11.530,-0.09
96,2021-12-15,11.540,0.26
97,2021-12-14,11.510,1.52
98,2021-12-13,11.338,0.03
99,2021-12-10,11.335,-1.48
100,2021-12-09,11.505,1.99
101,2021-12-08,11.280,-1.23
102,2021-12-07,11.420,-0.22
103,2021-12-06,11.445,0.44
104,2021-12-03,11.395,-1.60
105,2021-12-02,11.580,-1.78
106,2021-12-01,11.790,0.99
107,2021-11-30,11.675,0.30
108,2021-11-29,11.640,0.04
109,2021-11-26,11.635,-2.17
110,2021-11-25,11.893,-0.23
111,2021-11-24,11.920,-0.96
112,2021-11-23,12.035,-0.41
113,2021-11-22,12.085,2.16
114,2021-11-19,11.830,-0.76
115,2021-11-18,11.920,1.10
116,2021-11-17,11.790,0.43
117,2021-11-16,11.740,0.51
118,2021-11-12,11.680,-0.26
119,2021-11-11,11.710,-1.80
120,2021-11-10,11.925,0.63
121,2021-11-09,11.850,-0.42
122,2021-11-08,11.900,0.77
123,2021-11-06,11.809,0.50
124,2021-11-05,11.750,-0.38
125,2021-11-04,11.795,0.04
126,2021-11-03,11.790,-0.38
127,2021-11-01,11.835,0.00
128,2021-10-29,11.835,5.06
129,2021-10-28,11.265,0.00
130,2021-10-27,11.265,-0.13
131,2021-10-26,11.280,3.63
132,2021-10-25,10.885,6.93
133,2021-10-22,10.180,0.00
134,2021-10-21,10.180,5.77
135,2021-10-20,9.625,-0.05
136,2021-10-19,9.630,5.30
137,2021-10-18,9.145,0.66
138,2021-10-15,9.085,1.28
139,2021-10-14,8.970,0.96
140,2021-10-13,8.885,0.57
141,2021-10-11,8.835,-1.67
142,2021-10-08,8.985,0.00
143,2021-10-07,8.985,2.16
144,2021-10-06,8.795,-2.01
145,2021-10-05,8.975,1.70
146,2021-10-04,8.825,-0.34
147,2021-10-01,8.855,0.85
148,2021-09-30,8.780,2.69
149,2021-09-29,8.550,-0.35
150,2021-09-28,8.580,-0.87
151,2021-09-27,8.655,0.46
152,2021-09-24,8.615,2.62
153,2021-09-23,8.395,-0.71
154,2021-09-22,8.455,-0.94
155,2021-09-21,8.535,-0.70
156,2021-09-20,8.595,-1.38
157,2021-09-18,8.715,2.65
158,2021-09-17,8.490,0.35
159,2021-09-16,8.460,-1.28
160,2021-09-15,8.570,2.08
161,2021-09-14,8.395,-4.00
162,2021-09-13,8.745,-0.68
163,2021-09-10,8.805,5.70
164,2021-09-09,8.330,0.00
