,date,interest,change
0,2022-05-09,2.431,-2.01
1,2022-05-06,2.481,0.00
2,2022-05-05,2.481,0.81
3,2022-05-04,2.461,-2.77
4,2022-05-03,2.531,0.80
5,2022-05-02,2.511,0.84
6,2022-04-29,2.490,4.18
7,2022-04-28,2.390,0.84
8,2022-04-27,2.370,3.49
9,2022-04-26,2.290,-1.29
10,2022-04-25,2.320,-2.52
11,2022-04-22,2.380,2.59
12,2022-04-21,2.320,4.04
13,2022-04-20,2.230,4.69
14,2022-04-19,2.130,2.40
15,2022-04-18,2.080,0.48
16,2022-04-14,2.070,1.47
17,2022-04-13,2.040,-0.49
18,2022-04-12,2.050,-2.38
19,2022-04-11,2.100,1.45
20,2022-04-08,2.070,2.48
21,2022-04-07,2.020,0.00
22,2022-04-06,2.020,1.00
23,2022-04-05,2.000,1.01
24,2022-04-04,1.980,0.00
25,2022-04-01,1.980,1.02
26,2022-03-31,1.960,-1.01
27,2022-03-30,1.980,6.45
28,2022-03-29,1.860,0.54
29,2022-03-28,1.850,1.09
30,2022-03-25,1.830,5.78
31,2022-03-24,1.730,1.76
32,2022-03-23,1.700,0.00
33,2022-03-22,1.700,3.66
34,2022-03-21,1.640,4.46
35,2022-03-18,1.570,0.00
36,2022-03-17,1.570,-2.48
37,2022-03-16,1.610,4.55
38,2022-03-15,1.540,2.67
39,2022-03-14,1.500,6.38
40,2022-03-11,1.410,6.02
41,2022-03-10,1.330,3.91
42,2022-03-09,1.280,2.40
43,2022-03-08,1.250,0.81
44,2022-03-07,1.240,0.00
45,2022-03-04,1.240,-2.36
46,2022-03-03,1.270,0.00
47,2022-03-02,1.270,13.39
48,2022-03-01,1.120,-9.68
49,2022-02-28,1.240,-2.36
50,2022-02-25,1.270,0.79
51,2022-02-24,1.260,-2.33
52,2022-02-23,1.290,1.57
53,2022-02-22,1.270,1.60
54,2022-02-18,1.250,0.00
55,2022-02-17,1.250,-2.34
56,2022-02-16,1.280,0.00
57,2022-02-15,1.280,4.07
58,2022-02-14,1.230,3.36
59,2022-02-11,1.190,0.00
60,2022-02-10,1.190,5.31
61,2022-02-09,1.130,0.89
62,2022-02-08,1.120,2.75
63,2022-02-07,1.090,-2.68
64,2022-02-04,1.120,6.67
65,2022-02-03,1.050,-0.94
66,2022-02-02,1.060,8.16
67,2022-02-01,0.980,-1.01
