,date,interest,change
0,2022-05-09,1.351,0.00
1,2022-05-06,1.351,0.00
2,2022-05-05,1.351,-1.46
3,2022-05-04,1.371,0.81
4,2022-05-03,1.360,2.18
5,2022-05-02,1.331,-2.13
6,2022-04-29,1.360,2.26
7,2022-04-28,1.330,0.76
8,2022-04-27,1.320,-2.22
9,2022-04-26,1.350,3.05
10,2022-04-25,1.310,3.97
11,2022-04-22,1.260,0.80
12,2022-04-21,1.250,1.63
13,2022-04-20,1.230,1.65
14,2022-04-19,1.210,7.08
15,2022-04-18,1.130,0.00
16,2022-04-15,1.130,-2.59
17,2022-04-14,1.160,-4.13
18,2022-04-13,1.210,3.33
19,2022-04-12,1.171,0.09
20,2022-04-11,1.170,5.41
21,2022-04-08,1.110,1.83
22,2022-04-07,1.090,-1.80
23,2022-04-06,1.110,15.63
24,2022-04-05,0.960,-3.03
25,2022-04-04,0.990,4.21
26,2022-04-01,0.950,9.20
27,2022-03-31,0.870,-3.33
28,2022-03-30,0.900,-9.09
29,2022-03-29,0.990,0.00
30,2022-03-28,0.990,17.86
31,2022-03-25,0.840,2.44
32,2022-03-24,0.820,-1.20
33,2022-03-23,0.830,0.00
34,2022-03-22,0.830,10.67
35,2022-03-21,0.750,2.74
36,2022-03-18,0.730,0.00
37,2022-03-17,0.730,-1.22
38,2022-03-16,0.739,1.37
39,2022-03-15,0.729,2.68
40,2022-03-14,0.710,7.58
41,2022-03-11,0.660,3.13
42,2022-03-10,0.640,3.06
43,2022-03-09,0.621,7.07
44,2022-03-08,0.580,9.43
45,2022-03-07,0.530,0.00
46,2022-03-04,0.530,0.00
47,2022-03-03,0.530,3.92
48,2022-03-02,0.510,0.00
49,2022-03-01,0.510,-2.11
50,2022-02-28,0.521,0.19
51,2022-02-25,0.520,0.00
52,2022-02-24,0.520,0.00
53,2022-02-23,0.520,1.96
54,2022-02-22,0.510,-1.92
55,2022-02-21,0.520,-1.89
56,2022-02-18,0.530,0.00
57,2022-02-17,0.530,-3.64
58,2022-02-16,0.550,10.00
59,2022-02-15,0.500,-0.20
60,2022-02-14,0.501,0.20
61,2022-02-11,0.500,11.11
62,2022-02-10,0.450,2.27
63,2022-02-09,0.440,-4.35
64,2022-02-08,0.460,0.00
65,2022-02-07,0.460,12.20
66,2022-02-04,0.410,10.81
67,2022-02-03,0.370,0.00
68,2022-02-02,0.370,0.00
69,2022-02-01,0.370,-7.50
70,2022-01-31,0.400,0.00
71,2022-01-28,0.400,11.11
72,2022-01-27,0.360,9.09
73,2022-01-26,0.330,0.00
74,2022-01-25,0.330,0.00
75,2022-01-24,0.330,3.13
76,2022-01-21,0.320,-3.03
77,2022-01-20,0.330,0.00
78,2022-01-19,0.330,0.00
79,2022-01-18,0.330,-2.94
80,2022-01-17,0.340,6.58
81,2022-01-14,0.319,-0.31
82,2022-01-13,0.320,0.00
83,2022-01-12,0.320,0.00
84,2022-01-11,0.320,-3.03
85,2022-01-10,0.330,3.13
86,2022-01-07,0.320,0.00
87,2022-01-06,0.320,10.34
88,2022-01-05,0.290,0.00
89,2022-01-04,0.290,0.00
90,2022-01-03,0.290,16.23
91,2021-12-31,0.250,-10.89
92,2021-12-30,0.280,0.00
93,2021-12-29,0.280,0.00
94,2021-12-28,0.280,12.00
95,2021-12-27,0.250,-10.71
96,2021-12-24,0.280,3.70
97,2021-12-23,0.270,0.75
98,2021-12-22,0.268,1.13
99,2021-12-21,0.265,-5.20
100,2021-12-20,0.280,3.53
101,2021-12-17,0.270,-3.57
102,2021-12-16,0.280,3.70
103,2021-12-15,0.270,3.85
104,2021-12-14,0.260,8.33
105,2021-12-13,0.240,0.00
106,2021-12-10,0.240,0.00
107,2021-12-09,0.240,0.00
108,2021-12-08,0.240,4.35
109,2021-12-07,0.230,9.27
110,2021-12-06,0.210,0.00
111,2021-12-03,0.210,0.00
112,2021-12-02,0.210,5.00
113,2021-12-01,0.200,5.26
114,2021-11-30,0.190,0.00
115,2021-11-29,0.190,5.56
116,2021-11-26,0.180,0.00
117,2021-11-25,0.180,12.50
118,2021-11-24,0.160,0.00
119,2021-11-23,0.160,23.08
120,2021-11-22,0.130,8.33
121,2021-11-19,0.120,0.00
122,2021-11-18,0.120,0.00
123,2021-11-17,0.120,9.09
124,2021-11-16,0.110,10.00
125,2021-11-15,0.100,0.00
126,2021-11-12,0.100,0.00
127,2021-11-11,0.100,-0.99
128,2021-11-10,0.101,12.22
129,2021-11-09,0.090,0.00
130,2021-11-08,0.090,0.00
131,2021-11-05,0.090,-10.00
132,2021-11-04,0.100,11.11
133,2021-11-03,0.090,0.00
134,2021-11-02,0.090,0.00
135,2021-11-01,0.090,12.50
136,2021-10-29,0.080,0.00
137,2021-10-28,0.080,14.29
138,2021-10-27,0.070,0.00
139,2021-10-26,0.070,0.00
140,2021-10-25,0.070,0.00
141,2021-10-22,0.070,0.00
142,2021-10-21,0.070,-1.41
143,2021-10-20,0.071,1.43
