,date,interest,change
0,2022-05-09,2.111,-1.05
1,2022-05-07,2.134,0.28
2,2022-05-06,2.128,0.14
3,2022-05-05,2.125,-1.09
4,2022-04-29,2.148,-0.32
5,2022-04-28,2.155,1.56
6,2022-04-27,2.122,0.24
7,2022-04-26,2.117,-0.52
8,2022-04-25,2.128,0.50
9,2022-04-24,2.118,8.04
10,2022-04-22,1.960,-0.86
11,2022-04-21,1.977,-1.89
12,2022-04-20,2.015,-0.89
13,2022-04-19,2.033,0.79
14,2022-04-18,2.017,1.41
15,2022-04-15,1.989,-2.83
16,2022-04-14,2.047,-1.11
17,2022-04-13,2.070,-0.91
18,2022-04-12,2.089,0.38
19,2022-04-11,2.081,0.05
20,2022-04-08,2.080,0.10
21,2022-04-07,2.078,-2.81
22,2022-04-06,2.138,2.35
23,2022-04-02,2.089,-2.29
24,2022-04-01,2.138,-0.42
25,2022-03-31,2.147,-0.74
26,2022-03-30,2.163,0.00
27,2022-03-29,2.163,0.09
28,2022-03-28,2.161,-1.64
29,2022-03-25,2.197,0.78
30,2022-03-24,2.180,-0.37
31,2022-03-23,2.188,0.37
32,2022-03-22,2.180,0.93
33,2022-03-21,2.160,-0.46
34,2022-03-18,2.170,0.05
35,2022-03-17,2.169,-0.37
36,2022-03-16,2.177,1.11
37,2022-03-15,2.153,2.38
38,2022-03-14,2.103,-1.04
39,2022-03-11,2.125,0.09
40,2022-03-10,2.123,-0.09
41,2022-03-09,2.125,3.36
42,2022-03-08,2.056,-0.92
43,2022-03-07,2.075,-0.10
44,2022-03-04,2.077,-0.91
45,2022-03-03,2.096,2.09
46,2022-03-02,2.053,1.13
47,2022-03-01,2.030,-1.98
48,2022-02-28,2.071,2.78
49,2022-02-26,2.015,-0.25
50,2022-02-25,2.020,-2.60
51,2022-02-24,2.074,0.05
52,2022-02-23,2.073,0.29
53,2022-02-22,2.067,2.73
54,2022-02-21,2.012,1.36
55,2022-02-18,1.985,3.66
56,2022-02-17,1.915,0.16
57,2022-02-16,1.912,1.92
58,2022-02-15,1.876,-2.80
59,2022-02-14,1.930,3.26
60,2022-02-11,1.869,0.38
61,2022-02-10,1.862,-1.12
62,2022-02-09,1.883,-1.57
63,2022-02-08,1.913,-2.45
64,2022-02-07,1.961,0.82
65,2022-01-30,1.945,-0.51
66,2022-01-29,1.955,-3.36
67,2022-01-28,2.023,1.71
68,2022-01-27,1.989,-0.40
69,2022-01-26,1.997,0.30
70,2022-01-25,1.991,0.10
71,2022-01-24,1.989,-2.16
72,2022-01-21,2.033,0.05
73,2022-01-20,2.032,-0.68
74,2022-01-19,2.046,-2.43
75,2022-01-18,2.097,-1.92
76,2022-01-17,2.138,-1.06
77,2022-01-14,2.161,-0.41
78,2022-01-13,2.170,-0.09
79,2022-01-12,2.172,0.60
80,2022-01-11,2.159,0.28
81,2022-01-10,2.153,-0.69
82,2022-01-07,2.168,-1.54
83,2022-01-06,2.202,0.78
84,2022-01-05,2.185,-0.23
85,2022-01-04,2.190,-0.23
86,2021-12-31,2.195,-3.22
87,2021-12-30,2.268,-2.03
88,2021-12-29,2.315,-1.87
89,2021-12-28,2.359,0.60
90,2021-12-27,2.345,-0.09
91,2021-12-24,2.347,0.34
92,2021-12-23,2.339,-1.06
93,2021-12-22,2.364,-0.63
94,2021-12-21,2.379,1.41
95,2021-12-20,2.346,1.65
96,2021-12-17,2.308,0.35
97,2021-12-16,2.300,0.44
98,2021-12-15,2.290,0.31
99,2021-12-14,2.283,0.13
100,2021-12-13,2.280,-0.09
101,2021-12-10,2.282,-0.57
102,2021-12-09,2.295,0.88
103,2021-12-08,2.275,0.26
104,2021-12-07,2.269,1.02
105,2021-12-06,2.246,4.95
106,2021-12-03,2.140,-0.33
107,2021-12-02,2.147,-0.28
108,2021-12-01,2.153,-0.74
109,2021-11-30,2.169,0.79
110,2021-11-29,2.152,2.04
111,2021-11-27,2.109,-0.66
112,2021-11-26,2.123,-0.89
113,2021-11-25,2.142,-1.34
114,2021-11-24,2.171,-0.23
115,2021-11-23,2.176,-0.64
116,2021-11-22,2.190,0.32
117,2021-11-19,2.183,-0.55
118,2021-11-18,2.195,0.41
119,2021-11-17,2.186,0.18
120,2021-11-16,2.182,-0.46
121,2021-11-15,2.192,0.60
122,2021-11-13,2.179,-0.73
123,2021-11-12,2.195,-1.22
124,2021-11-11,2.222,1.32
125,2021-11-10,2.193,0.23
126,2021-11-09,2.188,-0.23
127,2021-11-08,2.193,0.50
128,2021-11-05,2.182,-1.00
129,2021-11-04,2.204,-1.17
130,2021-11-03,2.230,0.41
131,2021-11-02,2.221,-1.07
132,2021-11-01,2.245,0.36
