,date,interest,change
0,2022-05-09,6.036,2.38
1,2022-05-06,5.896,2.13
2,2022-05-05,5.773,8.02
3,2022-05-04,5.344,-1.87
4,2022-05-03,5.446,1.04
5,2022-05-02,5.390,0.17
6,2022-04-29,5.381,-2.73
7,2022-04-28,5.532,2.22
8,2022-04-27,5.412,0.59
9,2022-04-26,5.380,-1.50
10,2022-04-25,5.462,0.31
11,2022-04-22,5.445,0.04
12,2022-04-21,5.443,0.09
13,2022-04-20,5.438,-0.24
14,2022-04-19,5.451,4.03
15,2022-04-14,5.240,-2.07
16,2022-04-13,5.351,-5.01
17,2022-04-12,5.633,-1.78
18,2022-04-11,5.735,4.50
19,2022-04-08,5.488,5.11
20,2022-04-07,5.221,0.93
21,2022-04-06,5.173,1.02
22,2022-04-05,5.121,2.34
23,2022-04-04,5.004,2.08
24,2022-04-01,4.902,0.62
25,2022-03-31,4.872,0.64
26,2022-03-30,4.841,-1.02
27,2022-03-29,4.891,-0.71
28,2022-03-28,4.926,-1.97
29,2022-03-25,5.025,3.54
30,2022-03-24,4.853,0.94
31,2022-03-23,4.808,5.23
32,2022-03-22,4.569,-12.19
33,2022-03-21,5.203,12.94
34,2022-03-18,4.607,-4.79
35,2022-03-17,4.839,0.48
36,2022-03-16,4.816,-3.06
37,2022-03-15,4.968,1.33
38,2022-03-14,4.903,7.05
39,2022-03-11,4.580,-11.24
40,2022-03-10,5.160,4.22
41,2022-03-09,4.951,4.89
42,2022-03-08,4.720,3.19
43,2022-03-07,4.574,-6.44
44,2022-03-04,4.889,-1.67
45,2022-03-03,4.972,11.86
46,2022-03-02,4.445,-2.91
47,2022-03-01,4.578,6.10
48,2022-02-28,4.315,-6.15
49,2022-02-25,4.598,-4.94
50,2022-02-24,4.837,8.57
51,2022-02-23,4.455,-7.30
52,2022-02-22,4.806,3.18
53,2022-02-21,4.658,-0.09
54,2022-02-18,4.662,-0.81
55,2022-02-17,4.700,12.87
56,2022-02-16,4.164,-1.09
57,2022-02-15,4.210,0.57
58,2022-02-14,4.186,-0.07
59,2022-02-11,4.189,-0.05
60,2022-02-10,4.191,-5.61
61,2022-02-09,4.440,5.69
62,2022-02-08,4.201,5.03
63,2022-02-07,4.000,-0.10
64,2022-02-04,4.004,-0.92
65,2022-02-03,4.041,-12.32
66,2022-02-02,4.609,-1.54
67,2022-02-01,4.681,0.47
68,2022-01-31,4.659,-0.53
69,2022-01-28,4.684,1.45
70,2022-01-27,4.617,8.35
71,2022-01-26,4.261,-0.07
72,2022-01-25,4.264,-1.71
73,2022-01-24,4.338,2.99
74,2022-01-21,4.212,0.91
75,2022-01-20,4.174,-2.02
76,2022-01-19,4.260,-0.05
77,2022-01-18,4.262,2.30
78,2022-01-17,4.166,3.79
79,2022-01-14,4.014,-6.93
80,2022-01-13,4.313,5.94
81,2022-01-12,4.071,-2.02
82,2022-01-11,4.155,6.95
83,2022-01-10,3.885,-3.91
84,2022-01-07,4.043,7.61
85,2022-01-06,3.757,-0.71
86,2022-01-05,3.784,0.29
87,2022-01-04,3.773,2.56
88,2022-01-03,3.679,-6.39
89,2021-12-30,3.930,0.59
90,2021-12-29,3.907,1.77
91,2021-12-28,3.839,6.11
92,2021-12-27,3.618,0.39
93,2021-12-23,3.604,-1.10
94,2021-12-22,3.644,7.11
95,2021-12-21,3.402,-1.76
96,2021-12-20,3.463,8.52
97,2021-12-17,3.191,3.37
98,2021-12-16,3.087,-0.23
99,2021-12-15,3.094,3.48
100,2021-12-14,2.990,5.99
101,2021-12-13,2.821,2.66
102,2021-12-10,2.748,2.73
103,2021-12-09,2.675,-0.93
104,2021-12-08,2.700,-4.09
105,2021-12-07,2.815,-0.98
106,2021-12-06,2.843,-0.21
107,2021-12-03,2.849,-0.25
108,2021-12-02,2.856,2.29
109,2021-12-01,2.792,1.38
110,2021-11-30,2.754,3.57
111,2021-11-29,2.659,-3.80
112,2021-11-26,2.764,-0.83
113,2021-11-25,2.787,-2.38
114,2021-11-24,2.855,2.85
115,2021-11-23,2.776,-1.14
116,2021-11-22,2.808,-2.36
117,2021-11-19,2.876,-2.34
118,2021-11-18,2.945,3.88
119,2021-11-17,2.835,-1.87
120,2021-11-16,2.889,-3.99
121,2021-11-15,3.009,6.63
122,2021-11-12,2.822,-2.72
123,2021-11-11,2.901,-0.21
124,2021-11-10,2.907,-4.53
125,2021-11-09,3.045,5.58
126,2021-11-08,2.884,-0.17
127,2021-11-05,2.889,2.74
128,2021-11-04,2.812,8.32
129,2021-11-03,2.596,2.00
130,2021-11-02,2.545,-0.70
