,date,interest,change
0,2022-05-09,-0.209,0.00
1,2022-05-06,-0.209,-18.64
2,2022-05-05,-0.257,0.00
3,2022-05-04,-0.258,17.27
4,2022-05-03,-0.220,-0.90
5,2022-05-02,-0.222,0.91
6,2022-04-29,-0.220,-33.53
7,2022-04-28,-0.331,12.91
8,2022-04-27,-0.293,-8.39
9,2022-04-26,-0.320,-5.88
10,2022-04-25,-0.340,6.25
11,2022-04-22,-0.320,0.00
12,2022-04-21,-0.320,-5.88
13,2022-04-20,-0.340,0.00
14,2022-04-19,-0.340,3.03
15,2022-04-14,-0.330,0.00
16,2022-04-13,-0.330,10.00
17,2022-04-12,-0.300,-22.08
18,2022-04-11,-0.385,-12.50
19,2022-04-08,-0.440,-1.12
20,2022-04-07,-0.445,4.71
21,2022-04-06,-0.425,0.00
22,2022-04-05,-0.425,-2.30
23,2022-04-04,-0.435,4.82
24,2022-04-01,-0.415,-4.60
25,2022-03-31,-0.435,8.75
26,2022-03-30,-0.400,-5.88
27,2022-03-29,-0.425,-12.37
28,2022-03-28,-0.485,-11.01
29,2022-03-25,-0.545,0.00
30,2022-03-24,-0.545,0.00
31,2022-03-23,-0.545,-7.63
32,2022-03-22,-0.590,-3.59
33,2022-03-21,-0.612,0.33
34,2022-03-18,-0.610,-2.40
35,2022-03-17,-0.625,-3.10
36,2022-03-16,-0.645,0.00
37,2022-03-15,-0.645,-3.01
38,2022-03-14,-0.665,4.72
39,2022-03-11,-0.635,0.00
40,2022-03-10,-0.635,-7.30
41,2022-03-09,-0.685,0.00
42,2022-03-08,-0.685,0.00
43,2022-03-07,-0.685,-2.84
44,2022-03-04,-0.705,6.02
45,2022-03-03,-0.665,0.00
46,2022-03-02,-0.665,-0.75
47,2022-03-01,-0.670,4.69
48,2022-02-28,-0.640,0.00
0,2022-02-25,-0.640,0.00
1,2022-02-24,-0.640,4.92
2,2022-02-23,-0.610,-2.40
3,2022-02-22,-0.625,-3.10
4,2022-02-21,-0.645,-1.07
5,2022-02-18,-0.652,-0.15
6,2022-02-17,-0.653,0.31
7,2022-02-16,-0.651,0.46
8,2022-02-15,-0.648,1.89
9,2022-02-14,-0.636,5.12
10,2022-02-11,-0.605,-0.98
11,2022-02-10,-0.611,-1.77
12,2022-02-09,-0.622,4.36
13,2022-02-08,-0.596,2.76
14,2022-02-07,-0.580,0.52
15,2022-02-04,-0.577,-11.09
16,2022-02-03,-0.649,-4.42
17,2022-02-02,-0.679,2.41
18,2022-02-01,-0.663,0.12
19,2022-01-31,-0.662,-0.86
20,2022-01-28,-0.668,0.00
21,2022-01-27,-0.668,0.00
22,2022-01-26,-0.668,0.75
23,2022-01-25,-0.663,0.45
24,2022-01-24,-0.660,0.76
25,2022-01-21,-0.655,0.00
26,2022-01-20,-0.655,0.77
