,date,interest,change
0,2022-05-09,6.463,0.95
1,2022-05-06,6.402,0.49
2,2022-05-05,6.371,-0.30
3,2022-05-04,6.390,-1.85
4,2022-05-03,6.510,0.31
5,2022-05-02,6.490,2.57
6,2022-04-29,6.327,-2.35
7,2022-04-28,6.480,2.21
8,2022-04-27,6.340,0.00
9,2022-04-26,6.340,-0.63
10,2022-04-25,6.380,2.51
11,2022-04-22,6.224,-3.95
12,2022-04-21,6.480,2.86
13,2022-04-20,6.300,-0.32
14,2022-04-19,6.320,-0.16
15,2022-04-14,6.330,1.44
16,2022-04-13,6.240,-0.16
17,2022-04-12,6.250,0.00
18,2022-04-11,6.250,0.00
19,2022-04-08,6.250,0.00
20,2022-04-07,6.250,0.00
21,2022-04-06,6.250,1.63
22,2022-04-05,6.150,0.00
23,2022-04-04,6.150,0.33
24,2022-04-01,6.130,-0.16
25,2022-03-31,6.140,0.33
26,2022-03-30,6.120,1.32
27,2022-03-29,6.040,-0.33
28,2022-03-28,6.060,-0.33
29,2022-03-25,6.080,-0.16
30,2022-03-24,6.090,-0.16
31,2022-03-23,6.100,0.00
32,2022-03-22,6.100,4.27
33,2022-03-21,5.850,0.00
34,2022-03-18,5.850,-0.34
35,2022-03-17,5.870,1.56
36,2022-03-11,5.780,0.70
37,2022-03-10,5.740,-1.03
38,2022-03-09,5.800,-2.52
39,2022-03-08,5.950,-1.98
40,2022-03-07,6.070,11.99
41,2022-03-04,5.420,-0.91
42,2022-03-03,5.470,1.11
43,2022-03-02,5.410,4.04
44,2022-03-01,5.200,1.36
45,2022-02-28,5.130,1.99
46,2022-02-25,5.030,1.41
47,2022-02-24,4.960,4.42
48,2022-02-23,4.750,1.06
49,2022-02-22,4.700,0.00
50,2022-02-21,4.700,0.00
51,2022-02-18,4.700,0.00
52,2022-02-17,4.700,1.51
53,2022-02-16,4.630,0.00
54,2022-02-15,4.630,0.87
55,2022-02-14,4.590,0.66
56,2022-02-11,4.560,0.22
57,2022-02-10,4.550,0.00
58,2022-02-09,4.550,-1.52
59,2022-02-08,4.620,-0.22
60,2022-02-07,4.630,0.00
61,2022-02-04,4.630,0.00
62,2022-02-03,4.630,5.47
63,2022-02-02,4.390,1.39
64,2022-02-01,4.330,0.23
65,2022-01-31,4.320,0.00
66,2022-01-28,4.320,0.00
67,2022-01-27,4.320,2.13
68,2022-01-26,4.230,3.17
69,2022-01-25,4.100,0.00
70,2022-01-24,4.100,0.00
71,2022-01-21,4.100,-1.20
72,2022-01-20,4.150,0.00
73,2022-01-19,4.150,3.75
74,2022-01-18,4.000,0.50
75,2022-01-17,3.980,0.76
76,2022-01-14,3.950,0.00
77,2022-01-13,3.950,0.51
78,2022-01-12,3.930,-2.72
79,2022-01-11,4.040,-0.74
80,2022-01-10,4.070,-0.73
81,2022-01-07,4.100,-1.20
82,2022-01-06,4.150,3.75
83,2022-01-05,4.000,0.00
84,2022-01-04,4.000,9.59
85,2022-01-03,3.650,0.00
86,2021-12-30,3.650,14.78
87,2021-12-29,3.180,5.30
88,2021-12-28,3.020,1.68
89,2021-12-27,2.970,4.95
90,2021-12-23,2.830,0.71
91,2021-12-22,2.810,-0.71
92,2021-12-21,2.830,-0.70
93,2021-12-20,2.850,-5.32
94,2021-12-17,3.010,-0.66
95,2021-12-16,3.030,-1.94
96,2021-12-15,3.090,3.69
97,2021-12-14,2.980,-0.67
98,2021-12-13,3.000,0.00
99,2021-12-10,3.000,-1.32
100,2021-12-09,3.040,-0.65
101,2021-12-08,3.060,0.33
102,2021-12-07,3.050,-0.65
103,2021-12-03,3.070,0.00
104,2021-12-02,3.070,0.66
105,2021-12-01,3.050,0.33
106,2021-11-30,3.040,0.00
107,2021-11-29,3.040,0.00
108,2021-11-26,3.040,-0.98
109,2021-11-25,3.070,1.66
110,2021-11-24,3.020,-0.33
111,2021-11-23,3.030,2.36
112,2021-11-22,2.960,3.86
113,2021-11-19,2.850,0.35
114,2021-11-18,2.840,2.53
115,2021-11-17,2.770,-0.72
116,2021-11-16,2.790,0.00
117,2021-11-15,2.790,6.08
118,2021-11-12,2.630,-0.38
119,2021-11-11,2.640,32.00
120,2021-11-10,2.000,8.11
121,2021-11-09,1.850,2.21
122,2021-11-08,1.810,0.00
123,2021-11-05,1.810,2.26
124,2021-11-04,1.770,0.00
125,2021-11-03,1.770,0.00
126,2021-11-02,1.770,0.00
127,2021-10-29,1.770,0.00
128,2021-10-28,1.770,9.94
129,2021-10-27,1.610,0.00
130,2021-10-26,1.610,0.00
131,2021-10-25,1.610,0.00
132,2021-10-22,1.610,0.00
133,2021-10-21,1.610,0.00
134,2021-10-20,1.610,0.62
135,2021-10-19,1.600,1.91
136,2021-10-18,1.570,-0.63
137,2021-10-15,1.580,0.64
138,2021-10-14,1.570,-0.63
139,2021-10-13,1.580,0.00
140,2021-10-12,1.580,0.64
141,2021-10-11,1.570,0.00
142,2021-10-08,1.570,0.64
143,2021-10-07,1.560,-4.88
144,2021-10-06,1.640,0.00
145,2021-10-05,1.640,-0.61
146,2021-10-04,1.650,3.77
147,2021-10-01,1.590,0.63
148,2021-09-30,1.580,-0.63
149,2021-09-29,1.590,0.00
150,2021-09-28,1.590,1.27
151,2021-09-27,1.570,0.00
152,2021-09-24,1.570,0.00
153,2021-09-23,1.570,0.64
154,2021-09-22,1.560,-0.64
155,2021-09-21,1.570,0.00
156,2021-09-20,1.570,0.00
157,2021-09-17,1.570,0.64
