,date,interest,change
0,2022-05-09,5.470,-0.31
1,2022-05-06,5.487,4.00
2,2022-05-05,5.276,-0.53
3,2022-05-04,5.304,5.22
4,2022-05-02,5.041,4.72
5,2022-04-29,4.814,3.77
6,2022-04-28,4.639,-8.28
7,2022-04-27,5.058,-0.30
8,2022-04-26,5.073,5.05
9,2022-04-25,4.829,4.82
10,2022-04-22,4.607,-9.97
11,2022-04-21,5.117,0.27
12,2022-04-20,5.103,0.45
13,2022-04-19,5.080,0.65
14,2022-04-18,5.047,1.22
15,2022-04-13,4.986,1.94
16,2022-04-12,4.891,0.82
17,2022-04-11,4.851,-0.10
18,2022-04-08,4.856,3.54
19,2022-04-07,4.690,0.09
20,2022-04-06,4.686,-0.32
21,2022-04-05,4.701,-0.32
22,2022-04-04,4.716,9.14
23,2022-03-31,4.321,-3.05
24,2022-03-30,4.457,1.30
25,2022-03-29,4.400,-1.76
26,2022-03-28,4.479,0.11
27,2022-03-25,4.474,-0.58
28,2022-03-24,4.500,-0.79
29,2022-03-23,4.536,-0.79
30,2022-03-22,4.572,5.47
31,2022-03-21,4.335,-2.93
32,2022-03-17,4.466,-0.76
33,2022-03-16,4.500,-0.46
34,2022-03-15,4.521,-0.20
35,2022-03-14,4.530,-0.74
36,2022-03-11,4.564,-0.24
37,2022-03-10,4.575,-1.29
38,2022-03-09,4.635,0.67
39,2022-03-08,4.604,0.96
40,2022-03-07,4.560,-1.00
41,2022-03-04,4.606,0.07
42,2022-03-03,4.603,1.79
43,2022-03-02,4.522,3.31
44,2022-02-28,4.377,-0.48
45,2022-02-25,4.398,0.02
46,2022-02-24,4.397,-2.38
47,2022-02-23,4.504,0.11
48,2022-02-22,4.499,2.90
49,2022-02-21,4.372,-0.18
50,2022-02-18,4.380,-0.82
51,2022-02-17,4.416,1.47
52,2022-02-16,4.352,-1.81
53,2022-02-15,4.432,-0.18
54,2022-02-14,4.440,0.91
55,2022-02-11,4.400,0.82
56,2022-02-10,4.364,-5.52
57,2022-02-09,4.619,1.38
58,2022-02-08,4.556,-0.31
59,2022-02-04,4.570,1.58
60,2022-02-03,4.499,-0.66
61,2022-02-02,4.529,0.35
62,2022-02-01,4.513,0.60
63,2022-01-31,4.486,0.61
64,2022-01-28,4.459,2.01
65,2022-01-27,4.371,0.09
66,2022-01-25,4.367,-1.36
67,2022-01-24,4.427,1.89
