,date,interest,change
0,2022-05-09,4.450,4.25
1,2022-04-28,4.268,-4.07
2,2022-04-27,4.449,4.36
3,2022-04-26,4.263,0.76
4,2022-04-25,4.231,3.04
5,2022-04-22,4.106,0.24
6,2022-04-21,4.096,0.84
7,2022-04-20,4.062,2.39
8,2022-04-19,3.967,1.20
9,2022-04-18,3.920,-0.86
10,2022-04-14,3.954,2.49
11,2022-04-13,3.858,-0.49
12,2022-04-12,3.877,1.84
13,2022-04-11,3.807,2.39
14,2022-04-08,3.718,0.79
15,2022-04-07,3.689,0.03
16,2022-04-06,3.688,0.14
17,2022-04-05,3.683,0.79
18,2022-04-04,3.654,2.32
19,2022-04-01,3.571,-0.50
20,2022-03-31,3.589,-0.42
21,2022-03-30,3.604,1.49
22,2022-03-29,3.551,0.91
23,2022-03-28,3.519,-1.04
24,2022-03-25,3.556,1.46
25,2022-03-24,3.505,-3.26
26,2022-03-23,3.623,4.59
27,2022-03-22,3.464,0.49
28,2022-03-21,3.447,0.26
29,2022-03-18,3.438,0.38
30,2022-03-17,3.425,-1.50
31,2022-03-16,3.477,1.25
32,2022-03-15,3.434,-0.41
33,2022-03-14,3.448,0.41
34,2022-03-11,3.434,-2.42
35,2022-03-10,3.519,1.68
36,2022-03-09,3.461,1.85
37,2022-03-08,3.398,0.77
38,2022-03-07,3.372,0.54
39,2022-03-04,3.354,-0.03
40,2022-03-02,3.355,-2.02
41,2022-03-01,3.424,1.06
42,2022-02-25,3.388,1.07
43,2022-02-24,3.352,-0.77
44,2022-02-23,3.378,0.36
45,2022-02-22,3.366,-1.23
46,2022-02-21,3.408,-0.20
47,2022-02-18,3.415,-1.41
48,2022-02-17,3.464,0.61
49,2022-02-16,3.443,1.12
50,2022-02-15,3.405,0.24
51,2022-02-14,3.397,0.32
52,2022-02-11,3.386,-1.40
53,2022-02-10,3.434,0.41
54,2022-02-09,3.420,-0.26
55,2022-02-08,3.429,-0.87
56,2022-02-07,3.459,0.23
57,2022-02-04,3.451,-0.92
58,2022-02-03,3.483,0.14
59,2022-02-02,3.478,0.38
60,2022-01-31,3.465,-0.72
61,2022-01-28,3.490,-0.96
62,2022-01-27,3.524,-0.34
