,date,interest,change
0,2022-05-09,0.952,-5.88
1,2022-05-08,1.012,16.94
2,2022-05-03,0.865,1.53
3,2022-05-02,0.852,4.41
4,2022-05-01,0.816,-4.28
5,2022-04-28,0.853,2.96
6,2022-04-27,0.828,-1.72
7,2022-04-26,0.842,0.36
8,2022-04-25,0.840,0.24
9,2022-04-24,0.837,2.51
10,2022-04-20,0.817,0.31
11,2022-04-19,0.814,2.91
12,2022-04-18,0.791,-3.53
13,2022-04-17,0.821,-0.97
14,2022-04-14,0.828,-1.07
15,2022-04-13,0.837,-1.53
16,2022-04-12,0.850,1.49
17,2022-04-11,0.838,0.30
18,2022-04-10,0.836,5.49
19,2022-04-07,0.792,0.89
20,2022-04-06,0.785,17.51
21,2022-04-05,0.668,5.70
22,2022-04-04,0.632,-17.87
23,2022-04-03,0.770,19.21
24,2022-03-31,0.646,5.47
25,2022-03-30,0.612,2.17
26,2022-03-29,0.599,2.13
27,2022-03-28,0.586,8.41
28,2022-03-27,0.541,4.44
29,2022-03-24,0.518,7.69
30,2022-03-23,0.481,3.78
31,2022-03-22,0.463,0.22
32,2022-03-21,0.463,6.57
33,2022-03-20,0.434,2.36
34,2022-03-16,0.424,8.30
35,2022-03-15,0.391,-9.48
36,2022-03-14,0.433,-6.39
37,2022-03-13,0.462,12.96
38,2022-03-10,0.409,-7.36
39,2022-03-09,0.442,-6.26
40,2022-03-08,0.471,-8.72
41,2022-03-07,0.516,15.18
42,2022-03-06,0.448,-7.15
43,2022-03-03,0.482,-4.27
44,2022-03-02,0.504,7.12
45,2022-03-01,0.470,-6.18
46,2022-02-28,0.502,8.43
47,2022-02-27,0.463,5.23
48,2022-02-24,0.440,32.98
49,2022-02-23,0.331,19.31
50,2022-02-22,0.277,32.85
51,2022-02-21,0.208,5.57
52,2022-02-20,0.198,12.22
53,2022-02-17,0.176,10.69
54,2022-02-16,0.159,29.27
55,2022-02-15,0.123,4.68
56,2022-02-14,0.117,15.20
57,2022-02-13,0.102,34.21
58,2022-02-10,0.076,0.66
59,2022-02-09,0.075,-5.63
60,2022-02-08,0.080,0.00
61,2022-02-07,0.080,14.29
62,2022-02-06,0.070,-12.50
63,2022-02-03,0.080,25.00
64,2022-02-02,0.064,68.42
65,2022-02-01,0.038,-29.63
66,2022-01-31,0.054,25.58
67,2022-01-30,0.043,-27.73
68,2022-01-27,0.060,-25.62
69,2022-01-26,0.080,15.94
70,2022-01-25,0.069,-13.21
71,2022-01-24,0.079,50.00
72,2022-01-23,0.053,11.58
73,2022-01-20,0.047,-17.39
74,2022-01-19,0.058,121.15
75,2022-01-18,0.026,0.00
76,2022-01-17,0.026,67.74
77,2022-01-16,0.015,0.00
78,2022-01-13,0.015,55.00
79,2022-01-12,0.010,-35.48
80,2022-01-11,0.015,3.33
81,2022-01-10,0.015,50.00
82,2022-01-09,0.010,-9.09
83,2022-01-05,0.011,-50.00
84,2022-01-04,0.022,109.52
85,2022-01-03,0.010,90.91
86,2022-01-02,0.005,-50.00
87,2021-12-30,0.011,-47.62
88,2021-12-29,0.021,-34.38
89,2021-12-28,0.032,204.76
90,2021-12-27,0.010,0.00
91,2021-12-26,0.010,-67.19
92,2021-12-23,0.032,220.00
93,2021-12-22,0.010,-52.38
94,2021-12-21,0.021,281.82
95,2021-12-20,0.005,-47.62
96,2021-12-19,0.010,90.91
97,2021-12-16,0.005,-126.19
98,2021-12-15,-0.021,27.27
99,2021-12-07,-0.016,-57.14
100,2021-12-06,-0.038,-22.22
101,2021-12-05,-0.049,50.00
102,2021-12-02,-0.033,-39.45
103,2021-12-01,-0.054,11.22
104,2021-11-30,-0.049,127.91
105,2021-11-29,-0.022,-295.45
106,2021-11-25,0.011,-129.33
107,2021-11-24,-0.038,-440.91
108,2021-11-23,0.011,0.00
109,2021-11-22,0.011,-48.84
110,2021-11-21,0.022,95.45
111,2021-11-18,0.011,-65.08
112,2021-11-17,0.032,53.66
113,2021-11-16,0.021,-33.87
114,2021-11-15,0.031,-52.31
115,2021-11-03,0.065,100.00
116,2021-11-02,0.032,195.45
117,2021-11-01,0.011,0.00
118,2021-10-31,0.011,120.00
119,2021-10-28,0.005,-54.55
120,2021-10-27,0.011,0.00
121,2021-10-26,0.011,0.00
122,2021-10-25,0.011,-73.81
123,2021-10-24,0.042,663.64
124,2021-10-21,0.005,-45.00
125,2021-10-20,0.010,0.00
126,2021-10-19,0.010,0.00
127,2021-10-18,0.010,-51.22
128,2021-10-17,0.021,105.00
129,2021-10-14,0.010,0.00
130,2021-10-13,0.010,-33.33
131,2021-10-12,0.015,0.00
132,2021-10-11,0.015,0.00
133,2021-10-10,0.015,0.00
134,2021-10-07,0.015,-45.45
135,2021-10-05,0.027,66.67
136,2021-10-04,0.016,-61.63
137,2021-10-03,0.043,290.91
138,2021-09-30,0.011,-59.26
139,2021-09-29,0.027,145.45
140,2021-09-26,0.011,-47.62
141,2021-09-23,0.021,281.82
142,2021-09-22,0.005,-73.81
143,2021-09-19,0.021,110.00
144,2021-09-14,0.010,0.00
145,2021-09-13,0.010,-300.00
146,2021-09-12,-0.005,-9.09
147,2021-09-02,-0.005,0.00
148,2021-09-01,-0.005,-80.00
149,2021-08-31,-0.027,-266.67
150,2021-08-30,0.016,230.00
151,2021-08-29,0.005,-147.62
152,2021-08-26,-0.010,-195.45
153,2021-08-25,0.011,0.00
154,2021-08-24,0.011,0.00
155,2021-08-23,0.011,-47.62
156,2021-08-22,0.021,-520.00
157,2021-08-19,-0.005,-150.00
158,2021-08-18,0.010,0.00
159,2021-08-17,0.010,0.00
160,2021-08-16,0.010,81.82
161,2021-08-15,0.005,-45.00
162,2021-08-12,0.010,-4.76
163,2021-08-11,0.010,90.91
164,2021-08-10,0.005,10.00
165,2021-08-05,0.005,-50.00
166,2021-08-04,0.010,-133.90
167,2021-08-03,-0.030,-225.53
168,2021-08-02,0.023,95.83
169,2021-07-29,0.012,4.35
170,2021-07-28,0.012,-4.17
171,2021-07-27,0.012,0.00
172,2021-07-26,0.012,-47.83
173,2021-07-25,0.023,318.18
174,2021-07-22,0.005,-83.82
175,2021-07-21,0.034,209.09
176,2021-07-20,0.011,0.00
177,2021-07-19,0.011,-4.35
178,2021-07-15,0.012,4.55
179,2021-07-14,0.011,-33.33
180,2021-07-12,0.016,0.00
181,2021-07-11,0.016,200.00
182,2021-07-08,0.005,-50.00
183,2021-07-07,0.011,100.00
184,2021-07-06,0.005,-83.08
185,2021-07-05,0.032,-14.47
186,2021-07-04,0.038,40.74
187,2021-07-01,0.027,68.75
188,2021-06-30,0.016,0.00
189,2021-06-29,0.016,0.00
190,2021-06-28,0.016,0.00
191,2021-06-27,0.016,-39.62
192,2021-06-24,0.026,0.00
193,2021-06-23,0.026,26.83
194,2021-06-22,0.021,32.26
195,2021-06-21,0.015,0.00
196,2021-06-20,0.015,0.00
197,2021-06-17,0.015,-40.38
198,2021-06-16,0.026,0.00
199,2021-06-15,0.026,26.83
200,2021-06-14,0.021,-32.79
201,2021-06-13,0.031,22.00
202,2021-06-10,0.025,0.00
203,2021-06-09,0.025,13.64
204,2021-06-01,0.022,100.00
205,2021-05-31,0.011,-33.33
206,2021-05-30,0.016,-56.00
207,2021-05-27,0.038,74.42
208,2021-05-26,0.022,-20.37
209,2021-05-25,0.027,68.75
210,2021-05-24,0.016,-39.62
211,2021-05-23,0.026,65.62
212,2021-05-20,0.016,-56.16
213,2021-05-19,0.036,40.38
214,2021-05-18,0.026,-27.78
215,2021-05-13,0.036,0.00
216,2021-05-12,0.036,16.13
217,2021-05-11,0.031,21.57
218,2021-05-10,0.025,-29.17
219,2021-05-09,0.036,18.03
220,2021-05-06,0.031,38.64
221,2021-05-05,0.022,33.33
222,2021-05-04,0.016,-65.98
223,2021-05-03,0.049,79.63
224,2021-05-02,0.027,-16.92
225,2021-04-29,0.032,22.64
226,2021-04-28,0.026,65.62
227,2021-04-27,0.016,-25.58
228,2021-04-26,0.022,-31.75
229,2021-04-25,0.032,18.87
230,2021-04-22,0.026,70.97
231,2021-04-21,0.015,0.00
232,2021-04-20,0.015,0.00
233,2021-04-19,0.015,-26.19
234,2021-04-18,0.021,110.00
235,2021-04-13,0.010,-50.00
236,2021-04-12,0.020,-2.44
237,2021-04-11,0.021,36.67
238,2021-04-08,0.015,36.36
239,2021-04-07,0.011,-50.00
240,2021-04-06,0.022,100.00
241,2021-04-05,0.011,-166.67
242,2021-04-04,-0.016,200.00
243,2021-04-01,-0.005,-80.00
244,2021-03-31,-0.027,400.00
245,2021-03-30,-0.005,-65.63
246,2021-03-29,-0.016,52.38
247,2021-03-25,-0.010,110.00
248,2021-03-24,-0.005,-52.38
249,2021-03-22,-0.010,0.00
250,2021-03-21,-0.010,-71.62
251,2021-03-18,-0.037,138.71
252,2021-03-17,-0.015,-24.39
253,2021-03-16,-0.021,0.00
254,2021-03-15,-0.021,0.00
255,2021-03-14,-0.021,-21.15
256,2021-03-11,-0.026,-16.13
257,2021-03-10,-0.031,0.00
258,2021-03-09,-0.031,-49.59
259,2021-03-08,-0.060,57.14
260,2021-03-04,-0.038,16.67
261,2021-03-03,-0.033,100.00
262,2021-03-02,-0.016,-175.00
263,2021-03-01,0.022,-500.00
264,2021-02-28,-0.005,-150.00
265,2021-02-25,0.011,-320.00
266,2021-02-24,-0.005,-68.75
267,2021-02-23,-0.016,-420.00
268,2021-02-22,0.005,-200.00
269,2021-02-21,-0.005,-67.74
270,2021-02-18,-0.015,-24.39
271,2021-02-17,-0.021,32.26
272,2021-02-16,-0.015,0.00
273,2021-02-15,-0.015,0.00
274,2021-02-14,-0.015,-40.38
275,2021-02-11,-0.026,67.74
276,2021-02-10,-0.015,3.33
277,2021-02-09,-0.015,-145.45
278,2021-02-07,0.033,-700.00
279,2021-02-04,-0.005,-150.00
280,2021-02-03,0.011,-151.16
281,2021-02-02,-0.022,-43.42
282,2021-02-01,-0.038,261.90
283,2021-01-31,-0.010,-195.45
284,2021-01-28,0.011,-204.76
285,2021-01-27,-0.010,-195.45
286,2021-01-26,0.011,-168.75
287,2021-01-25,-0.016,52.38
288,2021-01-24,-0.010,-50.00
289,2021-01-21,-0.021,35.48
290,2021-01-20,-0.015,-40.38
291,2021-01-19,-0.026,147.62
292,2021-01-18,-0.010,90.91
293,2021-01-17,-0.005,-155.00
294,2021-01-14,0.010,0.00
295,2021-01-13,0.010,-166.67
296,2021-01-12,-0.015,-250.00
297,2021-01-11,0.010,100.00
298,2021-01-10,0.005,-9.09
299,2021-01-06,0.005,-50.00
300,2021-01-05,0.011,-59.26
301,2021-01-04,0.027,-15.63
302,2021-01-03,0.032,18.52
303,2020-12-31,0.027,1.89
304,2020-12-30,0.026,0.00
305,2020-12-29,0.026,23.26
306,2020-12-28,0.022,-18.87
307,2020-12-27,0.026,-15.87
308,2020-12-24,0.032,-32.98
309,2020-12-23,0.047,51.61
310,2020-12-22,0.031,-1.59
311,2020-12-21,0.032,-13.70
312,2020-12-20,0.036,0.00
313,2020-12-17,0.036,-20.65
314,2020-12-16,0.046,27.78
315,2020-12-15,0.036,-12.20
316,2020-12-14,0.041,34.43
317,2020-12-13,0.031,0.00
318,2020-12-10,0.031,22.00
319,2020-12-09,0.025,-28.57
320,2020-12-08,0.035,16.67
321,2020-12-07,0.030,-25.00
322,2020-12-06,0.040,166.67
323,2020-12-03,0.015,36.36
324,2020-12-01,0.011,-71.05
325,2020-11-30,0.038,40.74
326,2020-11-29,0.027,-44.33
327,2020-11-26,0.049,51.56
328,2020-11-25,0.032,18.52
329,2020-11-24,0.027,0.00
330,2020-11-23,0.027,-15.63
331,2020-11-22,0.032,-39.62
332,2020-11-19,0.053,103.85
333,2020-11-18,0.026,-50.00
334,2020-11-17,0.052,0.00
335,2020-11-16,0.052,153.66
336,2020-11-15,0.021,-19.61
337,2020-11-12,0.025,0.00
338,2020-11-11,0.025,-37.80
339,2020-11-10,0.041,173.33
340,2020-11-09,0.015,-26.83
341,2020-11-08,0.021,-18.00
342,2020-11-05,0.025,-23.08
343,2020-11-03,0.032,0.00
