,date,interest,change
0,2022-05-09,-0.079,13.67
1,2022-05-08,-0.069,-17.75
2,2022-05-06,-0.084,16.55
3,2022-05-05,-0.072,-19.44
4,2022-05-02,-0.090,11.11
5,2022-05-01,-0.081,-8.99
6,2022-04-28,-0.089,9.88
7,2022-04-27,-0.081,2.53
8,2022-04-26,-0.079,-3.07
9,2022-04-25,-0.082,2.52
10,2022-04-24,-0.079,-1.24
11,2022-04-22,-0.080,0.00
12,2022-04-21,-0.080,3.21
13,2022-04-20,-0.078,9.09
14,2022-04-19,-0.072,-13.86
15,2022-04-18,-0.083,-2.35
16,2022-04-17,-0.085,-2.30
17,2022-04-15,-0.087,2.35
18,2022-04-14,-0.085,-7.10
19,2022-04-13,-0.091,-14.49
20,2022-04-12,-0.107,2.39
21,2022-04-11,-0.105,10.00
22,2022-04-10,-0.095,-13.64
23,2022-04-08,-0.110,31.74
24,2022-04-07,-0.083,9.87
25,2022-04-06,-0.076,2.01
26,2022-04-05,-0.075,-4.49
27,2022-04-04,-0.078,8.33
28,2022-04-03,-0.072,-11.66
29,2022-04-01,-0.082,9.40
30,2022-03-31,-0.075,8.76
31,2022-03-30,-0.068,3.79
32,2022-03-29,-0.066,16.81
33,2022-03-28,-0.056,-7.38
34,2022-03-27,-0.061,-18.67
35,2022-03-25,-0.075,13.64
36,2022-03-24,-0.066,-2.22
37,2022-03-23,-0.068,14.41
38,2022-03-22,-0.059,-6.35
39,2022-03-21,-0.063,-16.00
40,2022-03-18,-0.075,9.49
41,2022-03-17,-0.068,1.48
42,2022-03-16,-0.068,-24.16
43,2022-03-15,-0.089,24.48
44,2022-03-14,-0.072,-8.33
45,2022-03-13,-0.078,5.41
46,2022-03-11,-0.074,-6.33
47,2022-03-10,-0.079,0.00
48,2022-03-09,-0.079,-2.47
49,2022-03-08,-0.081,-1.22
50,2022-03-07,-0.082,-7.87
51,2022-03-06,-0.089,-6.32
52,2022-03-04,-0.095,23.38
53,2022-03-03,-0.077,4.05
54,2022-03-02,-0.074,-0.67
55,2022-03-01,-0.075,7.19
56,2022-02-28,-0.069,0.00
57,2022-02-27,-0.069,-12.58
58,2022-02-25,-0.079,18.66
59,2022-02-24,-0.067,-2.90
60,2022-02-23,-0.069,-4.17
61,2022-02-22,-0.072,-0.69
62,2022-02-21,-0.072,6.62
63,2022-02-20,-0.068,-8.72
64,2022-02-18,-0.075,17.32
65,2022-02-17,-0.064,-11.19
66,2022-02-16,-0.072,-5.30
67,2022-02-15,-0.075,0.00
68,2022-02-14,-0.075,-5.06
69,2022-02-13,-0.079,-2.47
70,2022-02-10,-0.081,5.19
71,2022-02-09,-0.077,-0.65
72,2022-02-08,-0.078,0.65
73,2022-02-07,-0.077,0.65
74,2022-02-06,-0.076,0.66
75,2022-02-04,-0.076,0.00
76,2022-02-03,-0.076,-3.80
77,2022-02-02,-0.079,4.64
78,2022-02-01,-0.075,4.14
79,2022-01-31,-0.072,0.00
80,2022-01-30,-0.072,-0.68
81,2022-01-28,-0.073,-3.95
82,2022-01-27,-0.076,-1.30
83,2022-01-26,-0.077,-9.41
84,2022-01-25,-0.085,1.80
85,2022-01-24,-0.083,-5.11
86,2022-01-23,-0.088,7.32
87,2022-01-21,-0.082,-8.38
88,2022-01-20,-0.090,-4.79
89,2022-01-19,-0.094,5.62
90,2022-01-18,-0.089,1.14
91,2022-01-17,-0.088,-0.56
92,2022-01-16,-0.089,0.00
93,2022-01-14,-0.089,4.73
94,2022-01-13,-0.084,-2.87
95,2022-01-12,-0.087,6.75
96,2022-01-11,-0.082,-1.81
97,2022-01-10,-0.083,5.06
98,2022-01-07,-0.079,-9.71
99,2022-01-06,-0.087,-0.57
100,2022-01-05,-0.088,-3.83
101,2022-01-04,-0.091,3.39
102,2022-01-03,-0.089,-5.35
103,2021-12-30,-0.094,-6.03
104,2021-12-29,-0.100,-1.49
105,2021-12-28,-0.101,-2.88
106,2021-12-27,-0.104,2.97
107,2021-12-26,-0.101,3.59
108,2021-12-24,-0.097,-4.88
109,2021-12-23,-0.102,-3.76
110,2021-12-22,-0.106,-3.18
111,2021-12-21,-0.110,-5.17
112,2021-12-20,-0.116,-1.28
113,2021-12-19,-0.117,0.00
114,2021-12-17,-0.117,-2.08
115,2021-12-16,-0.120,10.60
116,2021-12-15,-0.108,-7.66
117,2021-12-14,-0.117,-1.67
118,2021-12-13,-0.119,1.70
119,2021-12-12,-0.117,0.86
120,2021-12-10,-0.116,-1.27
121,2021-12-09,-0.118,-3.67
122,2021-12-08,-0.123,-3.54
123,2021-12-07,-0.127,1.20
124,2021-12-06,-0.125,-2.71
125,2021-12-05,-0.129,0.00
126,2021-12-03,-0.129,2.38
127,2021-12-02,-0.126,-1.56
128,2021-12-01,-0.128,0.39
129,2021-11-30,-0.127,-10.53
130,2021-11-29,-0.142,-0.35
131,2021-11-28,-0.143,0.00
132,2021-11-26,-0.143,2.88
133,2021-11-25,-0.139,2.58
134,2021-11-24,-0.135,-0.37
135,2021-11-23,-0.136,0.74
136,2021-11-22,-0.135,0.75
137,2021-11-21,-0.134,0.00
138,2021-11-19,-0.134,6.35
139,2021-11-18,-0.126,-3.08
140,2021-11-17,-0.130,2.36
141,2021-11-16,-0.127,0.79
142,2021-11-15,-0.126,2.44
143,2021-11-14,-0.123,0.00
144,2021-11-12,-0.123,8.37
145,2021-11-11,-0.113,1.34
146,2021-11-10,-0.112,-0.88
147,2021-11-09,-0.113,0.00
148,2021-11-08,-0.113,-1.74
149,2021-11-07,-0.115,0.88
150,2021-11-05,-0.114,3.17
151,2021-11-04,-0.111,5.24
152,2021-11-03,-0.105,-1.87
153,2021-11-02,-0.107,-0.47
154,2021-11-01,-0.108,-3.59
155,2021-10-31,-0.112,-0.45
156,2021-10-29,-0.112,0.00
157,2021-10-28,-0.112,-2.17
158,2021-10-27,-0.115,3.60
159,2021-10-26,-0.111,-2.20
160,2021-10-25,-0.113,-3.81
161,2021-10-24,-0.118,-1.26
162,2021-10-22,-0.119,1.70
163,2021-10-21,-0.117,-2.08
164,2021-10-20,-0.120,-1.23
165,2021-10-19,-0.122,-0.82
166,2021-10-18,-0.123,-0.41
167,2021-10-17,-0.123,0.00
168,2021-10-15,-0.123,-1.60
169,2021-10-14,-0.125,0.00
170,2021-10-13,-0.125,1.21
171,2021-10-12,-0.124,-1.20
172,2021-10-11,-0.125,1.62
173,2021-10-10,-0.123,0.00
174,2021-10-08,-0.123,-2.77
175,2021-10-07,-0.126,1.61
176,2021-10-06,-0.124,-2.35
177,2021-10-05,-0.127,-1.54
178,2021-10-04,-0.130,0.39
179,2021-10-03,-0.129,0.78
180,2021-10-01,-0.128,1.19
181,2021-09-30,-0.126,1.61
182,2021-09-29,-0.124,-2.73
183,2021-09-28,-0.128,-0.78
184,2021-09-27,-0.129,0.78
185,2021-09-26,-0.128,1.19
186,2021-09-24,-0.126,-3.80
187,2021-09-23,-0.132,-2.23
188,2021-09-22,-0.134,0.75
189,2021-09-21,-0.133,-2.91
190,2021-09-20,-0.138,6.59
191,2021-09-17,-0.129,6.17
192,2021-09-16,-0.122,-1.22
193,2021-09-15,-0.123,4.24
194,2021-09-14,-0.118,-2.48
195,2021-09-13,-0.121,2.54
196,2021-09-12,-0.118,-0.84
197,2021-09-10,-0.119,-2.06
198,2021-09-09,-0.122,2.10
199,2021-09-08,-0.119,1.71
200,2021-09-07,-0.117,-2.50
