,date,interest,change
0,2022-04-30,3.603,0.00
1,2022-04-29,3.603,0.00
2,2022-04-28,3.603,0.00
3,2022-04-27,3.603,0.00
4,2022-04-26,3.603,0.03
5,2022-04-25,3.602,0.00
6,2022-04-24,3.602,0.00
7,2022-04-23,3.602,0.00
8,2022-04-22,3.602,0.00
9,2022-04-21,3.602,0.00
10,2022-04-20,3.602,0.00
11,2022-04-19,3.602,0.00
12,2022-04-18,3.602,0.00
13,2022-04-17,3.602,0.00
14,2022-04-16,3.602,0.00
15,2022-04-15,3.602,0.00
16,2022-04-14,3.602,0.00
17,2022-04-13,3.602,-0.03
18,2022-04-12,3.603,0.03
19,2022-04-11,3.602,-0.03
20,2022-04-09,3.603,0.00
21,2022-04-08,3.602,0.00
22,2022-04-07,3.602,24.40
23,2022-04-06,2.896,0.00
24,2022-04-05,2.896,-0.02
25,2022-04-04,2.897,0.00
26,2022-04-03,2.897,0.02
27,2022-04-02,2.896,0.00
28,2022-04-01,2.896,0.00
29,2022-03-31,2.896,0.00
30,2022-03-30,2.896,0.00
31,2022-03-29,2.896,0.00
32,2022-03-28,2.896,0.00
33,2022-03-27,2.896,-0.02
34,2022-03-26,2.897,0.00
35,2022-03-25,2.897,0.00
36,2022-03-24,2.897,0.00
37,2022-03-23,2.897,0.00
38,2022-03-22,2.897,-0.41
39,2022-03-21,2.908,0.00
40,2022-03-20,2.908,0.41
41,2022-03-13,2.896,0.00
42,2022-03-10,2.895,0.00
43,2022-03-09,2.895,0.00
44,2022-03-08,2.896,0.00
45,2022-03-07,2.895,0.00
46,2022-03-06,2.896,0.00
47,2022-03-05,2.895,-0.03
48,2022-03-04,2.897,0.00
49,2022-03-03,2.897,0.00
50,2022-03-02,2.897,0.03
51,2022-03-01,2.895,-0.03
52,2022-02-28,2.897,0.03
53,2022-02-27,2.895,0.00
54,2022-02-26,2.896,0.00
55,2022-02-25,2.895,0.00
56,2022-02-24,2.895,0.00
57,2022-02-23,2.895,-0.03
58,2022-02-22,2.897,-1.68
59,2022-02-21,2.946,-0.37
60,2022-02-18,2.957,0.00
61,2022-02-17,2.957,0.12
62,2022-02-16,2.954,0.31
63,2022-02-15,2.944,-0.20
64,2022-02-14,2.951,-0.22
65,2022-02-11,2.957,0.00
66,2022-02-10,2.957,0.05
67,2022-02-09,2.955,0.10
68,2022-02-08,2.953,-0.22
69,2022-02-07,2.959,0.31
70,2022-02-04,2.950,0.00
71,2022-02-03,2.950,0.07
72,2022-02-02,2.948,0.19
73,2022-02-01,2.943,-0.17
74,2022-01-31,2.947,-0.12
75,2022-01-28,2.951,0.00
76,2022-01-27,2.951,0.08
77,2022-01-26,2.948,0.19
78,2022-01-25,2.943,1.61
79,2022-01-13,2.897,0.00
80,2022-01-12,2.897,0.02
81,2022-01-11,2.896,-0.02
82,2022-01-10,2.897,0.00
83,2022-01-09,2.897,0.00
84,2022-01-08,2.897,0.00
85,2022-01-07,2.897,0.00
86,2022-01-06,2.897,0.00
87,2022-01-05,2.897,0.00
88,2022-01-04,2.897,0.02
89,2022-01-03,2.896,-0.02
90,2022-01-02,2.897,0.00
91,2021-12-30,2.897,0.00
92,2021-12-29,2.897,0.00
93,2021-12-28,2.897,0.00
94,2021-12-27,2.897,0.00
95,2021-12-26,2.897,0.00
96,2021-12-21,2.897,0.00
97,2021-12-20,2.897,0.00
98,2021-12-19,2.897,0.00
99,2021-12-18,2.897,0.00
100,2021-12-17,2.897,0.00
101,2021-12-16,2.897,0.00
102,2021-12-15,2.897,0.00
103,2021-12-14,2.897,0.00
104,2021-12-13,2.897,0.00
105,2021-12-12,2.897,0.02
106,2021-12-11,2.896,-0.02
107,2021-12-10,2.897,0.00
108,2021-12-08,2.897,0.00
109,2021-12-07,2.897,0.00
110,2021-12-06,2.897,0.00
111,2021-12-05,2.897,0.00
112,2021-12-04,2.897,0.00
113,2021-12-03,2.897,0.00
