,date,interest,change
0,2022-05-09,2.120,4.43
1,2022-05-06,2.030,0.00
2,2022-05-05,2.030,0.00
3,2022-05-04,2.030,0.00
4,2022-04-29,2.030,0.00
5,2022-04-28,2.030,0.00
6,2022-04-27,2.030,0.00
7,2022-04-26,2.030,0.00
8,2022-04-25,2.030,0.00
9,2022-04-22,2.030,0.00
10,2022-04-21,2.030,0.00
11,2022-04-20,2.030,0.00
12,2022-04-18,2.030,0.00
13,2022-04-15,2.030,0.00
14,2022-04-14,2.030,0.00
15,2022-04-13,2.030,0.00
16,2022-04-12,2.030,0.00
17,2022-04-11,2.030,0.00
18,2022-04-08,2.030,0.00
19,2022-04-07,2.030,0.00
20,2022-04-05,2.030,0.00
21,2022-04-04,2.030,0.00
22,2022-04-01,2.030,0.00
23,2022-03-31,2.030,0.00
24,2022-03-30,2.030,-1.46
25,2022-03-29,2.060,0.00
26,2022-03-28,2.060,0.00
27,2022-03-25,2.060,0.00
28,2022-03-24,2.060,0.00
29,2022-03-23,2.060,0.00
30,2022-03-21,2.060,0.00
31,2022-03-18,2.060,0.00
32,2022-03-17,2.060,0.00
33,2022-03-16,2.060,0.00
34,2022-03-15,2.060,0.00
35,2022-03-14,2.060,0.00
36,2022-03-11,2.060,0.00
37,2022-03-10,2.060,0.00
38,2022-03-09,2.060,0.00
39,2022-03-08,2.060,0.00
40,2022-03-04,2.060,0.00
41,2022-03-03,2.060,0.00
42,2022-03-02,2.060,0.00
43,2022-03-01,2.060,0.00
44,2022-02-28,2.060,0.00
45,2022-02-25,2.060,0.00
46,2022-02-24,2.060,0.00
47,2022-02-23,2.060,0.00
48,2022-02-22,2.060,0.00
49,2022-02-21,2.060,0.00
50,2022-02-18,2.060,0.00
51,2022-02-17,2.060,0.00
52,2022-02-16,2.060,0.00
53,2022-02-15,2.060,0.00
54,2022-02-14,2.060,0.00
55,2022-02-11,2.060,0.00
56,2022-02-10,2.060,10.16
57,2022-02-09,1.870,0.00
58,2022-02-08,1.870,0.00
59,2022-02-07,1.870,0.00
60,2022-02-04,1.870,0.00
61,2022-02-03,1.870,0.00
62,2022-02-01,1.870,0.00
63,2022-01-28,1.870,0.00
64,2022-01-27,1.870,0.00
65,2022-01-26,1.870,0.00
66,2022-01-24,1.870,0.00
67,2022-01-21,1.870,0.00
68,2022-01-20,1.870,0.00
69,2022-01-19,1.870,0.00
70,2022-01-17,1.870,0.00
71,2022-01-13,1.870,0.00
72,2022-01-12,1.870,0.00
73,2022-01-11,1.870,0.00
74,2022-01-10,1.870,0.00
75,2022-01-07,1.870,0.00
76,2022-01-06,1.870,0.00
77,2022-01-05,1.870,0.00
78,2022-01-04,1.870,0.00
79,2022-01-03,1.870,0.00
80,2021-12-31,1.870,0.00
81,2021-12-30,1.870,0.00
82,2021-12-29,1.870,0.00
83,2021-12-28,1.870,0.00
84,2021-12-24,1.870,0.00
85,2021-12-23,1.870,0.00
86,2021-12-22,1.870,0.00
87,2021-12-21,1.870,0.00
88,2021-12-20,1.870,0.00
89,2021-12-17,1.870,0.00
90,2021-12-16,1.870,0.00
91,2021-12-15,1.870,2.75
92,2021-12-14,1.820,0.00
93,2021-12-13,1.820,0.00
94,2021-12-10,1.820,0.00
95,2021-12-09,1.820,0.00
96,2021-12-08,1.820,0.00
97,2021-12-07,1.820,0.00
98,2021-12-06,1.820,0.00
99,2021-12-03,1.820,0.00
100,2021-12-02,1.820,0.00
101,2021-12-01,1.820,0.00
102,2021-11-30,1.820,0.00
103,2021-11-29,1.820,0.00
104,2021-11-26,1.820,0.00
105,2021-11-25,1.820,0.00
106,2021-11-24,1.820,0.00
107,2021-11-23,1.820,0.00
108,2021-11-22,1.820,0.00
109,2021-11-19,1.820,0.00
110,2021-11-18,1.820,0.00
111,2021-11-17,1.820,0.00
112,2021-11-16,1.820,0.00
113,2021-11-15,1.820,0.00
114,2021-11-12,1.820,0.00
115,2021-11-10,1.820,0.00
116,2021-11-09,1.820,0.00
117,2021-11-08,1.820,0.00
118,2021-11-03,1.820,0.00
119,2021-11-01,1.820,0.00
120,2021-10-29,1.820,0.00
121,2021-10-28,1.820,0.00
122,2021-10-27,1.820,0.00
123,2021-10-26,1.820,0.00
124,2021-10-25,1.820,0.00
125,2021-10-22,1.820,0.00
126,2021-10-21,1.820,0.00
127,2021-10-20,1.820,0.00
128,2021-10-19,1.820,0.00
129,2021-10-18,1.820,0.00
130,2021-10-15,1.820,0.00
131,2021-10-14,1.820,0.00
132,2021-10-13,1.820,0.00
133,2021-10-12,1.820,0.00
134,2021-10-11,1.820,0.00
135,2021-10-08,1.820,0.00
136,2021-10-07,1.820,1.11
137,2021-10-06,1.800,0.00
138,2021-10-05,1.800,0.00
139,2021-10-04,1.800,0.00
140,2021-10-01,1.800,0.00
141,2021-09-30,1.800,0.00
142,2021-09-29,1.800,0.00
143,2021-09-28,1.800,0.00
144,2021-09-24,1.800,0.00
145,2021-09-23,1.800,0.00
146,2021-09-22,1.800,0.00
147,2021-09-21,1.800,0.00
148,2021-09-20,1.800,0.00
149,2021-09-15,1.800,0.00
150,2021-09-14,1.800,0.00
151,2021-09-13,1.800,0.00
152,2021-09-10,1.800,0.00
153,2021-09-09,1.800,0.00
154,2021-09-08,1.800,0.00
155,2021-09-07,1.800,0.00
156,2021-09-03,1.800,0.00
157,2021-09-02,1.800,0.00
158,2021-09-01,1.800,0.00
159,2021-08-30,1.800,0.00
160,2021-08-27,1.800,0.00
161,2021-08-26,1.800,0.00
162,2021-08-25,1.800,0.00
163,2021-08-24,1.800,0.00
164,2021-08-23,1.800,0.00
165,2021-08-20,1.800,0.00
166,2021-08-19,1.800,0.00
167,2021-08-18,1.800,0.00
168,2021-08-17,1.800,0.00
169,2021-08-16,1.800,0.00
170,2021-08-13,1.800,0.00
171,2021-08-12,1.800,0.00
172,2021-08-11,1.800,0.00
173,2021-08-09,1.800,0.00
174,2021-08-06,1.800,0.00
175,2021-08-05,1.800,-3.23
176,2021-08-04,1.860,0.00
177,2021-08-03,1.860,0.00
178,2021-07-30,1.860,0.00
179,2021-07-29,1.860,0.00
180,2021-07-28,1.860,0.00
181,2021-07-27,1.860,0.00
182,2021-07-26,1.860,0.00
183,2021-07-23,1.860,0.00
184,2021-07-22,1.860,0.00
185,2021-07-21,1.860,0.00
186,2021-07-19,1.860,0.00
187,2021-07-16,1.860,0.00
188,2021-07-15,1.860,0.00
189,2021-07-14,1.860,0.00
190,2021-07-13,1.860,0.00
191,2021-07-12,1.860,0.00
192,2021-07-09,1.860,0.00
193,2021-07-08,1.860,0.00
194,2021-07-07,1.860,0.00
195,2021-07-06,1.860,0.00
196,2021-07-05,1.860,0.00
197,2021-07-02,1.860,0.00
198,2021-07-01,1.860,0.00
199,2021-06-30,1.860,0.00
200,2021-06-29,1.860,0.00
201,2021-06-28,1.860,0.00
202,2021-06-25,1.860,0.00
203,2021-06-24,1.860,0.00
204,2021-06-23,1.860,0.00
205,2021-06-22,1.860,0.00
206,2021-06-21,1.860,0.00
207,2021-06-18,1.860,0.00
208,2021-06-17,1.860,0.00
209,2021-06-16,1.860,0.00
210,2021-06-15,1.860,0.00
211,2021-06-14,1.860,0.00
212,2021-06-11,1.860,0.00
213,2021-06-10,1.860,0.00
214,2021-06-09,1.860,0.00
215,2021-06-08,1.860,0.00
216,2021-06-04,1.860,0.00
217,2021-06-03,1.860,0.00
218,2021-06-02,1.860,2.20
219,2021-06-01,1.820,-2.15
220,2021-05-31,1.860,0.00
221,2021-05-28,1.860,0.00
222,2021-05-27,1.860,2.20
223,2021-05-25,1.820,0.00
224,2021-05-24,1.820,0.00
225,2021-05-21,1.820,0.00
226,2021-05-20,1.820,0.00
227,2021-05-19,1.820,0.00
228,2021-05-18,1.820,0.00
229,2021-05-17,1.820,0.00
230,2021-05-13,1.820,0.00
231,2021-05-12,1.820,0.00
232,2021-05-11,1.820,0.00
233,2021-05-10,1.820,0.00
234,2021-05-07,1.820,0.00
235,2021-05-06,1.820,0.00
236,2021-05-05,1.820,0.00
237,2021-05-04,1.820,0.00
238,2021-05-03,1.820,0.00
239,2021-04-30,1.820,0.00
240,2021-04-29,1.820,0.00
241,2021-04-28,1.820,0.00
242,2021-04-27,1.820,0.00
243,2021-04-26,1.820,0.00
244,2021-04-23,1.820,0.00
245,2021-04-22,1.820,0.00
246,2021-04-21,1.820,0.00
247,2021-04-20,1.820,0.00
248,2021-04-19,1.820,0.00
249,2021-04-16,1.820,0.00
250,2021-04-15,1.820,0.00
251,2021-04-14,1.820,0.00
252,2021-04-13,1.820,0.00
253,2021-04-12,1.820,0.00
254,2021-04-09,1.820,0.00
255,2021-04-08,1.820,0.00
256,2021-04-07,1.820,0.00
257,2021-04-06,1.820,0.00
258,2021-04-05,1.820,0.00
259,2021-04-02,1.820,0.00
260,2021-04-01,1.820,0.00
261,2021-03-31,1.820,0.00
262,2021-03-30,1.820,0.00
263,2021-03-29,1.820,0.00
264,2021-03-26,1.820,0.00
265,2021-03-25,1.820,0.00
266,2021-03-24,1.820,0.00
267,2021-03-23,1.820,0.00
268,2021-03-22,1.820,0.00
269,2021-03-19,1.820,0.00
270,2021-03-18,1.820,0.00
271,2021-03-17,1.820,0.00
272,2021-03-16,1.820,0.00
273,2021-03-15,1.820,2.25
274,2021-03-12,1.780,0.00
275,2021-03-11,1.780,0.00
276,2021-03-10,1.780,0.00
277,2021-03-09,1.780,0.00
278,2021-03-08,1.780,0.00
279,2021-03-05,1.780,0.00
280,2021-03-04,1.780,0.00
281,2021-03-03,1.780,0.00
282,2021-03-02,1.780,0.00
283,2021-03-01,1.780,2.30
284,2021-02-26,1.740,0.00
285,2021-02-25,1.740,0.00
286,2021-02-24,1.740,0.00
287,2021-02-23,1.740,0.00
288,2021-02-22,1.740,0.00
289,2021-02-19,1.740,0.00
290,2021-02-18,1.740,0.00
291,2021-02-17,1.740,0.00
292,2021-02-16,1.740,0.00
293,2021-02-15,1.740,0.00
294,2021-02-11,1.740,0.00
295,2021-02-10,1.740,0.00
296,2021-02-09,1.740,0.00
297,2021-02-08,1.740,0.00
298,2021-02-05,1.740,0.00
299,2021-02-04,1.740,0.00
300,2021-02-03,1.740,0.00
301,2021-02-02,1.740,0.00
302,2021-01-29,1.740,0.00
303,2021-01-27,1.740,0.00
304,2021-01-26,1.740,0.00
305,2021-01-25,1.740,0.00
306,2021-01-22,1.740,0.00
307,2021-01-21,1.740,0.00
308,2021-01-20,1.740,0.00
309,2021-01-19,1.740,0.00
310,2021-01-18,1.740,0.00
311,2021-01-15,1.740,0.00
312,2021-01-14,1.740,0.00
313,2021-01-13,1.740,0.00
314,2021-01-12,1.740,0.00
315,2021-01-11,1.740,0.00
316,2021-01-08,1.740,0.00
317,2021-01-07,1.740,0.00
318,2021-01-06,1.740,0.00
319,2021-01-05,1.740,0.00
320,2021-01-04,1.740,0.00
321,2021-01-01,1.740,0.00
322,2020-12-31,1.740,0.00
323,2020-12-30,1.740,0.00
324,2020-12-29,1.740,0.00
325,2020-12-24,1.740,0.00
326,2020-12-23,1.740,-1.69
327,2020-12-22,1.770,1.72
328,2020-12-21,1.740,0.00
329,2020-12-18,1.740,0.00
330,2020-12-17,1.740,0.00
331,2020-12-16,1.740,0.00
332,2020-12-15,1.740,0.00
333,2020-12-14,1.740,0.00
334,2020-12-11,1.740,0.00
335,2020-12-10,1.740,0.00
336,2020-12-09,1.740,0.00
337,2020-12-08,1.740,0.00
338,2020-12-04,1.740,0.00
339,2020-12-03,1.740,0.00
340,2020-12-02,1.740,0.00
341,2020-12-01,1.740,-1.69
342,2020-11-30,1.770,0.00
343,2020-11-27,1.770,0.00
344,2020-11-26,1.770,0.00
345,2020-11-25,1.770,0.00
346,2020-11-24,1.770,0.00
347,2020-11-23,1.770,0.00
348,2020-11-20,1.770,0.00
349,2020-11-19,1.770,0.00
350,2020-11-18,1.770,0.00
351,2020-11-17,1.770,0.00
352,2020-11-16,1.770,0.00
353,2020-11-13,1.770,0.00
354,2020-11-12,1.770,0.00
355,2020-11-11,1.770,0.00
356,2020-11-10,1.770,0.00
357,2020-11-09,1.770,0.00
358,2020-11-06,1.770,0.00
359,2020-11-05,1.770,0.00
360,2020-11-04,1.770,0.00
361,2020-11-03,1.770,0.00
362,2020-11-02,1.770,0.00
363,2020-10-30,1.770,0.00
364,2020-10-29,1.770,0.00
365,2020-10-28,1.770,0.00
366,2020-10-27,1.770,0.00
367,2020-10-26,1.770,0.00
368,2020-10-23,1.770,0.00
369,2020-10-22,1.770,0.00
370,2020-10-21,1.770,0.00
371,2020-10-20,1.770,0.00
372,2020-10-19,1.770,0.00
373,2020-10-16,1.770,0.00
374,2020-10-15,1.770,0.00
375,2020-10-14,1.770,0.00
376,2020-10-13,1.770,0.00
377,2020-10-12,1.770,0.00
378,2020-10-09,1.770,0.00
379,2020-10-08,1.770,0.00
380,2020-10-07,1.770,0.00
381,2020-10-06,1.770,-17.67
382,2020-10-05,2.150,0.00
383,2020-10-02,2.150,0.00
384,2020-10-01,2.150,0.00
385,2020-09-30,2.150,0.00
386,2020-09-29,2.150,0.00
387,2020-09-28,2.150,0.00
388,2020-09-25,2.150,0.00
389,2020-09-24,2.150,0.00
390,2020-09-23,2.150,0.00
391,2020-09-22,2.150,0.00
392,2020-09-21,2.150,0.00
393,2020-09-18,2.150,0.00
394,2020-09-17,2.150,0.00
395,2020-09-15,2.150,0.00
396,2020-09-14,2.150,0.00
397,2020-09-11,2.150,0.00
398,2020-09-10,2.150,0.00
399,2020-09-09,2.150,0.00
400,2020-09-08,2.150,0.00
401,2020-09-07,2.150,0.00
402,2020-09-04,2.150,0.00
403,2020-09-03,2.150,0.00
404,2020-09-02,2.150,0.00
405,2020-09-01,2.150,0.00
406,2020-08-28,2.150,0.00
407,2020-08-27,2.150,0.00
408,2020-08-26,2.150,0.00
409,2020-08-25,2.150,0.00
410,2020-08-24,2.150,0.00
411,2020-08-21,2.150,0.00
412,2020-08-20,2.150,0.00
413,2020-08-19,2.150,0.00
414,2020-08-18,2.150,0.00
415,2020-08-17,2.150,0.00
416,2020-08-14,2.150,0.00
417,2020-08-13,2.150,0.00
418,2020-08-12,2.150,0.00
419,2020-08-11,2.150,0.00
420,2020-08-10,2.150,0.00
421,2020-08-07,2.150,0.00
422,2020-08-06,2.150,0.00
423,2020-08-05,2.150,0.00
424,2020-08-04,2.150,0.00
425,2020-08-03,2.150,0.00
426,2020-07-30,2.150,0.00
427,2020-07-29,2.150,0.00
428,2020-07-28,2.150,0.00
429,2020-07-27,2.150,0.00
430,2020-07-24,2.150,0.00
431,2020-07-23,2.150,0.00
432,2020-07-22,2.150,0.00
433,2020-07-21,2.150,0.00
434,2020-07-20,2.150,0.00
435,2020-07-17,2.150,0.00
436,2020-07-16,2.150,0.00
437,2020-07-15,2.150,0.00
438,2020-07-14,2.150,0.00
439,2020-07-13,2.150,0.00
440,2020-07-10,2.150,0.00
441,2020-07-09,2.150,0.00
442,2020-07-08,2.150,0.00
443,2020-07-07,2.150,0.00
444,2020-07-06,2.150,0.00
445,2020-07-03,2.150,0.00
446,2020-07-02,2.150,0.00
447,2020-07-01,2.150,0.00
448,2020-06-30,2.150,0.00
449,2020-06-29,2.150,0.00
450,2020-06-26,2.150,0.00
451,2020-06-25,2.150,0.00
452,2020-06-24,2.150,0.00
453,2020-06-23,2.150,0.00
454,2020-06-22,2.150,0.00
455,2020-06-19,2.150,0.00
456,2020-06-18,2.150,0.00
457,2020-06-17,2.150,0.00
458,2020-06-16,2.150,0.00
459,2020-06-15,2.150,0.00
460,2020-06-12,2.150,0.00
461,2020-06-11,2.150,0.00
462,2020-06-10,2.150,0.00
463,2020-06-09,2.150,0.00
464,2020-06-05,2.150,0.00
465,2020-06-04,2.150,0.00
466,2020-06-03,2.150,0.00
467,2020-06-02,2.150,0.00
468,2020-06-01,2.150,0.00
469,2020-05-29,2.150,0.00
470,2020-05-28,2.150,0.00
471,2020-05-27,2.150,0.00
472,2020-05-22,2.150,0.00
473,2020-05-21,2.150,0.00
474,2020-05-20,2.150,0.00
475,2020-05-19,2.150,0.00
476,2020-05-18,2.150,0.00
477,2020-05-15,2.150,0.00
478,2020-05-14,2.150,0.00
479,2020-05-13,2.150,0.00
480,2020-05-12,2.150,0.00
481,2020-05-08,2.150,0.00
482,2020-05-06,2.150,-18.87
483,2020-05-05,2.650,0.00
484,2020-05-04,2.650,0.00
485,2020-04-30,2.650,0.00
486,2020-04-29,2.650,0.00
487,2020-04-28,2.650,0.00
488,2020-04-27,2.650,0.00
489,2020-04-24,2.650,0.00
490,2020-04-23,2.650,0.00
491,2020-04-22,2.650,0.00
492,2020-04-21,2.650,0.00
493,2020-04-20,2.650,0.00
494,2020-04-17,2.650,0.00
495,2020-04-16,2.650,0.00
496,2020-04-15,2.650,0.00
497,2020-04-14,2.650,0.00
498,2020-04-13,2.650,0.00
499,2020-04-10,2.650,0.00
500,2020-04-09,2.650,0.00
501,2020-04-08,2.650,0.00
502,2020-04-07,2.650,0.00
503,2020-04-06,2.650,0.00
504,2020-04-03,2.650,0.00
505,2020-04-02,2.650,0.00
506,2020-04-01,2.650,0.00
507,2020-03-31,2.650,0.00
508,2020-03-30,2.650,0.00
509,2020-03-27,2.650,0.00
510,2020-03-26,2.650,0.00
511,2020-03-25,2.650,0.00
512,2020-03-24,2.650,0.00
513,2020-03-23,2.650,0.00
514,2020-03-20,2.650,0.00
515,2020-03-19,2.650,0.00
516,2020-03-18,2.650,0.00
517,2020-03-17,2.650,0.00
518,2020-03-16,2.650,0.00
519,2020-03-13,2.650,0.00
520,2020-03-12,2.650,0.00
521,2020-03-11,2.650,0.00
522,2020-03-10,2.650,0.00
523,2020-03-09,2.650,0.00
524,2020-03-06,2.650,0.00
525,2020-03-05,2.650,-13.96
526,2020-03-03,3.080,0.00
527,2020-03-02,3.080,0.00
528,2020-02-28,3.080,0.00
529,2020-02-27,3.080,0.00
530,2020-02-26,3.080,0.00
531,2020-02-25,3.080,0.00
532,2020-02-24,3.080,0.00
533,2020-02-21,3.080,0.00
534,2020-02-20,3.080,0.00
535,2020-02-19,3.080,0.00
536,2020-02-18,3.080,0.00
537,2020-02-17,3.080,0.00
538,2020-02-14,3.080,0.00
539,2020-02-13,3.080,0.00
540,2020-02-12,3.080,0.00
541,2020-02-11,3.080,0.00
542,2020-02-10,3.080,0.00
543,2020-02-07,3.080,0.00
544,2020-02-06,3.080,0.00
545,2020-02-05,3.080,0.00
546,2020-02-04,3.080,0.00
547,2020-02-03,3.080,0.00
548,2020-01-31,3.080,0.00
549,2020-01-30,3.080,0.00
550,2020-01-29,3.080,0.00
551,2020-01-28,3.080,0.00
552,2020-01-24,3.080,0.00
553,2020-01-23,3.080,0.00
554,2020-01-22,3.080,0.00
555,2020-01-21,3.080,0.00
556,2020-01-20,3.080,0.00
