,date,interest,change
0,2022-05-09,8.952,0.01
1,2022-05-06,8.951,-0.57
2,2022-05-05,9.002,-1.07
3,2022-05-04,9.099,0.76
4,2022-05-03,9.030,1.01
5,2022-05-02,8.940,-0.17
6,2022-04-29,8.955,-0.21
7,2022-04-28,8.974,0.27
8,2022-04-27,8.950,1.24
9,2022-04-26,8.840,0.68
10,2022-04-25,8.780,0.57
11,2022-04-22,8.730,0.81
12,2022-04-21,8.660,0.00
13,2022-04-20,8.660,-0.12
14,2022-04-19,8.670,0.12
15,2022-04-18,8.660,0.00
16,2022-04-13,8.660,-0.23
17,2022-04-12,8.680,0.58
18,2022-04-11,8.630,0.00
19,2022-04-08,8.630,0.94
20,2022-04-07,8.550,0.00
21,2022-04-06,8.550,2.64
22,2022-04-05,8.330,0.36
23,2022-04-04,8.300,1.10
24,2022-04-01,8.210,0.98
25,2022-03-31,8.130,-0.49
26,2022-03-30,8.170,-1.33
27,2022-03-29,8.280,0.49
28,2022-03-28,8.240,0.12
29,2022-03-25,8.230,0.24
30,2022-03-24,8.210,-0.24
31,2022-03-23,8.230,-0.72
32,2022-03-22,8.290,3.37
33,2022-03-18,8.020,-0.37
34,2022-03-17,8.050,-0.25
35,2022-03-16,8.070,-0.25
36,2022-03-15,8.090,0.87
37,2022-03-14,8.020,1.26
38,2022-03-11,7.920,0.38
39,2022-03-10,7.890,-0.63
40,2022-03-09,7.940,-1.24
41,2022-03-08,8.040,4.55
42,2022-03-07,7.690,1.99
43,2022-03-04,7.540,1.34
44,2022-03-03,7.440,0.00
45,2022-03-02,7.440,0.00
46,2022-03-01,7.440,1.50
47,2022-02-28,7.330,0.00
48,2022-02-25,7.330,0.27
49,2022-02-24,7.310,0.00
50,2022-02-23,7.310,0.00
51,2022-02-22,7.310,0.00
52,2022-02-21,7.310,0.83
53,2022-02-18,7.250,0.00
54,2022-02-17,7.250,-0.55
55,2022-02-16,7.290,-0.95
56,2022-02-15,7.360,0.27
57,2022-02-14,7.340,0.41
58,2022-02-11,7.310,1.25
59,2022-02-10,7.220,2.12
60,2022-02-09,7.070,1.29
61,2022-02-08,6.980,0.00
62,2022-02-04,6.980,0.58
63,2022-02-03,6.940,-0.14
64,2022-02-02,6.950,0.00
65,2022-02-01,6.950,-0.14
66,2022-01-31,6.960,0.00
67,2022-01-28,6.960,-0.43
68,2022-01-27,6.990,0.72
69,2022-01-26,6.940,0.43
70,2022-01-25,6.910,1.02
71,2022-01-24,6.840,-0.29
72,2022-01-21,6.860,-0.44
73,2022-01-20,6.890,-0.43
74,2022-01-19,6.920,-0.29
75,2022-01-18,6.940,0.29
76,2022-01-17,6.920,0.00
77,2022-01-14,6.920,0.14
78,2022-01-13,6.910,-1.57
79,2022-01-12,7.020,-0.28
80,2022-01-11,7.040,0.28
81,2022-01-10,7.020,-0.28
82,2022-01-07,7.040,-0.14
83,2022-01-06,7.050,0.43
84,2022-01-05,7.020,0.00
85,2022-01-04,7.020,1.15
86,2022-01-03,6.940,0.29
87,2021-12-31,6.920,0.29
88,2021-12-30,6.900,-0.58
89,2021-12-29,6.940,0.00
90,2021-12-28,6.940,2.36
91,2021-12-27,6.780,0.00
92,2021-12-24,6.780,-0.15
93,2021-12-23,6.790,-1.45
94,2021-12-22,6.890,2.07
95,2021-12-21,6.750,0.00
96,2021-12-20,6.750,1.50
97,2021-12-17,6.650,1.53
98,2021-12-16,6.550,1.24
99,2021-12-15,6.470,-0.46
100,2021-12-14,6.500,0.00
101,2021-12-13,6.500,0.00
102,2021-12-10,6.500,0.00
103,2021-12-09,6.500,0.62
104,2021-12-08,6.460,-0.92
105,2021-12-07,6.520,0.31
106,2021-12-06,6.500,0.00
107,2021-12-03,6.500,-1.07
108,2021-12-02,6.570,-0.15
109,2021-12-01,6.580,0.46
110,2021-11-30,6.550,-0.30
111,2021-11-29,6.570,-0.15
112,2021-11-26,6.580,0.00
113,2021-11-25,6.580,0.00
114,2021-11-24,6.580,0.00
115,2021-11-23,6.580,4.61
116,2021-11-22,6.290,0.80
117,2021-11-19,6.240,-0.16
118,2021-11-18,6.250,0.00
119,2021-11-17,6.250,-0.32
120,2021-11-16,6.270,0.48
121,2021-11-12,6.240,0.00
122,2021-11-11,6.240,-4.88
123,2021-11-10,6.560,0.46
124,2021-11-09,6.530,1.24
125,2021-11-08,6.450,0.78
126,2021-11-05,6.400,-0.62
127,2021-11-04,6.440,-0.77
128,2021-11-03,6.490,1.41
129,2021-11-01,6.400,0.00
130,2021-10-29,6.400,0.63
131,2021-10-28,6.360,0.00
132,2021-10-27,6.360,0.00
133,2021-10-26,6.360,1.76
134,2021-10-25,6.250,0.97
135,2021-10-22,6.190,-2.21
136,2021-10-21,6.330,0.80
137,2021-10-20,6.280,-0.79
138,2021-10-19,6.330,2.93
139,2021-10-18,6.150,0.99
140,2021-10-15,6.090,1.16
141,2021-10-14,6.020,0.33
142,2021-10-13,6.000,-0.33
143,2021-10-12,6.020,0.50
144,2021-10-11,5.990,-0.33
145,2021-10-08,6.010,-0.50
146,2021-10-07,6.040,-0.66
147,2021-10-06,6.080,3.93
148,2021-10-05,5.850,0.69
149,2021-10-04,5.810,1.04
150,2021-10-01,5.750,-0.52
151,2021-09-30,5.780,0.00
152,2021-09-29,5.780,0.35
153,2021-09-28,5.760,2.31
154,2021-09-27,5.630,1.08
155,2021-09-24,5.570,0.18
156,2021-09-23,5.560,1.28
157,2021-09-22,5.490,0.00
158,2021-09-21,5.490,0.92
159,2021-09-20,5.440,-0.73
160,2021-09-17,5.480,0.74
161,2021-09-15,5.440,-0.73
162,2021-09-14,5.480,0.74
163,2021-09-13,5.440,-0.37
164,2021-09-10,5.460,-0.18
165,2021-09-09,5.470,-0.36
166,2021-09-08,5.490,0.00
167,2021-09-07,5.490,0.73
168,2021-09-06,5.450,0.00
169,2021-09-03,5.450,0.00
170,2021-09-02,5.450,-0.55
171,2021-09-01,5.480,0.18
172,2021-08-31,5.470,-0.18
173,2021-08-30,5.480,2.05
174,2021-08-27,5.370,0.00
175,2021-08-26,5.370,-0.37
176,2021-08-25,5.390,0.00
177,2021-08-24,5.390,-2.53
178,2021-08-23,5.530,0.00
179,2021-08-20,5.530,-0.36
180,2021-08-19,5.550,0.00
181,2021-08-18,5.550,-0.54
182,2021-08-17,5.580,0.18
183,2021-08-16,5.570,-0.71
184,2021-08-13,5.610,0.54
185,2021-08-12,5.580,-0.71
186,2021-08-11,5.620,0.00
187,2021-08-10,5.620,0.00
188,2021-08-09,5.620,0.00
189,2021-08-06,5.620,0.90
190,2021-08-05,5.570,-0.18
191,2021-08-04,5.580,0.00
192,2021-08-03,5.580,-0.18
193,2021-08-02,5.590,1.64
194,2021-07-30,5.500,-0.54
195,2021-07-29,5.530,0.00
196,2021-07-28,5.530,0.00
197,2021-07-27,5.530,-1.43
198,2021-07-26,5.610,1.81
199,2021-07-23,5.510,-0.18
200,2021-07-22,5.520,2.03
201,2021-07-21,5.410,-0.18
202,2021-07-20,5.420,-1.28
203,2021-07-19,5.490,-0.18
204,2021-07-16,5.500,-0.18
205,2021-07-14,5.510,-0.90
206,2021-07-13,5.560,0.54
207,2021-07-12,5.530,-0.90
208,2021-07-09,5.580,0.36
209,2021-07-08,5.560,0.72
210,2021-07-07,5.520,1.10
211,2021-07-06,5.460,1.68
212,2021-07-05,5.370,-0.56
213,2021-07-02,5.400,-0.55
214,2021-07-01,5.430,0.00
215,2021-06-30,5.430,8.82
216,2021-06-28,4.990,0.00
217,2021-06-23,4.990,0.00
218,2021-06-22,4.990,1.01
219,2021-06-21,4.940,1.02
220,2021-06-18,4.890,1.03
221,2021-06-17,4.840,0.83
222,2021-06-16,4.800,0.21
223,2021-06-15,4.790,-0.42
224,2021-06-14,4.810,-0.21
225,2021-06-11,4.820,-0.41
226,2021-06-10,4.840,-0.21
227,2021-06-09,4.850,0.62
228,2021-06-08,4.820,1.90
229,2021-06-07,4.730,-1.05
230,2021-06-04,4.780,0.00
231,2021-06-03,4.780,0.63
232,2021-06-02,4.750,-0.42
233,2021-06-01,4.770,1.27
234,2021-05-31,4.710,-4.46
235,2021-05-28,4.930,-0.80
236,2021-05-27,4.970,-0.80
237,2021-05-26,5.010,0.00
238,2021-05-25,5.010,0.20
239,2021-05-24,5.000,0.20
240,2021-05-21,4.990,0.00
241,2021-05-20,4.990,0.81
242,2021-05-19,4.950,0.61
243,2021-05-18,4.920,0.61
244,2021-05-17,4.890,0.62
245,2021-05-14,4.860,-0.61
246,2021-05-13,4.890,0.00
247,2021-05-12,4.890,1.03
248,2021-05-11,4.840,1.04
249,2021-05-10,4.790,3.01
250,2021-05-07,4.650,-0.43
251,2021-05-06,4.670,-0.64
252,2021-05-05,4.700,-0.84
253,2021-05-04,4.740,1.50
254,2021-05-03,4.670,-2.51
255,2021-04-30,4.790,-0.21
256,2021-04-29,4.800,0.63
257,2021-04-28,4.770,-0.42
258,2021-04-27,4.790,0.84
259,2021-04-26,4.750,-0.21
260,2021-04-23,4.760,-0.63
261,2021-04-22,4.790,0.84
262,2021-04-21,4.750,0.21
263,2021-04-20,4.740,1.07
264,2021-04-19,4.690,0.00
265,2021-04-16,4.690,0.86
266,2021-04-15,4.650,0.22
267,2021-04-14,4.640,-0.43
268,2021-04-13,4.660,0.00
269,2021-04-12,4.660,1.75
270,2021-04-09,4.580,0.66
271,2021-04-08,4.550,-0.87
272,2021-04-07,4.590,-1.08
273,2021-04-06,4.640,-2.73
274,2021-04-05,4.770,-0.42
275,2021-03-31,4.790,-0.83
276,2021-03-30,4.830,2.99
277,2021-03-26,4.690,1.08
278,2021-03-25,4.640,-1.07
279,2021-03-24,4.690,3.08
280,2021-03-23,4.550,0.66
281,2021-03-22,4.520,0.22
282,2021-03-18,4.510,0.89
283,2021-03-17,4.470,0.68
284,2021-03-16,4.440,2.07
285,2021-03-12,4.350,2.84
286,2021-03-11,4.230,-0.70
287,2021-03-10,4.260,-0.93
288,2021-03-09,4.300,0.00
289,2021-03-08,4.300,0.00
290,2021-03-05,4.300,1.65
291,2021-03-04,4.230,0.24
292,2021-03-03,4.220,0.72
293,2021-03-02,4.190,-0.24
294,2021-03-01,4.200,-0.47
295,2021-02-26,4.220,1.20
296,2021-02-25,4.170,2.21
297,2021-02-24,4.080,-0.24
298,2021-02-23,4.090,-1.21
299,2021-02-22,4.140,0.73
300,2021-02-19,4.110,1.23
301,2021-02-18,4.060,1.25
302,2021-02-17,4.010,-0.25
303,2021-02-16,4.020,0.00
304,2021-02-15,4.020,0.00
305,2021-02-12,4.020,-0.50
306,2021-02-11,4.040,-3.58
307,2021-02-10,4.190,-0.24
308,2021-02-09,4.200,0.00
309,2021-02-08,4.200,0.48
310,2021-02-05,4.180,-0.24
311,2021-02-04,4.190,0.00
312,2021-02-03,4.190,-0.24
313,2021-02-02,4.200,0.00
314,2021-01-29,4.200,0.00
315,2021-01-28,4.200,-0.47
316,2021-01-27,4.220,0.24
317,2021-01-26,4.210,0.48
318,2021-01-25,4.190,0.00
319,2021-01-22,4.190,0.00
320,2021-01-21,4.190,0.00
321,2021-01-20,4.190,0.24
322,2021-01-19,4.180,0.24
323,2021-01-18,4.170,-0.24
324,2021-01-15,4.180,-0.24
325,2021-01-14,4.190,0.00
326,2021-01-13,4.190,0.00
327,2021-01-12,4.190,-0.48
328,2021-01-11,4.210,0.00
329,2021-01-08,4.210,0.24
330,2021-01-07,4.200,-0.47
331,2021-01-06,4.220,-0.24
332,2021-01-05,4.230,-0.47
333,2021-01-04,4.250,-0.23
334,2020-12-31,4.260,-0.70
335,2020-12-30,4.290,1.90
336,2020-12-29,4.210,0.00
337,2020-12-28,4.210,0.24
338,2020-12-24,4.200,0.00
339,2020-12-23,4.200,-0.94
340,2020-12-21,4.240,-1.40
341,2020-12-18,4.300,-0.69
342,2020-12-17,4.330,0.23
343,2020-12-16,4.320,0.00
344,2020-12-15,4.320,0.00
345,2020-12-14,4.320,-1.59
346,2020-12-11,4.390,1.15
347,2020-12-10,4.340,-0.69
348,2020-12-09,4.370,0.00
349,2020-12-08,4.370,-0.68
350,2020-12-07,4.400,0.69
351,2020-12-04,4.370,0.23
352,2020-12-03,4.360,-1.13
353,2020-12-02,4.410,0.00
354,2020-12-01,4.410,0.23
355,2020-11-30,4.400,0.69
356,2020-11-27,4.370,0.46
357,2020-11-26,4.350,0.23
358,2020-11-25,4.340,1.40
359,2020-11-24,4.280,-4.04
360,2020-11-23,4.460,0.90
361,2020-11-20,4.420,0.00
362,2020-11-19,4.420,-0.90
363,2020-11-18,4.460,1.83
364,2020-11-17,4.380,-0.45
365,2020-11-13,4.400,0.69
366,2020-11-12,4.370,-0.23
367,2020-11-11,4.380,-0.23
368,2020-11-10,4.390,0.00
369,2020-11-09,4.390,0.00
370,2020-11-06,4.390,2.57
371,2020-11-05,4.280,-3.82
372,2020-11-04,4.450,0.00
373,2020-11-03,4.450,-0.89
374,2020-10-30,4.490,0.00
375,2020-10-29,4.490,0.00
376,2020-10-28,4.490,2.98
377,2020-10-27,4.360,-1.36
378,2020-10-26,4.420,0.23
379,2020-10-23,4.410,2.32
380,2020-10-22,4.310,-2.49
381,2020-10-21,4.420,2.31
382,2020-10-20,4.320,-2.04
383,2020-10-19,4.410,2.08
384,2020-10-16,4.320,-2.48
385,2020-10-15,4.430,-0.23
386,2020-10-14,4.440,2.30
387,2020-10-13,4.340,-2.25
388,2020-10-12,4.440,-0.67
389,2020-10-09,4.470,0.00
390,2020-10-08,4.470,0.00
391,2020-10-07,4.470,0.90
392,2020-10-06,4.430,0.00
393,2020-10-05,4.430,-0.23
394,2020-10-02,4.440,0.68
395,2020-10-01,4.410,0.00
396,2020-09-30,4.410,1.85
397,2020-09-29,4.330,-1.14
398,2020-09-28,4.380,0.00
399,2020-09-25,4.380,0.00
400,2020-09-24,4.380,-0.45
401,2020-09-23,4.400,0.00
402,2020-09-22,4.400,-0.23
403,2020-09-21,4.410,1.61
404,2020-09-18,4.340,-2.69
405,2020-09-17,4.460,1.13
406,2020-09-15,4.410,-0.23
407,2020-09-14,4.420,-0.90
408,2020-09-11,4.460,0.00
409,2020-09-10,4.460,-0.67
410,2020-09-09,4.490,1.13
411,2020-09-08,4.440,-1.11
412,2020-09-07,4.490,-0.22
413,2020-09-04,4.500,0.22
414,2020-09-03,4.490,-0.44
415,2020-09-02,4.510,0.00
416,2020-09-01,4.510,0.22
417,2020-08-31,4.500,-0.66
418,2020-08-28,4.530,-0.44
419,2020-08-27,4.550,0.00
420,2020-08-26,4.550,2.25
421,2020-08-25,4.450,-2.20
422,2020-08-24,4.550,0.44
423,2020-08-21,4.530,0.00
424,2020-08-20,4.530,0.00
425,2020-08-19,4.530,0.67
426,2020-08-18,4.500,-0.22
427,2020-08-17,4.510,2.27
428,2020-08-14,4.410,-2.00
429,2020-08-13,4.500,1.12
430,2020-08-12,4.450,-1.77
431,2020-08-11,4.530,0.00
432,2020-08-10,4.530,0.00
433,2020-08-07,4.530,0.00
434,2020-08-06,4.530,-0.66
435,2020-08-05,4.560,0.00
436,2020-08-04,4.560,-0.44
437,2020-08-03,4.580,-0.43
438,2020-07-30,4.600,0.44
439,2020-07-29,4.580,-0.43
440,2020-07-28,4.600,-0.22
441,2020-07-27,4.610,0.22
442,2020-07-24,4.600,-0.43
443,2020-07-23,4.620,-0.22
444,2020-07-22,4.630,1.31
445,2020-07-21,4.570,-1.51
446,2020-07-20,4.640,0.00
447,2020-07-17,4.640,0.00
448,2020-07-16,4.640,0.00
449,2020-07-15,4.640,0.00
450,2020-07-14,4.640,0.00
451,2020-07-13,4.640,0.22
452,2020-07-10,4.630,0.00
453,2020-07-09,4.630,0.43
454,2020-07-08,4.610,-0.22
455,2020-07-07,4.620,-0.65
456,2020-07-06,4.650,-0.64
457,2020-07-03,4.680,0.00
458,2020-07-02,4.680,0.21
459,2020-07-01,4.670,-1.68
460,2020-06-30,4.750,1.50
461,2020-06-29,4.680,-0.85
462,2020-06-26,4.720,1.07
463,2020-06-25,4.670,-1.06
464,2020-06-24,4.720,-0.21
465,2020-06-23,4.730,-1.25
466,2020-06-22,4.790,-0.21
467,2020-06-19,4.800,-0.21
468,2020-06-18,4.810,-0.41
469,2020-06-17,4.830,-0.62
470,2020-06-16,4.860,-0.82
471,2020-06-15,4.900,-0.41
472,2020-06-12,4.920,-0.81
473,2020-06-11,4.960,-0.80
474,2020-06-10,5.000,-0.20
475,2020-06-09,5.010,0.00
476,2020-06-08,5.010,0.00
477,2020-06-05,5.010,1.01
478,2020-06-04,4.960,-1.00
479,2020-06-03,5.010,0.00
480,2020-06-02,5.010,-0.20
481,2020-06-01,5.020,0.40
482,2020-05-29,5.000,0.20
483,2020-05-28,4.990,0.00
484,2020-05-27,4.990,0.20
485,2020-05-26,4.980,0.40
486,2020-05-25,4.960,0.00
487,2020-05-22,4.960,0.20
488,2020-05-21,4.950,-1.00
489,2020-05-20,5.000,1.01
490,2020-05-19,4.950,0.81
491,2020-05-18,4.910,0.82
492,2020-05-15,4.870,0.21
493,2020-05-14,4.860,0.00
494,2020-05-13,4.860,-1.34
495,2020-05-12,4.926,-0.89
496,2020-05-08,4.970,-3.68
497,2020-05-07,5.160,0.00
498,2020-05-06,5.160,-1.15
499,2020-05-05,5.220,-0.57
500,2020-05-04,5.250,-0.19
501,2020-04-30,5.260,-0.38
502,2020-04-29,5.280,-2.94
503,2020-04-28,5.440,0.00
504,2020-04-27,5.440,0.93
505,2020-04-24,5.390,-1.46
506,2020-04-23,5.470,0.00
507,2020-04-22,5.470,-1.26
508,2020-04-21,5.540,-3.15
509,2020-04-20,5.720,-0.35
510,2020-04-17,5.740,1.59
511,2020-04-16,5.650,-1.05
512,2020-04-15,5.710,-0.52
513,2020-04-14,5.740,0.70
514,2020-04-13,5.700,-0.52
515,2020-04-08,5.730,-0.69
516,2020-04-07,5.770,-3.03
517,2020-04-06,5.950,0.00
518,2020-04-03,5.950,-1.16
519,2020-04-02,6.020,-1.31
520,2020-04-01,6.100,-3.33
521,2020-03-31,6.310,0.00
522,2020-03-30,6.310,0.96
523,2020-03-27,6.250,-2.50
524,2020-03-26,6.410,-2.88
525,2020-03-25,6.600,0.00
526,2020-03-24,6.600,-9.17
527,2020-03-20,7.266,3.36
528,2020-03-19,7.030,-2.80
529,2020-03-18,7.233,2.15
530,2020-03-17,7.080,0.28
531,2020-03-13,7.060,-0.14
532,2020-03-12,7.070,3.97
533,2020-03-11,6.800,2.56
534,2020-03-10,6.630,-0.15
535,2020-03-09,6.640,4.08
536,2020-03-06,6.380,0.00
537,2020-03-05,6.380,-2.60
538,2020-03-02,6.550,-2.38
539,2020-02-28,6.710,0.60
540,2020-02-27,6.670,0.30
541,2020-02-26,6.650,0.00
542,2020-02-25,6.650,-0.60
543,2020-02-24,6.690,0.00
544,2020-02-21,6.690,-0.15
545,2020-02-20,6.700,-0.15
546,2020-02-19,6.710,-1.47
547,2020-02-18,6.810,-0.29
548,2020-02-17,6.830,0.59
549,2020-02-14,6.790,-0.73
550,2020-02-13,6.840,0.15
551,2020-02-12,6.830,0.15
552,2020-02-11,6.820,0.15
553,2020-02-10,6.810,-0.58
554,2020-02-07,6.850,-0.29
555,2020-02-06,6.870,0.44
556,2020-02-05,6.840,-0.15
557,2020-02-04,6.850,-0.72
558,2020-01-31,6.900,0.00
559,2020-01-30,6.900,-0.43
560,2020-01-29,6.930,-0.14
561,2020-01-28,6.940,-1.00
562,2020-01-27,7.010,0.00
563,2020-01-24,7.010,0.29
564,2020-01-23,6.990,-0.57
565,2020-01-22,7.030,0.00
566,2020-01-21,7.030,0.00
567,2020-01-20,7.030,0.00
568,2020-01-17,7.030,-0.42
569,2020-01-16,7.060,0.57
570,2020-01-15,7.020,-0.71
571,2020-01-14,7.070,0.00
572,2020-01-13,7.070,0.00
573,2020-01-10,7.070,-0.14
574,2020-01-09,7.080,0.14
575,2020-01-08,7.070,0.00
576,2020-01-07,7.070,0.00
577,2020-01-06,7.070,-0.28
578,2020-01-03,7.090,-0.42
579,2020-01-02,7.120,-0.70
580,2019-12-31,7.170,2.87
