,date,interest,change
0,2022-05-10,3.376,-0.66
1,2022-05-09,3.398,-3.05
2,2022-05-08,3.506,1.48
3,2022-05-06,3.454,-0.88
4,2022-05-05,3.485,0.59
5,2022-05-04,3.464,1.96
6,2022-05-03,3.398,-1.15
7,2022-05-02,3.438,1.96
8,2022-05-01,3.372,0.85
9,2022-04-29,3.343,1.00
10,2022-04-28,3.310,-0.99
11,2022-04-27,3.343,1.92
12,2022-04-26,3.280,1.99
13,2022-04-25,3.216,-1.20
14,2022-04-22,3.255,3.83
15,2022-04-21,3.135,-1.35
16,2022-04-20,3.178,0.57
17,2022-04-19,3.160,-1.43
18,2022-04-18,3.206,3.15
19,2022-04-14,3.108,-0.86
20,2022-04-13,3.135,-4.27
21,2022-04-12,3.275,0.61
22,2022-04-11,3.255,0.95
23,2022-04-10,3.224,0.77
24,2022-04-08,3.200,-0.31
25,2022-04-07,3.210,0.22
26,2022-04-06,3.203,6.41
27,2022-04-05,3.010,-0.43
28,2022-04-04,3.023,0.05
29,2022-04-03,3.022,0.72
30,2022-04-01,3.000,2.74
31,2022-03-31,2.920,-0.61
32,2022-03-30,2.938,0.79
33,2022-03-29,2.915,1.22
34,2022-03-28,2.880,-1.22
35,2022-03-27,2.915,2.55
36,2022-03-25,2.843,0.18
37,2022-03-24,2.838,-1.39
38,2022-03-23,2.878,1.59
39,2022-03-22,2.833,5.12
40,2022-03-21,2.695,0.28
41,2022-03-20,2.688,-0.57
42,2022-03-18,2.703,0.19
43,2022-03-17,2.698,-1.35
44,2022-03-16,2.735,0.07
45,2022-03-15,2.733,2.82
46,2022-03-14,2.658,1.78
47,2022-03-13,2.612,-0.13
48,2022-03-11,2.615,1.24
49,2022-03-10,2.583,1.49
50,2022-03-09,2.545,2.29
51,2022-03-08,2.488,5.29
52,2022-03-07,2.363,-0.23
53,2022-03-06,2.368,-1.31
54,2022-03-04,2.400,0.00
55,2022-03-03,2.400,1.35
56,2022-03-02,2.368,-1.13
57,2022-03-01,2.395,0.08
58,2022-02-28,2.393,0.29
59,2022-02-27,2.386,-1.61
60,2022-02-25,2.425,1.55
61,2022-02-24,2.388,-0.08
62,2022-02-23,2.390,5.85
63,2022-02-22,2.258,-0.96
64,2022-02-21,2.280,0.68
65,2022-02-20,2.264,-2.10
66,2022-02-18,2.313,0.22
67,2022-02-17,2.308,-0.86
68,2022-02-16,2.328,0.65
69,2022-02-15,2.313,0.87
70,2022-02-14,2.293,0.44
71,2022-02-13,2.283,-1.72
72,2022-02-11,2.323,4.64
73,2022-02-10,2.220,-0.80
74,2022-02-09,2.238,-0.09
75,2022-02-08,2.240,1.40
76,2022-02-07,2.209,1.80
77,2022-02-04,2.170,2.94
78,2022-02-03,2.108,-2.09
79,2022-02-02,2.153,-1.01
80,2022-02-01,2.175,0.93
81,2022-01-31,2.155,0.77
82,2022-01-30,2.138,-0.77
83,2022-01-28,2.155,-1.15
84,2022-01-27,2.180,0.51
85,2022-01-26,2.169,1.12
86,2022-01-25,2.145,1.18
87,2022-01-24,2.120,0.81
88,2022-01-23,2.103,0.48
89,2022-01-21,2.093,-2.65
90,2022-01-20,2.150,-0.46
91,2022-01-19,2.160,7.20
92,2022-01-18,2.015,-0.74
93,2022-01-17,2.030,1.65
94,2022-01-16,1.997,0.96
95,2022-01-14,1.978,0.30
96,2022-01-13,1.972,-2.13
97,2022-01-12,2.015,-1.37
98,2022-01-11,2.043,-0.34
99,2022-01-10,2.050,0.61
100,2022-01-09,2.037,0.87
101,2022-01-07,2.020,-0.49
102,2022-01-06,2.030,1.00
103,2022-01-05,2.010,0.63
104,2022-01-04,1.997,1.14
105,2021-12-31,1.975,1.80
106,2021-12-30,1.940,0.26
107,2021-12-29,1.935,-0.62
108,2021-12-28,1.947,-0.92
109,2021-12-23,1.965,-1.01
110,2021-12-22,1.985,0.00
111,2021-12-21,1.985,-0.75
112,2021-12-20,2.000,-0.37
113,2021-12-19,2.007,-1.35
114,2021-12-17,2.035,-0.73
115,2021-12-16,2.050,1.23
116,2021-12-15,2.025,1.00
117,2021-12-14,2.005,-1.23
118,2021-12-13,2.030,-1.14
119,2021-12-12,2.053,-0.56
120,2021-12-10,2.065,-1.81
121,2021-12-09,2.103,0.86
122,2021-12-08,2.085,1.71
123,2021-12-07,2.050,5.67
124,2021-12-06,1.940,1.20
125,2021-12-05,1.917,-2.69
126,2021-12-03,1.970,0.00
127,2021-12-02,1.970,4.23
128,2021-12-01,1.890,1.34
129,2021-11-30,1.865,-1.32
130,2021-11-29,1.890,4.65
131,2021-11-28,1.806,-4.95
132,2021-11-26,1.900,-4.04
133,2021-11-25,1.980,-0.50
134,2021-11-24,1.990,-6.11
135,2021-11-23,2.119,-1.42
136,2021-11-22,2.150,1.53
137,2021-11-21,2.118,-1.28
138,2021-11-19,2.145,0.70
139,2021-11-18,2.130,1.53
140,2021-11-17,2.098,0.48
141,2021-11-16,2.088,0.87
142,2021-11-15,2.070,-0.34
143,2021-11-14,2.077,-0.53
144,2021-11-12,2.088,0.38
145,2021-11-11,2.080,2.97
146,2021-11-10,2.020,-0.64
147,2021-11-09,2.033,0.49
148,2021-11-08,2.023,1.35
149,2021-11-07,1.996,-1.67
150,2021-11-05,2.030,-2.31
151,2021-11-04,2.078,0.14
152,2021-11-03,2.075,0.34
153,2021-11-02,2.068,1.37
154,2021-11-01,2.040,-1.83
155,2021-10-29,2.078,92.41
156,2021-10-13,1.080,0.00
157,2021-10-12,1.080,1.89
158,2021-10-11,1.060,5.11
159,2021-10-10,1.008,-2.09
160,2021-10-08,1.030,1.98
