,date,interest,change
0,2022-05-09,1.373,-1.15
1,2022-05-06,1.390,0.91
2,2022-05-05,1.377,-1.33
3,2022-05-04,1.395,0.76
4,2022-05-03,1.385,-0.36
5,2022-05-02,1.390,-0.93
6,2022-04-29,1.403,3.89
7,2022-04-28,1.350,0.75
8,2022-04-27,1.340,-0.56
9,2022-04-26,1.348,-0.59
10,2022-04-25,1.356,-0.73
11,2022-04-22,1.366,1.19
12,2022-04-21,1.350,-0.52
13,2022-04-20,1.357,-0.07
14,2022-04-19,1.358,-0.66
15,2022-04-13,1.367,-0.22
16,2022-04-12,1.370,-1.65
17,2022-04-11,1.393,-0.29
18,2022-04-08,1.397,0.72
19,2022-04-07,1.387,-1.00
20,2022-04-06,1.401,0.86
21,2022-04-05,1.389,0.29
22,2022-04-04,1.385,-0.14
23,2022-04-01,1.387,0.36
24,2022-03-31,1.382,-2.88
25,2022-03-30,1.423,0.14
26,2022-03-29,1.421,0.85
27,2022-03-28,1.409,2.85
28,2022-03-25,1.370,2.62
29,2022-03-24,1.335,1.37
30,2022-03-23,1.317,1.46
31,2022-03-22,1.298,1.96
32,2022-03-21,1.273,-0.31
33,2022-03-18,1.277,-1.39
34,2022-03-17,1.295,0.08
35,2022-03-16,1.294,0.62
36,2022-03-15,1.286,-0.31
37,2022-03-14,1.290,15.08
38,2022-03-11,1.121,-0.62
39,2022-03-10,1.128,-2.08
40,2022-03-09,1.152,0.88
41,2022-03-08,1.142,1.51
42,2022-03-07,1.125,0.27
43,2022-03-04,1.122,0.09
44,2022-03-03,1.121,0.90
45,2022-03-02,1.111,3.16
46,2022-03-01,1.077,-3.32
47,2022-02-28,1.114,-2.02
48,2022-02-25,1.137,0.98
49,2022-02-24,1.126,-1.40
50,2022-02-23,1.142,0.62
51,2022-02-22,1.135,0.98
52,2022-02-21,1.124,-0.09
53,2022-02-18,1.125,-0.79
54,2022-02-17,1.134,1.43
55,2022-02-16,1.118,-2.53
56,2022-02-15,1.147,1.24
57,2022-02-14,1.133,0.00
58,2022-02-11,1.133,2.07
59,2022-02-10,1.110,-4.72
60,2022-02-09,1.165,5.24
61,2022-02-08,1.107,-0.27
62,2022-02-07,1.110,-0.54
63,2022-02-04,1.116,0.18
64,2022-02-03,1.114,3.53
65,2022-02-02,1.076,0.28
66,2022-02-01,1.073,0.37
67,2022-01-31,1.069,0.47
68,2022-01-28,1.064,-1.30
69,2022-01-27,1.078,2.47
70,2022-01-26,1.052,0.48
71,2022-01-25,1.047,-0.10
72,2022-01-24,1.048,0.19
73,2022-01-21,1.046,0.10
74,2022-01-20,1.045,-0.67
75,2022-01-19,1.052,-0.28
76,2022-01-18,1.055,0.29
77,2022-01-17,1.052,0.67
78,2022-01-14,1.045,0.10
79,2022-01-13,1.044,0.68
80,2022-01-12,1.037,2.57
81,2022-01-11,1.011,-1.65
82,2022-01-10,1.028,0.69
83,2022-01-07,1.021,1.09
84,2022-01-06,1.010,1.00
85,2022-01-05,1.000,-0.10
86,2022-01-04,1.001,-1.96
87,2022-01-03,1.021,3.03
88,2021-12-31,0.991,-2.65
89,2021-12-30,1.018,5.93
90,2021-12-29,0.961,1.59
91,2021-12-28,0.946,0.53
92,2021-12-27,0.941,0.11
93,2021-12-23,0.940,5.50
94,2021-12-22,0.891,1.37
95,2021-12-21,0.879,3.05
96,2021-12-20,0.853,-0.35
97,2021-12-17,0.856,-5.73
98,2021-12-16,0.908,11.82
99,2021-12-15,0.812,-0.73
100,2021-12-14,0.818,14.41
101,2021-12-13,0.715,2.66
102,2021-12-11,0.697,-6.89
103,2021-12-10,0.748,1.08
104,2021-12-09,0.740,4.82
105,2021-12-08,0.706,-1.26
106,2021-12-07,0.715,0.85
107,2021-12-06,0.709,7.18
108,2021-12-04,0.661,-10.24
109,2021-12-03,0.737,5.74
110,2021-12-02,0.697,-6.44
111,2021-12-01,0.745,2.90
112,2021-11-30,0.724,-5.36
113,2021-11-29,0.765,10.55
114,2021-11-27,0.692,-8.47
115,2021-11-26,0.756,-2.45
116,2021-11-25,0.775,-2.76
117,2021-11-24,0.797,0.25
118,2021-11-23,0.795,0.25
119,2021-11-22,0.793,7.02
120,2021-11-20,0.741,-6.56
121,2021-11-19,0.793,-1.73
