,date,interest,change
0,2022-05-10,1.912,0.00
1,2022-05-09,1.912,0.00
2,2022-05-06,1.912,1.03
3,2022-05-05,1.893,-3.20
4,2022-05-04,1.955,2.87
5,2022-05-03,1.901,-2.54
6,2022-05-02,1.950,0.62
7,2022-04-29,1.938,1.47
8,2022-04-28,1.910,0.00
9,2022-04-27,1.910,0.00
10,2022-04-26,1.910,2.28
11,2022-04-25,1.867,-2.33
12,2022-04-22,1.912,0.10
13,2022-04-21,1.910,0.00
14,2022-04-20,1.910,3.24
15,2022-04-19,1.850,1.65
16,2022-04-18,1.820,3.41
17,2022-04-15,1.760,0.51
18,2022-04-14,1.751,-2.72
19,2022-04-13,1.800,0.00
20,2022-04-12,1.800,-0.28
21,2022-04-11,1.805,6.18
22,2022-04-08,1.700,-1.45
23,2022-04-07,1.725,-1.99
24,2022-04-06,1.760,0.00
25,2022-04-05,1.760,0.28
26,2022-04-04,1.755,0.00
27,2022-04-01,1.755,0.00
28,2022-03-31,1.755,0.29
29,2022-03-30,1.750,0.00
30,2022-03-29,1.750,-1.96
31,2022-03-28,1.785,0.28
32,2022-03-25,1.780,0.00
33,2022-03-24,1.780,0.28
34,2022-03-23,1.775,3.80
35,2022-03-22,1.710,0.00
36,2022-03-21,1.710,0.29
37,2022-03-18,1.705,3.33
38,2022-03-17,1.650,-1.96
39,2022-03-16,1.683,7.20
40,2022-03-15,1.570,-4.03
41,2022-03-14,1.636,-0.24
42,2022-03-11,1.640,-2.09
43,2022-03-10,1.675,0.00
44,2022-03-09,1.675,2.76
45,2022-03-08,1.630,0.62
46,2022-03-07,1.620,0.31
47,2022-03-04,1.615,0.31
48,2022-03-03,1.610,0.00
49,2022-03-02,1.610,0.62
50,2022-03-01,1.600,-1.17
51,2022-02-28,1.619,5.96
52,2022-02-25,1.528,0.59
53,2022-02-24,1.519,-2.00
54,2022-02-23,1.550,2.65
55,2022-02-22,1.510,-0.20
56,2022-02-21,1.513,0.00
57,2022-02-18,1.513,3.21
58,2022-02-17,1.466,-0.74
59,2022-02-16,1.477,0.07
60,2022-02-15,1.476,1.17
61,2022-02-14,1.459,0.07
62,2022-02-11,1.458,-1.09
63,2022-02-10,1.474,1.03
64,2022-02-09,1.459,0.07
65,2022-02-08,1.458,0.21
66,2022-02-07,1.455,0.00
67,2022-02-04,1.455,0.28
68,2022-02-03,1.451,-0.27
69,2022-02-02,1.455,2.75
70,2022-02-01,1.416,-3.41
71,2022-01-31,1.466,0.48
72,2022-01-28,1.459,-0.21
