,date,interest,change
0,2022-05-09,6.068,-0.59
1,2022-05-06,6.103,-0.28
2,2022-05-05,6.121,-4.87
3,2022-05-04,6.434,5.81
4,2022-05-03,6.081,-3.36
5,2022-05-02,6.292,1.99
6,2022-04-29,6.169,2.68
7,2022-04-28,6.008,2.77
8,2022-04-27,5.846,0.86
9,2022-04-26,5.796,-1.56
10,2022-04-25,5.888,-1.37
11,2022-04-22,5.970,1.19
12,2022-04-21,5.900,0.68
13,2022-04-20,5.860,-1.35
14,2022-04-19,5.940,6.03
15,2022-04-14,5.602,-0.28
16,2022-04-13,5.618,-4.55
17,2022-04-12,5.886,-1.03
18,2022-04-11,5.947,1.45
19,2022-04-08,5.862,2.18
20,2022-04-07,5.737,3.02
21,2022-04-06,5.569,3.78
22,2022-04-05,5.366,3.41
23,2022-04-04,5.189,1.01
24,2022-04-01,5.137,1.38
25,2022-03-31,5.067,0.60
26,2022-03-30,5.037,0.64
27,2022-03-29,5.005,-2.65
28,2022-03-28,5.141,3.36
29,2022-03-25,4.974,-0.46
30,2022-03-24,4.997,3.72
31,2022-03-23,4.818,-1.83
32,2022-03-22,4.908,2.74
33,2022-03-21,4.777,2.14
34,2022-03-18,4.677,1.37
35,2022-03-17,4.614,-0.04
36,2022-03-16,4.616,-3.17
37,2022-03-15,4.767,-3.03
38,2022-03-14,4.916,2.44
39,2022-03-11,4.799,-0.23
40,2022-03-10,4.810,0.75
41,2022-03-09,4.774,5.41
42,2022-03-08,4.529,1.21
43,2022-03-07,4.475,15.66
44,2022-03-04,3.869,4.40
45,2022-03-03,3.706,0.71
46,2022-03-02,3.680,1.15
47,2022-03-01,3.638,-2.10
48,2022-02-28,3.716,2.94
49,2022-02-25,3.610,-0.33
50,2022-02-24,3.622,7.80
51,2022-02-23,3.360,0.57
52,2022-02-22,3.341,0.75
53,2022-02-21,3.316,-0.30
54,2022-02-18,3.326,0.09
55,2022-02-17,3.323,-1.42
56,2022-02-16,3.371,0.21
57,2022-02-15,3.364,-3.64
58,2022-02-14,3.491,5.98
59,2022-02-11,3.294,-0.90
60,2022-02-10,3.324,-1.51
61,2022-02-09,3.375,-2.17
62,2022-02-08,3.450,-0.23
63,2022-02-07,3.458,0.06
64,2022-02-04,3.456,-2.87
65,2022-02-03,3.558,0.11
