,date,interest,change
0,2022-05-06,10.165,-0.54
1,2022-05-05,10.220,3.76
2,2022-05-04,9.850,2.71
3,2022-04-29,9.590,-1.03
4,2022-04-28,9.690,-1.92
5,2022-04-27,9.880,-3.89
6,2022-04-26,10.280,-4.46
7,2022-04-25,10.760,1.89
8,2022-04-22,10.560,-0.28
9,2022-04-21,10.590,-1.30
10,2022-04-20,10.730,-1.29
11,2022-04-19,10.870,-4.14
12,2022-04-18,11.340,-6.20
13,2022-04-15,12.090,-0.98
14,2022-04-14,12.210,-1.69
15,2022-04-13,12.420,0.98
16,2022-04-12,12.300,-0.89
17,2022-04-11,12.410,-1.97
18,2022-04-08,12.660,-5.66
19,2022-04-07,13.420,-3.66
20,2022-04-06,13.930,0.29
21,2022-04-05,13.890,-0.36
22,2022-04-04,13.940,0.94
23,2022-04-01,13.810,-0.93
24,2022-03-31,13.940,-3.80
25,2022-03-30,14.490,-4.92
26,2022-03-29,15.240,-4.87
27,2022-03-28,16.020,1.59
28,2022-03-25,15.770,-3.13
29,2022-03-24,16.280,0.06
30,2022-03-23,16.270,0.25
31,2022-03-22,16.230,0.25
32,2022-03-21,16.190,-34.03
33,2022-03-04,24.540,55.61
34,2022-03-03,15.770,10.98
35,2022-03-02,14.210,2.60
36,2022-03-01,13.850,0.07
37,2022-02-28,13.840,-42.43
38,2022-02-25,24.040,52.15
39,2022-02-24,15.800,39.95
40,2022-02-22,11.290,0.89
41,2022-02-21,11.190,10.46
42,2022-02-18,10.130,0.60
43,2022-02-17,10.070,0.30
44,2022-02-16,10.040,-1.47
45,2022-02-15,10.190,-1.26
46,2022-02-14,10.320,2.89
47,2022-02-11,10.030,3.30
48,2022-02-10,9.710,0.31
49,2022-02-09,9.680,0.00
50,2022-02-08,9.680,0.21
51,2022-02-07,9.660,0.42
52,2022-02-04,9.620,-0.10
53,2022-02-03,9.630,-0.10
54,2022-02-02,9.640,-0.62
55,2022-02-01,9.700,-0.61
56,2022-01-31,9.760,0.21
57,2022-01-28,9.740,-1.02
58,2022-01-27,9.840,-0.30
59,2022-01-26,9.870,-1.30
60,2022-01-25,10.000,0.70
61,2022-01-24,9.930,1.33
62,2022-01-21,9.800,2.08
63,2022-01-20,9.600,0.84
64,2022-01-19,9.520,-1.14
65,2022-01-18,9.630,1.48
66,2022-01-17,9.490,2.48
67,2022-01-14,9.260,2.21
68,2022-01-13,9.060,5.23
69,2022-01-12,8.610,0.58
70,2022-01-11,8.560,1.06
71,2022-01-10,8.470,5.88
72,2022-01-06,8.000,2.30
73,2022-01-05,7.820,-0.13
74,2022-01-04,7.830,0.51
75,2022-01-03,7.790,-1.02
76,2021-12-30,7.870,-0.76
77,2021-12-29,7.930,0.63
78,2021-12-28,7.880,0.51
79,2021-12-27,7.840,1.16
80,2021-12-24,7.750,0.13
81,2021-12-23,7.740,-0.26
82,2021-12-22,7.760,-1.77
83,2021-12-21,7.900,-0.38
84,2021-12-20,7.930,-0.25
85,2021-12-17,7.950,-2.93
86,2021-12-16,8.190,-0.12
87,2021-12-15,8.200,-2.38
88,2021-12-14,8.400,2.07
89,2021-12-13,8.230,-0.96
90,2021-12-10,8.310,0.00
91,2021-12-09,8.310,-1.42
92,2021-12-08,8.430,-0.82
93,2021-12-07,8.500,0.35
94,2021-12-06,8.470,1.68
95,2021-12-03,8.330,-0.48
96,2021-12-02,8.370,3.08
97,2021-12-01,8.120,-1.81
98,2021-11-30,8.270,0.24
99,2021-11-29,8.250,-1.20
100,2021-11-26,8.350,0.24
101,2021-11-25,8.330,-1.88
102,2021-11-24,8.490,-0.93
103,2021-11-23,8.570,1.54
104,2021-11-22,8.440,1.32
105,2021-11-19,8.330,1.34
106,2021-11-18,8.220,0.61
107,2021-11-17,8.170,0.37
108,2021-11-16,8.140,-0.61
109,2021-11-15,8.190,2.63
110,2021-11-12,7.980,-0.13
111,2021-11-11,7.990,-0.62
112,2021-11-10,8.040,0.63
113,2021-11-09,7.990,-0.50
114,2021-11-08,8.030,-0.62
115,2021-11-05,8.080,0.62
116,2021-11-03,8.030,-0.74
117,2021-11-02,8.090,-1.10
118,2021-11-01,8.180,2.38
119,2021-10-29,7.990,0.50
120,2021-10-28,7.950,2.32
121,2021-10-27,7.770,-1.02
122,2021-10-26,7.850,3.15
123,2021-10-25,7.610,0.26
124,2021-10-22,7.590,2.71
125,2021-10-21,7.390,0.54
126,2021-10-20,7.350,0.55
127,2021-10-19,7.310,-0.41
128,2021-10-18,7.340,0.82
129,2021-10-15,7.280,-0.14
130,2021-10-14,7.290,-0.14
131,2021-10-13,7.300,-0.41
132,2021-10-12,7.330,-0.27
133,2021-10-11,7.350,0.27
134,2021-10-08,7.330,-0.41
135,2021-10-07,7.360,-0.27
136,2021-10-06,7.380,0.00
137,2021-10-05,7.380,1.93
138,2021-10-04,7.240,0.28
139,2021-10-01,7.220,0.56
140,2021-09-30,7.180,1.13
141,2021-09-29,7.100,0.28
142,2021-09-28,7.080,-0.70
143,2021-09-27,7.130,0.28
144,2021-09-24,7.110,-0.42
145,2021-09-23,7.140,3.33
146,2021-09-22,6.910,-1.14
147,2021-09-21,6.990,-0.14
148,2021-09-20,7.000,2.19
149,2021-09-17,6.850,-0.29
150,2021-09-16,6.870,0.29
151,2021-09-15,6.850,0.59
152,2021-09-14,6.810,0.00
153,2021-09-13,6.810,0.15
154,2021-09-10,6.800,-1.31
155,2021-09-09,6.890,0.58
156,2021-09-08,6.850,0.00
157,2021-09-07,6.850,1.63
158,2021-09-06,6.740,0.00
159,2021-09-03,6.740,-0.74
160,2021-09-02,6.790,3.19
161,2021-09-01,6.580,0.15
162,2021-08-31,6.570,0.00
163,2021-08-30,6.570,0.00
164,2021-08-27,6.570,-0.30
165,2021-08-26,6.590,1.38
166,2021-08-25,6.500,0.00
167,2021-08-24,6.500,-0.46
168,2021-08-23,6.530,-0.61
169,2021-08-20,6.570,0.00
170,2021-08-19,6.570,-0.76
171,2021-08-18,6.620,0.30
172,2021-08-17,6.600,-0.30
173,2021-08-16,6.620,-0.45
174,2021-08-13,6.650,0.15
175,2021-08-12,6.640,0.00
176,2021-08-11,6.640,0.00
177,2021-08-10,6.640,-0.15
178,2021-08-09,6.650,0.15
179,2021-08-06,6.640,-0.30
180,2021-08-05,6.660,-0.30
181,2021-08-04,6.680,-0.30
182,2021-08-03,6.700,1.06
183,2021-08-02,6.630,0.91
184,2021-07-30,6.570,0.00
185,2021-07-29,6.570,0.00
186,2021-07-28,6.570,-0.30
187,2021-07-27,6.590,0.15
188,2021-07-26,6.580,-0.75
189,2021-07-23,6.630,1.53
190,2021-07-22,6.530,-0.76
191,2021-07-21,6.580,-0.75
192,2021-07-20,6.630,-0.45
193,2021-07-19,6.660,1.06
194,2021-07-16,6.590,0.15
195,2021-07-15,6.580,0.77
196,2021-07-14,6.530,0.15
197,2021-07-13,6.520,-0.15
198,2021-07-12,6.530,1.40
199,2021-07-09,6.440,0.31
200,2021-07-08,6.420,1.42
201,2021-07-07,6.330,0.32
202,2021-07-06,6.310,-1.41
203,2021-07-05,6.400,0.63
204,2021-07-02,6.360,1.92
205,2021-07-01,6.240,-0.64
206,2021-06-30,6.280,0.00
207,2021-06-29,6.280,0.64
208,2021-06-28,6.240,1.46
209,2021-06-25,6.150,-0.32
210,2021-06-24,6.170,-0.16
211,2021-06-23,6.180,-0.32
212,2021-06-22,6.200,-0.80
213,2021-06-21,6.250,-0.16
214,2021-06-18,6.260,-0.32
215,2021-06-17,6.280,0.96
216,2021-06-16,6.220,-0.64
217,2021-06-15,6.260,1.79
218,2021-06-14,6.150,-0.16
219,2021-06-11,6.160,-0.81
220,2021-06-10,6.210,0.49
221,2021-06-09,6.180,0.65
222,2021-06-08,6.140,0.99
223,2021-06-07,6.080,1.00
224,2021-06-04,6.020,0.33
225,2021-06-03,6.000,0.67
226,2021-06-02,5.960,0.68
227,2021-06-01,5.920,-0.84
228,2021-05-31,5.970,1.02
229,2021-05-28,5.910,1.20
230,2021-05-27,5.840,1.57
231,2021-05-26,5.750,-0.17
232,2021-05-25,5.760,0.17
233,2021-05-24,5.750,1.05
234,2021-05-21,5.690,0.00
235,2021-05-20,5.690,-0.18
236,2021-05-19,5.700,-0.18
237,2021-05-18,5.710,0.35
238,2021-05-17,5.690,0.53
239,2021-05-14,5.660,-0.70
240,2021-05-13,5.700,0.71
241,2021-05-12,5.660,1.07
242,2021-05-11,5.600,0.00
243,2021-05-10,5.600,0.00
244,2021-05-07,5.600,-0.18
245,2021-05-06,5.610,0.00
246,2021-05-05,5.610,2.00
247,2021-05-04,5.500,-0.54
248,2021-04-30,5.530,0.73
249,2021-04-29,5.490,-1.08
250,2021-04-28,5.550,-0.89
251,2021-04-27,5.600,0.36
252,2021-04-26,5.580,0.18
253,2021-04-23,5.570,3.34
254,2021-04-22,5.390,0.75
255,2021-04-21,5.350,-0.19
256,2021-04-20,5.360,0.00
257,2021-04-19,5.360,0.94
258,2021-04-16,5.310,-2.03
259,2021-04-15,5.420,0.74
260,2021-04-14,5.380,-2.36
261,2021-04-13,5.510,-1.08
262,2021-04-12,5.570,1.64
263,2021-04-09,5.480,0.55
264,2021-04-08,5.450,-0.18
265,2021-04-07,5.460,2.82
266,2021-04-06,5.310,0.57
267,2021-04-05,5.280,0.19
268,2021-04-02,5.270,-0.94
269,2021-04-01,5.320,0.57
270,2021-03-31,5.290,-1.12
271,2021-03-30,5.350,7.00
272,2021-03-29,5.000,3.31
273,2021-03-26,4.840,-21.04
274,2021-03-25,6.130,-8.78
275,2021-03-24,6.720,1.82
276,2021-03-23,6.600,34.97
277,2021-03-22,4.890,1.87
278,2021-03-19,4.800,-12.89
279,2021-03-18,5.510,16.00
280,2021-03-17,4.750,-12.68
281,2021-03-16,5.440,-0.73
282,2021-03-15,5.480,11.16
283,2021-03-12,4.930,2.71
284,2021-03-11,4.800,4.58
285,2021-03-10,4.590,0.22
286,2021-03-09,4.580,7.13
287,2021-03-08,4.275,-3.93
288,2021-03-05,4.450,-11.53
289,2021-03-04,5.030,3.29
290,2021-03-03,4.870,7.51
291,2021-03-02,4.530,-4.63
292,2021-03-01,4.750,5.56
