,date,interest,change
0,2022-05-09,1.606,0.00
1,2022-05-06,1.605,-0.59
2,2022-05-05,1.615,-1.52
3,2022-05-04,1.640,0.00
4,2022-04-29,1.640,-1.20
5,2022-04-28,1.660,-0.60
6,2022-04-27,1.670,0.00
7,2022-04-26,1.670,1.52
8,2022-04-25,1.645,-0.90
9,2022-04-22,1.660,0.00
10,2022-04-21,1.660,0.61
11,2022-04-20,1.650,-0.60
12,2022-04-19,1.660,2.15
13,2022-04-18,1.625,33.09
14,2022-04-14,1.221,-18.67
15,2022-04-13,1.501,36.47
16,2022-04-12,1.100,-0.09
17,2022-04-11,1.101,0.18
18,2022-04-08,1.099,2.71
19,2022-04-06,1.070,1.90
20,2022-04-05,1.050,0.96
21,2022-04-04,1.040,1.96
22,2022-04-01,1.020,2.00
23,2022-03-31,1.000,-0.99
24,2022-03-30,1.010,1.00
25,2022-03-29,1.000,2.04
26,2022-03-28,0.980,1.03
27,2022-03-25,0.970,1.04
28,2022-03-24,0.960,3.23
29,2022-03-23,0.930,7.02
30,2022-03-22,0.869,-0.11
31,2022-03-21,0.870,1.16
32,2022-03-18,0.860,1.18
33,2022-03-17,0.850,3.66
34,2022-03-16,0.820,1.23
35,2022-03-15,0.810,1.25
36,2022-03-14,0.800,0.00
37,2022-03-11,0.800,1.27
38,2022-03-10,0.790,1.28
39,2022-03-09,0.780,2.63
40,2022-03-08,0.760,0.00
41,2022-03-07,0.760,1.33
42,2022-03-04,0.750,11.94
43,2022-03-03,0.670,0.00
44,2022-03-02,0.670,0.15
45,2022-03-01,0.669,-0.15
46,2022-02-28,0.670,0.00
47,2022-02-25,0.670,0.00
48,2022-02-24,0.670,0.00
49,2022-02-23,0.670,0.00
50,2022-02-22,0.670,24.07
51,2022-02-21,0.540,-19.40
52,2022-02-18,0.670,0.00
53,2022-02-17,0.670,0.00
54,2022-02-16,0.670,0.00
55,2022-02-15,0.670,0.00
56,2022-02-14,0.670,44.09
57,2022-02-12,0.465,-30.49
58,2022-02-11,0.669,-0.15
59,2022-02-10,0.670,-0.36
60,2022-02-09,0.672,0.36
61,2022-02-08,0.670,0.00
62,2022-02-07,0.670,0.00
63,2022-02-04,0.670,0.00
64,2022-02-03,0.670,0.00
65,2022-01-31,0.670,0.00
66,2022-01-28,0.670,0.00
67,2022-01-27,0.670,0.00
68,2022-01-26,0.670,0.00
69,2022-01-25,0.670,0.00
70,2022-01-24,0.670,0.00
71,2022-01-21,0.670,0.00
72,2022-01-20,0.670,37.01
73,2022-01-19,0.489,-0.20
74,2022-01-18,0.490,0.00
75,2022-01-17,0.490,0.20
76,2022-01-14,0.489,0.00
77,2022-01-13,0.489,-0.20
78,2022-01-12,0.490,0.00
