,date,interest,change
0,2022-05-09,5.525,0.55
1,2022-05-06,5.495,0.83
2,2022-05-05,5.450,-0.91
3,2022-05-04,5.500,0.00
4,2022-05-03,5.500,0.00
5,2022-04-29,5.500,0.64
6,2022-04-28,5.465,-0.27
7,2022-04-26,5.480,-0.36
8,2022-04-25,5.500,-0.09
9,2022-04-22,5.505,-0.09
10,2022-04-21,5.510,-0.54
11,2022-04-20,5.540,-0.27
12,2022-04-19,5.555,1.00
13,2022-04-14,5.500,-0.72
14,2022-04-13,5.540,0.64
15,2022-04-12,5.505,0.09
16,2022-04-11,5.500,-0.18
17,2022-04-08,5.510,0.36
18,2022-04-07,5.490,-0.45
19,2022-04-06,5.515,-0.09
20,2022-04-05,5.520,0.91
21,2022-04-04,5.470,0.74
22,2022-04-01,5.430,0.28
23,2022-03-31,5.415,0.00
24,2022-03-30,5.415,-0.37
25,2022-03-29,5.435,-0.82
26,2022-03-28,5.480,-1.17
27,2022-03-25,5.545,1.28
28,2022-03-24,5.475,-0.64
29,2022-03-23,5.510,-0.27
30,2022-03-22,5.525,-0.36
31,2022-03-18,5.545,0.82
32,2022-03-17,5.500,-0.09
33,2022-03-16,5.505,-0.18
34,2022-03-15,5.515,-0.72
35,2022-03-14,5.555,1.28
36,2022-03-13,5.485,-0.72
37,2022-03-11,5.525,0.00
38,2022-03-10,5.525,-0.45
39,2022-03-09,5.550,-1.16
40,2022-03-08,5.615,1.63
41,2022-03-07,5.525,1.75
42,2022-03-04,5.430,1.21
43,2022-03-03,5.365,-1.20
44,2022-03-02,5.430,0.84
45,2022-03-01,5.385,-0.09
46,2022-02-28,5.390,1.79
47,2022-02-25,5.295,-0.19
48,2022-02-24,5.305,0.09
49,2022-02-23,5.300,0.09
50,2022-02-22,5.295,0.86
51,2022-02-21,5.250,-0.10
52,2022-02-18,5.255,0.29
53,2022-02-17,5.240,-0.38
54,2022-02-16,5.260,-0.66
55,2022-02-15,5.295,-0.75
56,2022-02-14,5.335,-0.74
57,2022-02-11,5.375,0.66
58,2022-02-10,5.340,-0.09
59,2022-02-09,5.345,0.38
60,2022-02-08,5.325,-1.02
61,2022-02-07,5.380,-1.01
62,2022-02-04,5.435,1.59
63,2022-02-03,5.350,-1.20
64,2022-02-02,5.415,0.65
65,2022-02-01,5.380,-0.28
66,2022-01-31,5.395,-0.74
67,2022-01-28,5.435,1.02
68,2022-01-27,5.380,0.09
69,2022-01-26,5.375,0.47
70,2022-01-25,5.350,2.39
71,2022-01-24,5.225,0.87
72,2022-01-21,5.180,0.10
73,2022-01-19,5.175,0.49
74,2022-01-18,5.150,0.10
75,2022-01-17,5.145,0.68
76,2022-01-14,5.110,-0.49
77,2022-01-13,5.135,0.79
78,2022-01-12,5.095,-0.49
79,2022-01-11,5.120,0.20
80,2022-01-10,5.110,-0.68
81,2022-01-07,5.145,1.08
82,2022-01-03,5.090,0.00
83,2021-12-31,5.090,-0.59
84,2021-12-30,5.120,-0.49
85,2021-12-29,5.145,0.49
86,2021-12-28,5.120,0.00
87,2021-12-24,5.120,-0.49
88,2021-12-23,5.145,0.10
89,2021-12-22,5.140,1.38
90,2021-12-21,5.070,0.00
91,2021-12-20,5.070,1.50
92,2021-12-17,4.995,-2.44
